energy_ev,total_up,Ga_p_up,Ga_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,3.85606259,0.24697201,0.00000000,1.45997294,2.00844092,1.70282176,0.00000000
-5.99399700,3.94208306,0.25176688,0.00000000,1.50112275,2.05963020,1.73064475,0.00000000
-5.98799400,4.03154292,0.25639318,0.00000000,1.54410866,2.11327203,1.76020477,0.00000000
-5.98199100,4.12517339,0.26090301,0.00000000,1.58932435,2.16975400,1.79173126,0.00000000
-5.97598799,4.22373930,0.26535944,0.00000000,1.63715599,2.22946882,1.82546042,0.00000000
-5.96998499,4.32798417,0.26983314,0.00000000,1.68795614,2.29278560,1.86161425,0.00000000
-5.96398199,4.43857073,0.27439825,0.00000000,1.74201664,2.36001916,1.90037771,0.00000000
-5.95797899,4.55602002,0.27912805,0.00000000,1.79954197,2.43139892,1.94187566,0.00000000
-5.95197599,4.68065258,0.28409034,0.00000000,1.86062464,2.50703920,1.98615069,0.00000000
-5.94597299,4.81253509,0.28934295,0.00000000,1.92522404,2.58691268,2.03314335,0.00000000
-5.93996998,4.95143595,0.29492961,0.00000000,1.99315022,2.67082861,2.08267612,0.00000000
-5.93396698,5.09679256,0.30087632,0.00000000,2.06405370,2.75841746,2.13444211,0.00000000
-5.92796398,5.24769294,0.30718851,0.00000000,2.13742248,2.84912303,2.18799954,0.00000000
-5.92196098,5.40287341,0.31384916,0.00000000,2.21258660,2.94220294,2.24277257,0.00000000
-5.91595798,5.56073322,0.32081801,0.00000000,2.28873075,3.03673816,2.29805876,0.00000000
-5.90995498,5.71936640,0.32803184,0.00000000,2.36491457,3.13165126,2.35304310,0.00000000
-5.90395198,5.87661005,0.33540605,0.00000000,2.44010021,3.22573328,2.40681817,0.00000000
-5.89794897,6.03010739,0.34283725,0.00000000,2.51318607,3.31767825,2.45840983,0.00000000
-5.89194597,6.17738325,0.35020702,0.00000000,2.58304543,3.40612405,2.50680717,0.00000000
-5.88594297,6.31592888,0.35738641,0.00000000,2.64856824,3.48969812,2.55099559,0.00000000
-5.87993997,6.44329253,0.36424127,0.00000000,2.70870434,3.56706611,2.58999152,0.00000000
-5.87393697,6.55717184,0.37063796,0.00000000,2.76250591,3.63698152,2.62287720,0.00000000
-5.86793397,6.65550397,0.37644927,0.00000000,2.80916736,3.69833405,2.64883395,0.00000000
-5.86193097,6.73654948,0.38156029,0.00000000,2.84806042,3.75019482,2.66717248,0.00000000
-5.85592796,6.79896612,0.38587391,0.00000000,2.87876297,3.79185629,2.67735879,0.00000000
-5.84992496,6.84186932,0.38931571,0.00000000,2.90107997,3.82286525,2.67903466,0.00000000
-5.84392196,6.86487662,0.39183804,0.00000000,2.91505533,3.84304739,2.67203170,0.00000000
-5.83791896,6.86813405,0.39342302,0.00000000,2.92097427,3.85252240,2.65637854,0.00000000
-5.83191596,6.85232336,0.39408443,0.00000000,2.91935570,3.85170886,2.63230095,0.00000000
-5.82591296,6.81864975,0.39386822,0.00000000,2.91093516,3.84131875,2.60021479,0.00000000
-5.81990995,6.76881075,0.39285184,0.00000000,2.89663885,3.82234170,2.56071258,0.00000000
