energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,1.98973299,1.10803777,0.37399681,0.00788853,0.29866149,1.05574759,0.00000000,0.79355353,0.39471924
-5.99399700,2.00670156,1.09155275,0.36570988,0.00801138,0.32182491,1.04263490,0.00000000,0.78770739,0.41486514
-5.98799400,2.02532326,1.07494853,0.35773921,0.00809358,0.34615986,1.02937943,0.00000000,0.78263942,0.43579681
-5.98199100,2.04475966,1.05799450,0.35005192,0.00813593,0.37134836,1.01573801,0.00000000,0.77811837,0.45720791
-5.97598799,2.06415089,1.04048435,0.34261349,0.00814024,0.39703586,1.00149392,0.00000000,0.77391247,0.47876830
-5.96998499,2.08263743,1.02224236,0.33539000,0.00810928,0.42283833,0.98646411,0.00000000,0.76979604,0.50013092
-5.96398199,2.09938097,1.00312773,0.32834991,0.00804660,0.44835086,0.97050425,0.00000000,0.76555505,0.52093941
-5.95797899,2.11358380,0.98303686,0.32146515,0.00795641,0.47315728,0.95351139,0.00000000,0.76099166,0.54083643
-5.95197599,2.12450639,0.96190364,0.31471174,0.00784336,0.49684083,0.93542439,0.00000000,0.75592771,0.55947222
-5.94597299,2.13148281,0.93969819,0.30806980,0.00771236,0.51899522,0.91622236,0.00000000,0.75020712,0.57651337
-5.93996998,2.13393373,0.91642415,0.30152297,0.00756837,0.53923588,0.89592133,0.00000000,0.74369742,0.59165142
-5.93396698,2.13137701,0.89211498,0.29505762,0.00741614,0.55721082,0.87456957,0.00000000,0.73629039,0.60461090
-5.92796398,2.12343553,0.86682958,0.28866159,0.00726007,0.57261080,0.85224199,0.00000000,0.72790208,0.61515669
-5.92196098,2.10984245,0.84064772,0.28232304,0.00710402,0.58517823,0.82903405,0.00000000,0.71847227,0.62310022
-5.91595798,2.09044379,0.81366541,0.27602913,0.00695115,0.59471448,0.80505564,0.00000000,0.70796355,0.62830444
-5.90995498,2.06519836,0.78599064,0.26976508,0.00680384,0.60108534,0.78042518,0.00000000,0.69636010,0.63068715
-5.90395198,2.03417531,0.75773975,0.26351332,0.00666362,0.60422420,0.75526454,0.00000000,0.68366640,0.63022275
-5.89794897,1.99754926,0.72903439,0.25725323,0.00653115,0.60413310,0.72969469,0.00000000,0.66990579,0.62694216
-5.89194597,1.95559328,0.69999936,0.25096119,0.00640627,0.60088125,0.70383256,0.00000000,0.65511907,0.62093100
-5.88594297,1.90867008,0.67076117,0.24461109,0.00628803,0.59460144,0.67778891,0.00000000,0.63936310,0.61232612
-5.87993997,1.85722141,0.64144747,0.23817537,0.00617485,0.58548424,0.65166747,0.00000000,0.62270941,0.60131053
-5.87393697,1.80175632,0.61218703,0.23162636,0.00606463,0.57377050,0.62556496,0.00000000,0.60524286,0.58810706
-5.86793397,1.74283832,0.58311028,0.22493789,0.00595488,0.55974226,0.59957217,0.00000000,0.58706027,0.57297093
-5.86193097,1.68107199,0.55435023,0.21808722,0.00584293,0.54371270,0.57377563,0.00000000,0.56826903,0.55618163
-5.85592796,1.61708939,0.52604354,0.21105685,0.00572610,0.52601543,0.54825974,0.00000000,0.54898561,0.53803432
-5.84992496,1.55153658,0.49833167,0.20383643,0.00560187,0.50699363,0.52310925,0.00000000,0.52933403,0.51883126
-5.84392196,1.48506064,0.47136181,0.19642435,0.00546798,0.48698953,0.49841158,0.00000000,0.50944423,0.49887347
-5.83791896,1.41829754,0.44528760,0.18882913,0.00532265,0.46633453,0.47425900,0.00000000,0.48945033,0.47845292
-5.83191596,1.35186115,0.42026935,0.18107036,0.00516463,0.44534047,0.45075045,0.00000000,0.46948880,0.45784566
-5.82591296,1.28633364,0.39647387,0.17317921,0.00499329,0.42429216,0.42799265,0.00000000,0.44969661,0.43730590
-5.81990995,1.22225741,0.37407363,0.16519846,0.00480869,0.40344162,0.40610073,0.00000000,0.43020933,0.41706139
-5.81390695,1.16012875,0.35324537,0.15718201,0.00461155,0.38300389,0.38519803,0.00000000,0.41115932,0.39731002
-5.80790395,1.10039332,0.33416809,0.14919393,0.00440330,0.36315469,0.36541525,0.00000000,0.39267393,0.37821780
-5.80190095,1.04344338,0.31702048,0.14130712,0.00418597,0.34402979,0.34688891,0.00000000,0.37487396,0.35991812
-5.79589795,0.98961671,0.30197777,0.13360159,0.00396219,0.32572593,0.32975921,0.00000000,0.35787218,0.34251226
-5.78989495,0.93919731,0.28920822,0.12616253,0.00373509,0.30830327,0.31416747,0.00000000,0.34177225,0.32607092
-5.78389195,0.89241743,0.27886918,0.11907825,0.00350820,0.29178900,0.30025315,0.00000000,0.32666780,0.31063674
-5.77788894,0.84946105,0.27110297,0.11243802,0.00328537,0.27618194,0.28815074,0.00000000,0.31264185,0.29622755
-5.77188594,0.81046837,0.26603272,0.10633009,0.00307069,0.26145789,0.27798666,0.00000000,0.29976660,0.28284010
-5.76588294,0.77554120,0.26375821,0.10083982,0.00286838,0.24757528,0.26987620,0.00000000,0.28810341,0.27045420
-5.75987994,0.74474898,0.26435209,0.09604813,0.00268268,0.23448103,0.26392085,0.00000000,0.27770316,0.25903689
-5.75387694,0.71813515,0.26785642,0.09203021,0.00251786,0.22211627,0.26020598,0.00000000,0.26860678,0.24854662
-5.74787394,0.69572372,0.27427986,0.08885472,0.00237805,0.21042171,0.25879910,0.00000000,0.26084607,0.23893721
-5.74187094,0.67752566,0.28359562,0.08658330,0.00226726,0.19934239,0.25974871,0.00000000,0.25444456,0.23016137
-5.73586793,0.66354504,0.29574031,0.08527050,0.00218932,0.18883179,0.26308384,0.00000000,0.24941855,0.22217382
-5.72986493,0.65378464,0.31061377,0.08496410,0.00214781,0.17885506,0.26881420,0.00000000,0.24577815,0.21493385
-5.72386193,0.64825081,0.32808004,0.08570571,0.00214608,0.16939137,0.27693108,0.00000000,0.24352833,0.20840726
-5.71785893,0.64695751,0.34796934,0.08753164,0.00218715,0.16043530,0.28740872,0.00000000,0.24266986,0.20256770
-5.71185593,0.64992922,0.37008124,0.09047381,0.00227375,0.15199740,0.30020626,0.00000000,0.24320024,0.19739742
-5.70585293,0.65720275,0.39418872,0.09456087,0.00240824,0.14410375,0.31526992,0.00000000,0.24511440,0.19288744
-5.69984992,0.66882765,0.42004316,0.09981901,0.00259261,0.13679487,0.33253547,0.00000000,0.24840529,0.18903722
-5.69384692,0.68486525,0.44737994,0.10627278,0.00282840,0.13012384,0.35193054,0.00000000,0.25306432,0.18585380
-5.68784392,0.70538614,0.47592443,0.11394541,0.00311670,0.12415392,0.37337684,0.00000000,0.25908151,0.18335067
-5.68184092,0.73046616,0.50539822,0.12285887,0.00345806,0.11895573,0.39679185,0.00000000,0.26644554,0.18154622
-5.67583792,0.76018078,0.53552507,0.13303332,0.00385248,0.11460410,0.42208996,0.00000000,0.27514359,0.18046200
-5.66983492,0.79459794,0.56603651,0.14448606,0.00429933,0.11117481,0.44918281,0.00000000,0.28516090,0.18012079
-5.66383192,0.83376958,0.59667660,0.15722993,0.00479731,0.10874126,0.47797870,0.00000000,0.29648027,0.18054462
-5.65782891,0.87772190,0.62720576,0.17127106,0.00534444,0.10737128,0.50838115,0.00000000,0.30908131,0.18175270
-5.65182591,0.92644471,0.65740349,0.18660620,0.00593799,0.10712412,0.54028642,0.00000000,0.32293954,0.18375941
-5.64582291,0.97988029,0.68706967,0.20321965,0.00657449,0.10804775,0.57358023,0.00000000,0.33802550,0.18657242
-5.63981991,1.03791210,0.71602470,0.22107979,0.00724973,0.11017658,0.60813376,0.00000000,0.35430366,0.19019095
-5.63381691,1.10035408,0.74410828,0.24013568,0.00795876,0.11352960,0.64379921,0.00000000,0.37173141,0.19460422
-5.62781391,1.16694092,0.77117718,0.26031363,0.00869594,0.11810911,0.68040523,0.00000000,0.39025807,0.19979026
-5.62181091,1.23732019,0.79710212,0.28151419,0.00945504,0.12389994,0.71775260,0.00000000,0.40982412,0.20571502
-5.61580790,1.31104687,0.82176421,0.30360962,0.01022924,0.13086926,0.75561048,0.00000000,0.43036051,0.21233186
-5.60980490,1.38758095,0.84505109,0.32644226,0.01101131,0.13896704,0.79371381,0.00000000,0.45178837,0.21958156
-5.60380190,1.46628865,0.86685351,0.34982383,0.01179371,0.14812702,0.83176212,0.00000000,0.47401909,0.22739277
-5.59779890,1.54644777,0.88706234,0.37353601,0.01256870,0.15826821,0.86942020,0.00000000,0.49695476,0.23568298
-5.59179590,1.62725728,0.90556681,0.39733231,0.01332855,0.16929698,0.90632079,0.00000000,0.52048915,0.24436002
-5.58579290,1.70785148,0.92225387,0.42094137,0.01406566,0.18110942,0.94206968,0.00000000,0.54450922,0.25332406
-5.57978989,1.78731832,0.93700920,0.44407171,0.01477276,0.19359417,0.97625300,0.00000000,0.56889699,0.26247009
-5.57378689,1.86472160,0.94971985,0.46641787,0.01544304,0.20663534,1.00844691,0.00000000,0.59353203,0.27169078
-5.56778389,1.93912642,0.96027850,0.48766771,0.01607038,0.22011568,1.03822915,0.00000000,0.61829420,0.28087961
-5.56178089,2.00962682,0.96858916,0.50751072,0.01664945,0.23391956,1.06519229,0.00000000,0.64306665,0.28993422
-5.55577789,2.07537471,0.97457420,0.52564715,0.01717590,0.24793591,1.08895810,0.00000000,0.66773896,0.29875975
