energy_ev,total_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up,V_p_up,V_d_up
-6.00000000,4.83910250,0.07836761,2.74532488,0.44849476,0.00418678,2.31403446,1.23503787
-5.99399700,4.74640462,0.07650920,2.68866343,0.44697037,0.00408435,2.30844747,1.20031419
-5.98799400,4.65413609,0.07476199,2.63322358,0.44436815,0.00398204,2.30303222,1.16634591
-5.98199100,4.56239321,0.07314556,2.57897481,0.44075617,0.00388044,2.29739183,1.13333721
-5.97598799,4.47130145,0.07167504,2.52589355,0.43621880,0.00378014,2.29119428,1.10146652
-5.96998499,4.38099870,0.07036028,2.47395725,0.43085196,0.00368162,2.28416961,1.07087992
-5.96398199,4.29161989,0.06920537,2.42313926,0.42475836,0.00358537,2.27610537,1.04168632
-5.95797899,4.20328435,0.06820830,2.37340525,0.41804286,0.00349178,2.26684084,1.01395460
-5.95197599,4.11608655,0.06736105,2.32471122,0.41080829,0.00340117,2.25626059,0.98771302
-5.94597299,4.03009092,0.06664990,2.27700348,0.40315197,0.00331380,2.24428801,0.96295072
-5.93996998,3.94533098,0.06605601,2.23022057,0.39516293,0.00322989,2.23087925,0.93962131
-5.93396698,3.86181291,0.06555630,2.18429704,0.38692011,0.00314957,2.21601808,0.91764837
-5.92796398,3.77952323,0.06512451,2.13916905,0.37849151,0.00307295,2.19971205,0.89693259
-5.92196098,3.69844032,0.06473240,2.09478143,0.36993424,0.00300009,2.18199013,0.87736014
-5.91595798,3.61854900,0.06435108,2.05109586,0.36129543,0.00293104,2.16290201,0.85881203
-5.90995498,3.53985747,0.06395234,2.00809998,0.35261394,0.00286587,2.14251912,0.84117396
-5.90395198,3.46241562,0.06350999,1.96581666,0.34392257,0.00280464,2.12093706,0.82434619
-5.89794897,3.38633381,0.06300107,1.92431336,0.33525073,0.00274747,2.09827936,0.80825325
-5.89194597,3.31180078,0.06240698,1.88371072,0.32662719,0.00269452,2.07470200,0.79285274
-5.88594297,3.23909998,0.06171437,1.84419009,0.31808293,0.00264603,2.05039829,0.77814323
-5.87993997,3.16862285,0.06091584,1.80599944,0.30965368,0.00260233,2.02560342,0.76417058
-5.87393697,3.10087840,0.06001043,1.76945715,0.30138205,0.00256384,2.00059814,0.75103266
-5.86793397,3.03649791,0.05900378,1.73495329,0.29331910,0.00253109,1.97571084,0.73888204
-5.86193097,2.97623426,0.05790810,1.70294793,0.28552531,0.00250471,1.95131754,0.72792662
-5.85592796,2.92095524,0.05674189,1.67396633,0.27807070,0.00248544,1.92783929,0.71842793
-5.84992496,2.87163048,0.05552936,1.64859066,0.27103424,0.00247411,1.90573651,0.71069720
-5.84392196,2.82931221,0.05429971,1.62744840,0.26450250,0.00247161,1.88550034,0.70508903
-5.83791896,2.79510977,0.05308626,1.61119735,0.25856762,0.00247890,1.86764073,0.70199299
-5.83191596,2.77015871,0.05192533,1.60050758,0.25332471,0.00249692,1.85267184,0.70182304
-5.82591296,2.75558511,0.05085515,1.59604073,0.24886877,0.00252663,1.84109489,0.70500516
-5.81990995,2.75246622,0.04991461,1.59842717,0.24529137,0.00256891,1.83337935,0.71196349
-5.81390695,2.76178887,0.04914204,1.60824178,0.24267717,0.00262454,1.82994316,0.72310524
-5.80790395,2.78440691,0.04857400,1.62597909,0.24110055,0.00269415,1.83113286,0.73880483
-5.80190095,2.82099942,0.04824411,1.65202872,0.24062242,0.00277816,1.83720477,0.75938779
-5.79589795,2.87203135,0.04818195,1.68665199,0.24128751,0.00287678,1.84830802,0.78511479
-5.78989495,2.93771803,0.04841211,1.72996073,0.24312209,0.00298991,1.86447046,0.81616645
-5.78389195,3.01799535,0.04895333,1.78189916,0.24613239,0.00311718,1.88558820,0.85262940
-5.77788894,3.11249666,0.04981781,1.84222962,0.25030366,0.00325787,1.91141952,0.89448408
-5.77188594,3.22053782,0.05101070,1.91052301,0.25559999,0.00341090,1.94158336,0.94159494
-5.76588294,3.34111106,0.05252971,1.98615439,0.26196485,0.00357488,1.97556290,0.99370332
-5.75987994,3.47288832,0.05436498,2.06830430,0.26932219,0.00374805,2.01271390,1.05042358
-5.75387694,3.61423430,0.05649906,2.15596592,0.27757825,0.00392837,2.05227771,1.11124269
-5.74787394,3.76322913,0.05890713,2.24795816,0.28662373,0.00411349,2.09339852,1.17552369
-5.74187094,3.91770023,0.06155735,2.34294460,0.29633637,0.00430083,2.13514398,1.24251298
-5.73586793,4.07526265,0.06441141,2.43945777,0.30658368,0.00448762,2.17652859,1.31135159
-5.72986493,4.23336692,0.06742523,2.53592836,0.31722582,0.00467097,2.21653900,1.38109030
-5.72386193,4.38935317,0.07054983,2.63071863,0.32811840,0.00484794,2.25416006,1.45070834
-5.71785893,4.54051002,0.07373226,2.72215912,0.33911516,0.00501558,2.28840103,1.51913529
-5.71185593,4.68413679,0.07691673,2.80858766,0.35007041,0.00517104,2.31832079,1.58527574
-5.70585293,4.81760723,0.08004581,2.88838970,0.36084135,0.00531164,2.34305150,1.64803595
-5.69984992,4.93843297,0.08306161,2.96003862,0.37128997,0.00543491,2.36181982,1.70635182
-5.69384692,5.04432511,0.08590715,3.02213503,0.38128491,0.00553869,2.37396539,1.75921724
-5.68784392,5.13325201,0.08852761,3.07344364,0.39070299,0.00562118,2.37895587,1.80571206
-5.68184092,5.20349174,0.09087161,3.11292668,0.39943075,0.00568099,2.37639860,1.84502842
