energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,4.05739442,0.68027421,2.20610822,0.02139246,0.11046283,0.53315341,1.15428311,0.02875190,0.46918104
-5.99399700,4.07433830,0.68674687,2.23111933,0.02179150,0.10816962,0.52888043,1.14503034,0.02868291,0.47016423
-5.98799400,4.09194426,0.69293689,2.25731287,0.02208289,0.10584042,0.52370302,1.13646205,0.02850206,0.47047744
-5.98199100,4.10991060,0.69863909,2.28432725,0.02226196,0.10350319,0.51767939,1.12869789,0.02821149,0.47007848
-5.97598799,4.12787215,0.70365253,2.31175368,0.02232592,0.10118047,0.51087573,1.12182985,0.02781536,0.46893276
-5.96998499,4.14542288,0.70778722,2.33915613,0.02227389,0.09888917,0.50336541,1.11592180,0.02731965,0.46701549
-5.96398199,4.16213778,0.71087034,2.36609133,0.02210696,0.09664059,0.49522798,1.11100884,0.02673200,0.46431347
-5.95797899,4.17759268,0.71275159,2.39212729,0.02182813,0.09444074,0.48654786,1.10709649,0.02606149,0.46082639
-5.95197599,4.19138075,0.71330739,2.41685965,0.02144224,0.09229074,0.47741281,1.10415966,0.02531835,0.45656739
-5.94597299,4.20312503,0.71244387,2.43992459,0.02095580,0.09018748,0.46791211,1.10214166,0.02451365,0.45156312
-5.93996998,4.21248648,0.71009854,2.46100812,0.02037682,0.08812436,0.45813464,1.10095346,0.02365905,0.44585303
-5.93396698,4.21916745,0.70624047,2.47985117,0.01971457,0.08609207,0.44816680,1.10047327,0.02276648,0.43948815
-5.92796398,4.22291100,0.70086931,2.49625066,0.01897936,0.08407949,0.43809041,1.10054677,0.02184788,0.43252927
-5.92196098,4.22349652,0.69401300,2.51005673,0.01818221,0.08207446,0.42798068,1.10098830,0.02091493,0.42504479
-5.91595798,4.22073277,0.68572461,2.52116680,0.01733461,0.08006463,0.41790440,1.10158292,0.01997883,0.41710825
-5.90995498,4.21444914,0.67607840,2.52951711,0.01644822,0.07803820,0.40791839,1.10208981,0.01905016,0.40879576
-5.90395198,4.20448650,0.66516543,2.53507273,0.01553459,0.07598456,0.39806828,1.10224673,0.01813870,0.40018348
-5.89794897,4.19068864,0.65308903,2.53781688,0.01460494,0.07389480,0.38838781,1.10177585,0.01725336,0.39134523
-5.89194597,4.17289539,0.63996039,2.53774066,0.01366991,0.07176218,0.37889857,1.10039057,0.01640211,0.38235042
-5.88594297,4.15093822,0.62589446,2.53483393,0.01273939,0.06958241,0.36961033,1.09780332,0.01559198,0.37326246
-5.87993997,4.12463899,0.61100650,2.52907815,0.01182234,0.06735382,0.36052176,1.09373396,0.01482903,0.36413750
-5.87393697,4.09381213,0.59540919,2.52044177,0.01092675,0.06507743,0.35162179,1.08791865,0.01411844,0.35502381
-5.86793397,4.05827029,0.57921071,2.50887837,0.01005949,0.06275685,0.34289124,1.08011855,0.01346451,0.34596155
-5.86193097,4.01783323,0.56251345,2.49432793,0.00922634,0.06039818,0.33430489,1.07012828,0.01287077,0.33698316
-5.85592796,3.97233943,0.54541365,2.47672080,0.00843197,0.05800968,0.32583366,1.05778353,0.01233998,0.32811402
-5.84992496,3.92165970,0.52800160,2.45598439,0.00768000,0.05560149,0.31744703,1.04296764,0.01187425,0.31937353
-5.84392196,3.86571194,0.51036244,2.43205179,0.00697305,0.05318522,0.30911533,1.02561672,0.01147505,0.31077643
-5.83791896,3.80447615,0.49257742,2.40487203,0.00631286,0.05077350,0.30081201,1.00572323,0.01114327,0.30233425
-5.83191596,3.73800866,0.47472524,2.37442102,0.00570034,0.04837959,0.29251562,0.98333777,0.01087930,0.29405678
-5.82591296,3.66645493,0.45688366,2.34071261,0.00513574,0.04601686,0.28421154,0.95856907,0.01068298,0.28595354
-5.81990995,3.59005983,0.43913085,2.30380902,0.00461875,0.04369840,0.27589334,0.93158223,0.01055368,0.27803510
-5.81390695,3.50917521,0.42154669,2.26383010,0.00414860,0.04143660,0.26756372,0.90259528,0.01049033,0.27031426
-5.80790395,3.42426403,0.40421367,2.22096074,0.00372419,0.03924284,0.25923512,0.87187433,0.01049142,0.26280693
-5.80190095,3.33590112,0.38721751,2.17545614,0.00334423,0.03712715,0.25092984,0.83972754,0.01055504,0.25553288
-5.79589795,3.24477036,0.37064736,2.12764468,0.00300726,0.03509808,0.24267991,0.80649817,0.01067893,0.24851615
-5.78989495,3.15165864,0.35459571,2.07792817,0.00271180,0.03316252,0.23452651,0.77255713,0.01086054,0.24178532
