energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,1.96829117,0.01273998,0.22437185,0.01401384,0.00000000,1.21048269,0.60444498,1.04750837,0.00000000
-5.99399700,1.97020419,0.01280572,0.22840502,0.01399792,0.00000000,1.20900965,0.60655303,1.04281915,0.00000000
-5.98799400,1.96116017,0.01279281,0.23124647,0.01390444,0.00000000,1.20121493,0.60520000,1.03228410,0.00000000
-5.98199100,1.94145465,0.01270208,0.23287531,0.01373653,0.00000000,1.18742234,0.60043392,1.01616224,0.00000000
-5.97598799,1.91159878,0.01253626,0.23329626,0.01349884,0.00000000,1.16807842,0.59237343,0.99482411,0.00000000
-5.96998499,1.87230278,0.01229998,0.23253945,0.01319745,0.00000000,1.14373825,0.58120368,0.96874023,0.00000000
-5.96398199,1.82445414,0.01199962,0.23065943,0.01283963,0.00000000,1.11504814,0.56717032,0.93846699,0.00000000
-5.95797899,1.76909135,0.01164321,0.22773328,0.01243374,0.00000000,1.08272578,0.55057201,0.90463080,0.00000000
-5.95197599,1.70737408,0.01124022,0.22385797,0.01198892,0.00000000,1.04753859,0.53175158,0.86791080,0.00000000
-5.94597299,1.64055103,0.01080135,0.21914706,0.01151490,0.00000000,1.01028099,0.51108622,0.82902103,0.00000000
-5.93996998,1.56992638,0.01033831,0.21372685,0.01102173,0.00000000,0.97175161,0.48897706,0.78869244,0.00000000
-5.93396698,1.49682632,0.00986349,0.20773213,0.01051958,0.00000000,0.93273104,0.46583852,0.74765560,0.00000000
-5.92796398,1.42256658,0.00938971,0.20130171,0.01001849,0.00000000,0.89396101,0.44208780,0.70662452,0.00000000
-5.92196098,1.34842215,0.00892992,0.19457403,0.00952817,0.00000000,0.85612578,0.41813490,0.66628200,0.00000000
-5.91595798,1.27560003,0.00849690,0.18768281,0.00905784,0.00000000,0.81983622,0.39437350,0.62726702,0.00000000
