energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,6.69942813,0.03548712,0.27134223,0.99459186,0.50746313,1.60243105,4.04088434,2.17712915,0.00000000
-5.99399700,6.83037032,0.03530730,0.26849092,1.01969251,0.51634645,1.66631392,4.11858905,2.22943939,0.00000000
-5.98799400,6.98693517,0.03509838,0.26755709,1.04652718,0.52846696,1.73891510,4.21104624,2.29101608,0.00000000
-5.98199100,7.16905188,0.03485355,0.26854207,1.07503073,0.54397160,1.82020967,4.31807264,2.36190180,0.00000000
-5.97598799,7.37632101,0.03456803,0.27141596,1.10511654,0.56295421,1.91000510,4.43932871,2.44198775,0.00000000
-5.96998499,7.60797085,0.03423929,0.27611447,1.13667035,0.58544747,2.00792502,4.57429999,2.53099647,0.00000000
-5.96398199,7.86281946,0.03386710,0.28253693,1.16954397,0.61141639,2.11339724,4.72227988,2.62846818,0.00000000
-5.95797899,8.13924466,0.03345359,0.29054540,1.20354942,0.64075366,2.22564734,4.88235468,2.73375152,0.00000000
-5.95197599,8.43516457,0.03300320,0.29996527,1.23845411,0.67327728,2.34369854,5.05339196,2.84599963,0.00000000
-5.94597299,8.74803075,0.03252247,0.31058728,1.27397744,0.70873062,2.46637862,5.23403336,2.96417234,0.00000000
-5.93996998,9.07483599,0.03201982,0.32217091,1.30978951,0.74678522,2.59233429,5.42269275,3.08704504,0.00000000
-5.93396698,9.41213814,0.03150523,0.33444928,1.34551218,0.78704641,2.72005332,5.61756073,3.21322449,0.00000000
-5.92796398,9.75610090,0.03098980,0.34713521,1.38072290,0.82906155,2.84789411,5.81661636,3.34117179,0.00000000
-5.92196098,10.10255166,0.03048532,0.35992845,1.41496127,0.87233094,2.97412218,6.01764650,3.46923201,0.00000000
-5.91595798,10.44705576,0.03000380,0.37252369,1.44773847,0.91632103,3.09695269,6.21827325,3.59567018,0.00000000
-5.90995498,10.78500568,0.02955698,0.38461917,1.47854914,0.96047944,3.21459763,6.41598927,3.71871236,0.00000000
-5.90395198,11.11172267,0.02915583,0.39592543,1.50688535,1.00425137,3.32531593,6.60820046,3.83659078,0.00000000
-5.89794897,11.42256762,0.02881016,0.40617403,1.53225208,1.04709678,3.42746471,6.79227527,3.94759125,0.00000000
-5.89194597,11.71305731,0.02852824,0.41512571,1.55418345,1.08850743,3.51954942,6.96559918,4.05010115,0.00000000
-5.88594297,11.97898155,0.02831649,0.42257767,1.57225888,1.12802342,3.60027065,7.12563277,4.14265599,0.00000000
-5.87993997,12.21651644,0.02817931,0.42836972,1.58611833,1.16524806,3.66856563,7.26997132,4.22398240,0.00000000
-5.87393697,12.42232906,0.02811899,0.43238896,1.59547582,1.19986072,3.72364222,7.39640388,4.29303585,0.00000000
