energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,9.28211956,0.35597691,0.47836545,0.13903786,0.03810288,0.06667979,1.19921285,0.24884370,6.71205419
-5.99399700,9.03609841,0.35492698,0.46507775,0.13883435,0.03747261,0.06863071,1.18640237,0.24474123,6.49313882
-5.98799400,8.80601563,0.35557135,0.45226877,0.13823962,0.03697123,0.07064781,1.17423387,0.24060191,6.28926639
-5.98199100,8.58941603,0.35807784,0.44010854,0.13722683,0.03658957,0.07273609,1.16308133,0.23644747,6.09752708
-5.97598799,8.38441703,0.36262785,0.42877600,0.13577848,0.03632025,0.07490629,1.15338216,0.23231871,5.91543851
-5.96998499,8.18975810,0.36941527,0.41845580,0.13388773,0.03615805,0.07717511,1.14563196,0.22827581,5.74099795
-5.96398199,8.00482214,0.37864436,0.40933467,0.13155942,0.03610020,0.07956525,1.14037653,0.22439778,5.57271337
-5.95797899,7.82962873,0.39052655,0.40159736,0.12881063,0.03614641,0.08210511,1.13820099,0.22078107,5.40961295
-5.95197599,7.66480007,0.40527630,0.39542235,0.12567077,0.03629885,0.08482820,1.13971633,0.21753725,5.25123372
-5.94597299,7.51150154,0.42310598,0.39097724,0.12218129,0.03656192,0.08777226,1.14554362,0.21478994,5.09759076
-5.93996998,7.37135967,0.44421996,0.38841420,0.11839480,0.03694192,0.09097795,1.15629630,0.21267104,4.94912901
-5.93396698,7.24636103,0.46880794,0.38786527,0.11437384,0.03744657,0.09448742,1.17256086,0.21131633,4.80666035
-5.92796398,7.13873620,0.49703787,0.38943792,0.11018930,0.03808443,0.09834253,1.19487660,0.21086064,4.67128890
-5.92196098,7.05083352,0.52904843,0.39321072,0.10591846,0.03886431,0.10258287,1.22371487,0.21143281,4.54432799
-5.91595798,6.98498715,0.56494144,0.39922943,0.10164279,0.03979452,0.10724370,1.25945861,0.21315045,4.42721222
-5.90995498,6.94338480,0.60477426,0.40750350,0.09744561,0.04088224,0.11235382,1.30238257,0.21611484,4.32140804
-5.90395198,6.92793950,0.64855256,0.41800315,0.09340970,0.04213277,0.11793349,1.35263516,0.22040606,4.22832628
-5.89794897,6.94017035,0.69622352,0.43065708,0.08961488,0.04354892,0.12399246,1.41022240,0.22607855,4.14923964
-5.89194597,6.98109632,0.74766975,0.44535107,0.08613568,0.04513040,0.13052823,1.47499472,0.23315731,4.08520811
-5.88594297,7.05114664,0.80270417,0.46192729,0.08303922,0.04687332,0.13752463,1.54663712,0.24163487,4.03701437
-5.87993997,7.15009112,0.86106603,0.48018473,0.08038332,0.04876983,0.14495077,1.62466328,0.25146904,4.00511133
-5.87393697,7.27699243,0.92241826,0.49988061,0.07821484,0.05080782,0.15276044,1.70841410,0.26258183,3.98958306
-5.86793397,7.43018208,0.98634632,0.52073286,0.07656847,0.05297085,0.16089201,1.79706083,0.27485927,3.99011994
-5.86193097,7.60726084,1.05235881,0.54242378,0.07546574,0.05523813,0.16926886,1.88961312,0.28815245,4.00600841
