energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,2.90157327,0.62662514,1.82513744,0.00558698,0.16149980,0.49006167,0.45209403,0.33423463,0.00000000
-5.99399700,2.81849816,0.60658723,1.76001158,0.00615131,0.15916443,0.48541388,0.44526955,0.32855416,0.00000000
-5.98799400,2.74230117,0.58767488,1.69731262,0.00675805,0.15737318,0.48303066,0.44084417,0.32446247,0.00000000
-5.98199100,2.67302521,0.56996241,1.63733170,0.00740118,0.15608073,0.48271568,0.43867036,0.32189021,0.00000000
-5.97598799,2.61049619,0.55347816,1.58025752,0.00807321,0.15522790,0.48421190,0.43855049,0.32072095,0.00000000
-5.96998499,2.55433156,0.53820548,1.52617437,0.00876537,0.15474344,0.48720954,0.44024130,0.32079537,0.00000000
-5.96398199,2.50395645,0.52408536,1.47506426,0.00946767,0.15454612,0.49135584,0.44345997,0.32191668,0.00000000
-5.95797899,2.45862700,0.51102067,1.42681306,0.01016917,0.15454712,0.49626622,0.44789178,0.32385752,0.00000000
-5.95197599,2.41746036,0.49888179,1.38122053,0.01085821,0.15465246,0.50153659,0.45319905,0.32636789,0.00000000
-5.94597299,2.37947030,0.48751357,1.33801379,0.01152270,0.15476579,0.50675639,0.45903119,0.32918387,0.00000000
-5.93996998,2.34360712,0.47674316,1.29686366,0.01215050,0.15479113,0.51152197,0.46503544,0.33203700,0.00000000
-5.93396698,2.30880050,0.46638852,1.25740316,0.01272977,0.15463570,0.51544990,0.47086814,0.33466384,0.00000000
-5.92796398,2.27400346,0.45626727,1.21924736,0.01324936,0.15421269,0.51818973,0.47620581,0.33681551,0.00000000
-5.92196098,2.23823568,0.44620548,1.18201356,0.01369917,0.15344395,0.51943574,0.48075598,0.33826675,0.00000000
-5.91595798,2.20062455,0.43604593,1.14534103,0.01407057,0.15226238,0.51893723,0.48426708,0.33882420,0.00000000
-5.90995498,2.16044204,0.42565578,1.10890943,0.01435668,0.15061408,0.51650704,0.48653724,0.33833371,0.00000000
-5.90395198,2.11713610,0.41493304,1.07245490,0.01455265,0.14846011,0.51202781,0.48742150,0.33668614,0.00000000
-5.89794897,2.07035510,0.40381174,1.03578348,0.01465592,0.14577770,0.50545588,0.48683726,0.33382174,0.00000000
-5.89194597,2.01996454,0.39226556,0.99878101,0.01466634,0.14256103,0.49682261,0.48476777,0.32973262,0.00000000
-5.88594297,1.96605534,0.38030983,0.96141939,0.01458623,0.13882132,0.48623296,0.48126344,0.32446346,0.00000000
-5.87993997,1.90894341,0.36800173,0.92375887,0.01442033,0.13458648,0.47386159,0.47644111,0.31811032,0.00000000
-5.87393697,1.84916078,0.35543888,0.88594653,0.01417577,0.12989999,0.45994640,0.47048117,0.31081758,0.00000000
-5.86793397,1.78743866,0.34275623,0.84821102,0.01386179,0.12481940,0.44477998,0.46362274,0.30277323,0.00000000
-5.86193097,1.72468335,0.33012151,0.81085397,0.01348952,0.11941419,0.42869922,0.45615706,0.29420251,0.00000000
-5.85592796,1.66194596,0.31772941,0.77423853,0.01307163,0.11376337,0.41207341,0.44841944,0.28536041,0.00000000
-5.84992496,1.60038737,0.30579477,0.73877569,0.01262194,0.10795265,0.39529154,0.44077984,0.27652300,0.00000000
-5.84392196,1.54123978,0.29454495,0.70490883,0.01215499,0.10207148,0.37874911,0.43363273,0.26797817,0.00000000
-5.83791896,1.48576630,0.28421188,0.67309743,0.01168560,0.09621008,0.36283499,0.42738622,0.26001597,0.00000000
-5.83191596,1.43522014,0.27502379,0.64380040,0.01122839,0.09045637,0.34791885,0.42245106,0.25291882,0.00000000
-5.82591296,1.39080469,0.26719722,0.61745972,0.01079736,0.08489328,0.33433966,0.41922970,0.24695212,0.00000000
-5.81990995,1.35363595,0.26092934,0.59448501,0.01040542,0.07959616,0.32239549,0.41810577,0.24235534,0.00000000
-5.81390695,1.32470826,0.25639096,0.57523942,0.01006405,0.07463070,0.31233506,0.41943420,0.23933395,0.00000000
-5.80790395,1.30486436,0.25372033,0.56002737,0.00978293,0.07005118,0.30435126,0.42353228,0.23805247,0.00000000
-5.80190095,1.29477049,0.25301807,0.54908434,0.00956966,0.06589931,0.29857670,0.43067188,0.23862871,0.00000000
-5.79589795,1.29489711,0.25434319,0.54256888,0.00942957,0.06220349,0.29508145,0.44107291,0.24112946,0.00000000
-5.78989495,1.30550540,0.25771036,0.54055709,0.00936554,0.05897866,0.29387284,0.45489816,0.24556772,0.00000000
-5.78389195,1.32663991,0.26308863,0.54303948,0.00937800,0.05622657,0.29489738,0.47224970,0.25190148,0.00000000
-5.77788894,1.35812706,0.27040137,0.54992021,0.00946485,0.05393660,0.29804437,0.49316670,0.26003412,0.00000000
-5.77188594,1.39957942,0.27952767,0.56101853,0.00962164,0.05208689,0.30315131,0.51762478,0.26981650,0.00000000
-5.76588294,1.45040541,0.29030500,0.57607231,0.00984167,0.05064585,0.31001048,0.54553681,0.28105046,0.00000000
-5.75987994,1.50982387,0.30253314,0.59474351,0.01011622,0.04957397,0.31837670,0.57675498,0.29349393,0.00000000
-5.75387694,1.57688303,0.31597924,0.61662517,0.01043485,0.04882579,0.32797570,0.61107418,0.30686733,0.00000000
-5.74787394,1.65048312,0.33038391,0.64124994,0.01078573,0.04835197,0.33851302,0.64823633,0.32086108,0.00000000
-5.74187094,1.72940204,0.34546815,0.66809959,0.01115601,0.04810141,0.34968286,0.68793564,0.33514415,0.00000000
-5.73586793,1.81232319,0.36094092,0.69661557,0.01153223,0.04802338,0.36117676,0.72982453,0.34937338,0.00000000
-5.72986493,1.89786489,0.37650720,0.72621005,0.01190070,0.04806951,0.37269186,0.77351999,0.36320311,0.00000000
-5.72386193,1.98461038,0.39187624,0.75627751,0.01224798,0.04819563,0.38393832,0.81861029,0.37629513,0.00000000
-5.71785893,2.07113786,0.40676983,0.78620630,0.01256124,0.04836338,0.39464590,0.86466171,0.38832844,0.00000000
-5.71185593,2.15604974,0.42093024,0.81539036,0.01282865,0.04854166,0.40456947,0.91122535,0.39900849,0.00000000
-5.70585293,2.23800054,0.43412770,0.84324046,0.01303973,0.04870767,0.41349337,0.95784363,0.40807575,0.00000000
-5.69984992,2.31572272,0.44616700,0.86919517,0.01318564,0.04884777,0.42123456,1.00405670,0.41531311,0.00000000
-5.69384692,2.38805007,0.45689321,0.89273109,0.01325940,0.04895792,0.42764467,1.04940849,0.42055203,0.00000000
-5.68784392,2.45393826,0.46619609,0.91337232,0.01325606,0.04904386,0.43261082,1.09345253,0.42367711,0.00000000
-5.68184092,2.51248215,0.47401319,0.93069903,0.01317281,0.04912092,0.43605553,1.13575754,0.42462891,0.00000000
-5.67583792,2.56292981,0.48033140,0.94435482,0.01300895,0.04921353,0.43793570,1.17591284,0.42340498,0.00000000
-5.66983492,2.60469297,0.48518699,0.95405309,0.01276587,0.04935443,0.43824083,1.21353366,0.42005908,0.00000000
-5.66383192,2.63735412,0.48866396,0.95958184,0.01244692,0.04958357,0.43699075,1.24826639,0.41469858,0.00000000
-5.65782891,2.66067010,0.49089100,0.96080730,0.01205724,0.04994682,0.43423290,1.27979392,0.40748013,0.00000000
-5.65182591,2.67457245,0.49203685,0.95767586,0.01160347,0.05049440,0.43003941,1.30784097,0.39860394,0.00000000
-5.64582291,2.67916470,0.49230452,0.95021461,0.01109355,0.05127917,0.42450413,1.33217941,0.38830681,0.00000000
-5.63981991,2.67471666,0.49192438,0.93853017,0.01053634,0.05235480,0.41773970,1.35263356,0.37685416,0.00000000
-5.63381691,2.66165614,0.49114653,0.92280599,0.00994137,0.05377380,0.40987476,1.36908529,0.36453159,0.00000000
-5.62781391,2.64055817,0.49023263,0.90329807,0.00931848,0.05558563,0.40105148,1.38147872,0.35163607,0.00000000
-5.62181091,2.61213202,0.48944768,0.88032914,0.00867756,0.05783475,0.39142322,1.38982429,0.33846732,0.00000000
-5.61580790,2.57720630,0.48905195,0.85428148,0.00802821,0.06055879,0.38115257,1.39420191,0.32531961,0.00000000
-5.60980490,2.53671222,0.48929346,0.82558842,0.00737955,0.06378686,0.37040962,1.39476294,0.31247429,0.00000000
-5.60380190,2.49166551,0.49040138,0.79472479,0.00673998,0.06753809,0.35937039,1.39173058,0.30019332,0.00000000
-5.59779890,2.44314691,0.49258057,0.76219653,0.00611704,0.07182040,0.34821542,1.38539859,0.28871398,0.00000000
-5.59179590,2.39228186,0.49600742,0.72852965,0.00551727,0.07662954,0.33712847,1.37612780,0.27824494,0.00000000
-5.58579290,2.34021935,0.50082741,0.69425890,0.00494615,0.08194857,0.32629514,1.36434067,0.26896364,0.00000000
-5.57978989,2.28811052,0.50715408,0.65991644,0.00440807,0.08774759,0.31590143,1.35051340,0.26101517,0.00000000
