energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,3.73059465,0.16879751,0.00780384,0.34870996,4.09232766,1.10166415,0.06192173,1.73597946
-5.99399700,3.87017428,0.17472823,0.00856713,0.35431897,4.12613038,1.16949555,0.06354231,1.80715194
-5.98799400,4.01855210,0.18081357,0.00938051,0.36010467,4.16162475,1.24227972,0.06526332,1.88209702
-5.98199100,4.17387002,0.18696186,0.01023744,0.36600312,4.19867662,1.31896234,0.06706723,1.96000214
-5.97598799,4.33392088,0.19306833,0.01113072,0.37193206,4.23687305,1.39836137,0.06893037,2.03987985
-5.96998499,4.49617260,0.19901774,0.01205271,0.37778945,4.27550950,1.47918290,0.07082330,2.12057989
-5.96398199,4.65780875,0.20468781,0.01299539,0.38345365,4.31359316,1.56004239,0.07271132,2.20080886
-5.95797899,4.81578464,0.20995288,0.01395059,0.38878494,4.34986264,1.63949087,0.07455533,2.27915722
-5.95197599,4.96689730,0.21468805,0.01491022,0.39362858,4.38282301,1.71604548,0.07631286,2.35413286
-5.94597299,5.10786707,0.21877326,0.01586650,0.39781895,4.41079476,1.78822339,0.07793930,2.42420011
-5.93996998,5.23542785,0.22209743,0.01681216,0.40118478,4.43197422,1.85457794,0.07938924,2.48782305
-5.93396698,5.34642246,0.22456225,0.01774075,0.40355508,4.44450274,1.91373583,0.08061801,2.54351129
-5.92796398,5.43789939,0.22608560,0.01864678,0.40476547,4.44654120,1.96443400,0.08158308,2.58986652
-5.92196098,5.50720687,0.22660441,0.01952593,0.40466471,4.43634646,2.00555472,0.08224561,2.62562796
-5.91595798,5.55208026,0.22607678,0.02037518,0.40312087,4.41234599,2.03615756,0.08257176,2.64971466
-5.90995498,5.57071900,0.22448339,0.02119282,0.40002714,4.37320719,2.05550699,0.08253397,2.66126301
-5.90395198,5.56184972,0.22182808,0.02197850,0.39530673,4.31789825,2.06309430,0.08211194,2.65965760
-5.89794897,5.52477275,0.21813754,0.02273305,0.38891680,4.24573773,2.05865310,0.08129342,2.64455433
-5.89194597,5.45938996,0.21346030,0.02345840,0.38085118,4.15643061,2.04216765,0.08007471,2.61589444
-5.88594297,5.36621279,0.20786488,0.02415727,0.37114174,4.05008947,2.01387359,0.07846084,2.57390914
-5.87993997,5.24635025,0.20143737,0.02483284,0.35985850,3.92723994,1.97425121,0.07646546,2.51911456
-5.87393697,5.10147753,0.19427847,0.02548846,0.34710833,3.78881059,1.92401149,0.07411044,2.45229728
-5.86793397,4.93378694,0.18650006,0.02612716,0.33303241,3.63610798,1.86407556,0.07142513,2.37449139
-5.86193097,4.74592360,0.17822169,0.02675132,0.31780269,3.47077853,1.79554861,0.06844545,2.28694796
-5.85592796,4.54090901,0.16956685,0.02736225,0.30161740,3.29475922,1.71968939,0.06521275,2.19109876
-5.84992496,4.32205619,0.16065941,0.02795983,0.28469592,3.11021967,1.63787668,0.06177249,2.08851567
-5.84392196,4.09288026,0.15162020,0.02854228,0.26727333,2.91949867,1.55157429,0.05817286,1.98086791
-5.83791896,3.85700854,0.14256400,0.02910594,0.24959472,2.72503792,1.46229602,0.05446339,1.86987885
-5.83191596,3.61809397,0.13359692,0.02964519,0.23190978,2.52931623,1.37157203,0.05069352,1.75728445
-5.82591296,3.37973528,0.12481434,0.03015250,0.21446766,2.33478669,1.28091798,0.04691132,1.64479481
-5.81990995,3.14540685,0.11629939,0.03061863,0.19751241,2.14381944,1.19180787,0.04316230,1.53406041
-5.81390695,2.91840038,0.10812204,0.03103286,0.18127918,1.95865194,1.10565151,0.03948839,1.42664390
-5.80790395,2.70177963,0.10033872,0.03138346,0.16599113,1.78134810,1.02377693,0.03592717,1.32399827
-5.80190095,2.49834886,0.09299253,0.03165812,0.15185733,1.61376724,0.94741800,0.03251120,1.22745151
-5.79589795,2.31063430,0.08611393,0.03184456,0.13907128,1.45754292,0.87770688,0.02926771,1.13819755
-5.78989495,2.14087767,0.07972175,0.03193113,0.12781041,1.31407147,0.81567097,0.02621839,1.05729293
-5.78389195,1.99103968,0.07382459,0.03190737,0.11823596,1.18450930,0.76223334,0.02337948,0.98565826
-5.77788894,1.86281117,0.06842237,0.03176465,0.11049355,1.06977763,0.71821586,0.02076191,0.92408323
-5.77188594,1.75762902,0.06350802,0.03149663,0.10471386,0.97057325,0.68434370,0.01837176,0.87323395
-5.76588294,1.67669403,0.05906913,0.03109974,0.10101352,0.88738338,0.66125021,0.01621066,0.83366103
-5.75987994,1.62098793,0.05508956,0.03057340,0.09949581,0.82050299,0.64948094,0.01427639,0.80580726
-5.75387694,1.59128687,0.05155083,0.02992026,0.10025117,0.77005262,0.64949584,0.01256349,0.79001346
-5.74787394,1.58816946,0.04843338,0.02914620,0.10335722,0.73599550,0.66166885,0.01106389,0.78652168
-5.74187094,1.61201795,0.04571750,0.02826016,0.10887831,0.71815230,0.68628439,0.00976749,0.79547507
-5.73586793,1.66301163,0.04338400,0.02727392,0.11686446,0.71621303,0.72353044,0.00866276,0.81691397
-5.72986493,1.74111285,0.04141465,0.02620168,0.12734976,0.72974530,0.77348855,0.00773725,0.85076859
-5.72386193,1.84604633,0.03979229,0.02505956,0.14035022,0.75819897,0.83612106,0.00697801,0.89684850
-5.71785893,1.97727352,0.03850084,0.02386502,0.15586125,0.80090765,0.91125656,0.00637199,0.95482997
-5.71185593,2.13396443,0.03752500,0.02263624,0.17385483,0.85708765,0.99857458,0.00590634,1.02424232
-5.70585293,2.31496959,0.03684994,0.02139149,0.19427666,0.92583543,1.09759098,0.00556856,1.10445466
-5.69984992,2.51879564,0.03646091,0.02014849,0.21704355,1.00612502,1.20764543,0.00534673,1.19466476
-5.69384692,2.74358768,0.03634279,0.01892384,0.24204106,1.09680661,1.32789276,0.00522957,1.29389162
-5.68784392,2.98712167,0.03647986,0.01773257,0.26912198,1.19660797,1.45729946,0.00520646,1.40097330
-5.68184092,3.24681003,0.03685547,0.01658766,0.29810552,1.30413997,1.59464682,0.00526750,1.51457169
-5.67583792,3.51972252,0.03745210,0.01549981,0.32877769,1.41790747,1.73854193,0.00540349,1.63318507
-5.66983492,3.80262431,0.03825138,0.01447726,0.36089275,1.53632649,1.88743700,0.00560591,1.75516938
-5.66383192,4.09203186,0.03923448,0.01352569,0.39417607,1.65774818,2.03965760,0.00586694,1.87876860
-5.65782891,4.38428635,0.04038262,0.01264834,0.42832817,1.78048979,2.19343946,0.00617943,2.00215380
-5.65182591,4.67564337,0.04167776,0.01184611,0.46303009,1.90287223,2.34697320,0.00653699,2.12347027
-5.64582291,4.96237633,0.04310349,0.01111789,0.49794976,2.02326342,2.49845578,0.00693398,2.24089137
-5.63981991,5.24089036,0.04464601,0.01046081,0.53274945,2.14012618,2.64614690,0.00736561,2.35267724
-5.63381691,5.50784224,0.04629517,0.00987062,0.56709374,2.25206894,2.78842827,0.00782804,2.45723629
-5.62781391,5.76026155,0.04804560,0.00934214,0.60065798,2.35789723,2.92386335,0.00831853,2.55318664
-5.62181091,5.99566752,0.04989767,0.00886960,0.63313674,2.45666364,3.05125470,0.00883549,2.63941494
-5.61580790,6.21217619,0.05185847,0.00844710,0.66425208,2.54771389,3.16969640,0.00937872,2.71512955
-5.60980490,6.40859227,0.05394253,0.00806891,0.69376111,2.63072643,3.27861872,0.00994946,2.77990543
-5.60380190,6.58448074,0.05617232,0.00772980,0.72146273,2.70574341,3.37782258,0.01055051,2.83371801
-5.59779890,6.74021379,0.05857849,0.00742533,0.74720309,2.77319062,3.46750169,0.01118638,2.87696396
-5.59179590,6.87698964,0.06119970,0.00715201,0.77087970,2.83388493,3.54825062,0.01186323,2.91046715
