energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,2.59243993,0.00247602,0.67239050,0.70787629,0.22253396,0.01066981,0.68478567,1.94742451,0.71624963
-5.99399700,2.58750744,0.00238473,0.67741610,0.70045605,0.21651882,0.01094025,0.67811556,1.97406401,0.71460839
-5.98799400,2.58545121,0.00231550,0.68270833,0.69474719,0.21081686,0.01128241,0.67337507,2.00155851,0.71316045
-5.98199100,2.58691959,0.00226671,0.68830793,0.69102348,0.20558177,0.01170272,0.67087175,2.02997946,0.71201550
-5.97598799,2.59244068,0.00223703,0.69422407,0.68952123,0.20096149,0.01220617,0.67087936,2.05930343,0.71125316
-5.96998499,2.60239476,0.00222543,0.70043182,0.69042808,0.19709278,0.01279603,0.67362438,2.08940365,0.71091921
-5.96398199,2.61699357,0.00223111,0.70687124,0.69387399,0.19409616,0.01347360,0.67927428,2.12004681,0.71102365
-5.95797899,2.63626745,0.00225340,0.71344829,0.69992484,0.19207169,0.01423797,0.68792832,2.15089545,0.71154069
-5.95197599,2.66006111,0.00229172,0.72003747,0.70857891,0.19109544,0.01508585,0.69961116,2.18151626,0.71241072
-5.94597299,2.68803812,0.00234548,0.72648629,0.71976636,0.19121701,0.01601153,0.71426952,2.21139394,0.71354406
-5.93996998,2.71969404,0.00241405,0.73262120,0.73335163,0.19245805,0.01700682,0.73177230,2.23995005,0.71482635
-5.93396698,2.75437762,0.00249665,0.73825493,0.74913894,0.19481189,0.01806115,0.75191398,2.26656624,0.71612534
-5.92796398,2.79131909,0.00259233,0.74319473,0.76688031,0.19824431,0.01916176,0.77442135,2.29061057,0.71729867
-5.92196098,2.82966429,0.00269994,0.74725127,0.78628610,0.20269535,0.02029392,0.79896321,2.31146573,0.71820214
-5.91595798,2.86851310,0.00281805,0.75024767,0.80703750,0.20808213,0.02144134,0.82516289,2.32855783,0.71869836
-5.90995498,2.90696044,0.00294501,0.75202835,0.82880043,0.21430261,0.02258655,0.85261272,2.34138417,0.71866497
-5.90395198,2.94413798,0.00307889,0.75246714,0.85124039,0.22123998,0.02371140,0.88089027,2.34953868,0.71800234
-5.89794897,2.97925468,0.00321755,0.75147439,0.87403753,0.22876778,0.02479765,0.90957533,2.35273368,0.71664019
-5.89194597,3.01163437,0.00335863,0.74900268,0.89690134,0.23675529,0.02582751,0.93826705,2.35081680,0.71454294
-5.88594297,3.04074853,0.00349964,0.74505087,0.91958434,0.24507308,0.02678424,0.96660040,2.34378216,0.71171343
-5.87993997,3.06624304,0.00363800,0.73966628,0.94189405,0.25359852,0.02765271,0.99426125,2.33177531,0.70819503
-5.87393697,3.08795731,0.00377111,0.73294496,0.96370285,0.26222101,0.02841991,1.02099931,2.31509144,0.70407186
-5.86793397,3.10593524,0.00389641,0.72502995,0.98495501,0.27084658,0.02907544,1.04663835,2.29416713,0.69946722
-5.86193097,3.12042724,0.00401151,0.71610761,1.00567083,0.27940187,0.02961181,1.07108315,2.26956582,0.69454029
-5.85592796,3.13188323,0.00411423,0.70640228,1.02594732,0.28783715,0.03002474,1.09432282,2.24195785,0.68948127
-5.84992496,3.14093695,0.00420266,0.69616931,1.04595552,0.29612823,0.03031324,1.11643043,2.21209583,0.68450508
-5.84392196,3.14838201,0.00427527,0.68568689,1.06593445,0.30427732,0.03047961,1.13755868,2.18078671,0.67984399
-5.83791896,3.15514095,0.00433096,0.67524694,1.08618179,0.31231257,0.03052929,1.15793204,2.14886170,0.67573939
-5.83191596,3.16222830,0.00436906,0.66514550,1.10704173,0.32028642,0.03047059,1.17783561,2.11714555,0.67243309
-5.82591296,3.17070953,0.00438938,0.65567285,1.12889041,0.32827287,0.03031424,1.19760107,2.08642648,0.67015846
-5.81990995,3.18165731,0.00439224,0.64710394,1.15211945,0.33636357,0.03007298,1.21759067,2.05742829,0.66913171
-5.81390695,3.19610723,0.00437841,0.63968928,1.17711836,0.34466313,0.02976089,1.23817968,2.03078564,0.66954372
-5.80790395,3.21501460,0.00434911,0.63364680,1.20425645,0.35328372,0.02939286,1.25973829,2.00702369,0.67155264
-5.80190095,3.23921426,0.00430593,0.62915487,1.23386508,0.36233916,0.02898389,1.28261383,1.98654286,0.67527762
-5.79589795,3.26938504,0.00425081,0.62634670,1.26622089,0.37193895,0.02854851,1.30711396,1.96960910,0.68079375
-5.78989495,3.30602022,0.00418591,0.62530638,1.30153086,0.38218225,0.02810018,1.33349163,1.95635009,0.68812857
-5.78389195,3.34940520,0.00411356,0.62606660,1.33991972,0.39315229,0.02765082,1.36193262,1.94675715,0.69726006
