energy_ev,total_up,Au_p_up,Au_d_up,Pb_p_up,Pb_d_up,Te_p_up,Te_d_up
-6.00000000,2.16451158,0.35886447,1.71199324,0.08915100,0.00348363,0.29775720,0.00000000
-5.99399700,2.16624304,0.36004373,1.71497838,0.09039563,0.00352332,0.29202660,0.00000000
-5.98799400,2.18928926,0.36561182,1.73450200,0.09295964,0.00358412,0.28936502,0.00000000
-5.98199100,2.23335996,0.37559906,1.77030489,0.09683284,0.00366529,0.28970467,0.00000000
-5.97598799,2.29800615,0.38998119,1.82202417,0.10199289,0.00376598,0.29294595,0.00000000
-5.96998499,2.38259838,0.40867249,1.88917709,0.10840328,0.00388511,0.29895625,0.00000000
-5.96398199,2.48630839,0.43151950,1.97114768,0.11601138,0.00402140,0.30756905,0.00000000
-5.95797899,2.60809604,0.45829593,2.06717756,0.12474672,0.00417332,0.31858368,0.00000000
-5.95197599,2.74670297,0.48869917,2.17636197,0.13451962,0.00433908,0.33176577,0.00000000
-5.94597299,2.90065424,0.52234882,2.29765192,0.14522023,0.00451664,0.34684857,0.00000000
-5.93996998,3.06826873,0.55878764,2.42986273,0.15671837,0.00470370,0.36353544,0.00000000
-5.93396698,3.24767862,0.59748520,2.57168919,0.16886393,0.00489773,0.38150333,0.00000000
-5.92796398,3.43685775,0.63784446,2.72172680,0.18148822,0.00509603,0.40040747,0.00000000
-5.92196098,3.63365807,0.67921125,2.87849832,0.19440617,0.00529574,0.41988715,0.00000000
-5.91595798,3.83585295,0.72088671,3.04048458,0.20741934,0.00549396,0.43957247,0.00000000
-5.90995498,4.04118543,0.76214228,3.20615777,0.22031983,0.00568775,0.45909190,0.00000000
-5.90395198,4.24741934,0.80223703,3.37401564,0.23289485,0.00587429,0.47808045,0.00000000
-5.89794897,4.45239084,0.84043660,3.54261462,0.24493199,0.00605088,0.49618810,0.00000000
-5.89194597,4.65405759,0.87603327,3.71059986,0.25622473,0.00621509,0.51308820,0.00000000
-5.88594297,4.85054332,0.90836623,3.87673045,0.26657836,0.00636478,0.52848556,0.00000000
