energy_ev,total_up,Au_p_up,Au_d_up,Ge_p_up,Ge_d_up,S_s_up,S_p_up
-6.00000000,7.48167530,1.15146674,4.95534346,1.31643812,0.00000000,0.10300527,0.53045832
-5.99399700,7.64336662,1.17123246,5.07805930,1.33194382,0.00000000,0.10551390,0.54840242
-5.98799400,7.80470017,1.19141350,5.20011211,1.34662415,0.00000000,0.10819614,0.56685472
-5.98199100,7.96489113,1.21193640,5.32100620,1.36042781,0.00000000,0.11104334,0.58564426
-5.97598799,8.12319578,1.23271803,5.44028048,1.37331772,0.00000000,0.11404317,0.60459417
-5.96998499,8.27889172,1.25366127,5.55749551,1.38526425,0.00000000,0.11717926,0.62352238
-5.96398199,8.43125829,1.27465139,5.67222030,1.39623878,0.00000000,0.12043113,0.64224262
-5.95797899,8.57955886,1.29555340,5.78401993,1.40620780,0.00000000,0.12377416,0.66056571
-5.95197599,8.72302658,1.31621064,5.89244503,1.41512804,0.00000000,0.12717974,0.67830134
-5.94597299,8.86085496,1.33644494,5.99702417,1.42294308,0.00000000,0.13061554,0.69526017
-5.93996998,8.99219430,1.35605825,6.09725982,1.42958148,0.00000000,0.13404596,0.71125641
-5.93396698,9.11615478,1.37483600,6.19262858,1.43495677,0.00000000,0.13743262,0.72611069
-5.92796398,9.23181646,1.39255195,6.28258584,1.43896925,0.00000000,0.14073502,0.73965325
-5.92196098,9.33824592,1.40897450,6.36657499,1.44150956,0.00000000,0.14391127,0.75172731
-5.91595798,9.43451902,1.42387411,6.44404066,1.44246383,0.00000000,0.14691886,0.76219249
-5.90995498,9.51974864,1.43703153,6.51444555,1.44172004,0.00000000,0.14971555,0.77092814
-5.90395198,9.59311585,1.44824641,6.57728979,1.43917528,0.00000000,0.15226016,0.77783644
-5.89794897,9.65390274,1.45734593,6.63213161,1.43474344,0.00000000,0.15451347,0.78284517
-5.89194597,9.70152499,1.46419279,6.67860824,1.42836275,0.00000000,0.15643901,0.78590987
-5.88594297,9.73556199,1.46869226,6.71645541,1.42000273,0.00000000,0.15800385,0.78701544
-5.87993997,9.75578253,1.47079781,6.74552418,1.40967013,0.00000000,0.15917928,0.78617698
-5.87393697,9.76216428,1.47051486,6.76579386,1.39741319,0.00000000,0.15994143,0.78343980
-5.86793397,9.75490553,1.46790252,6.77737994,1.38332422,0.00000000,0.16027176,0.77887867
-5.86193097,9.73442803,1.46307298,6.78053623,1.36753993,0.00000000,0.16015742,0.77259612
-5.85592796,9.70137049,1.45618858,6.77565081,1.35023964,0.00000000,0.15959154,0.76472013
-5.84992496,9.65657257,1.44745665,6.76323566,1.33164118,0.00000000,0.15857332,0.75540093
-5.84392196,9.60105002,1.43712219,6.74391048,1.31199484,0.00000000,0.15710808,0.74480741
-5.83791896,9.53596194,1.42545882,6.71838116,1.29157537,0.00000000,0.15520705,0.73312284
-5.83191596,9.46257179,1.41275835,6.68741419,1.27067267,0.00000000,0.15288721,0.72054052
-5.82591296,9.38220409,1.39931944,6.65180821,1.24958146,0.00000000,0.15017094,0.70725908
-5.81990995,9.29619899,1.38543601,6.61236436,1.22859042,0.00000000,0.14708555,0.69347797
-5.81390695,9.20586719,1.37138573,6.56985689,1.20797152,0.00000000,0.14366287,0.67939297
-5.80790395,9.11244749,1.35741947,6.52500599,1.18796984,0.00000000,0.13993866,0.66519214
-5.80190095,9.01706920,1.34375190,6.47845405,1.16879460,0.00000000,0.13595208,0.65105215
-5.79589795,8.92072151,1.33055401,6.43074702,1.15061172,0.00000000,0.13174514,0.63713522
-5.78989495,8.82423120,1.31794758,6.38232168,1.13353829,0.00000000,0.12736216,0.62358658
-5.78389195,8.72824994,1.30600217,6.33349984,1.11763923,0.00000000,0.12284920,0.61053278
-5.77788894,8.63325162,1.29473453,6.28448950,1.10292625,0.00000000,0.11825366,0.59808052
-5.77188594,8.53953973,1.28411055,6.23539309,1.08935920,0.00000000,0.11362379,0.58631627
-5.76588294,8.44726421,1.27404953,6.18622227,1.07684963,0.00000000,0.10900834,0.57530654
-5.75987994,8.35644658,1.26443060,6.13691826,1.06526638,0.00000000,0.10445625,0.56509876
-5.75387694,8.26701183,1.25510091,6.08737673,1.05444293,0.00000000,0.10001633,0.55572259
-5.74787394,8.17882506,1.24588512,6.03747548,1.04418612,0.00000000,0.09573701,0.54719178
-5.74187094,8.09173078,1.23659576,5.98710356,1.03428575,0.00000000,0.09166613,0.53950629
-5.73586793,8.00559241,1.22704388,5.93618996,1.02452467,0.00000000,0.08785070,0.53265462
-5.72986493,7.92032982,1.21704950,5.88473016,1.01468885,0.00000000,0.08433663,0.52661621
-5.72386193,7.83595278,1.20645140,5.83280909,1.00457698,0.00000000,0.08116841,0.52136388
-5.71785893,7.75258829,1.19511565,5.78061912,0.99400916,0.00000000,0.07838877,0.51686609
-5.71185593,7.67050046,1.18294274,5.72847206,0.98283439,0.00000000,0.07603825,0.51308896
-5.70585293,7.59010187,1.16987285,5.67680436,0.97093653,0.00000000,0.07415464,0.50999803
-5.69984992,7.51195567,1.15588912,5.62617537,0.95823855,0.00000000,0.07277235,0.50755965
-5.69384692,7.43676868,1.14101891,5.57725858,0.94470496,0.00000000,0.07192172,0.50574188
-5.68784392,7.36537560,1.12533299,5.53082636,0.93034246,0.00000000,0.07162821,0.50451512
-5.68184092,7.29871556,1.10894286,5.48772900,0.91519879,0.00000000,0.07191153,0.50385217
-5.67583792,7.23780209,1.09199642,5.44886894,0.89936002,0.00000000,0.07278478,0.50372799
-5.66983492,7.18368823,1.07467219,5.41517176,0.88294644,0.00000000,0.07425354,0.50411917
-5.66383192,7.13742848,1.05717257,5.38755507,0.86610739,0.00000000,0.07631506,0.50500302
-5.65782891,7.10003961,1.03971633,5.36689682,0.84901513,0.00000000,0.07895753,0.50635657
-5.65182591,7.07246203,1.02253091,5.35400456,0.83185841,0.00000000,0.08215953,0.50815552
-5.64582291,7.05552359,1.00584467,5.34958676,0.81483562,0.00000000,0.08588958,0.51037308
-5.63981991,7.04990723,0.98987961,5.35422738,0.79814819,0.00000000,0.09010611,0.51297904
-5.63381691,7.05612368,0.97484475,5.36836466,0.78199419,0.00000000,0.09475752,0.51593893
-5.62781391,7.07449021,0.96093039,5.39227455,0.76656264,0.00000000,0.09978267,0.51921348
