energy_ev,total_up,Bi_p_up,Bi_d_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up
-6.00000000,2.04335357,0.55677272,0.00759488,0.66879971,1.09210905,0.77878884,0.00000000
-5.99399700,1.88644707,0.50985258,0.00703117,0.60532302,1.01344261,0.72352111,0.00000000
-5.98799400,1.73484803,0.46580530,0.00648846,0.54738332,0.93608047,0.66873458,0.00000000
-5.98199100,1.58965558,0.42484583,0.00597163,0.49491844,0.86075651,0.61491707,0.00000000
-5.97598799,1.45191683,0.38717493,0.00548545,0.44787694,0.78816887,0.56253879,0.00000000
-5.96998499,1.32260644,0.35297630,0.00503447,0.40621789,0.71896714,0.51204186,0.00000000
-5.96398199,1.20260899,0.32241368,0.00462295,0.36990926,0.65374173,0.46383159,0.00000000
-5.95797899,1.09270446,0.29562798,0.00425476,0.33892526,0.59301567,0.41826975,0.00000000
-5.95197599,0.99355753,0.27273446,0.00393331,0.31324285,0.53723907,0.37567015,0.00000000
-5.94597299,0.90571053,0.25382024,0.00366153,0.29283767,0.48678609,0.33629647,0.00000000
-5.93996998,0.82958030,0.23894193,0.00344180,0.27767974,0.44195466,0.30036236,0.00000000
-5.93396698,0.76545853,0.22812361,0.00327597,0.26772900,0.40296844,0.26803368,0.00000000
-5.92796398,0.71351557,0.22135515,0.00316530,0.26293098,0.36998108,0.23943258,0.00000000
-5.92196098,0.67380699,0.21859085,0.00311054,0.26321275,0.34308214,0.21464331,0.00000000
-5.91595798,0.64628274,0.21974857,0.00311187,0.26847943,0.32230466,0.19371918,0.00000000
-5.90995498,0.63079834,0.22470930,0.00316898,0.27861123,0.30763367,0.17669049,0.00000000
-5.90395198,0.62712761,0.23331740,0.00328109,0.29346147,0.29901559,0.16357290,0.00000000
-5.89794897,0.63497676,0.24538155,0.00344698,0.31285551,0.29636789,0.15437597,0.00000000
-5.89194597,0.65399929,0.26067661,0.00366507,0.33659097,0.29958886,0.14911133,0.00000000
-5.88594297,0.68381147,0.27894640,0.00393347,0.36443916,0.30856708,0.14780025,0.00000000
-5.87993997,0.72400816,0.29990770,0.00425001,0.39614802,0.32319039,0.15048024,0.00000000
-5.87393697,0.77417856,0.32325537,0.00461240,0.43144652,0.34335405,0.15721036,0.00000000
