energy_ev,total_up,In_p_up,In_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,0.89497761,0.14143535,0.00124720,0.31452998,0.00000000,0.25723412,0.09395073
-5.99399700,0.93830634,0.14237098,0.00133448,0.33303036,0.00000000,0.27309343,0.09888582
-5.98799400,0.97784570,0.14245482,0.00141763,0.35033916,0.00000000,0.28801229,0.10343916
-5.98199100,1.01290339,0.14169220,0.00149517,0.36614923,0.00000000,0.30172642,0.10753049
-5.97598799,1.04283763,0.14010325,0.00156564,0.38016739,0.00000000,0.31398242,0.11108437
-5.96998499,1.06707667,0.13772211,0.00162769,0.39212345,0.00000000,0.32454570,0.11403246
-5.96398199,1.08513720,0.13459565,0.00168007,0.40177889,0.00000000,0.33320822,0.11631572
-5.95797899,1.09664077,0.13078200,0.00172172,0.40893496,0.00000000,0.33979565,0.11788639
-5.95197599,1.10132755,0.12634873,0.00175179,0.41343970,0.00000000,0.34417376,0.11870969
-5.94597299,1.09906678,0.12137095,0.00176966,0.41519353,0.00000000,0.34625355,0.11876511
-5.93996998,1.08986324,0.11592924,0.00177497,0.41415325,0.00000000,0.34599502,0.11804730
-5.93396698,1.07385958,0.11010762,0.00176763,0.41033421,0.00000000,0.34340942,0.11656642
-5.92796398,1.05133415,0.10399153,0.00174785,0.40381043,0.00000000,0.33855972,0.11434799
-5.92196098,1.02269443,0.09766592,0.00171611,0.39471283,0.00000000,0.33155942,0.11143228
-5.91595798,0.98846642,0.09121351,0.00167312,0.38322551,0.00000000,0.32256966,0.10787311
-5.90995498,0.94928019,0.08471327,0.00161988,0.36958031,0.00000000,0.31179490,0.10373626
-5.90395198,0.90585243,0.07823905,0.00155755,0.35404995,0.00000000,0.29947716,0.09909757
-5.89794897,0.85896665,0.07185857,0.00148749,0.33693997,0.00000000,0.28588935,0.09404061
-5.89194597,0.80945187,0.06563252,0.00141116,0.31857994,0.00000000,0.27132776,0.08865430
-5.88594297,0.75816071,0.05961408,0.00133014,0.29931425,0.00000000,0.25610415,0.08303039
-5.87993997,0.70594778,0.05384853,0.00124602,0.27949297,0.00000000,0.24053783,0.07726092
-5.87393697,0.65364920,0.04837316,0.00116042,0.25946304,0.00000000,0.22494783,0.07143592
-5.86793397,0.60206392,0.04321742,0.00107488,0.23956027,0.00000000,0.20964567,0.06564120
-5.86193097,0.55193749,0.03840315,0.00099089,0.22010222,0.00000000,0.19492882,0.05995645
-5.85592796,0.50394877,0.03394508,0.00090985,0.20138235,0.00000000,0.18107503,0.05445374
-5.84992496,0.45869964,0.02985137,0.00083299,0.18366549,0.00000000,0.16833766,0.04919630
-5.84392196,0.41670808,0.02612429,0.00076142,0.16718465,0.00000000,0.15694213,0.04423776
