energy_ev,total_up,Au_p_up,Au_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,1.51851672,0.54930282,0.70326594,0.01038951,0.08501516,0.01974555,0.52745230,0.53078906,0.11872038
-5.99399700,1.46799408,0.53712969,0.67891156,0.00932777,0.08303961,0.01909866,0.51017363,0.51492372,0.11421436
-5.98799400,1.41646452,0.52326174,0.65429007,0.00834036,0.08076481,0.01840338,0.49251039,0.49849506,0.10976187
-5.98199100,1.36434320,0.50787336,0.62955225,0.00742867,0.07821634,0.01766490,0.47463128,0.48168769,0.10539858
-5.97598799,1.31213659,0.49120034,0.60488159,0.00659292,0.07542891,0.01688994,0.45674292,0.46472474,0.10116577
-5.96998499,1.26043239,0.47353279,0.58049170,0.00583228,0.07244524,0.01608658,0.43908507,0.44786271,0.09710979
-5.96398199,1.20988519,0.45520597,0.55662220,0.00514506,0.06931475,0.01526409,0.42192405,0.43138446,0.09328117
-5.95797899,1.16119864,0.43658944,0.53353336,0.00452883,0.06609200,0.01443264,0.40554465,0.41559066,0.08973335
-5.95197599,1.11510462,0.41807495,0.51149963,0.00398064,0.06283488,0.01360302,0.39024082,0.40079014,0.08652124
-5.94597299,1.07234076,0.40006372,0.49080234,0.00349712,0.05960282,0.01278632,0.37630574,0.38728943,0.08369957
-5.93996998,1.03362686,0.38295360,0.47172193,0.00307465,0.05645489,0.01199361,0.36402156,0.37538212,0.08132100
-5.93396698,0.99964173,0.36712654,0.45453012,0.00270948,0.05344805,0.01123560,0.35364936,0.36533839,0.07943441
-5.92796398,0.97100119,0.35293700,0.43948231,0.00239785,0.05063549,0.01052232,0.34541973,0.35739525,0.07808298
-5.92196098,0.94823826,0.34070162,0.42681064,0.00213604,0.04806519,0.00986290,0.33952441,0.35174783,0.07730262
-5.91595798,0.93178647,0.33069050,0.41671800,0.00192051,0.04577875,0.00926529,0.33610929,0.34854212,0.07712045
