energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,12.74350521,0.00993818,2.43810732,5.84460485,6.05006539,0.16345918,1.35821444,0.23454053,1.68451106
-5.99399700,12.75264551,0.00969522,2.49437118,6.03015625,6.14536767,0.16278339,1.31386507,0.22056849,1.62559854
-5.98799400,12.74752220,0.00942637,2.54769352,6.20960036,6.23363459,0.16153012,1.26843615,0.20738160,1.56555932
-5.98199100,12.72730474,0.00913522,2.59751121,6.38111665,6.31375927,0.15970764,1.22216955,0.19501931,1.50470439
-5.97598799,12.69101326,0.00882574,2.64319704,6.54277634,6.38448580,0.15733141,1.17532055,0.18351229,1.44334518
-5.96998499,12.63755129,0.00850223,2.68407143,6.69259169,6.44443340,0.15442378,1.12815782,0.17288430,1.38179250
-5.96398199,12.56575458,0.00816921,2.71942054,6.82857747,6.49213479,0.15101350,1.08096214,0.16315385,1.32035459
-5.95797899,12.47445457,0.00783138,2.74852023,6.94882215,6.52608769,0.14713525,1.03402400,0.15433536,1.25933457
-5.95197599,12.36255378,0.00749351,2.77066469,7.05156571,6.54481698,0.14282890,0.98764016,0.14644011,1.19902750
-5.94597299,12.22910932,0.00716037,2.78519840,7.13528000,6.54694459,0.13813886,0.94210932,0.13947659,1.13971715
-5.93996998,12.07341943,0.00683667,2.79154942,7.19874679,6.53126294,0.13311328,0.89772716,0.13345050,1.08167280
-5.93396698,11.89510763,0.00652700,2.78926213,7.24112878,6.49680760,0.12780324,0.85478092,0.12836433,1.02514617
-5.92796398,11.69419865,0.00623575,2.77802713,7.26202850,6.44292447,0.12226198,0.81354385,0.12421661,0.97036868
-5.92196098,11.47118017,0.00596711,2.75770643,7.26153075,6.36932702,0.11654404,0.77426969,0.12100088,0.91754909
-5.91595798,11.22704555,0.00572500,2.72835194,7.24022465,6.27613947,0.11070450,0.73718740,0.11870447,0.86687155
-5.90995498,10.96331317,0.00551302,2.69021598,7.19920290,6.16392260,0.10479818,0.70249643,0.11730734,0.81849416
-5.90395198,10.68201960,0.00533445,2.64375258,7.14003672,6.03367988,0.09887889,0.67036257,0.11678077,0.77254787
-5.89794897,10.38568568,0.00519218,2.58960938,7.06472680,5.88684285,0.09299871,0.64091470,0.11708642,0.72913584
-5.89194597,10.07725586,0.00508871,2.52861002,6.97563180,5.72523576,0.08720727,0.61424246,0.11817558,0.68833314
-5.88594297,9.76001340,0.00502611,2.46172801,6.87537787,5.55102111,0.08155113,0.59039500,0.11998878,0.65018672
-5.87993997,9.43747554,0.00500593,2.39005311,6.76675346,5.36662855,0.07607317,0.56938091,0.12245598,0.61471576
-5.87393697,9.11327417,0.00502924,2.31475222,6.65259524,5.17467100,0.07081207,0.55116943,0.12549719,0.58191228
-5.86793397,8.79102861,0.00509654,2.23702670,6.53567127,4.97785242,0.06580181,0.53569285,0.12902382,0.55174207
-5.86193097,8.47421773,0.00520772,2.15806852,6.41856818,4.77887220,0.06107139,0.52285021,0.13294050,0.52414606
-5.85592796,8.16605890,0.00536201,2.07901767,6.30358876,4.58033139,0.05664450,0.51251226,0.13714760,0.49904203
-5.84992496,7.86940054,0.00555798,2.00092302,6.19266581,4.38464579,0.05253946,0.50452743,0.14154425,0.47632674
-5.84392196,7.58663469,0.00579348,1.92470875,6.08729732,4.19397042,0.04876920,0.49872882,0.14603182,0.45587861
-5.83791896,7.31963422,0.00606559,1.85114814,5.98850660,4.01013909,0.04534142,0.49494192,0.15051774,0.43756074
-5.83191596,7.06971816,0.00637068,1.78084568,5.89682935,3.83462202,0.04225888,0.49299272,0.15491953,0.42122438
-5.82591296,6.83764654,0.00670436,1.71422853,5.81232839,3.66850298,0.03951992,0.49271611,0.15916877,0.40671273
-5.81990995,6.62364453,0.00706152,1.65154726,5.73463459,3.51247662,0.03711895,0.49396394,0.16321499,0.39386495
-5.81390695,6.42745362,0.00743640,1.59288542,5.66301130,3.36686514,0.03504729,0.49661268,0.16702914,0.38252021
-5.80790395,6.24840622,0.00782266,1.53817728,5.59643817,3.23165255,0.03329388,0.50057001,0.17060645,0.37252168
-5.80190095,6.08551852,0.00821346,1.48723212,5.53370898,3.10653378,0.03184627,0.50578026,0.17396861,0.36372025
-5.79589795,5.93759580,0.00860158,1.43976357,5.47353749,2.99097517,0.03069151,0.51222828,0.17716501,0.35597784
-5.78989495,5.80334343,0.00897961,1.39542204,5.41466511,2.88428233,0.02981715,0.51994143,0.18027293,0.34917011
-5.78389195,5.68147716,0.00934008,1.35382830,5.35596400,2.78567139,0.02921214,0.52898970,0.18339665,0.34318851
-5.77788894,5.57082633,0.00967565,1.31460638,5.29652981,2.69433926,0.02886773,0.53948375,0.18666539,0.33794155
-5.77188594,5.47042432,0.00997931,1.27741374,5.23575916,2.60952934,0.02877822,0.55157098,0.19023022,0.33335527
-5.76588294,5.37958198,0.01024458,1.24196759,5.17340797,2.53058922,0.02894161,0.56542975,0.19425978,0.32937297
-5.75987994,5.29794038,0.01046570,1.20806575,5.10962781,2.45701776,0.02936003,0.58126188,0.19893531,0.32595420
-5.75387694,5.22550121,0.01063780,1.17560152,5.04497927,2.38849970,0.03004006,0.59928396,0.20444478,0.32307317
-5.74787394,5.16263410,0.01075707,1.14457195,4.98042231,2.32492671,0.03099268,0.61971765,0.21097663,0.32071671
-5.74187094,5.11006177,0.01082093,1.11507953,4.91728504,2.26640465,0.03223318,0.64277948,0.21871331,0.31888189
-5.73586793,5.06882484,0.01082807,1.08732764,4.85721345,2.21324765,0.03378067,0.66867068,0.22782477,0.31757356
-5.72986493,5.04022929,0.01077857,1.06161027,4.80210557,2.16596002,0.03565740,0.69756730,0.23846237,0.31680189
-5.72386193,5.02578014,0.01067388,1.03829698,4.75403398,2.12520786,0.03788789,0.72961135,0.25075332,0.31658006
-5.71785893,5.02710529,0.01051682,1.01781410,4.71516126,2.09178246,0.04049781,0.76490296,0.26479603,0.31692224
-5.71185593,5.04587380,0.01031152,1.00062327,4.68765254,2.06655760,0.04351267,0.80349422,0.28065640,0.31784196
-5.70585293,5.08371245,0.01006327,0.98719852,4.67358952,2.05044333,0.04695639,0.84538468,0.29836545,0.31935076
-5.69984992,5.14212430,0.00977842,0.97800297,4.67488967,2.04433841,0.05084977,0.89051868,0.31791812,0.32145733
-5.69384692,5.22241238,0.00946416,0.97346617,4.69323354,2.04908346,0.05520887,0.93878457,0.33927347,0.32416687
-5.68784392,5.32561089,0.00912831,0.97396294,4.73000274,2.06541672,0.06004348,0.99001571,0.36235610,0.32748079
-5.68184092,5.45242589,0.00877912,0.97979444,4.78623002,2.09393377,0.06535555,1.04399295,0.38705883,0.33139651
-5.67583792,5.60318648,0.00842499,0.99117199,4.86256217,2.13505254,0.07113785,1.10044862,0.41324627,0.33590733
-5.66983492,5.77780711,0.00807428,1.00820395,4.95923599,2.18898412,0.07737276,1.15907141,0.44075929,0.34100224
-5.66383192,5.97576109,0.00773505,1.03088602,5.07606669,2.25571013,0.08403135,1.21951203,0.46941989,0.34666562
-5.65782891,6.19606514,0.00741482,1.05909487,5.21244772,2.33496669,0.09107272,1.28138925,0.49903651,0.35287666
-5.65182591,6.43727440,0.00712047,1.09258518,5.36736105,2.42623514,0.09844372,1.34429607,0.52940918,0.35960864
-5.64582291,6.69748753,0.00685797,1.13099000,5.53939631,2.52873934,0.10607908,1.40780571,0.56033447,0.36682786
-5.63981991,6.97436145,0.00663234,1.17382421,5.72677764,2.64144955,0.11390189,1.47147729,0.59161007,0.37449248
-5.63381691,7.26513529,0.00644754,1.22049102,5.92739710,2.76309249,0.12182457,1.53486119,0.62303858,0.38255116
-5.62781391,7.56666352,0.00630637,1.27029128,6.13885355,2.89216753,0.12975018,1.59750394,0.65443072,0.39094177
-5.62181091,7.87545826,0.00621057,1.32243535,6.35849655,3.02696886,0.13757422,1.65895288,0.68560778,0.39959018
-5.61580790,8.18774074,0.00616075,1.37605751,6.58347454,3.16561333,0.14518668,1.71876062,0.71640326,0.40840935
-5.60980490,8.49950196,0.00615650,1.43023249,6.81078710,3.30607372,0.15247453,1.77648959,0.74666399,0.41729888
-5.60380190,8.80657267,0.00619651,1.48399404,7.03734106,3.44621731,0.15932430,1.83171688,0.77625075,0.42614508
-5.59779890,9.10470190,0.00627865,1.53635518,7.26001001,3.58384891,0.16562496,1.88403947,0.80503851,0.43482179
-5.59179590,9.38964362,0.00640018,1.58632967,7.47569685,3.71675807,0.17127077,1.93308023,0.83291660,0.44319189
-5.58579290,9.65724983,0.00655788,1.63295450,7.68139858,3.84276934,0.17616416,1.97849447,0.85978879,0.45110969
-5.57978989,9.90356829,0.00674823,1.67531257,7.87427212,3.95979443,0.18021849,2.01997723,0.88557361,0.45842399
-5.57378689,10.12494220,0.00696763,1.71255520,8.05169977,4.06588500,0.18336051,2.05727108,0.91020478,0.46498191
-5.56778389,10.31810860,0.00721254,1.74392359,8.21135215,4.15928431,0.18553259,2.09017400,0.93363185,0.47063325
-5.56178089,10.48029170,0.00747972,1.76876868,8.35124658,4.23847593,0.18669451,2.11854726,0.95582102,0.47523519
-5.55577789,10.60928721,0.00776632,1.78656847,8.46979809,4.30222755,0.18682475,2.14232233,0.97675596,0.47865725
-5.54977489,10.70353343,0.00807006,1.79694224,8.56586060,4.34962805,0.18592127,2.16150670,0.99643843,0.48078606
-5.54377189,10.76216516,0.00838934,1.79966092,8.63875563,4.38011586,0.18400176,2.17618766,1.01488861,0.48152982
-5.53776888,10.78504693,0.00872329,1.79465305,8.68828643,4.39349706,0.18110320,2.18653365,1.03214474,0.48082221
