energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.65449483,0.00412209,0.25335784,1.36598607,0.60582508,0.01157533,0.55899013,0.20193019,0.08901636
-5.99399700,1.63636597,0.00380201,0.24784046,1.31884924,0.60003381,0.01233006,0.55297806,0.19368200,0.09004514
-5.98799400,1.62084251,0.00350905,0.24232255,1.27266412,0.59488751,0.01307905,0.54832753,0.18604348,0.09130855
-5.98199100,1.60829044,0.00324483,0.23692646,1.22821118,0.59057320,0.01381057,0.54507736,0.17912396,0.09278954
-5.97598799,1.59896112,0.00301092,0.23176210,1.18619371,0.58723928,0.01451232,0.54322408,0.17301998,0.09446400
-5.96998499,1.59298543,0.00280887,0.22692310,1.14721899,0.58498953,0.01517174,0.54272559,0.16781463,0.09630197
-5.96398199,1.59037384,0.00264024,0.22248386,1.11178392,0.58387947,0.01577637,0.54350675,0.16357762,0.09826911
-5.95797899,1.59102269,0.00250672,0.21849757,1.08026562,0.58391515,0.01631421,0.54546668,0.16036597,0.10032850
-5.95197599,1.59472647,0.00241014,0.21499528,1.05291752,0.58505459,0.01677412,0.54848754,0.15822541,0.10244270
-5.94597299,1.60119560,0.00235255,0.21198617,1.02987102,0.58721186,0.01714616,0.55244436,0.15719227,0.10457581
-5.93996998,1.61007903,0.00233630,0.20945880,1.01114259,0.59026354,0.01742197,0.55721550,0.15729584,0.10669579
-5.93396698,1.62099040,0.00236409,0.20738348,0.99664580,0.59405732,0.01759508,0.56269322,0.15856103,0.10877652
-5.92796398,1.63353662,0.00243903,0.20571539,0.98620756,0.59842219,0.01766113,0.56879383,0.16101111,0.11079988
-5.92196098,1.64734711,0.00256462,0.20439849,0.97958758,0.60317982,0.01761804,0.57546685,0.16467038,0.11275745
-5.91595798,1.66210225,0.00274484,0.20336977,0.97649988,0.60815635,0.01746617,0.58270270,0.16956660,0.11465186
-5.90995498,1.67755925,0.00298406,0.20256373,0.97663511,0.61319400,0.01720827,0.59053832,0.17573281,0.11649775
-5.90395198,1.69357386,0.00328705,0.20191682,0.97968217,0.61816178,0.01684947,0.59906040,0.18320861,0.11832212
-5.89794897,1.71011653,0.00365883,0.20137145,0.98534813,0.62296465,0.01639710,0.60840586,0.19204045,0.12016412
-5.89194597,1.72728183,0.00410460,0.20087958,0.99337486,0.62755065,0.01586049,0.61875939,0.20228105,0.12207422
-5.88594297,1.74529024,0.00462954,0.20040538,1.00355181,0.63191533,0.01525068,0.63034796,0.21398771,0.12411274
