energy_ev,total_up,Ga_p_up,Ga_d_up,Se_s_up,Se_p_up,Ta_p_up,Ta_d_up
0.28514257,2.48976895,0.56124812,0.00000000,0.01720167,0.28020348,0.93384261,2.00852476
0.29114557,2.38791478,0.53470020,0.00000000,0.01677129,0.27088578,0.89302471,1.92831532
0.29714857,2.28474972,0.50875051,0.00000000,0.01638317,0.26111999,0.85212610,1.84636073
0.30315158,2.18121196,0.48356471,0.00000000,0.01605268,0.25104193,0.81153565,1.76346399
0.30915458,2.07834268,0.45933681,0.00000000,0.01579684,0.24080502,0.77168682,1.68049970
0.31515758,1.97726155,0.43628614,0.00000000,0.01563394,0.23057567,0.73304725,1.59839356
0.32116058,1.87913619,0.41465231,0.00000000,0.01558301,0.22052808,0.69610597,1.51809759
0.32716358,1.78514738,0.39468864,0.00000000,0.01566329,0.21083851,0.66135863,1.44056237
0.33316658,1.69645126,0.37665414,0.00000000,0.01589350,0.20167931,0.62929158,1.36670762
0.33916958,1.61414072,0.36080434,0.00000000,0.01629121,0.19321311,0.60036527,1.29739267
0.34517259,1.53920752,0.34738159,0.00000000,0.01687201,0.18558722,0.57499781,1.23338818
0.35117559,1.47250720,0.33660499,0.00000000,0.01764884,0.17892862,0.55354935,1.17535066
0.35717859,1.41472827,0.32866055,0.00000000,0.01863118,0.17333968,0.53630795,1.12380096
0.36318159,1.36636715,0.32369199,0.00000000,0.01982438,0.16889474,0.52347742,1.07910777
0.36918459,1.32770991,0.32179253,0.00000000,0.02122902,0.16563773,0.51516777,1.04147687
0.37518759,1.29882164,0.32299817,0.00000000,0.02284038,0.16358088,0.51138855,1.01094655
0.38119060,1.27954366,0.32728260,0.00000000,0.02464807,0.16270447,0.51204535,0.98738933
0.38719360,1.26949885,0.33455416,0.00000000,0.02663576,0.16295771,0.51693970,0.97051977
0.39319660,1.26810448,0.34465494,0.00000000,0.02878116,0.16426061,0.52577228,0.95990800
0.39919960,1.27459209,0.35736218,0.00000000,0.03105616,0.16650675,0.53814953,0.95499806
0.40520260,1.28803349,0.37239187,0.00000000,0.03342717,0.16956685,0.55359324,0.95513042
0.41120560,1.30737172,0.38940470,0.00000000,0.03585577,0.17329300,0.57155307,0.95956739
0.41720860,1.33145571,0.40801395,0.00000000,0.03829942,0.17752327,0.59142139,0.96752050
0.42321161,1.35907724,0.42779527,0.00000000,0.04071255,0.18208674,0.61255019,0.97817861
0.42921461,1.38900898,0.44829793,0.00000000,0.04304763,0.18680853,0.63426922,0.99073565
0.43521761,1.42004191,0.46905723,0.00000000,0.04525654,0.19151487,0.65590508,1.00441696
0.44122061,1.45102107,0.48960753,0.00000000,0.04729192,0.19603784,0.67680038,1.01850335
