energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Sn_p_up,Sn_p_down,Sn_d_up,Sn_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,0.55962668,-0.55962668,0.36647702,-0.36647702,0.11440355,-0.11440355,0.15548378,-0.15548378,0.00006757,-0.00006757,0.26638087,-0.26638087,0.00000000,-0.00000000
-5.99399700,0.54999062,-0.54999062,0.35824859,-0.35824859,0.11002648,-0.11002648,0.15645635,-0.15645635,0.00006679,-0.00006679,0.25917914,-0.25917913,0.00000000,-0.00000000
-5.98799400,0.53849109,-0.53849109,0.34908076,-0.34908076,0.10562813,-0.10562813,0.15636369,-0.15636369,0.00006572,-0.00006572,0.25147953,-0.25147953,0.00000000,-0.00000000
-5.98199100,0.52504436,-0.52504436,0.33891339,-0.33891338,0.10118152,-0.10118152,0.15519846,-0.15519846,0.00006436,-0.00006436,0.24323218,-0.24323218,0.00000000,-0.00000000
-5.97598799,0.50962279,-0.50962279,0.32771798,-0.32771798,0.09666568,-0.09666568,0.15297694,-0.15297694,0.00006271,-0.00006271,0.23440779,-0.23440779,0.00000000,-0.00000000
-5.96998499,0.49225736,-0.49225736,0.31550025,-0.31550025,0.09206700,-0.09206700,0.14973846,-0.14973846,0.00006078,-0.00006078,0.22499980,-0.22499980,0.00000000,-0.00000000
-5.96398199,0.47303742,-0.47303742,0.30230076,-0.30230076,0.08738015,-0.08738015,0.14554400,-0.14554399,0.00005858,-0.00005858,0.21502534,-0.21502534,0.00000000,-0.00000000
-5.95797899,0.45210780,-0.45210780,0.28819386,-0.28819386,0.08260834,-0.08260834,0.14047397,-0.14047397,0.00005613,-0.00005613,0.20452484,-0.20452484,0.00000000,-0.00000000
-5.95197599,0.42966342,-0.42966342,0.27328498,-0.27328498,0.07776321,-0.07776321,0.13462547,-0.13462547,0.00005346,-0.00005346,0.19356050,-0.19356050,0.00000000,-0.00000000
-5.94597299,0.40594194,-0.40594194,0.25770655,-0.25770655,0.07286409,-0.07286409,0.12810889,-0.12810889,0.00005060,-0.00005060,0.18221372,-0.18221372,0.00000000,-0.00000000
