energy_ev,total_up,total_down,Cu_p_up,Cu_p_down,Cu_d_up,Cu_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,5.38589822,-5.38589824,0.78018483,-0.78018485,0.32709011,-0.32709011,0.03185012,-0.03185012,0.77611411,-0.77611412,1.48363673,-1.48363675,1.25087551,-1.25087554,0.10197348,-0.10197348,2.23382309,-2.23382309
-5.99399700,5.40038719,-5.40038723,0.79837859,-0.79837861,0.32868333,-0.32868333,0.03218054,-0.03218054,0.78153159,-0.78153160,1.49149814,-1.49149816,1.26657412,-1.26657416,0.10058778,-0.10058777,2.24249913,-2.24249914
-5.98799400,5.42264470,-5.42264475,0.81824068,-0.81824071,0.33044051,-0.33044051,0.03268529,-0.03268529,0.78843407,-0.78843409,1.50077679,-1.50077681,1.28512864,-1.28512869,0.09934789,-0.09934789,2.25380942,-2.25380944
-5.98199100,5.45283645,-5.45283653,0.83968201,-0.83968203,0.33236895,-0.33236895,0.03336433,-0.03336434,0.79677100,-0.79677102,1.51149126,-1.51149128,1.30651132,-1.30651138,0.09827332,-0.09827331,2.26783937,-2.26783940
-5.97598799,5.49088519,-5.49088529,0.86256504,-0.86256507,0.33446608,-0.33446608,0.03421481,-0.03421482,0.80645487,-0.80645490,1.52360795,-1.52360798,1.33063016,-1.33063022,0.09737727,-0.09737727,2.28457724,-2.28457727
-5.96998499,5.53647857,-5.53647869,0.88670696,-0.88670699,0.33671926,-0.33671926,0.03523117,-0.03523118,0.81736587,-0.81736590,1.53704329,-1.53704332,1.35733369,-1.35733376,0.09666648,-0.09666648,2.30391432,-2.30391436
-5.96398199,5.58908544,-5.58908557,0.91188422,-0.91188425,0.33910600,-0.33910600,0.03640537,-0.03640538,0.82935740,-0.82935743,1.55166792,-1.55166796,1.38641757,-1.38641764,0.09614123,-0.09614123,2.32564890,-2.32564895
-5.95797899,5.64797951,-5.64797966,0.93783855,-0.93783859,0.34159461,-0.34159461,0.03772711,-0.03772711,0.84226246,-0.84226250,1.56731280,-1.56731283,1.41763248,-1.41763256,0.09579570,-0.09579570,2.34949371,-2.34949376
-5.95197599,5.71226913,-5.71226929,0.96428398,-0.96428402,0.34414529,-0.34414530,0.03918401,-0.03918401,0.85590029,-0.85590033,1.58377676,-1.58377680,1.45069300,-1.45069308,0.09561850,-0.09561850,2.37508656,-2.37508661
-5.94597299,5.78093169,-5.78093187,0.99091475,-0.99091479,0.34671155,-0.34671155,0.04076188,-0.04076188,0.87008313,-0.87008317,1.60083530,-1.60083534,1.48528696,-1.48528705,0.09559342,-0.09559342,2.40200367,-2.40200372
-5.93996998,5.85285110,-5.85285128,1.01741369,-1.01741374,0.34924191,-0.34924192,0.04244483,-0.04244484,0.88462271,-0.88462275,1.61825007,-1.61825011,1.52108493,-1.52108502,0.09570034,-0.09570035,2.42977508,-2.42977514
-5.93396698,5.92685657,-5.92685676,1.04346089,-1.04346093,0.35168194,-0.35168194,0.04421553,-0.04421554,0.89933622,-0.89933626,1.63577877,-1.63577881,1.55774936,-1.55774945,0.09591623,-0.09591623,2.45790150,-2.45790156
-5.92796398,6.00176128,-6.00176148,1.06874220,-1.06874224,0.35397631,-0.35397631,0.04605530,-0.04605530,0.91405149,-0.91405153,1.65318500,-1.65318504,1.59494313,-1.59494323,0.09621616,-0.09621617,2.48587186,-2.48587192
