energy_ev,total_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,10.08463277,0.02322445,0.73808225,5.56807457,4.42618393,0.11035160,3.82612086,0.17825155,1.08423782
-5.99399700,10.19620606,0.02295809,0.75029431,5.60828249,4.49318034,0.11096609,3.86061991,0.17781830,1.09206844
-5.98799400,10.28571451,0.02264164,0.75952364,5.62829062,4.55484961,0.11112021,3.88796739,0.17662249,1.09719536
-5.98199100,10.35350109,0.02228421,0.76579205,5.62884563,4.61100883,0.11082622,3.90830111,0.17469416,1.09975146
-5.97598799,10.40005174,0.02189687,0.76916737,5.61097436,4.66139756,0.11010502,3.92177625,0.17207896,1.09990371
-5.96998499,10.42595525,0.02149246,0.76975725,5.57593642,4.70567678,0.10898519,3.92855654,0.16883683,1.09784227
-5.96398199,10.43186243,0.02108531,0.76770180,5.52517067,4.74343256,0.10750176,3.92880623,0.16504000,1.09376916
-5.95797899,10.41844697,0.02069079,0.76316547,5.46023815,4.77418468,0.10569472,3.92268339,0.16077052,1.08788687
-5.95197599,10.38637021,0.02032490,0.75632873,5.38276449,4.79739977,0.10360747,3.91033472,0.15611747,1.08038766
-5.94597299,10.33625198,0.02000370,0.74737988,5.29438441,4.81250857,0.10128508,3.89189236,0.15117384,1.07144409
-5.93996998,10.26864907,0.01974269,0.73650755,5.19669111,4.81892663,0.09877270,3.86747276,0.14603337,1.06120133
-5.93396698,10.18404289,0.01955624,0.72389425,5.09119251,4.81607765,0.09611399,3.83717776,0.14078745,1.04977156
-5.92796398,10.08283673,0.01945698,0.70971113,4.97927612,4.80341839,0.09334975,3.80109777,0.13552214,1.03723105
-5.92196098,9.96536282,0.01945524,0.69411436,4.86218355,4.78046421,0.09051686,3.75931691,0.13031566,1.02361971
-5.91595798,9.83189855,0.01955852,0.67724298,4.74099523,4.74681390,0.08764737,3.71191972,0.12523613,1.00894339
-5.90995498,9.68269058,0.01977114,0.65921841,4.61662494,4.70217286,0.08476803,3.65899905,0.12033997,0.99317865
-5.90395198,9.51798514,0.02009386,0.64014539,4.48982367,4.64637342,0.08190009,3.60066456,0.11567076,0.97627962
-5.89794897,9.33806225,0.02052378,0.62011416,4.36119144,4.57939135,0.07905935,3.53705124,0.11125876,0.95818662
-5.89194597,9.14327148,0.02105428,0.59920361,4.23119548,4.50135773,0.07625656,3.46832749,0.10712092,0.93883574
-5.88594297,8.93406668,0.02167514,0.57748516,4.10019311,4.41256570,0.07349803,3.39470194,0.10326149,0.91816905
-5.87993997,8.71103729,0.02237282,0.55502689,3.96845716,4.31347148,0.07078639,3.31642880,0.09967308,0.89614451
-5.87393697,8.47493387,0.02313089,0.53189770,3.83620223,4.20468983,0.06812148,3.23381121,0.09633812,0.87274505
-5.86793397,8.22668624,0.02393060,0.50817116,3.70360994,4.08698396,0.06550134,3.14720236,0.09323065,0.84798622
-5.86193097,7.96741276,0.02475155,0.48392875,3.57085170,3.96125028,0.06292311,3.05700420,0.09031832,0.82192192
-5.85592796,7.69842007,0.02557247,0.45926231,3.43810778,3.82849891,0.06038397,2.96366400,0.08756450,0.79464787
-5.84992496,7.42119320,0.02637210,0.43427555,3.30558207,3.68983044,0.05788189,2.86766866,0.08493038,0.76630250
-5.84392196,7.13737654,0.02713009,0.40908451,3.17351181,3.54641029,0.05541629,2.76953735,0.08237711,0.73706536
-5.83791896,6.84874665,0.02782787,0.38381706,3.04217261,3.39944167,0.05298853,2.66981270,0.07986765,0.70715296
-5.83191596,6.55717852,0.02844961,0.35861141,2.91187877,3.25013820,0.05060220,2.56905115,0.07736848,0.67681246
-5.82591296,6.26460704,0.02898301,0.33361381,2.78297974,3.09969747,0.04826323,2.46781307,0.07485109,0.64631350
-5.81990995,5.97298591,0.02942002,0.30897562,2.65585339,2.94927654,0.04597987,2.36665296,0.07229307,0.61593861
-5.81390695,5.68424607,0.02975750,0.28484988,2.53089720,2.79997020,0.04376250,2.26611054,0.06967894,0.58597286
-5.80790395,5.40025585,0.02999769,0.26138767,2.40851825,2.65279293,0.04162325,2.16670300,0.06700069,0.55669322
-5.80190095,5.12278483,0.03014849,0.23873441,2.28912313,2.50866486,0.03957564,2.06891884,0.06425790,0.52835837
-5.79589795,4.85347307,0.03022359,0.21702643,2.17310881,2.36840224,0.03763410,1.97321367,0.06145766,0.50119928
-5.78989495,4.59380718,0.03024244,0.19638776,2.06085506,2.23271245,0.03581341,1.88000808,0.05861421,0.47541134
-5.78389195,4.34510397,0.03022996,0.17692751,1.95271932,2.10219339,0.03412824,1.78968758,0.05574833,0.45114822
-5.77788894,4.10850235,0.03021612,0.15873783,1.84903429,1.97733701,0.03259266,1.70260482,0.05288656,0.42851781
-5.77188594,3.88496343,0.03023534,0.14189246,1.75010865,1.85853648,0.03121971,1.61908364,0.05006031,0.40758047
-5.76588294,3.67527854,0.03032573,0.12644610,1.65623078,1.74609640,0.03002103,1.53942501,0.04730492,0.38834955
-5.75987994,3.48008428,0.03052822,0.11243427,1.56767541,1.64024536,0.02900661,1.46391438,0.04465857,0.37079415
-5.75387694,3.29988367,0.03088555,0.09987390,1.48471287,1.54115011,0.02818455,1.39283014,0.04216137,0.35484390
-5.74787394,3.13507204,0.03144130,0.08876440,1.40762038,1.44893058,0.02756098,1.32645288,0.03985439,0.34039546
-5.74187094,2.98596610,0.03223873,0.07908913,1.33669474,1.36367505,0.02713999,1.26507488,0.03777880,0.32732042
-5.73586793,2.85283481,0.03331979,0.07081724,1.27226579,1.28545475,0.02692369,1.20900947,0.03597519,0.31547409
-5.72986493,2.73593010,0.03472406,0.06390569,1.21470976,1.21433726,0.02691228,1.15859981,0.03448294,0.30470479
-5.72386193,2.63551624,0.03648778,0.05830137,1.16446165,1.15039818,0.02710422,1.11422654,0.03333978,0.29486320
-5.71785893,2.55189600,0.03864297,0.05394323,1.12202586,1.09373074,0.02749634,1.07631402,0.03258149,0.28581118
-5.71185593,2.48543255,0.04121671,0.05076432,1.08798427,1.04445278,0.02808406,1.04533449,0.03224171,0.27742985
