energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up
-6.00000000,3.68167321,0.04905991,0.78824605,0.84766309,1.24236077,0.11251566,0.57360789
-5.99399700,3.54863144,0.04589740,0.76406086,0.83858537,1.19249846,0.10552005,0.55000882
-5.98799400,3.41729580,0.04269550,0.74026210,0.83072765,1.14287713,0.09838087,0.52685796
-5.98199100,3.29003995,0.03949872,0.71730706,0.82444209,1.09436025,0.09120090,0.50456587
-5.97598799,3.16893874,0.03635029,0.69558787,0.81999893,1.04772191,0.08407697,0.48349399
-5.96998499,3.05572152,0.03329135,0.67542129,0.81757751,1.00362988,0.07709782,0.46394830
-5.96398199,2.95174152,0.03036029,0.65704204,0.81726132,0.96263382,0.07034255,0.44617563
-5.95797899,2.85796244,0.02759221,0.64059969,0.81903747,0.92515906,0.06387945,0.43036268
-5.95197599,2.77496190,0.02501851,0.62615943,0.82280043,0.89150580,0.05776527,0.41663756
-5.94597299,2.70295103,0.02266671,0.61370639,0.82836003,0.86185368,0.05204505,0.40507368
-5.93996998,2.64180862,0.02056027,0.60315329,0.83545322,0.83627104,0.04675235,0.39569559
-5.93396698,2.59112723,0.01871872,0.59435091,0.84375897,0.81472834,0.04190982,0.38848634
-5.92796398,2.55026867,0.01715767,0.58710080,0.85291566,0.79711464,0.03753022,0.38339593
-5.92196098,2.51842561,0.01588911,0.58116949,0.86253999,0.78325632,0.03361756,0.38035023
-5.91595798,2.49468591,0.01492160,0.57630361,0.87224656,0.77293677,0.03016854,0.37925997
-5.90995498,2.47809650,0.01426056,0.57224494,0.88166705,0.76591618,0.02717401,0.38002922
-5.90395198,2.46772362,0.01390855,0.56874491,0.89046833,0.76195029,0.02462049,0.38256308
-5.89794897,2.46270676,0.01386550,0.56557771,0.89836832,0.76080731,0.02249168,0.38677406
-5.89194597,2.46230404,0.01412896,0.56255156,0.90514932,0.76228217,0.02076981,0.39258706
-5.88594297,2.46592727,0.01469426,0.55951766,0.91066788,0.76620765,0.01943687,0.39994273
-5.87993997,2.47316576,0.01555461,0.55637652,0.91486115,0.77246202,0.01847564,0.40879913
-5.87393697,2.48379838,0.01670126,0.55308148,0.91774933,0.78097299,0.01787051,0.41913186
-5.86793397,2.49779394,0.01812350,0.54963948,0.91943439,0.79171803,0.01760806,0.43093262
-5.86193097,2.51530082,0.01980876,0.54610910,0.92009517,0.80472142,0.01767733,0.44420659
-5.85592796,2.53662676,0.02174259,0.54259611,0.91997921,0.82004809,0.01806998,0.45896864
-5.84992496,2.56221057,0.02390877,0.53924693,0.91939183,0.83779513,0.01878008,0.47523893
-5.84392196,2.59258725,0.02628933,0.53624027,0.91868298,0.85808111,0.01980375,0.49303787
-5.83791896,2.62834864,0.02886468,0.53377751,0.91823248,0.88103414,0.02113861,0.51238095
-5.83191596,2.67010133,0.03161373,0.53207218,0.91843431,0.90677897,0.02278306,0.53327354
-5.82591296,2.71842364,0.03451410,0.53133912,0.91968050,0.93542395,0.02473539,0.55570588
-5.81990995,2.77382351,0.03754227,0.53178361,0.92234531,0.96704812,0.02699291,0.57964852
-5.81390695,2.83669856,0.04067385,0.53359100,0.92677004,1.00168906,0.02955089,0.60504814
-5.80790395,2.90729971,0.04388378,0.53691712,0.93324914,1.03933179,0.03240161,0.63182399
-5.80190095,2.98569944,0.04714662,0.54187983,0.94201775,1.07989901,0.03553343,0.65986500
-5.79589795,3.07176544,0.05043670,0.54855185,0.95324116,1.12324304,0.03892989,0.68902750
-5.78989495,3.16514051,0.05372833,0.55695519,0.96700632,1.16913961,0.04256904,0.71913378
-5.78389195,3.26522909,0.05699594,0.56705719,0.98331561,1.21728368,0.04642290,0.74997129
-5.77788894,3.37119111,0.06021415,0.57876833,1.00208302,1.26728754,0.05045712,0.78129291
-5.77188594,3.48194333,0.06335780,0.59194191,1.02313290,1.31868124,0.05463099,0.81281811
-5.76588294,3.59616874,0.06640199,0.60637546,1.04620125,1.37091565,0.05889764,0.84423525
-5.75987994,3.71233407,0.06932200,0.62181404,1.07093980,1.42336817,0.06320459,0.87520519
-5.75387694,3.82871574,0.07209329,0.63795531,1.09692277,1.47535134,0.06749460,0.90536631
-5.74787394,3.94343403,0.07469148,0.65445619,1.12365640,1.52612426,0.07170681,0.93434105
-5.74187094,4.05449544,0.07709238,0.67094122,1.15059112,1.57490701,0.07577818,0.96174408
-5.73586793,4.15984254,0.07927212,0.68701221,1.17713635,1.62089779,0.07964512,0.98719203
-5.72986493,4.25741057,0.08120730,0.70225915,1.20267750,1.66329270,0.08324531,1.01031479
-5.72386193,4.34518943,0.08287537,0.71627198,1.22659497,1.70130765,0.08651970,1.03076802
-5.71785893,4.42128944,0.08425502,0.72865297,1.24828465,1.73420198,0.08941445,1.04824672
-5.71185593,4.48400884,0.08532674,0.73902933,1.26717918,1.76130298,0.09188288,1.06249923
-5.70585293,4.53190045,0.08607345,0.74706561,1.28276941,1.78203052,0.09388729,1.07334119
-5.69984992,4.56383490,0.08648128,0.75247545,1.29462508,1.79592084,0.09540055,1.08066883
-5.69384692,4.57905759,0.08654028,0.75503220,1.30241394,1.80264835,0.09640739,1.08447072
-5.68784392,4.57723631,0.08624521,0.75457798,1.30591826,1.80204447,0.09690531,1.08483746
-5.68184092,4.55849709,0.08559627,0.75103075,1.30504799,1.79411242,0.09690510,1.08196839
-5.67583792,4.52344560,0.08459965,0.74438904,1.29984967,1.77903707,0.09643091,1.07617485
-5.66983492,4.47317245,0.08326806,0.73473399,1.29051050,1.75718896,0.09551972,1.06787929
-5.66383192,4.40924102,0.08162090,0.72222867,1.27735704,1.72912219,0.09422054,1.05761010
-5.65782891,4.33365743,0.07968437,0.70711445,1.26084842,1.69556571,0.09259299,1.04599180
-5.65182591,4.24882296,0.07749118,0.68970463,1.24156406,1.65740813,0.09070551,1.03373081
-5.64582291,4.15747034,0.07508009,0.67037556,1.22018625,1.61567649,0.08863337,1.02159703
