energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,4.23996835,0.58063978,0.30876929,0.01421591,0.68600093,1.65623169,1.49641633,0.02538236,2.03813034
-5.99399700,4.15497062,0.57570472,0.30417369,0.01390179,0.67647436,1.63138698,1.46092887,0.02463266,1.99751025
-5.98799400,4.07153932,0.57048944,0.29990113,0.01359238,0.66721670,1.60618349,1.42607604,0.02391192,1.95726057
-5.98199100,3.99020119,0.56504424,0.29602102,0.01329157,0.65828174,1.58073383,1.39202443,0.02322386,1.91765050
-5.97598799,3.91147586,0.55942375,0.29259278,0.01300395,0.64971568,1.55515564,1.35894347,0.02257194,1.87895344
-5.96998499,3.83587059,0.55368716,0.28966448,0.01273487,0.64155804,1.52957293,1.32700322,0.02195940,1.84144356
-5.96398199,3.76387685,0.54789857,0.28727179,0.01249047,0.63384334,1.50411818,1.29637255,0.02138919,1.80539286
-5.95797899,3.69596859,0.54212717,0.28543747,0.01227762,0.62660345,1.47893497,1.26721764,0.02086405,1.77106850
-5.95197599,3.63260170,0.53644735,0.28417113,0.01210388,0.61987036,1.45418083,1.23970082,0.02038654,1.73873061
-5.94597299,3.57421446,0.53093863,0.28346956,0.01197733,0.61367928,1.43002989,1.21397951,0.01995909,1.70863009
-5.93996998,3.52122816,0.52568522,0.28331740,0.01190650,0.60807162,1.40667500,1.19020533,0.01958402,1.68100660
-5.93396698,3.47404747,0.52077527,0.28368818,0.01190010,0.60309777,1.38432895,1.16852300,0.01926364,1.65608629
-5.92796398,3.43305976,0.51629970,0.28454575,0.01196679,0.59881932,1.36322442,1.14906906,0.01900020,1.63407936
-5.92196098,3.39863301,0.51235060,0.28584591,0.01211490,0.59531052,1.34361250,1.13197017,0.01879595,1.61517703
-5.91595798,3.37111167,0.50901923,0.28753829,0.01235210,0.59265884,1.32575946,1.11734093,0.01865303,1.59954812
-5.90995498,3.35081028,0.50639358,0.28956824,0.01268507,0.59096434,1.30994188,1.10528105,0.01857347,1.58733495
-5.90395198,3.33800463,0.50455565,0.29187876,0.01311908,0.59033806,1.29643999,1.09587207,0.01855901,1.57864870
-5.89794897,3.33292071,0.50357854,0.29441240,0.01365770,0.59089903,1.28552957,1.08917340,0.01861101,1.57356431
