energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Se_s_up,Se_p_up
-6.00000000,16.64766569,2.39960972,12.58013703,0.00751122,2.07503822,0.11709908,1.46523530
-5.99399700,16.54309070,2.33603601,12.52748278,0.00731567,2.05066719,0.11375793,1.45928506
-5.98799400,16.39696513,2.26963795,12.44129974,0.00715221,2.02097790,0.11022667,1.45022769
-5.98199100,16.20994986,2.20058505,12.32219070,0.00702344,1.98603499,0.10653346,1.43799625
-5.97598799,15.98332234,2.12910145,12.17121786,0.00693231,1.94597837,0.10270896,1.42260363
-5.96998499,15.71898428,2.05547641,11.98989922,0.00688208,1.90102594,0.09878600,1.40414771
-5.96398199,15.41945207,1.98007131,11.78019348,0.00687627,1.85147421,0.09479902,1.38281386
-5.95797899,15.08782963,1.90332241,11.54447384,0.00691851,1.79769657,0.09078359,1.35887439
-5.95197599,14.72776393,1.82573943,11.28549082,0.00701250,1.74013927,0.08677591,1.33268529
-5.94597299,14.34338442,1.74789965,11.00632519,0.00716189,1.67931507,0.08281213,1.30468001
-5.93996998,13.93922780,1.67043813,10.71033212,0.00737010,1.61579479,0.07892779,1.27536080
-5.93396698,13.52015050,1.59403428,10.40107816,0.00764025,1.55019695,0.07515720,1.24528770
-5.92796398,13.09123148,1.51939561,10.08227276,0.00797498,1.48317582,0.07153273,1.21506563
-5.92196098,12.65766828,1.44723951,9.75769629,0.00837635,1.41540817,0.06808428,1.18532989
-5.91595798,12.22466940,1.37827375,9.43112645,0.00884567,1.34757931,0.06483863,1.15673064
-5.90995498,11.79734628,1.31317685,9.10626527,0.00938340,1.28036860,0.06181890,1.12991672
-5.90395198,11.38060786,1.25257899,8.78666842,0.00998905,1.21443510,0.05904412,1.10551924
-5.89794897,10.97906064,1.19704437,8.47567873,0.01066108,1.15040361,0.05652882,1.08413548
-5.89194597,10.59691682,1.14705558,8.17636554,0.01139684,1.08885170,0.05428276,1.06631337
-5.88594297,10.23791274,1.10300065,7.89147113,0.01219253,1.03029787,0.05231076,1.05253702
-5.87993997,9.90523950,1.06516297,7.62336551,0.01304318,0.97519143,0.05061264,1.04321357
-5.87393697,9.60148697,1.03371445,7.37401021,0.01394270,0.92390415,0.04918335,1.03866171
-5.86793397,9.32860227,1.00871184,7.14493165,0.01488389,0.87672401,0.04801313,1.03910202
-5.86193097,9.08786308,0.99009627,6.93720441,0.01585851,0.83385113,0.04708785,1.04464936
-5.85592796,8.87986599,0.97769564,6.75144426,0.01685743,0.79539597,0.04638945,1.05530762
-5.84992496,8.70452950,0.97122978,6.58781074,0.01787072,0.76137969,0.04589648,1.07096675
-5.84392196,8.56111117,0.97031785,6.44601893,0.01888782,0.73173676,0.04558464,1.09140239
-5.83791896,8.44823827,0.97448784,6.32535970,0.01989767,0.70631954,0.04542752,1.11627804
-5.83191596,8.36395074,0.98318759,6.22472784,0.02088896,0.68490461,0.04539721,1.14515003
-5.82591296,8.30575563,0.99579710,6.14265726,0.02185024,0.66720082,0.04546504,1.17747509
-5.81990995,8.27069173,1.01164183,6.07736248,0.02277017,0.65285850,0.04560222,1.21262070
-5.81390695,8.25540305,1.03000662,6.02678550,0.02363768,0.64147985,0.04578053,1.24987804
-5.80790395,8.25622012,1.05015003,5.98864724,0.02444217,0.63263002,0.04597288,1.28847748
-5.80190095,8.26924729,1.07131895,5.96050275,0.02517371,0.62584853,0.04615386,1.32760629
-5.79589795,8.29045492,1.09276311,5.93979905,0.02582315,0.62066107,0.04630020,1.36642835
-5.78989495,8.31577440,1.11374955,5.92393484,0.02638233,0.61659095,0.04639114,1.40410538
-5.78389195,8.34119452,1.13357664,5.91032097,0.02684420,0.61317034,0.04640875,1.43981910
-5.77788894,8.36285688,1.15158756,5.89644053,0.02720293,0.60995077,0.04633811,1.47279389
-5.77188594,8.37714848,1.16718305,5.87990728,0.02745401,0.60651283,0.04616748,1.50231895
-5.76588294,8.38078883,1.17983310,5.85852131,0.02759433,0.60247484,0.04588833,1.52776951
-5.75987994,8.37090963,1.18908732,5.83032035,0.02762221,0.59750022,0.04549534,1.54862599
-5.75387694,8.34512418,1.19458380,5.79362556,0.02753748,0.59130354,0.04498633,1.56449054
-5.74787394,8.30158459,1.19605603,5.74708025,0.02734143,0.58365508,0.04436214,1.57510008
-5.74187094,8.23902455,1.19333767,5.68968040,0.02703681,0.57438374,0.04362643,1.58033526
-5.73586793,8.15678596,1.18636501,5.62079588,0.02662779,0.56337844,0.04278547,1.58022484
-5.72986493,8.05482819,1.17517675,5.54018148,0.02611986,0.55058777,0.04184792,1.57494504
-5.72386193,7.93371920,1.15991115,5.44797718,0.02551977,0.53601817,0.04082454,1.56481385
-5.71785893,7.79460871,1.14080053,5.34469765,0.02483537,0.51973056,0.03972789,1.55028028
-5.71185593,7.63918377,1.11816310,5.23121099,0.02407550,0.50183566,0.03857205,1.53190887
-5.70585293,7.46960850,1.09239245,5.10870757,0.02324983,0.48248807,0.03737229,1.51036004
-5.69984992,7.28844989,1.06394506,4.97866001,0.02236866,0.46187950,0.03614483,1.48636692
-5.69384692,7.09859249,1.03332605,4.84277564,0.02144275,0.44023129,0.03490652,1.46070960
-5.68784392,6.90314524,1.00107391,4.70294353,0.02048317,0.41778641,0.03367456,1.43418782
-5.68184092,6.70534408,0.96774471,4.56117786,0.01950105,0.39480152,0.03246636,1.40759323
-5.67583792,6.50845417,0.93389630,4.41955999,0.01850745,0.37153897,0.03129927,1.38168231
-5.66983492,6.31567558,0.90007323,4.28018156,0.01751316,0.34825937,0.03019047,1.35715114
-5.66383192,6.13005608,0.86679292,4.14509062,0.01652857,0.32521472,0.02915689,1.33461298
-5.65782891,5.95441436,0.83453361,4.01624299,0.01556350,0.30264241,0.02821517,1.31457968
-5.65182591,5.79127649,0.80372438,3.89546039,0.01462712,0.28076019,0.02738166,1.29744749
-5.64582291,5.64282769,0.77473780,3.78439692,0.01372783,0.25976223,0.02667248,1.28348800
-5.63981991,5.51088073,0.74788518,3.68451459,0.01287322,0.23981627,0.02610367,1.27284439
-5.63381691,5.39686156,0.72341451,3.59706844,0.01207002,0.22106193,0.02569128,1.26553302
-5.62781391,5.30181166,0.70151110,3.52310113,0.01132408,0.20360998,0.02545155,1.26145034
-5.62181091,5.22640607,0.68230060,3.46344641,0.01064038,0.18754261,0.02540110,1.26038441
-5.61580790,5.17098504,0.66585412,3.41874039,0.01002304,0.17291450,0.02555705,1.26203075
-5.60980490,5.13559667,0.65219507,3.38943922,0.00947540,0.15975444,0.02593715,1.26601126
-5.60380190,5.12004746,0.64130717,3.37584119,0.00900004,0.14806759,0.02655989,1.27189570
-5.59779890,5.12395708,0.63314318,3.37811156,0.00859884,0.13783788,0.02744441,1.27922419
-5.59179590,5.14681401,0.62763375,3.39630761,0.00827307,0.12903069,0.02861047,1.28753007
-5.58579290,5.18802807,0.62469593,3.43040216,0.00802342,0.12159549,0.03007822,1.29636156
-5.57978989,5.24697675,0.62424089,3.48030342,0.00785008,0.11546835,0.03186784,1.30530163
-5.57378689,5.32304232,0.62618033,3.54586953,0.00775280,0.11057439,0.03399911,1.31398476
-5.56778389,5.41563740,0.63043140,3.62691667,0.00773089,0.10682985,0.03649079,1.32211016
-5.56178089,5.52421757,0.63691987,3.72321973,0.00778329,0.10414399,0.03935991,1.32945065
-5.55577789,5.64828032,0.64558132,3.83450549,0.00790856,0.10242066,0.04262091,1.33585711
-5.54977489,5.78735054,0.65636055,3.96043860,0.00810490,0.10155970,0.04628479,1.34125823
-5.54377189,5.94095392,0.66920919,4.10060121,0.00837013,0.10145807,0.05035806,1.34565595
-5.53776888,6.10858016,0.68408173,4.25446785,0.00870165,0.10201085,0.05484180,1.34911682
-5.53176588,6.28963882,0.70093032,4.42137728,0.00909648,0.10311210,0.05973068,1.35176008
-5.52576288,6.48341119,0.71969870,4.60050372,0.00955114,0.10465580,0.06501209,1.35374319
-5.51975988,6.68900199,0.74031562,4.79082981,0.01006167,0.10653661,0.07066544,1.35524577
-5.51375688,6.90529462,0.76268837,4.99112382,0.01062359,0.10865081,0.07666155,1.35645299
-5.50775388,7.13091392,0.78669672,5.19992345,0.01123188,0.11089729,0.08296241,1.35753940
