energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Li_s_up,Te_p_up,Te_d_up
-6.00000000,5.18217115,0.18980360,0.16444594,1.32635674,1.53749475,0.27051052,2.08576075,0.00000000
-5.99399700,5.24436777,0.19500125,0.16272824,1.33678046,1.53346202,0.27518535,2.14757572,0.00000000
-5.98799400,5.30485614,0.20013627,0.16110543,1.34688573,1.52979527,0.27948856,2.20778684,0.00000000
-5.98199100,5.36295484,0.20507822,0.15968337,1.35671803,1.52639134,0.28345999,2.26562505,0.00000000
-5.97598799,5.41783445,0.20968955,0.15855965,1.36627510,1.52309303,0.28715259,2.32027607,0.00000000
-5.96998499,5.46854919,0.21383015,0.15781991,1.37550782,1.51969685,0.29063452,2.37090866,0.00000000
-5.96398199,5.51407825,0.21736216,0.15753456,1.38432374,1.51596353,0.29399163,2.41670689,0.00000000
-5.95797899,5.55337482,0.22015491,0.15775596,1.39259307,1.51163061,0.29732984,2.45690488,0.00000000
-5.95197599,5.58542027,0.22208977,0.15851615,1.40015665,1.50642684,0.30077740,2.49082232,0.00000000
-5.94597299,5.60928041,0.22306470,0.15982527,1.40683539,1.50008730,0.30448668,2.51789878,0.00000000
-5.93996998,5.62416054,0.22299830,0.16167078,1.41244065,1.49236865,0.30863534,2.53772477,0.00000000
-5.93396698,5.62945589,0.22183311,0.16401738,1.41678468,1.48306363,0.31342643,2.55006780,0.00000000
-5.92796398,5.62479422,0.21953807,0.16680782,1.41969073,1.47201378,0.31908742,2.55489163,0.00000000
-5.92196098,5.61006789,0.21611003,0.16996442,1.42100206,1.45911984,0.32586775,2.55236739,0.00000000
-5.91595798,5.58545317,0.21157414,0.17339142,1.42058944,1.44434906,0.33403485,2.54287570,0.00000000
-5.90995498,5.55141528,0.20598313,0.17697795,1.41835682,1.42773901,0.34386856,2.52699917,0.00000000
-5.90395198,5.50869877,0.19941566,0.18060161,1.41424482,1.40939766,0.35565387,2.50550560,0.00000000
-5.89794897,5.45830324,0.19197357,0.18413246,1.40823211,1.38949965,0.36967228,2.47932224,0.00000000
-5.89194597,5.40144580,0.18377837,0.18743739,1.40033471,1.36827908,0.38619180,2.44950233,0.00000000
-5.88594297,5.33951204,0.17496707,0.19038458,1.39060338,1.34601902,0.40545595,2.41718541,0.00000000
-5.87993997,5.27399803,0.16568747,0.19284800,1.37911940,1.32303858,0.42767221,2.38355322,0.00000000
-5.87393697,5.20644649,0.15609332,0.19471173,1.36598922,1.29967802,0.45300037,2.34978327,0.00000000
-5.86793397,5.13838030,0.14633934,0.19587387,1.35133820,1.27628296,0.48154113,2.31700233,0.00000000
-5.86193097,5.07123687,0.13657652,0.19625013,1.33530412,1.25318828,0.51332582,2.28624188,0.00000000
-5.85592796,5.00630659,0.12694770,0.19577659,1.31803061,1.23070282,0.54830736,2.25839771,0.00000000
-5.84992496,4.94467842,0.11758377,0.19441196,1.29966108,1.20909555,0.58635338,2.23419534,0.00000000
-5.84392196,4.88719521,0.10860051,0.19213885,1.28033334,1.18858384,0.62724169,2.21416297,0.00000000
-5.83791896,4.83442086,0.10009619,0.18896443,1.26017522,1.16932462,0.67065858,2.19861281,0.00000000
-5.83191596,4.78662072,0.09214993,0.18492007,1.23930141,1.15140853,0.71620026,2.18763173,0.00000000
-5.82591296,4.74375606,0.08482098,0.18006038,1.21781152,1.13485766,0.76337758,2.18108141,0.00000000
-5.81990995,4.70549278,0.07814869,0.17446142,1.19578956,1.11962666,0.81162407,2.17860784,0.00000000
-5.81390695,4.67122372,0.07215323,0.16821836,1.17330470,1.10560725,0.86030718,2.17965958,0.00000000
-5.80790395,4.64010361,0.06683695,0.16144269,1.15041333,1.09263586,0.90874251,2.18351401,0.00000000
