energy_ev,total_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,0.73657372,0.24483393,0.08518935,0.05337239,0.03523574,0.23353487,0.10855505,0.40238529,0.00000000
-5.99399700,0.75542977,0.26541284,0.08819771,0.05175141,0.03866586,0.24103725,0.10886591,0.41118520,0.00000000
-5.98799400,0.77593207,0.28946109,0.09140818,0.04984718,0.04272236,0.24907369,0.10899474,0.42045665,0.00000000
-5.98199100,0.79834828,0.31717229,0.09480455,0.04769834,0.04744535,0.25771083,0.10898793,0.43036921,0.00000000
-5.97598799,0.82294563,0.34872149,0.09836903,0.04534778,0.05287358,0.26700856,0.10889531,0.44109176,0.00000000
-5.96998499,0.84997578,0.38425533,0.10208180,0.04284133,0.05904287,0.27701529,0.10876801,0.45278355,0.00000000
-5.96398199,0.87965974,0.42388187,0.10592067,0.04022629,0.06598446,0.28776341,0.10865632,0.46558536,0.00000000
-5.95797899,0.91217342,0.46766057,0.10986088,0.03755004,0.07372319,0.29926525,0.10860769,0.47961131,0.00000000
-5.95197599,0.94763477,0.51559287,0.11387498,0.03485871,0.08227570,0.31150980,0.10866489,0.49494153,0.00000000
-5.94597299,0.98609278,0.56761390,0.11793299,0.03219599,0.09164872,0.32446025,0.10886444,0.51161622,0.00000000
-5.93996998,1.02751920,0.62358565,0.12200266,0.02960213,0.10183743,0.33805266,0.10923541,0.52963122,0.00000000
-5.93396698,1.07180309,0.68329212,0.12604995,0.02711308,0.11282411,0.35219570,0.10979850,0.54893542,0.00000000
-5.92796398,1.11874852,0.74643673,0.13003957,0.02475988,0.12457701,0.36677164,0.11056559,0.56942999,0.00000000
-5.92196098,1.16807545,0.81264222,0.13393573,0.02256830,0.13704959,0.38163837,0.11153959,0.59096955,0.00000000
-5.91595798,1.21942386,0.88145318,0.13770290,0.02055866,0.15018020,0.39663264,0.11271475,0.61336517,0.00000000
-5.90995498,1.27236065,0.95234126,0.14130663,0.01874583,0.16389212,0.41157409,0.11407721,0.63638901,0.00000000
-5.90395198,1.32638924,1.02471282,0.14471430,0.01713945,0.17809410,0.42627013,0.11560586,0.65978043,0.00000000
-5.89794897,1.38096119,1.09791894,0.14789589,0.01574427,0.19268132,0.44052132,0.11727339,0.68325326,0.00000000
-5.89194597,1.43548946,1.17126727,0.15082459,0.01456063,0.20753679,0.45412711,0.11904757,0.70650386,0.00000000
-5.88594297,1.48936268,1.24403532,0.15347732,0.01358501,0.22253307,0.46689155,0.12089253,0.72921964,0.00000000
-5.87993997,1.54195971,1.31548480,0.15583508,0.01281059,0.23753433,0.47862892,0.12277011,0.75108771,0.00000000
-5.87393697,1.59266412,1.38487609,0.15788311,0.01222794,0.25239867,0.48916894,0.12464118,0.77180323,0.00000000
-5.86793397,1.64087782,1.45148262,0.15961096,0.01182557,0.26698049,0.49836127,0.12646682,0.79107718,0.00000000
-5.86193097,1.68603341,1.51460443,0.16101235,0.01159055,0.28113301,0.50607936,0.12820948,0.80864322,0.00000000
-5.85592796,1.72760493,1.57358035,0.16208486,0.01150903,0.29471068,0.51222328,0.12983387,0.82426348,0.00000000
-5.84992496,1.76511660,1.62779859,0.16282957,0.01156673,0.30757151,0.51672163,0.13130771,0.83773306,0.00000000
-5.84392196,1.79814951,1.67670528,0.16325056,0.01174937,0.31957923,0.51953240,0.13260232,0.84888319,0.00000000
-5.83791896,1.82634611,1.71981098,0.16335435,0.01204296,0.33060520,0.52064282,0.13369298,0.85758300,0.00000000
-5.83191596,1.84941269,1.75669504,0.16314938,0.01243416,0.34053008,0.52006830,0.13455916,0.86374000,0.00000000
-5.82591296,1.86711998,1.78700797,0.16264539,0.01291040,0.34924529,0.51785056,0.13518453,0.86729937,0.00000000
-5.81990995,1.87930218,1.81047215,0.16185299,0.01346007,0.35665411,0.51405502,0.13555690,0.86824225,0.00000000
-5.81390695,1.88585479,1.82688112,0.16078319,0.01407263,0.36267271,0.50876776,0.13566804,0.86658318,0.00000000
-5.80790395,1.88673162,1.83609792,0.15944709,0.01473860,0.36723094,0.50209206,0.13551342,0.86236706,0.00000000
-5.80190095,1.88194131,1.83805284,0.15785563,0.01544961,0.37027294,0.49414482,0.13509188,0.85566571,0.00000000
-5.79589795,1.87154378,1.83274097,0.15601956,0.01619833,0.37175777,0.48505293,0.13440536,0.84657432,0.00000000
