energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,0.88697782,-2.72131490,0.50367384,-0.76216818,0.15563377,-0.81472395,0.00677359,-0.01548389,0.02138272,-0.29304331,0.29115905,-0.65314501,0.09856255,-0.19939213,0.60106220,-1.52189420,0.00000000,-0.00000000
-5.99399700,0.85627010,-2.73065246,0.50300652,-0.75364713,0.14952503,-0.82874469,0.00611801,-0.01465925,0.02086729,-0.28571202,0.28384652,-0.66505379,0.09400328,-0.19991385,0.58123619,-1.53439107,0.00000000,-0.00000000
-5.98799400,0.82698743,-2.73706956,0.50165129,-0.74658902,0.14369403,-0.84164251,0.00550783,-0.01379862,0.02044047,-0.27873166,0.27661285,-0.67568350,0.08970160,-0.20035227,0.56222165,-1.54465709,0.00000000,-0.00000000
-5.98199100,0.79875685,-2.74068800,0.49934524,-0.74108197,0.13804771,-0.85326196,0.00494343,-0.01291313,0.02007584,-0.27211357,0.26934647,-0.68504137,0.08562935,-0.20076435,0.54379042,-1.55280780,0.00000000,-0.00000000
-5.97598799,0.77121118,-2.74156547,0.49584268,-0.73714036,0.13250580,-0.86344339,0.00442437,-0.01201389,0.01974884,-0.26585070,0.26194144,-0.69313516,0.08175488,-0.20119771,0.52571330,-1.55893043,0.00000000,-0.00000000
-5.96998499,0.74400343,-2.73969293,0.49092498,-0.73470627,0.12700175,-0.87202718,0.00394954,-0.01111174,0.01943710,-0.25992025,0.25430199,-0.69996986,0.07804488,-0.20168848,0.50777046,-1.56307788,0.00000000,-0.00000000
-5.96398199,0.71682007,-2.73499470,0.48440945,-0.73365303,0.12148335,-0.87885801,0.00351730,-0.01021695,0.01912081,-0.25428627,0.24634654,-0.70554451,0.07446616,-0.20225950,0.48976105,-1.56526458,0.00000000,-0.00000000
-5.95797899,0.68939266,-2.72733100,0.47615693,-0.73379078,0.11591296,-0.88378863,0.00312558,-0.00933900,0.01878305,-0.24890242,0.23801119,-0.70984964,0.07098732,-0.20291907,0.47151173,-1.56546431,0.00000000,-0.00000000
-5.95197599,0.66150721,-2.71650320,0.46607756,-0.73487383,0.11026731,-0.88668338,0.00277201,-0.00848645,0.01841001,-0.24371462,0.22925223,-0.71286538,0.06758014,-0.20366029,0.45288365,-1.56361033,0.00000000,-0.00000000
-5.94597299,0.63301096,-2.70226163,0.45413461,-0.73660968,0.10453684,-0.88742116,0.00245404,-0.00766673,0.01799116,-0.23866354,0.22004778,-0.71456043,0.06422079,-0.20446098,0.43377763,-1.55959766,0.00000000,-0.00000000
