energy_ev,total_up,B_p_up,B_d_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up
-6.00000000,0.25728553,0.00027099,0.00000000,0.09495387,0.04953918,0.01103458,0.09094875
-5.99399700,0.25495210,0.00023576,0.00000000,0.09785339,0.05204523,0.00947562,0.08423544
-5.98799400,0.25591645,0.00020546,0.00000000,0.10173910,0.05503080,0.00808339,0.07914315
-5.98199100,0.25997381,0.00017976,0.00000000,0.10651098,0.05844291,0.00685022,0.07564903
-5.97598799,0.26686577,0.00015833,0.00000000,0.11204753,0.06221693,0.00576684,0.07371338
-5.96998499,0.27628509,0.00014082,0.00000000,0.11820796,0.06627756,0.00482278,0.07328038
-5.96398199,0.28788148,0.00012686,0.00000000,0.12483490,0.07054023,0.00400679,0.07427866
-5.95797899,0.30126823,0.00011612,0.00000000,0.13175780,0.07491280,0.00330717,0.07662181
-5.95197599,0.31602965,0.00010824,0.00000000,0.13879678,0.07929765,0.00271218,0.08020875
-5.94597299,0.33172926,0.00010287,0.00000000,0.14576691,0.08359399,0.00221022,0.08492414
-5.93996998,0.34791856,0.00009969,0.00000000,0.15248283,0.08770044,0.00179017,0.09063882
-5.93396698,0.36414623,0.00009836,0.00000000,0.15876354,0.09151774,0.00144147,0.09721049
-5.92796398,0.37996754,0.00009857,0.00000000,0.16443725,0.09495145,0.00115434,0.10448460
-5.92196098,0.39495386,0.00010004,0.00000000,0.16934602,0.09791467,0.00091982,0.11229570
-5.91595798,0.40870188,0.00010247,0.00000000,0.17335014,0.10033055,0.00072979,0.12046915
-5.90995498,0.42084230,0.00010560,0.00000000,0.17633198,0.10213455,0.00057708,0.12882337
-5.90395198,0.43104782,0.00010917,0.00000000,0.17819921,0.10327631,0.00045532,0.13717259
-5.89794897,0.43904009,0.00011296,0.00000000,0.17888718,0.10372105,0.00035903,0.14533003
-5.89194597,0.44459532,0.00011675,0.00000000,0.17836043,0.10345056,0.00028348,0.15311155
-5.88594297,0.44754850,0.00012035,0.00000000,0.17661321,0.10246347,0.00022465,0.16033954
-5.87993997,0.44779594,0.00012359,0.00000000,0.17366901,0.10077503,0.00017918,0.16684701
-5.87393697,0.44529607,0.00012632,0.00000000,0.16957913,0.09841638,0.00014427,0.17248169
-5.86793397,0.44006859,0.00012842,0.00000000,0.16442031,0.09543315,0.00011762,0.17710990
-5.86193097,0.43219175,0.00012980,0.00000000,0.15829159,0.09188374,0.00009737,0.18062007
-5.85592796,0.42179820,0.00013037,0.00000000,0.15131056,0.08783709,0.00008200,0.18292579
-5.84992496,0.40906931,0.00013010,0.00000000,0.14360905,0.08337032,0.00007033,0.18396803
-5.84392196,0.39422836,0.00012897,0.00000000,0.13532863,0.07856605,0.00006140,0.18371666
-5.83791896,0.37753276,0.00012698,0.00000000,0.12661596,0.07350977,0.00005450,0.18217101
-5.83191596,0.35926574,0.00012415,0.00000000,0.11761828,0.06828724,0.00004905,0.17935941
-5.82591296,0.33972763,0.00012054,0.00000000,0.10847919,0.06298203,0.00004464,0.17533789
-5.81990995,0.31922725,0.00011621,0.00000000,0.09933482,0.05767334,0.00004096,0.17018792
-5.81390695,0.29807356,0.00011125,0.00000000,0.09031063,0.05243413,0.00003778,0.16401330
-5.80790395,0.27656793,0.00010574,0.00000000,0.08151879,0.04732962,0.00003493,0.15693650
-5.80190095,0.25499718,0.00009979,0.00000000,0.07305628,0.04241619,0.00003230,0.14909441
-5.79589795,0.23362761,0.00009350,0.00000000,0.06500371,0.03774069,0.00002984,0.14063381
-5.78989495,0.21270020,0.00008698,0.00000000,0.05742479,0.03334016,0.00002748,0.13170676
-5.78389195,0.19242692,0.00008033,0.00000000,0.05036648,0.02924188,0.00002521,0.12246599
-5.77788894,0.17298830,0.00007366,0.00000000,0.04385962,0.02546378,0.00002302,0.11306066
-5.77188594,0.15453218,0.00006707,0.00000000,0.03792011,0.02201511,0.00002091,0.10363243
-5.76588294,0.13717348,0.00006062,0.00000000,0.03255039,0.01889730,0.00001889,0.09431218
