energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,5.15057988,0.03012768,0.27415604,2.14810816,0.66581633,2.82044256,2.73785020,1.72827560,0.00000000
-5.99399700,5.07931843,0.03003480,0.26679852,2.12946736,0.66505467,2.79228995,2.68781439,1.71364748,0.00000000
-5.98799400,4.99205225,0.03001208,0.25879793,2.10462666,0.66246485,2.75372838,2.62874190,1.69335537,0.00000000
-5.98199100,4.89032987,0.03005324,0.25031315,2.07422852,0.65826610,2.70543111,2.56154298,1.66787051,0.00000000
-5.97598799,4.77604803,0.03015123,0.24151369,2.03902567,0.65271109,2.64826890,2.48733621,1.63777678,0.00000000
-5.96998499,4.65138536,0.03029830,0.23257544,1.99985362,0.64607481,2.58328218,2.40741054,1.60374910,0.00000000
-5.96398199,4.51872513,0.03048593,0.22367636,1.95759955,0.63864257,2.51164721,2.32318134,1.56652804,0.00000000
-5.95797899,4.38057082,0.03070476,0.21499212,1.91316909,0.63069742,2.43463778,2.23614227,1.52689191,0.00000000
-5.95197599,4.23945826,0.03094459,0.20669178,1.86745259,0.62250789,2.35358448,2.14781515,1.48562782,0.00000000
-5.94597299,4.09786842,0.03119430,0.19893395,1.82129243,0.61431649,2.26983328,2.05970003,1.44350288,0.00000000
-5.93996998,3.95814494,0.03144188,0.19186318,1.77545298,0.60632960,2.18470551,1.97322755,1.40123716,0.00000000
-5.93396698,3.82241989,0.03167452,0.18560703,1.73059464,0.59870919,2.09946099,1.88971557,1.35947951,0.00000000
-5.92796398,3.69255119,0.03187871,0.18027373,1.68725319,0.59156683,2.01526580,1.81033187,1.31878742,0.00000000
-5.92196098,3.57007392,0.03204052,0.17595048,1.64582531,0.58496026,1.93316617,1.73606424,1.27961180,0.00000000
-5.91595798,3.45616762,0.03214589,0.17270257,1.60656095,0.57889253,1.85406902,1.66769912,1.24228729,0.00000000
-5.90995498,3.35164019,0.03218097,0.17057313,1.56956274,0.57331392,1.77872994,1.60580912,1.20702829,0.00000000
-5.90395198,3.25692850,0.03213257,0.16958359,1.53479230,0.56812628,1.70774826,1.55074984,1.17393083,0.00000000
-5.89794897,3.17211503,0.03198859,0.16973472,1.50208301,0.56318969,1.64156912,1.50266539,1.14297985,0.00000000
-5.89194597,3.09695869,0.03173851,0.17100823,1.47115836,0.55833100,1.58049150,1.46150212,1.11406138,0.00000000
-5.88594297,3.03093781,0.03137378,0.17336871,1.44165492,0.55335373,1.52468132,1.42702920,1.08697875,0.00000000
-5.87993997,2.97330232,0.03088824,0.17676585,1.41314864,0.54804898,1.47418830,1.39886501,1.06147188,0.00000000
-5.87393697,2.92313232,0.03027844,0.18113672,1.38518307,0.54220663,1.42896519,1.37650743,1.03723849,0.00000000
-5.86793397,2.87939945,0.02954382,0.18640815,1.35729813,0.53562638,1.38888809,1.35936660,1.01395624,0.00000000
-5.86193097,2.84102822,0.02868687,0.19249887,1.32905809,0.52812816,1.35377648,1.34679822,0.99130443,0.00000000
-5.85592796,2.80695407,0.02771310,0.19932140,1.30007738,0.51956130,1.32341194,1.33813606,0.96898447,0.00000000
-5.84992496,2.77617561,0.02663091,0.20678370,1.27004329,0.50981232,1.29755470,1.33272184,0.94673801,0.00000000
-5.84392196,2.74779900,0.02545140,0.21479038,1.23873449,0.49881078,1.27595731,1.32993158,0.92436213,0.00000000
-5.83791896,2.72107272,0.02418798,0.22324357,1.20603483,0.48653319,1.25837526,1.32919721,0.90172090,0.00000000
-5.83191596,2.69541194,0.02285601,0.23204343,1.17194209,0.47300489,1.24457444,1.33002301,0.87875310,0.00000000
-5.82591296,2.67041221,0.02147230,0.24108846,1.13657133,0.45829973,1.23433565,1.33199645,0.85547591,0.00000000
-5.81990995,2.64585264,0.02005459,0.25027550,1.10015326,0.44253793,1.22745669,1.33479349,0.83198466,0.00000000
-5.81390695,2.62168954,0.01862105,0.25949982,1.06302775,0.42588212,1.22375247,1.33817874,0.80844897,0.00000000
-5.80790395,2.59804184,0.01718976,0.26865517,1.02563304,0.40853179,1.22305392,1.34200109,0.78510563,0.00000000
-5.80190095,2.57516985,0.01577825,0.27763413,0.98849141,0.39071669,1.22520634,1.34618552,0.76224877,0.00000000
-5.79589795,2.55344926,0.01440307,0.28632869,0.95219199,0.37268921,1.23006772,1.35072226,0.74021800,0.00000000
-5.78989495,2.53334232,0.01307946,0.29463132,0.91737153,0.35471633,1.23750765,1.35565406,0.71938515,0.00000000
-5.78389195,2.51536800,0.01182106,0.30243649,0.88469395,0.33707133,1.24740711,1.36106287,0.70014024,0.00000000
-5.77788894,2.50007293,0.01063975,0.30964272,0.85482946,0.32002565,1.25965927,1.36705663,0.68287733,0.00000000
-5.77188594,2.48800446,0.00954552,0.31615502,0.82843393,0.30384116,1.27417137,1.37375714,0.66798084,0.00000000
-5.76588294,2.47968693,0.00854642,0.32188782,0.80612922,0.28876309,1.29086733,1.38128954,0.65581276,0.00000000
-5.75987994,2.47560197,0.00764866,0.32676806,0.78848488,0.27501378,1.30969088,1.38977390,0.64670121,0.00000000
-5.75387694,2.47617307,0.00685663,0.33073841,0.77600179,0.26278746,1.33060867,1.39931900,0.64093050,0.00000000
-5.74787394,2.48175442,0.00617306,0.33376041,0.76909790,0.25224605,1.35361277,1.41001838,0.63873303,0.00000000
-5.74187094,2.49262384,0.00559919,0.33581721,0.76809645,0.24351607,1.37872222,1.42194841,0.64028295,0.00000000
-5.73586793,2.50897898,0.00513491,0.33691583,0.77321674,0.23668669,1.40598287,1.43516803,0.64569172,0.00000000
-5.72986493,2.53093635,0.00477893,0.33708864,0.78456751,0.23180882,1.43546540,1.44971959,0.65500536,0.00000000
-5.72386193,2.55853221,0.00452897,0.33639396,0.80214299,0.22889517,1.46726112,1.46563047,0.66820347,0.00000000
-5.71785893,2.59172463,0.00438185,0.33491556,0.82582164,0.22792129,1.50147555,1.48291475,0.68519963,0.00000000
-5.71185593,2.63039603,0.00433361,0.33276113,0.85536741,0.22882734,1.53821990,1.50157459,0.70584333,0.00000000
-5.70585293,2.67435557,0.00437963,0.33005955,0.89043358,0.23152059,1.57760067,1.52160083,0.72992295,0.00000000
-5.69984992,2.72334127,0.00451461,0.32695717,0.93056899,0.23587852,1.61970802,1.54297275,0.75716993,0.00000000
-5.69384692,2.77702135,0.00473266,0.32361310,0.97522658,0.24175238,1.66460331,1.56565657,0.78726376,0.00000000
-5.68784392,2.83499518,0.00502728,0.32019376,1.02377399,0.24897112,1.71230650,1.58960298,0.81983787,0.00000000
-5.68184092,2.89679386,0.00539134,0.31686693,1.07550613,0.25734561,1.76278435,1.61474374,0.85448610,0.00000000
-5.67583792,2.96188072,0.00581710,0.31379551,1.12965939,0.26667297,1.81593972,1.64098761,0.89076977,0.00000000
-5.66983492,3.02965240,0.00629616,0.31113125,1.18542720,0.27674105,1.87160303,1.66821595,0.92822522,0.00000000
-5.66383192,3.09944064,0.00681950,0.30900891,1.24197659,0.28733285,1.92952599,1.69627851,0.96637162,0.00000000
-5.65782891,3.17051547,0.00737751,0.30754083,1.29846531,0.29823079,1.98937837,1.72498960,1.00471897,0.00000000
-5.65182591,3.24209002,0.00796000,0.30681245,1.35405909,0.30922088,2.05074769,1.75412525,1.04277617,0.00000000
-5.64582291,3.31332714,0.00855633,0.30687875,1.40794858,0.32009655,2.11314214,1.78342152,1.08005893,0.00000000
-5.63981991,3.38334809,0.00915550,0.30776194,1.45936542,0.33066213,2.17599650,1.81257437,1.11609736,0.00000000
-5.63381691,3.45124310,0.00974632,0.30945032,1.50759703,0.34073592,2.23868088,1.84124104,1.15044319,0.00000000
-5.62781391,3.51608371,0.01031760,0.31189847,1.55199959,0.35015281,2.30051181,1.86904333,1.18267629,0.00000000
-5.62181091,3.57693667,0.01085833,0.31502875,1.59200896,0.35876635,2.36076541,1.89557238,1.21241040,0.00000000
-5.61580790,3.63287881,0.01135796,0.31873385,1.62714910,0.36645031,2.41869191,1.92039518,1.23929809,0.00000000
-5.60980490,3.68301274,0.01180659,0.32288050,1.65703790,0.37309962,2.47353124,1.94306230,1.26303459,0.00000000
-5.60380190,3.72648254,0.01219524,0.32731399,1.68139022,0.37863085,2.52452890,1.96311691,1.28336076,0.00000000
-5.59779890,3.76248937,0.01251605,0.33186340,1.70001820,0.38298208,2.57095181,1.98010452,1.30006490,0.00000000
-5.59179590,3.79030620,0.01276253,0.33634721,1.71282902,0.38611237,2.61210361,1.99358326,1.31298360,0.00000000
-5.58579290,3.80929147,0.01292969,0.34057924,1.71982017,0.38800072,2.64733900,2.00313440,1.32200174,0.00000000
-5.57978989,3.81890128,0.01301416,0.34437450,1.72107271,0.38864475,2.67607682,2.00837272,1.32705152,0.00000000
-5.57378689,3.81869981,0.01301432,0.34755486,1.71674278,0.38805904,2.69781154,2.00895639,1.32811089,0.00000000
-5.56778389,3.80836772,0.01293028,0.34995432,1.70705188,0.38627329,2.71212298,2.00459622,1.32520133,0.00000000
-5.56178089,3.78770844,0.01276389,0.35142374,1.69227614,0.38333032,2.71868405,1.99506378,1.31838520,0.00000000
-5.55577789,3.75665216,0.01251859,0.35183478,1.67273536,0.37928407,2.71726638,1.98019840,1.30776268,0.00000000
-5.54977489,3.71525741,0.01219938,0.35108314,1.64878183,0.37419751,2.70774381,1.95991260,1.29346856,0.00000000
-5.54377189,3.66371032,0.01181253,0.34909087,1.62078966,0.36814071,2.69009353,1.93419594,1.27566877,0.00000000
-5.53776888,3.60232139,0.01136547,0.34580777,1.58914471,0.36118898,2.66439511,1.90311700,1.25455687,0.00000000
-5.53176588,3.53151983,0.01086645,0.34121196,1.55423541,0.35342109,2.63082721,1.86682351,1.23035040,0.00000000
-5.52576288,3.45184565,0.01032437,0.33530950,1.51644481,0.34491778,2.58966232,1.82554044,1.20328723,0.00000000
-5.51975988,3.36393945,0.00974844,0.32813326,1.47614378,0.33576032,2.54125947,1.77956615,1.17362187,0.00000000
-5.51375688,3.26853021,0.00914799,0.31974105,1.43368563,0.32602932,2.48605524,1.72926654,1.14162164,0.00000000
-5.50775388,3.16642124,0.00853217,0.31021314,1.38940207,0.31580377,2.42455336,1.67506738,1.10756296,0.00000000
-5.50175088,3.05847465,0.00790974,0.29964925,1.34360047,0.30516014,2.35731320,1.61744510,1.07172751,0.00000000
-5.49574787,2.94559468,0.00728892,0.28816525,1.29656241,0.29417175,2.28493753,1.55691604,1.03439846,0.00000000
-5.48974487,2.82871039,0.00667715,0.27588953,1.24854344,0.28290829,2.20805992,1.49402476,0.99585677,0.00000000
-5.48374187,2.70875807,0.00608107,0.26295930,1.19977381,0.27143549,2.12733228,1.42933168,0.95637760,0.00000000
-5.47773887,2.58666409,0.00550635,0.24951693,1.15046018,0.25981489,2.04341292,1.36340033,0.91622697,0.00000000
-5.47173587,2.46332856,0.00495769,0.23570639,1.10078793,0.24810380,1.95695537,1.29678500,0.87565868,0.00000000
-5.46573287,2.33961035,0.00443881,0.22166993,1.05092415,0.23635536,1.86859851,1.23001884,0.83491168,0.00000000
-5.45972986,2.21631397,0.00395246,0.20754513,1.00102088,0.22461868,1.77895799,1.16360312,0.79420776,0.00000000
-5.45372686,2.09417872,0.00350047,0.19346225,0.95121853,0.21293905,1.68861934,1.09799797,0.75374998,0.00000000
-5.44772386,1.97387026,0.00308383,0.17954209,0.90164921,0.20135827,1.59813267,1.03361476,0.71372147,0.00000000
-5.44172086,1.85597496,0.00270277,0.16589427,0.85243993,0.18991493,1.50800896,0.97081063,0.67428497,0.00000000
-5.43571786,1.74099696,0.00235687,0.15261602,0.80371530,0.17864477,1.41871790,0.90988505,0.63558283,0.00000000
-5.42971486,1.62935792,0.00204514,0.13979135,0.75559972,0.16758099,1.33068707,0.85107855,0.59773768,0.00000000
-5.42371186,1.52139917,0.00176616,0.12749071,0.70821892,0.15675457,1.24430217,0.79457364,0.56085346,0.00000000
-5.41770885,1.41738617,0.00151816,0.11577102,0.66170080,0.14619450,1.15990813,0.74049753,0.52501689,0.00000000
-5.41170585,1.31751463,0.00129910,0.10467602,0.61617546,0.13592795,1.07781083,0.68892659,0.49029926,0.00000000
-5.40570285,1.22191804,0.00110681,0.09423693,0.57177453,0.12598043,0.99827904,0.63989221,0.45675832,0.00000000
-5.39969985,1.13067612,0.00093900,0.08447328,0.52862978,0.11637575,0.92154652,0.59338754,0.42444028,0.00000000
-5.39369685,1.04382362,0.00079340,0.07539398,0.48687123,0.10713606,0.84781408,0.54937492,0.39338174,0.00000000
-5.38769385,0.96135922,0.00066774,0.06699840,0.44662468,0.09828172,0.77725129,0.50779354,0.36361152,0.00000000
-5.38169085,0.88325392,0.00055986,0.05927763,0.40800905,0.08983114,0.70999806,0.46856688,0.33515223,0.00000000
-5.37568784,0.80945888,0.00046769,0.05221561,0.37113358,0.08180066,0.64616580,0.43160977,0.30802162,0.00000000
-5.36968484,0.73991219,0.00038932,0.04579036,0.33609502,0.07420430,0.58583839,0.39683474,0.28223362,0.00000000
-5.36368184,0.67454471,0.00032298,0.03997510,0.30297512,0.06705368,0.52907293,0.36415744,0.25779915,0.00000000
-5.35767884,0.61328474,0.00026706,0.03473932,0.27183842,0.06035782,0.47590035,0.33350105,0.23472655,0.00000000
-5.35167584,0.55606158,0.00022012,0.03004973,0.24273063,0.05412313,0.42632612,0.30479963,0.21302193,0.00000000
-5.34567284,0.50280809,0.00018085,0.02587114,0.21567743,0.04835335,0.38033097,0.27800044,0.19268919,0.00000000
-5.33966983,0.45346243,0.00014813,0.02216728,0.19068407,0.04304967,0.33787189,0.25306530,0.17373003,0.00000000
-5.33366683,0.40796893,0.00012096,0.01890144,0.16773550,0.03821090,0.29888340,0.22997098,0.15614383,0.00000000
-5.32766383,0.36627855,0.00009847,0.01603706,0.14679717,0.03383364,0.26327909,0.20870905,0.13992752,0.00000000
-5.32166083,0.32834883,0.00007992,0.01353826,0.12781639,0.02991268,0.23095359,0.18928497,0.12507549,0.00000000
-5.31565783,0.29414361,0.00006466,0.01137021,0.11072416,0.02644126,0.20178479,0.17171685,0.11157953,0.00000000
-5.30965483,0.26363254,0.00005215,0.00949952,0.09543738,0.02341155,0.17563632,0.15603387,0.09942892,0.00000000
-5.30365183,0.23679053,0.00004193,0.00789444,0.08186136,0.02081498,0.15236031,0.14227450,0.08861043,0.00000000
-5.29764882,0.21359701,0.00003360,0.00652512,0.06989245,0.01864267,0.13180019,0.13048459,0.07910861,0.00000000
-5.29164582,0.19403512,0.00002683,0.00536371,0.05942068,0.01688574,0.11379351,0.12071532,0.07090585,0.00000000
-5.28564282,0.17809072,0.00002136,0.00438448,0.05033240,0.01553556,0.09817471,0.11302115,0.06398269,0.00000000
-5.27963982,0.16575104,0.00001695,0.00356386,0.04251266,0.01458395,0.08477771,0.10745756,0.05831786,0.00000000
-5.27363682,0.15700307,0.00001341,0.00288042,0.03584744,0.01402325,0.07343813,0.10407872,0.05388837,0.00000000
-5.26763382,0.15183143,0.00001059,0.00231486,0.03022554,0.01384618,0.06399534,0.10293496,0.05066942,0.00000000
-5.26163082,0.15021581,0.00000836,0.00184996,0.02554011,0.01404571,0.05629396,0.10407004,0.04863410,0.00000000
-5.25562781,0.15212777,0.00000661,0.00147047,0.02168993,0.01461468,0.05018507,0.10751822,0.04775299,0.00000000
-5.24962481,0.15752720,0.00000526,0.00116304,0.01858027,0.01554535,0.04552693,0.11330112,0.04799346,0.00000000
-5.24362181,0.16635822,0.00000426,0.00091609,0.01612344,0.01682887,0.04218536,0.12142446,0.04931894,0.00000000
-5.23761881,0.17854499,0.00000355,0.00071969,0.01423909,0.01845458,0.04003371,0.13187478,0.05168790,0.00000000
-5.23161581,0.19398735,0.00000310,0.00056545,0.01285425,0.02040941,0.03895261,0.14461628,0.05505286,0.00000000
-5.22561281,0.21255688,0.00000290,0.00044639,0.01190311,0.02267710,0.03882947,0.15958804,0.05935934,0.00000000
-5.21960980,0.23409342,0.00000294,0.00035685,0.01132678,0.02523768,0.03955782,0.17670172,0.06454493,0.00000000
-5.21360680,0.25840265,0.00000324,0.00029235,0.01107281,0.02806684,0.04103671,0.19584009,0.07053855,0.00000000
-5.20760380,0.28525492,0.00000383,0.00024955,0.01109477,0.03113558,0.04317007,0.21685670,0.07725993,0.00000000
-5.20160080,0.31438582,0.00000476,0.00022616,0.01135177,0.03440999,0.04586624,0.23957679,0.08461956,0.00000000
-5.19559780,0.34549860,0.00000611,0.00022089,0.01180802,0.03785129,0.04903774,0.26379970,0.09251908,0.00000000
-5.18959480,0.37826889,0.00000795,0.00023340,0.01243248,0.04141608,0.05260126,0.28930298,0.10085219,0.00000000
-5.18359180,0.41235158,0.00001042,0.00026431,0.01319856,0.04505694,0.05647802,0.31584823,0.10950613,0.00000000
-5.17758879,0.44739001,0.00001366,0.00031519,0.01408392,0.04872329,0.06059437,0.34318852,0.11836380,0.00000000
-5.17158579,0.48302723,0.00001787,0.00038858,0.01507041,0.05236249,0.06488277,0.37107746,0.12730636,0.00000000
-5.16558279,0.51891890,0.00002327,0.00048801,0.01614403,0.05592122,0.06928300,0.39927940,0.13621633,0.00000000
-5.15957979,0.55474762,0.00003014,0.00061808,0.01729500,0.05934711,0.07374360,0.42758056,0.14498109,0.00000000
-5.15357679,0.59023768,0.00003880,0.00078441,0.01851792,0.06259047,0.07822340,0.45580050,0.15349651,0.00000000
-5.14757379,0.62516984,0.00004964,0.00099377,0.01981188,0.06560609,0.08269312,0.48380332,0.16167073,0.00000000
-5.14157079,0.65939506,0.00006308,0.00125405,0.02118062,0.06835511,0.08713683,0.51150801,0.16942773,0.00000000
-5.13556778,0.69284649,0.00007965,0.00157430,0.02263263,0.07080673,0.09155320,0.53889724,0.17671054,0.00000000
-5.12956478,0.72554873,0.00009992,0.00196464,0.02418115,0.07293982,0.09595641,0.56602388,0.18348393,0.00000000
-5.12356178,0.75762363,0.00012451,0.00243627,0.02584412,0.07474419,0.10037662,0.59301469,0.18973629,0.00000000
-5.11755878,0.78929199,0.00015413,0.00300131,0.02764391,0.07622164,0.10485979,0.62007065,0.19548070,0.00000000
-5.11155578,0.82087055,0.00018954,0.00367266,0.02960697,0.07738647,0.10946700,0.64746350,0.20075490,0.00000000
-5.10555278,0.85276406,0.00023157,0.00446374,0.03176325,0.07826569,0.11427294,0.67552836,0.20562016,0.00000000
-5.09954977,0.88545240,0.00028107,0.00538824,0.03414548,0.07889862,0.11936378,0.70465239,0.21015915,0.00000000
-5.09354677,0.91947278,0.00033892,0.00645967,0.03678824,0.07933612,0.12483432,0.73525960,0.21447261,0.00000000
-5.08754377,0.95539777,0.00040603,0.00769100,0.03972687,0.07963923,0.13078450,0.76779242,0.21867516,0.00000000
-5.08154077,0.99380965,0.00048326,0.00909413,0.04299629,0.07987749,0.13731538,0.80269049,0.22289029,0.00000000
-5.07553777,1.03527221,0.00057146,0.01067930,0.04662962,0.08012677,0.14452475,0.84036755,0.22724475,0.00000000
-5.06953477,1.08030101,0.00067140,0.01245454,0.05065686,0.08046680,0.15250238,0.88118741,0.23186256,0.00000000
-5.06353177,1.12933360,0.00078373,0.01442502,0.05510340,0.08097854,0.16132533,0.92544013,0.23685905,0.00000000
-5.05752876,1.18270081,0.00090897,0.01659245,0.05998877,0.08174129,0.17105327,0.97331935,0.24233498,0.00000000
-5.05152576,1.24060069,0.00104746,0.01895448,0.06532525,0.08282986,0.18172416,1.02490221,0.24837119,0.00000000
-5.04552276,1.30307627,0.00119933,0.02150416,0.07111682,0.08431174,0.19335047,1.08013261,0.25502394,0.00000000
-5.03951976,1.36999846,0.00136444,0.02422955,0.07735821,0.08624442,0.20591608,1.13880904,0.26232125,0.00000000
-5.03351676,1.44105480,0.00154237,0.02711338,0.08403424,0.08867305,0.21937405,1.20057750,0.27026023,0.00000000
-5.02751376,1.51574514,0.00173240,0.03013287,0.09111942,0.09162835,0.23364538,1.26493036,0.27880576,0.00000000
-5.02151076,1.59338440,0.00193345,0.03325979,0.09857792,0.09512496,0.24861893,1.33121114,0.28789042,0.00000000
-5.01550775,1.67311268,0.00214412,0.03646067,0.10636383,0.09916036,0.26415240,1.39862558,0.29741564,0.00000000
-5.00950475,1.75391248,0.00236264,0.03969720,0.11442182,0.10371415,0.28007461,1.46625850,0.30725423,0.00000000
-5.00350175,1.83463262,0.00258690,0.04292691,0.12268817,0.10874809,0.29618883,1.53309610,0.31725389,0.00000000
-4.99749875,1.91401790,0.00281447,0.04610399,0.13109202,0.11420655,0.31227719,1.59805283,0.32724182,0.00000000
-4.99149575,1.99074363,0.00304264,0.04918033,0.13955710,0.12001766,0.32810607,1.66000201,0.33703006,0.00000000
-4.98549275,2.06345366,0.00326845,0.05210675,0.14800355,0.12609492,0.34343224,1.71780886,0.34642140,0.00000000
-4.97948974,2.13080054,0.00348874,0.05483427,0.15635003,0.13233940,0.35800958,1.77036483,0.35521565,0.00000000
-4.97348674,2.19148637,0.00370026,0.05731553,0.16451596,0.13864235,0.37159619,1.81662194,0.36321604,0.00000000
-4.96748374,2.24430277,0.00389971,0.05950622,0.17242374,0.14488822,0.38396162,1.85562563,0.37023540,0.00000000
-4.96148074,2.28816853,0.00408382,0.06136645,0.18000108,0.15095796,0.39489397,1.88654512,0.37610218,0.00000000
-4.95547774,2.32216363,0.00424949,0.06286209,0.18718305,0.15673257,0.40420666,1.90870000,0.38066572,0.00000000
-4.94947474,2.34555832,0.00439380,0.06396588,0.19391407,0.16209662,0.41174458,1.92158211,0.38380103,0.00000000
-4.94347174,2.35783650,0.00451418,0.06465848,0.20014956,0.16694185,0.41738950,1.92487205,0.38541255,0.00000000
