energy_ev,total_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
-6.00000000,3.04545511,1.25974351,1.77265253,0.00947598,0.60281489,0.98904618,0.00000000
-5.99399700,3.06686204,1.26650242,1.79454056,0.00974065,0.59853547,1.00719244,0.00000000
-5.98799400,3.09227343,1.27023320,1.82095671,0.01005648,0.59435890,1.02606164,0.00000000
-5.98199100,3.12179436,1.27077086,1.85209982,0.01042089,0.59027776,1.04576685,0.00000000
-5.97598799,3.15534670,1.26798187,1.88799708,0.01083043,0.58627594,1.06635573,0.00000000
-5.96998499,3.19266058,1.26176868,1.92849207,0.01128080,0.58232997,1.08780235,0.00000000
-5.96398199,3.23327250,1.25207365,1.97323899,0.01176701,0.57841049,1.11000199,0.00000000
-5.95797899,3.27653045,1.23888214,2.02170376,0.01228349,0.57448390,1.13276913,0.00000000
-5.95197599,3.32160642,1.22222457,2.07317223,0.01282422,0.57051418,1.15583887,0.00000000
-5.94597299,3.36751624,1.20217743,2.12676560,0.01338291,0.56646480,1.17887199,0.00000000
-5.93996998,3.41314613,1.17886324,2.18146268,0.01395322,0.56230061,1.20146332,0.00000000
-5.93396698,3.45728543,1.15244923,2.23612840,0.01452892,0.55798975,1.22315336,0.00000000
-5.92796398,3.49866418,1.12314508,2.28954752,0.01510409,0.55350554,1.24344262,0.00000000
-5.92196098,3.53599442,1.09119952,2.34046236,0.01567335,0.54882808,1.26180812,0.00000000
-5.91595798,3.56801335,1.05689606,2.38761310,0.01623196,0.54394584,1.27772138,0.00000000
-5.90995498,3.59352684,1.02054800,2.42977884,0.01677603,0.53885691,1.29066717,0.00000000
-5.90395198,3.61145137,0.98249281,2.46581799,0.01730262,0.53356995,1.30016213,0.00000000
-5.89794897,3.62085268,0.94308629,2.49470606,0.01780977,0.52810497,1.30577254,0.00000000
-5.89194597,3.62097954,0.90269640,2.51556935,0.01829663,0.52249365,1.30713041,0.00000000
-5.88594297,3.61129129,0.86169737,2.52771324,0.01876339,0.51677948,1.30394716,0.00000000
-5.87993997,3.59147799,0.82046392,2.53064380,0.01921128,0.51101754,1.29602446,0.00000000
-5.87393697,3.56147250,0.77936605,2.52408212,0.01964251,0.50527406,1.28326160,0.00000000
-5.86793397,3.52145427,0.73876431,2.50797073,0.02006015,0.49962572,1.26565936,0.00000000
