energy_ev,total_up,Co_p_up,Co_d_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,6.66933208,0.42952530,0.18391462,1.82354128,3.15146293,0.01008723,1.12591495,0.05631705,1.96144155
-5.99399700,6.71949667,0.42698393,0.18209127,1.80422771,3.19054442,0.01052239,1.10429548,0.05741420,2.02167458
-5.98799400,6.76417802,0.42412228,0.17982585,1.78525467,3.22680411,0.01095254,1.08181562,0.05850687,2.08012631
-5.98199100,6.80319539,0.42112783,0.17718988,1.76677241,3.26007496,0.01137363,1.05870469,0.05958914,2.13623254
-5.97598799,6.83622792,0.41817446,0.17425636,1.74885619,3.29012446,0.01178111,1.03518479,0.06065161,2.18936381
-5.96998499,6.86280370,0.41541476,0.17109700,1.73150433,3.31664988,0.01216995,1.01146292,0.06168142,2.23883737
-5.96398199,6.88230112,0.41297342,0.16777965,1.71464006,3.33927927,0.01253479,0.98772431,0.06266233,2.28393402
-5.95797899,6.89396357,0.41094203,0.16436619,1.69811760,3.35757882,0.01286999,0.96412755,0.06357517,2.32391909
-5.95197599,6.89692716,0.40937555,0.16091095,1.68173205,3.37106639,0.01316985,0.94080152,0.06439846,2.35806715
-5.94597299,6.89026075,0.40829058,0.15745961,1.66523298,3.37923089,0.01342879,0.91784454,0.06510916,2.38568916
-5.93996998,6.87301650,0.40766555,0.15404879,1.64834100,3.38155675,0.01364154,0.89532568,0.06568372,2.40616101
-5.93396698,6.84428861,0.40744278,0.15070619,1.63076681,3.37755222,0.01380343,0.87328800,0.06609910,2.41895215
-5.92796398,6.80327731,0.40753228,0.14745129,1.61223156,3.36678024,0.01391056,0.85175376,0.06633391,2.42365289
-5.92196098,6.74935477,0.40781716,0.14429661,1.59248793,3.34889033,0.01396008,0.83073115,0.06636957,2.41999890
-5.91595798,6.68212942,0.40816035,0.14124930,1.57134054,3.32364964,0.01395037,0.81022219,0.06619135,2.40789189
-5.90995498,6.60150520,0.40841232,0.13831314,1.54866492,3.29097169,0.01388123,0.79023137,0.06578934,2.38741504
-5.90395198,6.50773234,0.40841943,0.13549062,1.52442402,3.25094096,0.01375402,0.77077457,0.06515924,2.35884245
-5.89794897,6.40144657,0.40803252,0.13278521,1.49868127,3.20383199,0.01357176,0.75188780,0.06430293,2.32264186
-5.89194597,6.28369442,0.40711533,0.13020341,1.47160961,3.15012177,0.01333912,0.73363517,0.06322880,2.27947036
