energy_ev,total_up,N_s_up,N_p_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,1.90705000,0.00800364,0.22214804,0.93767639,0.60827128,0.01317009,0.72199851
-5.99399700,1.95109492,0.00810417,0.23539700,0.96676730,0.62170755,0.01303914,0.73474342
-5.98799400,2.00933740,0.00828276,0.24986422,1.00281155,0.63959956,0.01303863,0.75317977
-5.98199100,2.08003614,0.00853497,0.26522523,1.04480495,0.66143303,0.01316369,0.77672778
-5.97598799,2.16117268,0.00885449,0.28114251,1.09160805,0.68660443,0.01340642,0.80468908
-5.96998499,2.25050739,0.00923338,0.29727232,1.14197374,0.71443909,0.01375618,0.83626739
-5.96398199,2.34564353,0.00966223,0.31327217,1.19457910,0.74421191,0.01420004,0.87059242
-5.95797899,2.44409752,0.01013041,0.32880884,1.24806056,0.77516999,0.01472316,0.90674646
-5.95197599,2.54337360,0.01062636,0.34356656,1.30105152,0.80655663,0.01530933,0.94379284
-5.94597299,2.64104034,0.01113787,0.35725529,1.35222123,0.83763586,0.01594150,0.98080548
-5.93996998,2.73480677,0.01165243,0.36961861,1.40031373,0.86771662,0.01660234,1.01689858
-5.93396698,2.82259520,0.01215753,0.38044100,1.44418546,0.89617586,0.01727477,1.05125549
-5.92796398,2.90260832,0.01264101,0.38955416,1.48284005,0.92247966,0.01794253,1.08315570
-5.92196098,2.97338795,0.01309142,0.39684210,1.51545915,0.94620147,0.01859065,1.11199915
-5.91595798,3.03386300,0.01349828,0.40224473,1.54142778,0.96703688,0.01920595,1.13732668
-5.90995498,3.08338485,0.01385245,0.40575969,1.56035338,0.98481421,0.01977737,1.15883603
-5.90395198,3.12174835,0.01414632,0.40744242,1.57207750,0.99950047,0.02029633,1.17639259
-5.89794897,3.14919754,0.01437409,0.40740431,1.57667966,1.01120237,0.02075690,1.19003439
-5.89194597,3.16641551,0.01453194,0.40580890,1.57447308,1.02016227,0.02115593,1.19997107
-5.88594297,3.17449856,0.01461813,0.40286646,1.56599237,1.02674913,0.02149301,1.20657666
-5.87993997,3.17491540,0.01463311,0.39882682,1.55197350,1.03144472,0.02177045,1.21037640
-5.87393697,3.16945275,0.01457949,0.39397098,1.53332684,1.03482562,0.02199299,1.21202787
-5.86793397,3.16014912,0.01446204,0.38860158,1.51110420,1.03754151,0.02216754,1.21229707
-5.86193097,3.14921934,0.01428753,0.38303275,1.48646111,1.04029060,0.02230286,1.21203023
-5.85592796,3.13897231,0.01406460,0.37757954,1.46061569,1.04379315,0.02240904,1.21212232
-5.84992496,3.13172510,0.01380354,0.37254739,1.43480579,1.04876386,0.02249716,1.21348333
-5.84392196,3.12971653,0.01351606,0.36822209,1.41024574,1.05588434,0.02257873,1.21700354
-5.83791896,3.13502328,0.01321494,0.36486034,1.38808445,1.06577652,0.02266527,1.22351900
-5.83191596,3.14948161,0.01291379,0.36268153,1.36936624,1.07897797,0.02276788,1.23377853
-5.82591296,3.17461748,0.01262666,0.36186075,1.35499585,1.09592013,0.02289685,1.24841341
-5.81990995,3.21158759,0.01236772,0.36252340,1.34570866,1.11691008,0.02306133,1.26791081
-5.81390695,3.26113328,0.01215095,0.36474156,1.34204725,1.14211657,0.02326907,1.29259217
-5.80790395,3.32354905,0.01198978,0.36853211,1.34434485,1.17156077,0.02352624,1.32259713
-5.80190095,3.39866651,0.01189680,0.37385684,1.35271628,1.20511208,0.02383729,1.35787379
-5.79589795,3.48585450,0.01188348,0.38062433,1.36705640,1.24248902,0.02420492,1.39817560
-5.78989495,3.58403498,0.01195995,0.38869358,1.38704623,1.28326527,0.02463007,1.44306521
-5.78389195,3.69171415,0.01213475,0.39787933,1.41216605,1.32688052,0.02511195,1.49192493
-5.77788894,3.80702762,0.01241473,0.40795873,1.44171523,1.37265575,0.02564812,1.54397374
-5.77188594,3.92779764,0.01280486,0.41867920,1.47483772,1.41981233,0.02623461,1.59829005
-5.76588294,4.05160048,0.01330821,0.42976713,1.51055239,1.46749425,0.02686597,1.65383943
-5.75987994,4.17584123,0.01392593,0.44093714,1.54778685,1.51479266,0.02753540,1.70950641
-5.75387694,4.29783334,0.01465721,0.45190148,1.58541374,1.56077187,0.02823481,1.76412890
-5.74787394,4.41487987,0.01549937,0.46237931,1.62228792,1.60449580,0.02895496,1.81653428
-5.74187094,4.52435359,0.01644796,0.47210544,1.65728331,1.64505400,0.02968547,1.86557543
-5.73586793,4.62377296,0.01749686,0.48083820,1.68932817,1.68158632,0.03041495,1.91016563
-5.72986493,4.71087133,0.01863840,0.48836619,1.71743734,1.71330548,0.03113107,1.94931077
-5.72386193,4.78365713,0.01986358,0.49451366,1.74074055,1.73951667,0.03182070,1.98213788
-5.71785893,4.84046290,0.02116218,0.49914428,1.75850589,1.75963375,0.03247001,2.00791879
