energy_ev,total_up,Al_p_up,Al_d_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,7.44270666,0.68190756,0.00000000,4.23950494,3.09088673,0.10900509,2.75072994
-5.99399700,7.54313602,0.67050427,0.00000000,4.30962394,3.12241909,0.10978038,2.80721177
-5.98799400,7.61204548,0.65772711,0.00000000,4.35992826,3.14286842,0.11012858,2.84971123
-5.98199100,7.64744601,0.64356335,0.00000000,4.38945084,3.15166717,0.11000772,2.87721251
-5.97598799,7.64819621,0.62805004,0.00000000,4.39771571,3.14857288,0.10938846,2.88904351
-5.96998499,7.61400873,0.61126905,0.00000000,4.38473974,3.13366389,0.10825471,2.88488479
-5.96398199,7.54542986,0.59334097,0.00000000,4.35101880,3.10732490,0.10660377,2.86476757
-5.95797899,7.44379355,0.57441832,0.00000000,4.29749884,3.07022309,0.10444595,2.82906110
-5.95197599,7.31115255,0.55467812,0.00000000,4.22553349,3.02327630,0.10180378,2.77845005
-5.94597299,7.15019020,0.53431462,0.00000000,4.13683005,2.96761494,0.09871092,2.71390305
-5.93996998,6.96411708,0.51353222,0.00000000,4.03338635,2.90453964,0.09521063,2.63663394
-5.93396698,6.75655761,0.49253900,0.00000000,3.91742158,2.83547659,0.09135410,2.54805727
-5.92796398,6.53143148,0.47154122,0.00000000,3.79130394,2.76193302,0.08719856,2.44974030
-5.92196098,6.29283540,0.45073886,0.00000000,3.65747854,2.68545457,0.08280537,2.34335318
-5.91595798,6.04492985,0.43032245,0.00000000,3.51839848,2.60758658,0.07823807,2.23061957
-5.90995498,5.79183519,0.41047122,0.00000000,3.37646190,2.52984079,0.07356052,2.11326939
-5.90395198,5.53754101,0.39135254,0.00000000,3.23395752,2.45366863,0.06883528,1.99299543
-5.89794897,5.28583104,0.37312262,0.00000000,3.09302026,2.38044175,0.06412204,1.87141512
-5.89194597,5.04022561,0.35592838,0.00000000,2.95559829,2.31144003,0.05947644,1.75003838
-5.88594297,4.80394212,0.33991010,0.00000000,2.82343204,2.24784688,0.05494910,1.63024241
-5.87993997,4.57987299,0.32520493,0.00000000,2.69804481,2.19075103,0.05058496,1.51325341
-5.87393697,4.37057988,0.31195063,0.00000000,2.58074442,2.14115373,0.04642285,1.40013525
-5.86793397,4.17830178,0.30028956,0.00000000,2.47263430,2.09998004,0.04249541,1.29178471
-5.86193097,4.00497420,0.29037242,0.00000000,2.37463234,2.06809245,0.03882920,1.18893254
-5.85592796,3.85225618,0.28236160,0.00000000,2.28749516,2.04630519,0.03544498,1.09214942
-5.84992496,3.72156163,0.27643373,0.00000000,2.21184570,2.03539757,0.03235825,1.00185598
-5.84392196,3.61409173,0.27278135,0.00000000,2.14820136,2.03612457,0.02957978,0.91833563
-5.83791896,3.53086507,0.27161344,0.00000000,2.09700088,2.04922354,0.02711631,0.84174929
-5.83191596,3.47274308,0.27315469,0.00000000,2.05862754,2.07541584,0.02497127,0.77215106
-5.82591296,3.44044848,0.27764347,0.00000000,2.03342732,2.11540273,0.02314542,0.70950379
-5.81990995,3.43457563,0.28532847,0.00000000,2.02172068,2.16985538,0.02163750,0.65369415
-5.81390695,3.45559199,0.29646411,0.00000000,2.02380738,2.23939910,0.02044482,0.60454642
-5.80790395,3.50383100,0.31130486,0.00000000,2.03996426,2.32459241,0.01956374,0.56183480
-5.80190095,3.57947726,0.33009851,0.00000000,2.07043622,2.42590210,0.01899001,0.52529399
-5.79589795,3.68254562,0.35307894,0.00000000,2.11542155,2.54367546,0.01871907,0.49462811
-5.78989495,3.81285610,0.38045831,0.00000000,2.17505271,2.67811132,0.01874620,0.46951800
-5.78389195,3.97000709,0.41241923,0.00000000,2.24937432,2.82923177,0.01906654,0.44962718
-5.77788894,4.15334948,0.44910711,0.00000000,2.33832014,2.99685614,0.01967509,0.43460675
-5.77188594,4.36196406,0.49062308,0.00000000,2.44169094,3.18057902,0.02056655,0.42409948
-5.76588294,4.59464468,0.53701767,0.00000000,2.55913508,3.37975398,0.02173513,0.41774356
-5.75987994,4.84988908,0.58828559,0.00000000,2.69013350,3.59348396,0.02317432,0.41517612
-5.75387694,5.12589886,0.64436177,0.00000000,2.83399042,3.82061949,0.02487660,0.41603696
-5.74787394,5.42058955,0.70511883,0.00000000,2.98983077,4.05976494,0.02683314,0.41997245
-5.74187094,5.73161086,0.77036598,0.00000000,3.15660479,4.30929308,0.02903350,0.42663979
-5.73586793,6.05637680,0.83984943,0.00000000,3.33309987,4.56736725,0.03146535,0.43571171
-5.72986493,6.39210451,0.91325416,0.00000000,3.51795922,4.83197049,0.03411417,0.44688125
-5.72386193,6.73586024,0.99020692,0.00000000,3.70970629,5.10094017,0.03696306,0.45986668
-5.71785893,7.08461019,1.07028032,0.00000000,3.90677388,5.37200687,0.03999252,0.47441625
-5.71185593,7.43527415,1.15299772,0.00000000,4.10753609,5.64283560,0.04318033,0.49031236
-5.70585293,7.78477914,1.23783873,0.00000000,4.31034150,5.91106766,0.04650152,0.50737501
-5.69984992,8.13011075,1.32424506,0.00000000,4.51354568,6.17436152,0.04992832,0.52546409
-5.69384692,8.46835996,1.41162657,0.00000000,4.71554122,6.43043110,0.05343033,0.54448023
-5.68784392,8.79676356,1.49936730,0.00000000,4.91478382,6.67708017,0.05697467,0.56436402
-5.68184092,9.11273681,1.58683151,0.00000000,5.10981305,6.91223208,0.06052626,0.58509337
-5.67583792,9.41389766,1.67336950,0.00000000,5.29926697,7.13395416,0.06404824,0.60667899
-5.66983492,9.69808234,1.75832351,0.00000000,5.48189026,7.34047680,0.06750243,0.62915803
-5.66383192,9.96335290,1.84103354,0.00000000,5.65653575,7.53020736,0.07084993,0.65258589
-5.65782891,10.20799763,1.92084341,0.00000000,5.82216014,7.70173966,0.07405179,0.67702673
-5.65182591,10.43052598,1.99710711,0.00000000,5.97781460,7.85385984,0.07706978,0.70254278
-5.64582291,10.62965962,2.06919563,0.00000000,6.12263177,7.98554958,0.07986720,0.72918314
-5.63981991,10.80432184,2.13650434,0.00000000,6.25581063,8.09598788,0.08240975,0.75697244
-5.63381691,10.95362693,2.19846110,0.00000000,6.37660090,8.18455228,0.08466639,0.78590015
-5.62781391,11.07687153,2.25453493,0.00000000,6.48428885,8.25082032,0.08661023,0.81591097
-5.62181091,11.17352921,2.30424525,0.00000000,6.57818584,8.29457194,0.08821934,0.84689697
-5.61580790,11.24324928,2.34717145,0.00000000,6.65762114,8.31579291,0.08947750,0.87869209
-5.60980490,11.28586023,2.38296257,0.00000000,6.72194008,8.31467924,0.09037480,0.91106926
-5.60380190,11.30137763,2.41134658,0.00000000,6.77050791,8.29164209,0.09090817,0.94374069
-5.59779890,11.29001588,2.43213899,0.00000000,6.80271985,8.24731244,0.09108166,0.97636123
-5.59179590,11.25220240,2.44525017,0.00000000,6.81801678,8.18254447,0.09090662,1.00853510
