energy_ev,total_up,Au_p_up,Au_d_up,In_p_up,In_d_up,Te_p_up,Te_d_up
-4.88944472,0.23375254,0.19721102,0.13188949,0.01230105,0.00001759,0.04695180,0.00000000
-4.88344172,0.24289065,0.21144811,0.13695547,0.01259752,0.00001648,0.04882829,0.00000000
-4.87743872,0.25249872,0.22585701,0.14228961,0.01292731,0.00001548,0.05079699,0.00000000
-4.87143572,0.26236924,0.24020138,0.14777558,0.01328060,0.00001458,0.05281610,0.00000000
-4.86543272,0.27226743,0.25422620,0.15328159,0.01364628,0.00001379,0.05483832,0.00000000
-4.85942971,0.28193864,0.26766469,0.15866453,0.01401227,0.00001310,0.05681231,0.00000000
-4.85342671,0.29111692,0.28024616,0.16377477,0.01436595,0.00001249,0.05868444,0.00000000
-4.84742371,0.29953436,0.29170451,0.16846143,0.01469460,0.00001197,0.06040070,0.00000000
-4.84142071,0.30693077,0.30178704,0.17257779,0.01498598,0.00001152,0.06190865,0.00000000
-4.83541771,0.31306330,0.31026318,0.17598667,0.01522884,0.00001113,0.06315934,0.00000000
-4.82941471,0.31771569,0.31693280,0.17856558,0.01541343,0.00001081,0.06410919,0.00000000
-4.82341171,0.32070654,0.32163370,0.18021136,0.01553206,0.00001054,0.06472164,0.00000000
-4.81740870,0.32189650,0.32424808,0.18084415,0.01557956,0.00001033,0.06496861,0.00000000
-4.81140570,0.32119400,0.32470754,0.18041046,0.01555375,0.00001018,0.06483165,0.00000000
-4.80540270,0.31855930,0.32299666,0.17888545,0.01545583,0.00001010,0.06430273,0.00000000
-4.79939970,0.31400682,0.31915483,0.17627399,0.01529076,0.00001010,0.06338471,0.00000000
-4.79339670,0.30760577,0.31327654,0.17261095,0.01506755,0.00001022,0.06209148,0.00000000
-4.78739370,0.29947910,0.30551004,0.16796034,0.01479963,0.00001049,0.06044771,0.00000000
-4.78139070,0.28980097,0.29605466,0.16241370,0.01450506,0.00001096,0.05848835,0.00000000
-4.77538769,0.27879303,0.28515694,0.15608770,0.01420683,0.00001168,0.05625785,0.00000000
-4.76938469,0.26671981,0.27310590,0.14912130,0.01393318,0.00001274,0.05380926,0.00000000
-4.76338169,0.25388344,0.26022781,0.14167240,0.01371789,0.00001424,0.05120311,0.00000000
-4.75737869,0.24061824,0.24688065,0.13391446,0.01360062,0.00001629,0.04850635,0.00000000
-4.75137569,0.22728534,0.23344883,0.12603309,0.01362728,0.00001903,0.04579126,0.00000000
-4.74537269,0.21426765,0.22033809,0.11822285,0.01385045,0.00002265,0.04313444,0.00000000
-4.73936968,0.20196553,0.20797106,0.11068442,0.01432975,0.00002733,0.04061592,0.00000000
-4.73336668,0.19079303,0.19678354,0.10362216,0.01513222,0.00003333,0.03831842,0.00000000
-4.72736368,0.18117505,0.18722139,0.09724223,0.01633265,0.00004089,0.03632684,0.00000000
-4.72136068,0.17354510,0.17973807,0.09175113,0.01801373,0.00005035,0.03472777,0.00000000
-4.71535768,0.16834368,0.17479269,0.08735473,0.02026602,0.00006203,0.03360924,0.00000000
-4.70935468,0.16601694,0.17284816,0.08425762,0.02318776,0.00007632,0.03306048,0.00000000
-4.70335168,0.16701532,0.17436920,0.08266261,0.02688418,0.00009364,0.03317169,0.00000000
-4.69734867,0.17179179,0.17981982,0.08277025,0.03146652,0.00011443,0.03403371,0.00000000
-4.69134567,0.18079924,0.18965978,0.08477821,0.03705049,0.00013916,0.03573760,0.00000000
-4.68534267,0.19448669,0.20433972,0.08888019,0.04375421,0.00016831,0.03837390,0.00000000
-4.67933967,0.21329383,0.22429458,0.09526426,0.05169551,0.00020238,0.04203157,0.00000000
-4.67333667,0.23764369,0.24993497,0.10411046,0.06098871,0.00024184,0.04679659,0.00000000
-4.66733367,0.26793313,0.28163652,0.11558746,0.07174067,0.00028715,0.05275008,0.00000000
-4.66133067,0.30452123,0.31972696,0.12984832,0.08404643,0.00033870,0.05996595,0.00000000
-4.65532766,0.34771545,0.36447141,0.14702523,0.09798429,0.00039684,0.06850817,0.00000000
-4.64932466,0.39775604,0.41605594,0.16722338,0.11361067,0.00046183,0.07842759,0.00000000
-4.64332166,0.45479896,0.47457020,0.19051412,0.13095478,0.00053380,0.08975846,0.00000000
-4.63731866,0.51889814,0.53998970,0.21692758,0.15001344,0.00061277,0.10251481,0.00000000
-4.63131566,0.58998762,0.61215870,0.24644513,0.17074619,0.00069860,0.11668676,0.00000000
-4.62531266,0.66786472,0.69077469,0.27899210,0.19307114,0.00079097,0.13223706,0.00000000
-4.61930965,0.75217513,0.77537559,0.31443100,0.21686159,0.00088939,0.14909790,0.00000000
-4.61330665,0.84240108,0.86533064,0.35255601,0.24194398,0.00099317,0.16716844,0.00000000
-4.60730365,0.93785358,0.95983624,0.39308895,0.26809721,0.00110142,0.18631306,0.00000000
-4.60130065,1.03766975,1.05791735,0.43567724,0.29505365,0.00121306,0.20636072,0.00000000
-4.59529765,1.14081609,1.15843545,0.47989437,0.32250202,0.00132683,0.22710539,0.00000000
-4.58929465,1.24609832,1.26010334,0.52524305,0.35009207,0.00144129,0.24830797,0.00000000
-4.58329165,1.35217811,1.36150690,0.57116129,0.37744125,0.00155488,0.26969953,0.00000000
-4.57728864,1.45759679,1.46113374,0.61703157,0.40414311,0.00166592,0.29098594,0.00000000
-4.57128564,1.56080574,1.55740797,0.66219282,0.42977729,0.00177267,0.31185402,0.00000000
-4.56528264,1.66020279,1.64873028,0.70595533,0.45392090,0.00187338,0.33197879,0.00000000
-4.55927964,1.75417359,1.73352190,0.74761781,0.47616067,0.00196632,0.35103185,0.00000000
-4.55327664,1.84113673,1.81027102,0.78648641,0.49610570,0.00204984,0.36869049,0.00000000
-4.54727364,1.91959080,1.87757965,0.82189484,0.51340012,0.00212243,0.38464728,0.00000000
-4.54127064,1.98816189,1.93420922,0.85322496,0.52773528,0.00218275,0.39861972,0.00000000
-4.53526763,2.04564928,1.97912281,0.87992687,0.53886080,0.00222972,0.41035957,0.00000000
-4.52926463,2.09106765,2.01152214,0.90153789,0.54659418,0.00226249,0.41966149,0.00000000
-4.52326163,2.12368386,2.03087776,0.91769937,0.55082837,0.00228052,0.42637056,0.00000000
-4.51725863,2.14304658,2.03695085,0.92817067,0.55153705,0.00228360,0.43038837,0.00000000
-4.51125563,2.14900748,2.02980571,0.93283967,0.54877740,0.00227185,0.43167737,0.00000000
-4.50525263,2.14173277,2.00981218,0.93172926,0.54269010,0.00224571,0.43026332,0.00000000
-4.49924962,2.12170463,1.97763795,0.92499940,0.53349664,0.00220594,0.42623551,0.00000000
-4.49324662,2.08971206,1.93423081,0.91294470,0.52149400,0.00215362,0.41974503,0.00000000
-4.48724362,2.04683160,1.88079173,0.89598733,0.50704690,0.00209009,0.41100082,0.00000000
-4.48124062,1.99439832,1.81873974,0.87466579,0.49057791,0.00201689,0.40026379,0.00000000
-4.47523762,1.93396831,1.74966999,0.84961958,0.47255583,0.00193579,0.38783923,0.00000000
-4.46923462,1.86727395,1.67530678,0.82157054,0.45348271,0.00184867,0.37406774,0.00000000
-4.46323162,1.79617345,1.59745319,0.79130156,0.43388006,0.00175747,0.35931502,0.00000000
-4.45722861,1.72259673,1.51793927,0.75963322,0.41427458,0.00166417,0.34396096,0.00000000
-4.45122561,1.64848934,1.43857061,0.72739946,0.39518412,0.00157072,0.32838836,0.00000000
-4.44522261,1.57575634,1.36107904,0.69542295,0.37710398,0.00147898,0.31297169,0.00000000
-4.43921961,1.50620818,1.28707695,0.66449109,0.36049432,0.00139065,0.29806630,0.00000000
-4.43321661,1.44151017,1.21801674,0.63533346,0.34576869,0.00130731,0.28399842,0.00000000
-4.42721361,1.38313710,1.15515626,0.60860137,0.33328420,0.00123027,0.27105623,0.00000000
-4.42121061,1.33233456,1.09953127,0.58485020,0.32333350,0.00116063,0.25948235,0.00000000
-4.41520760,1.29008778,1.05193540,0.56452512,0.31613865,0.00109925,0.24946787,0.00000000
-4.40920460,1.25709904,1.01290782,0.54795044,0.31184716,0.00104667,0.24114813,0.00000000
-4.40320160,1.23377414,0.98272881,0.53532300,0.31053010,0.00100320,0.23460036,0.00000000
-4.39719860,1.22021817,0.96142297,0.52670969,0.31218239,0.00096885,0.22984309,0.00000000
-4.39119560,1.21624054,0.94876959,0.52204910,0.31672516,0.00094341,0.22683753,0.00000000
-4.38519260,1.22136917,0.94431987,0.52115722,0.32401014,0.00092639,0.22549060,0.00000000
-4.37918959,1.23487302,0.94742006,0.52373689,0.33382590,0.00091711,0.22565966,0.00000000
-4.37318659,1.25579239,0.95723970,0.52939072,0.34590572,0.00091469,0.22715864,0.00000000
-4.36718359,1.28297579,0.97280419,0.53763691,0.35993696,0.00091811,0.22976549,0.00000000
-4.36118059,1.31512227,0.99303032,0.54792758,0.37557149,0.00092625,0.23323052,0.00000000
-4.35517759,1.35082761,1.01676392,0.55966877,0.39243702,0.00093788,0.23728550,0.00000000
-4.34917459,1.38863296,1.04281825,0.57224154,0.41014880,0.00095177,0.24165313,0.00000000
-4.34317159,1.42707407,1.07001196,0.58502342,0.42832147,0.00096668,0.24605654,0.00000000
-4.33716858,1.46472951,1.09720547,0.59740943,0.44658046,0.00098142,0.25022855,0.00000000
-4.33116558,1.50026608,1.12333450,0.60883187,0.46457270,0.00099487,0.25392036,0.00000000
-4.32516258,1.53247982,1.14743964,0.61877832,0.48197618,0.00100603,0.25690931,0.00000000
-4.31915958,1.56033103,1.16869121,0.62680704,0.49850795,0.00101405,0.25900552,0.00000000
-4.31315658,1.58297224,1.18640828,0.63255934,0.51393032,0.00101822,0.26005710,0.00000000
-4.30715358,1.59976791,1.20007166,0.63576848,0.52805509,0.00101802,0.25995386,0.00000000
-4.30115058,1.61030544,1.20933011,0.63626479,0.54074549,0.00101312,0.25862931,0.00000000
