energy_ev,total_up,Fe_p_up,Fe_d_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,6.13620777,0.97133015,0.36621709,2.65716006,1.44592471,0.00913299,1.82034383,0.14853146,2.05519643
-5.99399700,6.08508890,0.97815550,0.35693284,2.63806061,1.43382337,0.00893026,1.80681908,0.14880605,2.04057427
-5.98799400,6.02347879,0.98319597,0.34699448,2.61655460,1.41960667,0.00869885,1.79156682,0.14852665,2.02104633
-5.98199100,5.95167440,0.98639410,0.33649524,2.59257772,1.40323685,0.00843937,1.77459375,0.14768451,1.99676060
-5.97598799,5.87016772,0.98773285,0.32553929,2.56614324,1.38471570,0.00815317,1.75594395,0.14628134,1.96795335
-5.96998499,5.77961918,0.98723443,0.31423928,2.53732758,1.36407964,0.00784221,1.73568901,0.14432962,1.93494301
-5.96398199,5.68083110,0.98495841,0.30271376,2.50625800,1.34139544,0.00750905,1.71391968,0.14185252,1.89812214
-5.95797899,5.57472165,0.98099904,0.29108449,2.47310295,1.31675674,0.00715672,1.69073975,0.13888351,1.85794784
-5.95197599,5.46230002,0.97548174,0.27947388,2.43806539,1.29028137,0.00678865,1.66626195,0.13546551,1.81493040
-5.94597299,5.34464318,0.96855880,0.26800242,2.40137887,1.26210938,0.00640855,1.64060613,0.13164982,1.76962086
-5.93996998,5.22287440,0.96040437,0.25678641,2.36330641,1.23240168,0.00602034,1.61389939,0.12749466,1.72259740
-5.93396698,5.09814395,0.95120888,0.24593586,2.32414149,1.20133903,0.00562798,1.58627803,0.12306351,1.67445132
-5.92796398,4.97161192,0.94117296,0.23555275,2.28421074,1.16912133,0.00523544,1.55789070,0.11842333,1.62577293
-5.92196098,4.84443355,0.93050129,0.22572963,2.24387779,1.13596693,0.00484657,1.52890262,0.11364261,1.57713785
-5.91595798,4.71774684,0.91939648,0.21654862,2.20354741,1.10211183,0.00446502,1.49950010,0.10878951,1.52909436
-5.90995498,4.59266280,0.90805330,0.20808083,2.16366947,1.06780871,0.00409416,1.46989517,0.10393006,1.48215230
-5.90395198,4.47025819,0.89665362,0.20038622,2.12474204,1.03332563,0.00373704,1.44032955,0.09912650,1.43677392
-5.89794897,4.35157062,0.88536220,0.19351384,2.08731314,0.99894444,0.00339633,1.41107795,0.09443592,1.39336703
-5.89194597,4.23759592,0.87432367,0.18750248,2.05198067,0.96495884,0.00307434,1.38245000,0.08990908,1.35228086
-5.88594297,4.12928758,0.86366064,0.18238159,2.01939022,0.93167215,0.00277294,1.35479078,0.08558970,1.31380452
-5.87993997,4.02755766,0.85347326,0.17817257,1.99023064,0.89939481,0.00249362,1.32847968,0.08151394,1.27816814
-5.87393697,3.93327890,0.84383993,0.17489010,1.96522734,0.86844175,0.00223750,1.30392758,0.07771026,1.24554645
-5.86793397,3.84728745,0.83481923,0.17254371,1.94513328,0.83912952,0.00200536,1.28157229,0.07419967,1.21606443
-5.86193097,3.77038561,0.82645287,0.17113928,1.93071813,0.81177344,0.00179768,1.26187240,0.07099611,1.18980466
-5.85592796,3.70334395,0.81876926,0.17068048,1.92275574,0.78668470,0.00161471,1.24529970,0.06810721,1.16681566
-5.84992496,3.64690246,0.81178759,0.17117007,1.92201049,0.76416740,0.00145650,1.23233055,0.06553506,1.14712085
-5.84392196,3.60177003,0.80552201,0.17261094,1.92922297,0.74451572,0.00132297,1.22343625,0.06327725,1.13072730
-5.83791896,3.56862210,0.79998563,0.17500683,1.94509553,0.72801101,0.00121396,1.21907311,0.06132788,1.11763387
-5.83191596,3.54809613,0.79519399,0.17836275,1.97027827,0.71491896,0.00112925,1.21967232,0.05967853,1.10783813
-5.82591296,3.54078485,0.79116793,0.18268498,2.00535584,0.70548672,0.00106865,1.22563003,0.05831929,1.10134171
-5.81990995,3.54722726,0.78793545,0.18798067,2.05083552,0.69993999,0.00103198,1.23729806,0.05723958,1.09815374
-5.81390695,3.56789765,0.78553265,0.19425702,2.10713668,0.69848000,0.00101912,1.25497541,0.05642892,1.09829225
-5.80790395,3.60319276,0.78400356,0.20152016,2.17458181,0.70128036,0.00102996,1.27890072,0.05587755,1.10178346
-5.80190095,3.65341744,0.78339896,0.20977357,2.25338900,0.70848371,0.00106446,1.30924586,0.05557686,1.10865910
-5.79589795,3.71876928,0.78377421,0.21901633,2.34366559,0.72019816,0.00112257,1.34611062,0.05551972,1.11895189
-5.78989495,3.79932242,0.78518621,0.22924109,2.44540259,0.73649343,0.00120420,1.38951840,0.05570065,1.13268953
-5.78389195,3.89501125,0.78768974,0.24043190,2.55846954,0.75739678,0.00130922,1.43941285,0.05611589,1.14988770
-5.77788894,4.00561416,0.79133319,0.25256207,2.68260921,0.78288863,0.00143734,1.49565514,0.05676335,1.17054230
-5.77188594,4.13073821,0.79615404,0.26559205,2.81743171,0.81289809,0.00158811,1.55802183,0.05764251,1.19462159
-5.76588294,4.26980510,0.80217427,0.27946756,2.96240780,0.84729837,0.00176083,1.62620313,0.05875431,1.22205873
-5.75987994,4.42203910,0.80939585,0.29411801,3.11686123,0.88590237,0.00195451,1.69980144,0.06010099,1.25274516
-5.75387694,4.58645796,0.81779655,0.30945541,3.27996031,0.92845855,0.00216779,1.77833020,0.06168596,1.28652538
-5.74787394,4.76186741,0.82732639,0.32537388,3.45070920,0.97464753,0.00239897,1.86121325,0.06351374,1.32319356
-5.74187094,4.94686043,0.83790473,0.34174980,3.62793961,1.02407958,0.00264592,1.94778486,0.06558992,1.36249234
-5.73586793,5.13982211,0.84941843,0.35844286,3.81030420,1.07629359,0.00290609,2.03729081,0.06792124,1.40411422
-5.72986493,5.33894131,0.86172106,0.37529796,3.99627280,1.13075769,0.00317657,2.12889116,0.07051572,1.44770560
-5.72386193,5.54222973,0.87463351,0.39214793,4.18413310,1.18687202,0.00345405,2.22166501,0.07338284,1.49287374
-5.71785893,5.74754922,0.88794586,0.40881731,4.37199717,1.24397400,0.00373494,2.31461798,0.07653385,1.53919638
-5.71185593,5.95264753,0.90142091,0.42512686,4.55781537,1.30134623,0.00401540,2.40669285,0.07998202,1.58623390
-5.70585293,6.15520238,0.91479910,0.44089885,4.73939867,1.35822726,0.00429148,2.49678369,0.08374297,1.63354361
-5.69984992,6.35287326,0.92780489,0.45596282,4.91445007,1.41382512,0.00455918,2.58375369,0.08783492,1.68069554
-5.69384692,6.54335949,0.94015447,0.47016175,5.08060547,1.46733353,0.00481460,2.66645676,0.09227881,1.72728906
-5.68784392,6.72446285,0.95156449,0.48335819,5.23548333,1.51795028,0.00505406,2.74376228,0.09709834,1.77296934
