energy_ev,total_up,Os_p_up,Os_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
-6.00000000,2.29557326,0.89712376,1.39305257,0.00550252,0.10960628,0.73429787,0.01385431
-5.99399700,2.34471975,0.91377927,1.43959608,0.00551195,0.10739778,0.73302682,0.01457961
-5.98799400,2.40378436,0.93290983,1.49199746,0.00552918,0.10543379,0.73503706,0.01539553
-5.98199100,2.47326152,0.95459535,1.55037167,0.00555481,0.10376999,0.74067955,0.01630295
-5.97598799,2.55338490,0.97883603,1.61470368,0.00558904,0.10244733,0.75019494,0.01730114
-5.96998499,2.64410618,1.00555030,1.68483961,0.00563170,0.10149097,0.76370305,0.01838752
-5.96398199,2.74508191,1.03457556,1.76048143,0.00568221,0.10090987,0.78119632,0.01955752
-5.95797899,2.85566890,1.06567149,1.84118527,0.00573968,0.10069688,0.80253726,0.02080448
-5.95197599,2.97492827,1.09852591,1.92636375,0.00580287,0.10082962,0.82746018,0.02211950
-5.94597299,3.10163843,1.13276277,2.01529204,0.00587031,0.10127172,0.85557706,0.02349152
-5.93996998,3.23431662,1.16795219,2.10711811,0.00594028,0.10197469,0.88638738,0.02490729
-5.93396698,3.37124896,1.20362204,2.20087680,0.00601094,0.10288011,0.91929163,0.02635158
-5.92796398,3.51052822,1.23927085,2.29550784,0.00608036,0.10392212,0.95360822,0.02780731
-5.92196098,3.65009883,1.27438173,2.38987755,0.00614655,0.10503019,0.98859301,0.02925591
-5.91595798,3.78780783,1.30843683,2.48280390,0.00620756,0.10613189,1.02346113,0.03067763
-5.90995498,3.92146077,1.34093201,2.57308450,0.00626151,0.10715576,1.05741025,0.03205197
-5.90395198,4.04888093,1.37139140,2.65952684,0.00630660,0.10803395,1.08964450,0.03335823
-5.89794897,4.16796997,1.39938131,2.74097997,0.00634125,0.10870481,1.11939839,0.03457597
-5.89194597,4.27676831,1.42452309,2.81636668,0.00636401,0.10911505,1.14595971,0.03568563
-5.88594297,4.37351293,1.44650460,2.88471500,0.00637368,0.10922164,1.16869078,0.03666909
-5.87993997,4.45669041,1.46508970,2.94518784,0.00636931,0.10899325,1.18704710,0.03751022
-5.87393697,4.52508327,1.48012554,2.99710947,0.00635018,0.10841126,1.20059290,0.03819541
-5.86793397,4.57780745,1.49154722,3.03998769,0.00631587,0.10747025,1.20901288,0.03871403
-5.86193097,4.61433922,1.49937954,3.07353039,0.00626619,0.10617803,1.21211982,0.03905879
-5.85592796,4.63453038,1.50373572,3.09765574,0.00620127,0.10455521,1.20985772,0.03922605
-5.84992496,4.63861067,1.50481311,3.11249528,0.00612147,0.10263431,1.20230044,0.03921593
-5.84392196,4.62717728,1.50288574,3.11838938,0.00602741,0.10045843,1.18964607,0.03903237
-5.83791896,4.60117161,1.49829434,3.11587533,0.00591995,0.09807972,1.17220711,0.03868299
-5.83191596,4.56184426,1.49143376,3.10566815,0.00580012,0.09555741,1.15039717,0.03817891
-5.82591296,4.51070967,1.48273862,3.08863506,0.00566918,0.09295582,1.12471473,0.03753435
-5.81990995,4.44949236,1.47266764,3.06576456,0.00552850,0.09034221,1.09572470,0.03676619
-5.81390695,4.38006713,1.46168724,3.03813148,0.00537957,0.08778461,1.06403857,0.03589341
-5.80790395,4.30439571,1.45025534,3.00685963,0.00522397,0.08534976,1.03029409,0.03493651
-5.80190095,4.22446277,1.43880585,2.97308353,0.00506330,0.08310121,0.99513521,0.03391684
-5.79589795,4.14221378,1.42773457,2.93791116,0.00489917,0.08109761,0.95919308,0.03285595
-5.78989495,4.05949732,1.41738716,2.90238910,0.00473318,0.07939129,0.92306882,0.03177497
-5.78389195,3.97801403,1.40804954,2.86747154,0.00456685,0.07802714,0.88731855,0.03069399
-5.77788894,3.89927391,1.39994109,2.83399440,0.00440163,0.07704185,0.85244115,0.02963157
-5.77188594,3.82456332,1.39321083,2.80265542,0.00423884,0.07646343,0.81886900,0.02860429
-5.76588294,3.75492241,1.38793669,2.77400059,0.00407970,0.07631115,0.78696172,0.02762636
-5.75987994,3.69113316,1.38412755,2.74841738,0.00392528,0.07659564,0.75700301,0.02670945
-5.75387694,3.63371777,1.38172804,2.72613437,0.00377649,0.07731945,0.72920027,0.02586251
-5.74787394,3.58294657,1.38062553,2.70722691,0.00363410,0.07847763,0.70368687,0.02509174
-5.74187094,3.53885436,1.38065899,2.69162815,0.00349873,0.08005867,0.68052652,0.02440069
-5.73586793,3.50126377,1.38162911,2.67914442,0.00337084,0.08204541,0.65971953,0.02379040
-5.72986493,3.46981391,1.38330920,2.66947408,0.00325074,0.08441607,0.64121037,0.02325963
-5.72386193,3.44399281,1.38545641,2.66222858,0.00313862,0.08714533,0.62489612,0.02280515
-5.71785893,3.42317172,1.38782256,2.65695479,0.00303454,0.09020527,0.61063539,0.02242204
-5.71185593,3.40663986,1.39016435,2.65315752,0.00293842,0.09356630,0.59825730,0.02210409
-5.70585293,3.39363815,1.39225247,2.65032129,0.00285011,0.09719789,0.58757019,0.02184414
-5.69984992,3.38339056,1.39387929,2.64793058,0.00276936,0.10106923,0.57836977,0.02163437
-5.69384692,3.37513218,1.39486495,2.64548800,0.00269584,0.10514964,0.57044648,0.02146674
-5.68784392,3.36813323,1.39506169,2.64252968,0.00262918,0.10940883,0.56359187,0.02133317
-5.68184092,3.36171851,1.39435632,2.63863781,0.00256893,0.11381697,0.55760400,0.02122588
-5.67583792,3.35528186,1.39267099,2.63344991,0.00251465,0.11834460,0.55229167,0.02113754
-5.66983492,3.34829579,1.38996213,2.62666498,0.00246585,0.12296238,0.54747764,0.02106147
-5.66383192,3.34031626,1.38621786,2.61804636,0.00242206,0.12764071,0.54300081,0.02099171
-5.65782891,3.33098298,1.38145413,2.60742166,0.00238282,0.13234927,0.53871739,0.02092313
-5.65182591,3.32001567,1.37570958,2.59467992,0.00234767,0.13705659,0.53450138,0.02085136
-5.64582291,3.30720699,1.36903984,2.57976639,0.00231619,0.14172948,0.53024428,0.02077283
-5.63981991,3.29241276,1.36151117,2.56267530,0.00228801,0.14633266,0.52585434,0.02068469
-5.63381691,3.27554040,1.35319417,2.54344114,0.00226278,0.15082847,0.52125548,0.02058468
-5.62781391,3.25653645,1.34415774,2.52212914,0.00224020,0.15517668,0.51638597,0.02047105
-5.62181091,3.23537414,1.33446384,2.49882533,0.00222003,0.15933462,0.51119719,0.02034244
-5.61580790,3.21204195,1.32416325,2.47362698,0.00220206,0.16325745,0.50565249,0.02019773
-5.60980490,3.18653408,1.31329292,2.44663408,0.00218613,0.16689883,0.49972641,0.02003595
-5.60380190,3.15884368,1.30187492,2.41794234,0.00217213,0.17021178,0.49340421,0.01985616
-5.59779890,3.12895944,1.28991754,2.38763831,0.00215998,0.17314987,0.48668195,0.01965740
-5.59179590,3.09686603,1.27741829,2.35579716,0.00214965,0.17566876,0.47956710,0.01943861
-5.58579290,3.06254874,1.26436908,2.32248310,0.00214117,0.17772784,0.47207961,0.01919863
-5.57978989,3.02600200,1.25076323,2.28775287,0.00213458,0.17929220,0.46425351,0.01893622
-5.57378689,2.98724164,1.23660411,2.25166188,0.00212999,0.18033456,0.45613889,0.01865010
-5.56778389,2.94632004,1.22191492,2.21427277,0.00212756,0.18083732,0.44780402,0.01833904
-5.56178089,2.90334316,1.20674897,2.17566580,0.00212748,0.18079444,0.43933762,0.01800195
-5.55577789,2.85848827,1.19119993,2.13595028,0.00213003,0.18021317,0.43085086,0.01763798
-5.54977489,2.81202080,1.17541102,2.09527599,0.00213554,0.17911538,0.42247900,0.01724670
-5.54377189,2.76430882,1.15958260,2.05384372,0.00214441,0.17753849,0.41438228,0.01682816
-5.53776888,2.71583347,1.14397721,2.01191368,0.00215707,0.17553587,0.40674589,0.01638303
-5.53176588,2.66719393,1.12892135,1.96981085,0.00217404,0.17317657,0.39977879,0.01591269
-5.52576288,2.61910572,1.11480350,1.92792634,0.00219588,0.17054439,0.39371114,0.01541927
-5.51975988,2.57239123,1.10206788,1.88671398,0.00222314,0.16773626,0.38879022,0.01490569
