energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,7.95586608,0.01106751,1.64697155,0.24473908,4.74245624,3.53604704,0.07461203,2.17544189
-5.99399700,7.99476331,0.01068531,1.64902564,0.24152509,4.81548539,3.51932671,0.07699156,2.20117349
-5.98799400,8.03052553,0.01031712,1.64950502,0.23830007,4.88391908,3.50295093,0.07923113,2.22649655
-5.98199100,8.06171961,0.00996975,1.64792270,0.23511241,4.94670983,3.48620941,0.08131786,2.25120686
-5.97598799,8.08696819,0.00964938,1.64383232,0.23200463,5.00289333,3.46839536,0.08324125,2.27508816
-5.96998499,8.10497728,0.00936128,1.63684440,0.22901133,5.05160792,3.44882867,0.08499337,2.29790664
-5.96398199,8.11456262,0.00910973,1.62664005,0.22615756,5.09211218,3.42687725,0.08656901,2.31940788
-5.95797899,8.11467454,0.00889784,1.61298173,0.22345791,5.12380026,3.40197645,0.08796576,2.33931637
-5.95197599,8.10442154,0.00872751,1.59572096,0.22091613,5.14621487,3.37364614,0.08918411,2.35733798
-5.94597299,8.08309210,0.00859936,1.57480273,0.21852549,5.15905783,3.34150527,0.09022746,2.37316532
-5.93996998,8.05017479,0.00851280,1.55026697,0.21626971,5.16219800,3.30528375,0.09110213,2.38648592
-5.93396698,8.00537604,0.00846602,1.52224695,0.21412453,5.15567653,3.26483156,0.09181733,2.39699263
-5.92796398,7.94863502,0.00845613,1.49096514,0.21205966,5.13970928,3.22012496,0.09238505,2.40439585
-5.92196098,7.88013525,0.00847924,1.45672665,0.21004114,5.11468656,3.17126963,0.09281998,2.40843691
-5.91595798,7.80031199,0.00853060,1.41991084,0.20803385,5.08116985,3.11850089,0.09313934,2.40890167
-5.90995498,7.70985480,0.00860482,1.38096128,0.20600399,5.03988583,3.06218073,0.09336266,2.40563368
-5.90395198,7.60970481,0.00869598,1.34037466,0.20392153,4.99171746,3.00279185,0.09351150,2.39854612
-5.89794897,7.50104595,0.00879786,1.29868890,0.20176233,4.93769242,2.94092857,0.09360914,2.38763170
-5.89194597,7.38528990,0.00890413,1.25647086,0.19950984,4.87896879,2.87728495,0.09368019,2.37297004
-5.88594297,7.26405467,0.00900853,1.21430398,0.19715642,4.81681829,2.81263999,0.09375012,2.35473198
-5.87993997,7.13913679,0.00910509,1.17277611,0.19470401,4.75260708,2.74784057,0.09384475,2.33318057
-5.87393697,7.01247763,0.00918828,1.13246776,0.19216433,4.68777452,2.68378206,0.09398969,2.30866857
-5.86793397,6.88612434,0.00925318,1.09394090,0.18955847,4.62380990,2.62138736,0.09420972,2.28163258
-5.86193097,6.76218629,0.00929566,1.05772865,0.18691604,4.56222764,2.56158474,0.09452816,2.25258380
-5.85592796,6.64278815,0.00931245,1.02432571,0.18427383,4.50454100,2.50528493,0.09496617,2.22209605
-5.84992496,6.53002077,0.00930129,0.99417979,0.18167418,4.45223492,2.45335838,0.09554213,2.19079119
-5.84392196,6.42589122,0.00926094,0.96768417,0.17916308,4.40673806,2.40661292,0.09627103,2.15932265
