energy_ev,total_up,total_down,B_p_up,B_p_down,B_d_up,B_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,2.06794191,-2.06794191,0.14298061,-0.14298061,0.00000000,-0.00000000,0.50099310,-0.50099310,0.37495341,-0.37495341,0.96930012,-0.96930012,0.00000000,-0.00000000
-5.99399700,2.00406165,-2.00406165,0.14228998,-0.14228998,0.00000000,-0.00000000,0.48487048,-0.48487048,0.36018959,-0.36018959,0.93554499,-0.93554499,0.00000000,-0.00000000
-5.98799400,1.93684873,-1.93684873,0.14126371,-0.14126371,0.00000000,-0.00000000,0.46771481,-0.46771482,0.34474655,-0.34474655,0.90045686,-0.90045686,0.00000000,-0.00000000
-5.98199100,1.86748427,-1.86748427,0.13991938,-0.13991938,0.00000000,-0.00000000,0.44981223,-0.44981223,0.32888618,-0.32888618,0.86465882,-0.86465882,0.00000000,-0.00000000
-5.97598799,1.79703365,-1.79703365,0.13827209,-0.13827209,0.00000000,-0.00000000,0.43142878,-0.43142878,0.31285063,-0.31285063,0.82870956,-0.82870956,0.00000000,-0.00000000
-5.96998499,1.72642469,-1.72642469,0.13633472,-0.13633472,0.00000000,-0.00000000,0.41280554,-0.41280554,0.29685715,-0.29685715,0.79309103,-0.79309103,0.00000000,-0.00000000
-5.96398199,1.65643451,-1.65643451,0.13411850,-0.13411850,0.00000000,-0.00000000,0.39415549,-0.39415549,0.28109467,-0.28109467,0.75820068,-0.75820068,0.00000000,-0.00000000
-5.95797899,1.58768527,-1.58768527,0.13163389,-0.13163389,0.00000000,-0.00000000,0.37566224,-0.37566224,0.26572187,-0.26572187,0.72434844,-0.72434844,0.00000000,-0.00000000
-5.95197599,1.52064814,-1.52064814,0.12889158,-0.12889158,0.00000000,-0.00000000,0.35748039,-0.35748039,0.25086687,-0.25086687,0.69175805,-0.69175805,0.00000000,-0.00000000
-5.94597299,1.45565456,-1.45565456,0.12590366,-0.12590366,0.00000000,-0.00000000,0.33973733,-0.33973733,0.23662833,-0.23662833,0.66057254,-0.66057254,0.00000000,-0.00000000
-5.93996998,1.39291349,-1.39291349,0.12268479,-0.12268479,0.00000000,-0.00000000,0.32253626,-0.32253626,0.22307769,-0.22307769,0.63086302,-0.63086302,0.00000000,-0.00000000
-5.93396698,1.33253307,-1.33253307,0.11925322,-0.11925322,0.00000000,-0.00000000,0.30595993,-0.30595993,0.21026245,-0.21026245,0.60264011,-0.60264011,0.00000000,-0.00000000
-5.92796398,1.27454503,-1.27454503,0.11563167,-0.11563167,0.00000000,-0.00000000,0.29007497,-0.29007497,0.19821000,-0.19821000,0.57586719,-0.57586719,0.00000000,-0.00000000
-5.92196098,1.21893014,-1.21893015,0.11184802,-0.11184802,0.00000000,-0.00000000,0.27493628,-0.27493628,0.18693192,-0.18693192,0.55047450,-0.55047451,0.00000000,-0.00000000
-5.91595798,1.16564303,-1.16564303,0.10793555,-0.10793555,0.00000000,-0.00000000,0.26059124,-0.26059124,0.17642825,-0.17642825,0.52637331,-0.52637331,0.00000000,-0.00000000
-5.90995498,1.11463494,-1.11463494,0.10393296,-0.10393296,0.00000000,-0.00000000,0.24708351,-0.24708351,0.16669168,-0.16669168,0.50346927,-0.50346927,0.00000000,-0.00000000
-5.90395198,1.06587327,-1.06587327,0.09988400,-0.09988400,0.00000000,-0.00000000,0.23445602,-0.23445602,0.15771126,-0.15771126,0.48167442,-0.48167442,0.00000000,-0.00000000
-5.89794897,1.01935696,-1.01935697,0.09583667,-0.09583667,0.00000000,-0.00000000,0.22275328,-0.22275328,0.14947556,-0.14947556,0.46091712,-0.46091712,0.00000000,-0.00000000
-5.89194597,0.97512716,-0.97512716,0.09184225,-0.09184225,0.00000000,-0.00000000,0.21202267,-0.21202267,0.14197521,-0.14197521,0.44114975,-0.44114975,0.00000000,-0.00000000
-5.88594297,0.93327287,-0.93327287,0.08795389,-0.08795389,0.00000000,-0.00000000,0.20231483,-0.20231483,0.13520459,-0.13520459,0.42235380,-0.42235380,0.00000000,-0.00000000
-5.87993997,0.89393186,-0.89393186,0.08422513,-0.08422513,0.00000000,-0.00000000,0.19368318,-0.19368318,0.12916282,-0.12916282,0.40454234,-0.40454234,0.00000000,-0.00000000
-5.87393697,0.85728697,-0.85728697,0.08070817,-0.08070817,0.00000000,-0.00000000,0.18618264,-0.18618264,0.12385405,-0.12385405,0.38776016,-0.38776016,0.00000000,-0.00000000
-5.86793397,0.82355855,-0.82355855,0.07745218,-0.07745218,0.00000000,-0.00000000,0.17986775,-0.17986775,0.11928707,-0.11928707,0.37208150,-0.37208150,0.00000000,-0.00000000
-5.86193097,0.79299383,-0.79299383,0.07450153,-0.07450153,0.00000000,-0.00000000,0.17479028,-0.17479028,0.11547443,-0.11547443,0.35760603,-0.35760603,0.00000000,-0.00000000
