energy_ev,total_up,Ge_p_up,Ge_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,6.75800566,0.08815046,0.00000000,0.06095380,4.35972991,3.65898370,1.63622667
-5.99399700,6.68648978,0.08761715,0.00000000,0.06032245,4.31250674,3.61559531,1.62749353
-5.98799400,6.60507015,0.08691241,0.00000000,0.05968628,4.25883760,3.56571255,1.61713484
-5.98199100,6.51393001,0.08602367,0.00000000,0.05903366,4.19888241,3.50973565,1.60499960
-5.97598799,6.41339529,0.08494112,0.00000000,0.05835269,4.13289137,3.44817680,1.59095957
-5.96998499,6.30392371,0.08365800,0.00000000,0.05763155,4.06119717,3.38164448,1.57491220
-5.96398199,6.18609135,0.08217090,0.00000000,0.05685880,3.98420569,3.31082508,1.55678333
-5.95797899,6.06057726,0.08047995,0.00000000,0.05602373,3.90238548,3.23646291,1.53652955
-5.95197599,5.92814704,0.07858893,0.00000000,0.05511673,3.81625677,3.15933930,1.51414028
-5.94597299,5.78963607,0.07650532,0.00000000,0.05412959,3.72638040,3.08025212,1.48963940
-5.93996998,5.64593321,0.07424024,0.00000000,0.05305587,3.63334721,2.99999644,1.46308645
-5.93396698,5.49796561,0.07180827,0.00000000,0.05189115,3.53776835,2.91934725,1.43457738
-5.92796398,5.34668507,0.06922715,0.00000000,0.05063327,3.44026672,2.83904496,1.40424460
-5.92196098,5.19305631,0.06651744,0.00000000,0.04928251,3.34146972,2.75978399,1.37225652
-5.91595798,5.03804713,0.06370205,0.00000000,0.04784165,3.24200342,2.68220468,1.33881619
-5.90995498,4.88262041,0.06080574,0.00000000,0.04631601,3.14248789,2.60688854,1.30415927
-5.90395198,4.72772752,0.05785453,0.00000000,0.04471338,3.04353348,2.53435631,1.26855101
-5.89794897,4.57430270,0.05487514,0.00000000,0.04304383,2.94573770,2.46506851,1.23228244
-5.89194597,4.42325785,0.05189435,0.00000000,0.04131951,2.84968230,2.39942764,1.19566550
-5.88594297,4.27547694,0.04893848,0.00000000,0.03955433,2.75593000,2.33778125,1.15902736
-5.87993997,4.13180965,0.04603282,0.00000000,0.03776359,2.66502065,2.28042515,1.12270392
-5.87393697,3.99306362,0.04320115,0.00000000,0.03596359,2.57746633,2.22760600,1.08703258
-5.86793397,3.85999510,0.04046534,0.00000000,0.03417116,2.49374527,2.17952256,1.05234456
-5.86193097,3.73329791,0.03784503,0.00000000,0.03240327,2.41429464,2.13632533,1.01895691
-5.85592796,3.61359088,0.03535738,0.00000000,0.03067658,2.33950223,2.09811430,0.98716463
-5.84992496,3.50140439,0.03301694,0.00000000,0.02900704,2.26969745,2.06493489,0.95723309
-5.84392196,3.39716649,0.03083558,0.00000000,0.02740953,2.20514208,2.03677249,0.92939117
-5.83791896,3.30118982,0.02882255,0.00000000,0.02589763,2.14602155,2.01354602,0.90382557
-5.83191596,3.21366013,0.02698458,0.00000000,0.02448333,2.09243728,1.99510142,0.88067634
-5.82591296,3.13462767,0.02532608,0.00000000,0.02317698,2.04440096,1.98120586,0.86003433
-5.81990995,3.06400248,0.02384939,0.00000000,0.02198715,2.00183145,1.97154354,0.84194035
-5.81390695,3.00155449,0.02255509,0.00000000,0.02092076,1.96455498,1.96571412,0.82638654
-5.80790395,2.94691907,0.02144230,0.00000000,0.01998307,1.93230897,1.96323439,0.81331974
-5.80190095,2.89960852,0.02050905,0.00000000,0.01917795,1.90474982,1.96354384,0.80264691
-5.79589795,2.85902930,0.01975262,0.00000000,0.01850802,1.88146465,1.96601447,0.79424236
-5.78989495,2.82450489,0.01916986,0.00000000,0.01797491,1.86198672,1.96996478,0.78795646
-5.78389195,2.79530312,0.01875748,0.00000000,0.01757953,1.84581388,1.97467779,0.78362544
-5.77788894,2.77066717,0.01851229,0.00000000,0.01732230,1.83242949,1.97942235,0.78108176
-5.77188594,2.74984847,0.01843144,0.00000000,0.01720339,1.82132457,1.98347706,0.78016455
-5.76588294,2.73214004,0.01851247,0.00000000,0.01722285,1.81202025,1.98615548,0.78072942
-5.75987994,2.71690828,0.01875339,0.00000000,0.01738081,1.80408918,1.98683158,0.78265725
-5.75387694,2.70362160,0.01915268,0.00000000,0.01767746,1.79717479,1.98496390,0.78586121
-5.74787394,2.69187396,0.01970914,0.00000000,0.01811307,1.79100712,1.98011717,0.79029177
-5.74187094,2.68140208,0.02042172,0.00000000,0.01868789,1.78541444,1.97198019,0.79593917
-5.73586793,2.67209504,0.02128932,0.00000000,0.01940197,1.78032970,1.96037862,0.80283330
-5.72986493,2.66399565,0.02231044,0.00000000,0.02025494,1.77579142,1.94528221,0.81104077
-5.72386193,2.65729313,0.02348293,0.00000000,0.02124572,1.77193885,1.92680552,0.82065939
-5.71785893,2.65230757,0.02480358,0.00000000,0.02237224,1.76900142,1.90520222,0.83181019
-5.71185593,2.64946661,0.02626785,0.00000000,0.02363107,1.76728303,1.88085293,0.84462751
-5.70585293,2.64927565,0.02786954,0.00000000,0.02501713,1.76714195,1.85424711,0.85924748
-5.69984992,2.65228301,0.02960054,0.00000000,0.02652340,1.76896719,1.82595987,0.87579569
-5.69384692,2.65904190,0.03145061,0.00000000,0.02814069,1.77315273,1.79662468,0.89437467
-5.68784392,2.67007115,0.03340733,0.00000000,0.02985751,1.78007085,1.76690339,0.91505182
-5.68184092,2.68581694,0.03545604,0.00000000,0.03165993,1.79004602,1.73745500,0.93784858
-5.67583792,2.70661744,0.03757995,0.00000000,0.03353171,1.80333075,1.70890464,0.96273154
-5.66983492,2.73267252,0.03976031,0.00000000,0.03545438,1.82008465,1.68181446,0.98960583
-5.66383192,2.76402001,0.04197675,0.00000000,0.03740751,1.84035802,1.65665771,1.01831163
-5.65782891,2.80052001,0.04420764,0.00000000,0.03936907,1.86408073,1.63379737,1.04862371
-5.65182591,2.84184824,0.04643054,0.00000000,0.04131592,1.89105719,1.61347042,1.08025445
-5.64582291,2.88749878,0.04862281,0.00000000,0.04322430,1.92096765,1.59577839,1.11286019
-5.63981991,2.93679643,0.05076211,0.00000000,0.04507050,1.95337600,1.58068471,1.14605071
-5.63381691,2.98891789,0.05282705,0.00000000,0.04683145,1.98774368,1.56801894,1.17940149
-5.62781391,3.04292113,0.05479776,0.00000000,0.04848539,2.02344897,1.55748752,1.21246829
-5.62181091,3.09778128,0.05665647,0.00000000,0.05001256,2.05981102,1.54869051,1.24480324
-5.61580790,3.15243133,0.05838800,0.00000000,0.05139574,2.09611704,1.54114328,1.27597185
-5.60980490,3.20580568,0.05998023,0.00000000,0.05262086,2.13165163,1.53430210,1.30556993
-5.60380190,3.25688408,0.06142440,0.00000000,0.05367740,2.16572648,1.52759212,1.33323969
-5.59779890,3.30473381,0.06271535,0.00000000,0.05455874,2.19770903,1.52043627,1.35868411
-5.59179590,3.34854783,0.06385164,0.00000000,0.05526240,2.22704840,1.51228359,1.38167879
-5.58579290,3.38767660,0.06483547,0.00000000,0.05579006,2.25329732,1.50263547,1.40208060
-5.57978989,3.42165207,0.06567256,0.00000000,0.05614751,2.27612874,1.49106849,1.41983255
-5.57378689,3.45020217,0.06637183,0.00000000,0.05634444,2.29534618,1.47725258,1.43496457
-5.56778389,3.47325511,0.06694494,0.00000000,0.05639404,2.31088712,1.46096392,1.44758996
-5.56178089,3.49093293,0.06740580,0.00000000,0.05631251,2.32281934,1.44209170,1.45789766
-5.55577789,3.50353474,0.06776991,0.00000000,0.05611845,2.33133015,1.42063887,1.46614053
-5.54977489,3.51151042,0.06805362,0.00000000,0.05583214,2.33670920,1.39671676,1.47262019
-5.54377189,3.51542603,0.06827343,0.00000000,0.05547476,2.33932574,1.37053427,1.47766923
-5.53776888,3.51592322,0.06844519,0.00000000,0.05506760,2.33960163,1.34238239,1.48163152
-5.53176588,3.51367448,0.06858333,0.00000000,0.05463120,2.33798163,1.31261508,1.48484175
-5.52576288,3.50933725,0.06870026,0.00000000,0.05418460,2.33490269,1.28162769,1.48760532
-5.51975988,3.50350926,0.06880566,0.00000000,0.05374458,2.33076410,1.24983445,1.49017957
-5.51375688,3.49668808,0.06890609,0.00000000,0.05332507,2.32590025,1.21764617,1.49275758
-5.50775388,3.48923703,0.06900466,0.00000000,0.05293662,2.32055772,1.18544958,1.49545541
-5.50175088,3.48135992,0.06910088,0.00000000,0.05258603,2.31487805,1.15358938,1.49830353
-5.49574787,3.47308601,0.06919071,0.00000000,0.05227620,2.30888743,1.12235397,1.50124315
-5.48974487,3.46426631,0.06926687,0.00000000,0.05200608,2.30249389,1.09196555,1.50412762
-5.48374187,3.45458163,0.06931925,0.00000000,0.05177086,2.29549225,1.06257490,1.50672898
-5.47773887,3.44356207,0.06933559,0.00000000,0.05156230,2.28757680,1.03426102,1.50874950
-5.47173587,3.43061682,0.06930227,0.00000000,0.05136926,2.27836084,1.00703533,1.50983745
-5.46573287,3.41507289,0.06920524,0.00000000,0.05117827,2.26740214,0.98085006,1.50960663
-5.45972986,3.39622035,0.06903104,0.00000000,0.05097437,2.25423284,0.95560996,1.50765831
-5.45372686,3.37336182,0.06876784,0.00000000,0.05074184,2.23839221,0.93118666,1.50360485
-5.44772386,3.34586321,0.06840650,0.00000000,0.05046514,2.21946027,0.90743450,1.49709337
-5.44172086,3.31320310,0.06794145,0.00000000,0.05012969,2.19709055,0.88420694,1.48782857
-5.43571786,3.27501777,0.06737160,0.00000000,0.04972276,2.17104006,0.86137249,1.47559334
-5.42971486,3.23113957,0.06670094,0.00000000,0.04923410,2.14119486,0.83882923,1.46026609
-5.42371186,3.18162654,0.06593905,0.00000000,0.04865662,2.10758982,0.81651707,1.44183410
-5.41770885,3.12678147,0.06510128,0.00000000,0.04798686,2.07042151,0.79442727,1.42040190
-5.41170585,3.06715964,0.06420871,0.00000000,0.04722522,2.03005353,0.77260854,1.39619464
-5.40570285,3.00356464,0.06328791,0.00000000,0.04637619,1.98701399,0.75116971,1.36955599
-5.39969985,2.93703251,0.06237035,0.00000000,0.04544818,1.94198522,0.73027872,1.34094079
-5.39369685,2.86880493,0.06149167,0.00000000,0.04445339,1.89578634,0.71015817,1.31090287
-5.38769385,2.80029274,0.06069068,0.00000000,0.04340732,1.84934929,0.69107783,1.28007852
-5.38169085,2.73303153,0.06000824,0.00000000,0.04232830,1.80368965,0.67334430,1.24916641
-5.37568784,2.66863107,0.05948593,0.00000000,0.04123677,1.75987344,0.65728862,1.21890481
-5.36968484,2.60872101,0.05916478,0.00000000,0.04015454,1.71898133,0.64325231,1.19004715
-5.36368184,2.55489493,0.05908378,0.00000000,0.03910400,1.68207180,0.63157257,1.16333695
-5.35767884,2.50865503,0.05927854,0.00000000,0.03810723,1.65014475,0.62256721,1.13948300
-5.35167584,2.47135963,0.05977992,0.00000000,0.03718520,1.62410685,0.61652004,1.11913585
-5.34567284,2.44417523,0.06061276,0.00000000,0.03635697,1.60474011,0.61366728,1.10286648
-5.33966983,2.42803500,0.06179479,0.00000000,0.03563897,1.59267446,0.61418550,1.09114778
-5.33366683,2.42360494,0.06333561,0.00000000,0.03504438,1.58836560,0.61818156,1.08433950
-5.32766383,2.43125872,0.06523594,0.00000000,0.03458258,1.59207855,0.62568490,1.08267714
-5.32166083,2.45106203,0.06748705,0.00000000,0.03425884,1.60387740,0.63664254,1.08626492
-5.31565783,2.48276667,0.07007046,0.00000000,0.03407401,1.62362160,0.65091677,1.09507309
-5.30965483,2.52581456,0.07295788,0.00000000,0.03402450,1.65096879,0.66828587,1.10893942
-5.30365183,2.57935136,0.07611143,0.00000000,0.03410230,1.68538379,0.68844765,1.12757474
-5.29764882,2.64224916,0.07948420,0.00000000,0.03429521,1.72615373,0.71102575,1.15057216
