energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,4.99789773,0.44566452,1.03546866,0.01762371,0.69626531,0.04845569,1.87536244,2.34985621,0.61895482
-5.99399700,5.07163554,0.45084012,1.05935654,0.01791302,0.71617943,0.04949736,1.88839924,2.37912152,0.63563397
-5.98799400,5.14196621,0.45557246,1.08340978,0.01817058,0.73538237,0.05045750,1.89996223,2.40576218,0.65177815
-5.98199100,5.20830711,0.45983141,1.10746106,0.01839557,0.75363808,0.05132549,1.91000881,2.42941695,0.66721249
-5.97598799,5.27007440,0.46358563,1.13133098,0.01858813,0.77071503,0.05209196,1.91849557,2.44972657,0.68177103
-5.96998499,5.32670230,0.46680316,1.15483314,0.01874934,0.78639313,0.05274899,1.92538085,2.46634600,0.69530189
-5.96398199,5.37766392,0.46945235,1.17777933,0.01888126,0.80047083,0.05329033,1.93062778,2.47895815,0.70767254
-5.95797899,5.42249195,0.47150309,1.19998450,0.01898686,0.81277230,0.05371151,1.93420764,2.48728826,0.71877451
-5.95197599,5.46079793,0.47292820,1.22127120,0.01906997,0.82315412,0.05400995,1.93610299,2.49111817,0.72852757
-5.94597299,5.49228879,0.47370490,1.24147327,0.01913512,0.83151127,0.05418495,1.93631046,2.49029973,0.73688287
-5.93996998,5.51677954,0.47381625,1.26043864,0.01918739,0.83778204,0.05423768,1.93484267,2.48476633,0.74382504
-5.93396698,5.53420151,0.47325243,1.27803112,0.01923223,0.84195161,0.05417106,1.93172933,2.47454229,0.74937296
-5.92796398,5.54460565,0.47201183,1.29413120,0.01927526,0.84405421,0.05398962,1.92701737,2.45974919,0.75357936
-5.92196098,5.54816101,0.47010177,1.30863603,0.01932200,0.84417355,0.05369931,1.92077012,2.44060911,0.75652905
-5.91595798,5.54514871,0.46753895,1.32145859,0.01937770,0.84244184,0.05330724,1.91306565,2.41744457,0.75833601
-5.90995498,5.53595221,0.46434962,1.33252645,0.01944710,0.83903708,0.05282150,1.90399466,2.39067514,0.75913961
-5.90395198,5.52104474,0.46056931,1.34178030,0.01953424,0.83417908,0.05225086,1.89365797,2.36081097,0.75909992
-5.89794897,5.50097519,0.45624244,1.34917255,0.01964233,0.82812422,0.05160462,1.88216414,2.32844374,0.75839269
-5.89194597,5.47635348,0.45142172,1.35466627,0.01977360,0.82115926,0.05089238,1.86962749,2.29423520,0.75720407
-5.88594297,5.44783664,0.44616738,1.35823468,0.01992925,0.81359447,0.05012390,1.85616670,2.25890412,0.75572543
-5.87993997,5.41611664,0.44054649,1.35986143,0.02010941,0.80575632,0.04930903,1.84190444,2.22321196,0.75414860
-5.87393697,5.38191054,0.43463224,1.35954173,0.02031321,0.79798003,0.04845761,1.82696791,2.18794787,0.75266157
-5.86793397,5.34595356,0.42850342,1.35728422,0.02053884,0.79060213,0.04757951,1.81149062,2.15391353,0.75144501
-5.86193097,5.30899508,0.42224399,1.35311377,0.02078365,0.78395341,0.04668465,1.79561498,2.12190802,0.75066958
-5.85592796,5.27179724,0.41594286,1.34707472,0.02104436,0.77835214,0.04578303,1.77949580,2.09271326,0.75049405
-5.84992496,5.23513572,0.40969377,1.33923454,0.02131725,0.77409792,0.04488485,1.76330423,2.06708001,0.75106423
-5.84392196,5.19980161,0.40359532,1.32968751,0.02159830,0.77146608,0.04400054,1.74723178,2.04571461,0.75251256
-5.83791896,5.16660355,0.39775096,1.31855805,0.02188348,0.77070267,0.04314088,1.73149395,2.02926659,0.75495817
-5.83191596,5.13636876,0.39226893,1.30600341,0.02216893,0.77202005,0.04231698,1.71633304,2.01831697,0.75850726
-5.82591296,5.10994212,0.38726206,1.29221539,0.02245112,0.77559310,0.04154030,1.70201970,2.01336744,0.76325357
-5.81990995,5.08818198,0.38284725,1.27742072,0.02272704,0.78155595,0.04082261,1.68885271,2.01483030,0.76927873
-5.81390695,5.07195228,0.37914456,1.26187996,0.02299429,0.78999927,0.04017585,1.67715682,2.02301924,0.77665229
-5.80790395,5.06211014,0.37627591,1.24588481,0.02325121,0.80096811,0.03961200,1.66727833,2.03814110,0.78543131
-5.80190095,5.05948923,0.37436322,1.22975361,0.02349684,0.81446030,0.03914284,1.65957846,2.06028869,0.79565951
-5.79589795,5.06487876,0.37352604,1.21382545,0.02373097,0.83042548,0.03877967,1.65442446,2.08943505,0.80736576
-5.78989495,5.07899917,0.37387870,1.19845262,0.02395405,0.84876483,0.03853305,1.65217889,2.12542928,0.82056221
-5.78389195,5.10247520,0.37552700,1.18399209,0.02416711,0.86933162,0.03841241,1.65318722,2.16799440,0.83524196
