energy_ev,total_up,Cd_p_up,Cd_d_up,Co_p_up,Co_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,3.40560141,0.35545633,0.46456001,0.56024723,0.69881634,0.10767340,0.01582552,0.10462290,1.57648552
-5.99399700,3.43905107,0.35848483,0.48153345,0.56982326,0.68774486,0.10885363,0.01612813,0.10729267,1.58609984
-5.98799400,3.47595486,0.36122173,0.49831490,0.57880978,0.67797645,0.10956717,0.01649341,0.11062947,1.59790273
-5.98199100,3.51601480,0.36365441,0.51466652,0.58693754,0.66965556,0.10979521,0.01690899,0.11464688,1.61185816
-5.97598799,3.55876190,0.36576899,0.53035265,0.59394673,0.66286470,0.10952620,0.01736147,0.11933914,1.62783257
-5.96998499,3.60356063,0.36754985,0.54514476,0.59959488,0.65762278,0.10875646,0.01783675,0.12467996,1.64559457
-5.96398199,3.64961777,0.36897919,0.55882598,0.60366393,0.65388538,0.10749054,0.01832053,0.13062194,1.66481709
-5.95797899,3.69599561,0.37003654,0.57119500,0.60596619,0.65154702,0.10574140,0.01879870,0.13709663,1.68508231
-5.95197599,3.74162974,0.37069847,0.58206959,0.60634907,0.65044541,0.10353032,0.01925780,0.14401532,1.70588948
-5.94597299,3.78535154,0.37093850,0.59128957,0.60469850,0.65036739,0.10088652,0.01968545,0.15127052,1.72666549
-5.93996998,3.82591518,0.37072735,0.59871926,0.60094100,0.65105664,0.09784665,0.02007068,0.15873819,1.74677844
-5.93396698,3.86202916,0.37003364,0.60424959,0.59504452,0.65222272,0.09445395,0.02040431,0.16628063,1.76555384
-5.92796398,3.89239181,0.36882499,0.60779983,0.58701808,0.65355126,0.09075738,0.02067928,0.17375003,1.78229336
-5.92196098,3.91573027,0.36706969,0.60931906,0.57691035,0.65471508,0.08681048,0.02089085,0.18099248,1.79629570
-5.91595798,3.93084191,0.36473879,0.60878732,0.56480744,0.65538569,0.08267030,0.02103688,0.18785243,1.80687904
-5.90995498,3.93663718,0.36180867,0.60621665,0.55083000,0.65524505,0.07839608,0.02111789,0.19417742,1.81340448
-5.90395198,3.93218240,0.35826384,0.60165183,0.53512989,0.65399699,0.07404820,0.02113725,0.19982279,1.81529963
-5.89794897,3.91674100,0.35410007,0.59517084,0.51788659,0.65137799,0.06968692,0.02110117,0.20465642,1.81208153
-5.89194597,3.88981142,0.34932741,0.58688508,0.49930354,0.64716694,0.06537136,0.02101870,0.20856305,1.80337805
-5.88594297,3.85116002,0.34397314,0.57693906,0.47960459,0.64119353,0.06115857,0.02090168,0.21144817,1.78894670
-5.87993997,3.80084737,0.33808440,0.56550969,0.45903067,0.63334492,0.05710266,0.02076460,0.21324126,1.76869015
-5.87393697,3.73924633,0.33173026,0.55280491,0.43783679,0.62357039,0.05325412,0.02062452,0.21389826,1.74266754
-5.86793397,3.66705087,0.32500321,0.53906158,0.41628938,0.61188394,0.04965929,0.02050080,0.21340299,1.71110107
-5.86193097,3.58527462,0.31801978,0.52454266,0.39466414,0.59836456,0.04635993,0.02041497,0.21176776,1.67437736
-5.85592796,3.49523896,0.31092041,0.50953352,0.37324420,0.58315433,0.04339294,0.02039043,0.20903280,1.63304341
-5.84992496,3.39855047,0.30386831,0.49433742,0.35231869,0.56645425,0.04079015,0.02045220,0.20526477,1.58779716
-5.84392196,3.29706859,0.29704753,0.47927026,0.33218169,0.54851813,0.03857825,0.02062670,0.20055428,1.53947296
-5.83791896,3.19286422,0.29066015,0.46465454,0.31313129,0.52964476,0.03677872,0.02094143,0.19501262,1.48902242
-5.83191596,3.08817088,0.28492272,0.45081289,0.29546888,0.51016865,0.03540784,0.02142474,0.18876771,1.43749133
-5.82591296,2.98533017,0.28006212,0.43806106,0.27949838,0.49044968,0.03447674,0.02210552,0.18195965,1.38599362
-5.81990995,2.88673341,0.27631100,0.42670087,0.26552537,0.47086225,0.03399136,0.02301294,0.17473587,1.33568320
-5.81390695,2.79476165,0.27390282,0.41701316,0.25385589,0.45178413,0.03395254,0.02417622,0.16724618,1.28772474
-5.80790395,2.71172598,0.27306682,0.40925101,0.24479487,0.43358560,0.03435598,0.02562427,0.15963796,1.24326446
-5.80190095,2.63981024,0.27402300,0.40363349,0.23864390,0.41661910,0.03519223,0.02738545,0.15205161,1.20340177
-5.79589795,2.58101766,0.27697712,0.40034011,0.23569835,0.40120986,0.03644671,0.02948719,0.14461647,1.16916270
-5.78989495,2.53712287,0.28211602,0.39950621,0.23624355,0.38764771,0.03809967,0.03195561,0.13744735,1.14147566
-5.78389195,2.50963031,0.28960308,0.40121929,0.24055004,0.37618018,0.04012618,0.03481510,0.13064185,1.12115009
-5.77788894,2.49973961,0.29957410,0.40551653,0.24886784,0.36700715,0.04249617,0.03808773,0.12427834,1.10885839
-5.77188594,2.50831828,0.31213332,0.41238338,0.26141959,0.36027696,0.04517452,0.04179265,0.11841491,1.10512109
-5.76588294,2.53588161,0.32734985,0.42175336,0.27839276,0.35608402,0.04812119,0.04594533,0.11308900,1.11029548
-5.75987994,2.58257952,0.34525427,0.43350890,0.29993099,0.35446778,0.05129150,0.05055676,0.10831791,1.12456736
-5.75387694,2.64818991,0.36583552,0.44748323,0.32612471,0.35541300,0.05463644,0.05563246,0.10409990,1.14794595
-5.74787394,2.73211799,0.38903801,0.46346317,0.35700145,0.35885105,0.05810315,0.06117149,0.10041597,1.18026155
-5.74187094,2.83340105,0.41475901,0.48119273,0.39251613,0.36466222,0.06163554,0.06716535,0.09723203,1.22116586
-5.73586793,2.95071848,0.44284647,0.50037741,0.43254176,0.37267881,0.06517502,0.07359693,0.09450147,1.27013483
-5.72986493,3.08240649,0.47309724,0.52068910,0.47686117,0.38268878,0.06866134,0.08043942,0.09216787,1.32647389
-5.72386193,3.22647784,0.50525595,0.54177146,0.52516026,0.39444007,0.07203360,0.08765544,0.09016791,1.38932569
-5.71785893,3.38064646,0.53901478,0.56324579,0.57702335,0.40764529,0.07523133,0.09519625,0.08843412,1.45768035
-5.71185593,3.54235743,0.57401419,0.58471718,0.63193124,0.42198684,0.07819567,0.10300129,0.08689756,1.53038848
-5.70585293,3.70882251,0.60984499,0.60578109,0.68926245,0.43712246,0.08087056,0.11099804,0.08549032,1.60617714
-5.69984992,3.87706183,0.64605192,0.62603013,0.74829805,0.45269112,0.08320400,0.11910222,0.08414763,1.68366892
-5.69384692,4.04395172,0.68213887,0.64506115,0.80823039,0.46831938,0.08514923,0.12721857,0.08280973,1.76140430
-5.68784392,4.20627891,0.71757586,0.66248249,0.86817581,0.48362804,0.08666587,0.13524202,0.08142334,1.83786731
-5.68184092,4.36080077,0.75180792,0.67792133,0.92719136,0.49823928,0.08772093,0.14305941,0.07994277,1.91151433
-5.67583792,4.50431083,0.78426574,0.69103113,0.98429505,0.51178407,0.08828970,0.15055175,0.07833070,1.98080575
-5.66983492,4.63370864,0.81437781,0.70149885,1.03848930,0.52390974,0.08835640,0.15759685,0.07655852,2.04423986
-5.66383192,4.74607213,0.84158405,0.70905198,1.08878690,0.53428782,0.08791465,0.16407245,0.07460647,2.10038823
-5.65782891,4.83873080,0.86535020,0.71346509,1.13423842,0.54262163,0.08696769,0.16985953,0.07246345,2.14793168
-5.65182591,4.90933700,0.88518279,0.71456568,1.17396028,0.54865368,0.08552828,0.17484588,0.07012653,2.18569546
-5.64582291,4.95593301,0.90064385,0.71223915,1.20716214,0.55217255,0.08361847,0.17892962,0.06760039,2.21268268
-5.63981991,4.97701102,0.91136494,0.70643266,1.23317262,0.55301890,0.08126894,0.18202264,0.06489649,2.22810428
-5.63381691,4.97156336,0.91705982,0.69715763,1.25146217,0.55109052,0.07851830,0.18405373,0.06203216,2.23140459
-5.62781391,4.93912059,0.91753505,0.68449088,1.26166202,0.54634605,0.07541198,0.18497128,0.05902966,2.22228103
-5.62181091,4.87977539,0.91269821,0.66857397,1.26357833,0.53880724,0.07200115,0.18474541,0.05591516,2.20069706
-5.61580790,4.79419070,0.90256298,0.64961107,1.25720090,0.52855959,0.06834134,0.18336944,0.05271768,2.16688760
-5.60980490,4.68359133,0.88725115,0.62786502,1.24270599,0.51575117,0.06449110,0.18086053,0.04946816,2.12135644
-5.60380190,4.54973884,0.86699098,0.60365192,1.22045301,0.50058985,0.06051058,0.17725964,0.04619849,2.06486564
-5.59779890,4.39489039,0.84211234,0.57733417,1.19097534,0.48333870,0.05646014,0.17263060,0.04294063,1.99841709
-5.59179590,4.22174285,0.81303836,0.54931239,1.15496545,0.46430992,0.05239906,0.16705841,0.03972585,1.92322695
-5.58579290,4.03336426,0.78027435,0.52001629,1.11325521,0.44385736,0.04838429,0.16064696,0.03658401,1.84069380
-5.57978989,3.83311518,0.74439408,0.48989492,1.06679198,0.42236796,0.04446939,0.15351604,0.03354302,1.75236182
