energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,1.18117005,0.05404082,0.03745306,0.81693125,0.35846661,0.19120626,0.10179730,0.72263856,0.00000000
-5.99399700,1.20701855,0.05345241,0.03840618,0.83241926,0.36582846,0.19444592,0.10355528,0.73946317,0.00000000
-5.98799400,1.22782506,0.05254844,0.03918627,0.84414680,0.37189422,0.19693603,0.10475279,0.75316505,0.00000000
-5.98199100,1.24334503,0.05135181,0.03978174,0.85197812,0.37661406,0.19866199,0.10537263,0.76357024,0.00000000
-5.97598799,1.25342419,0.04989185,0.04018437,0.85585050,0.37995738,0.19962548,0.10540892,0.77056191,0.00000000
-5.96998499,1.25800181,0.04820353,0.04038947,0.85577612,0.38191288,0.19984451,0.10486754,0.77408317,0.00000000
-5.96398199,1.25711301,0.04632662,0.04039613,0.85184285,0.38248869,0.19935345,0.10376609,0.77413923,0.00000000
-5.95797899,1.25088993,0.04430464,0.04020723,0.84421380,0.38171265,0.19820302,0.10213376,0.77079872,0.00000000
-5.95197599,1.23956181,0.04218396,0.03982954,0.83312584,0.37963272,0.19646035,0.10001076,0.76419419,0.00000000
-5.94597299,1.22345392,0.04001269,0.03927361,0.81888685,0.37631749,0.19420893,0.09744758,0.75452160,0.00000000
-5.93996998,1.20298527,0.03783970,0.03855363,0.80187204,0.37185664,0.19154859,0.09450396,0.74203903,0.00000000
-5.93396698,1.17866489,0.03571361,0.03768723,0.78251908,0.36636148,0.18859541,0.09124768,0.72706427,0.00000000
-5.92796398,1.15108683,0.03368194,0.03669519,0.76132223,0.35996514,0.18548147,0.08775310,0.70997142,0.00000000
-5.92196098,1.12092356,0.03179015,0.03560107,0.73882553,0.35282256,0.18235451,0.08409970,0.69118649,0.00000000
-5.91595798,1.08891792,0.03008095,0.03443076,0.71561496,0.34511000,0.17937723,0.08037039,0.67118187,0.00000000
-5.90995498,1.05587337,0.02859355,0.03321204,0.69230980,0.33702400,0.17672634,0.07664990,0.65046990,0.00000000
-5.90395198,1.02264285,0.02736304,0.03197405,0.66955318,0.32877970,0.17459125,0.07302313,0.62959532,0.00000000
-5.89794897,0.99011612,0.02641985,0.03074672,0.64800192,0.32060852,0.17317227,0.06957351,0.60912700,0.00000000
-5.89194597,0.95920575,0.02578924,0.02956025,0.62831583,0.31275502,0.17267837,0.06638156,0.58964878,0.00000000
-5.88594297,0.93083215,0.02549086,0.02844447,0.61114658,0.30547324,0.17332440,0.06352346,0.57174975,0.00000000
-5.87993997,0.90590769,0.02553843,0.02742834,0.59712641,0.29902227,0.17532792,0.06106982,0.55601416,0.00000000
-5.87393697,0.88532038,0.02593938,0.02653935,0.58685672,0.29366149,0.17890543,0.05908464,0.54301099,0.00000000
-5.86793397,0.86991748,0.02669465,0.02580309,0.58089692,0.28964534,0.18426826,0.05762440,0.53328363,0.00000000
-5.86193097,0.86048937,0.02779852,0.02524268,0.57975369,0.28721803,0.19161806,0.05673737,0.52733977,0.00000000
-5.85592796,0.85775412,0.02923856,0.02487847,0.58387087,0.28660820,0.20114214,0.05646309,0.52564171,0.00000000
-5.84992496,0.86234322,0.03099565,0.02472759,0.59362033,0.28802383,0.21300850,0.05683207,0.52859747,0.00000000
-5.84392196,0.87478870,0.03304416,0.02480373,0.60929382,0.29164750,0.22736104,0.05786555,0.53655269,0.00000000
-5.83791896,0.89551202,0.03535226,0.02511690,0.63109629,0.29763222,0.24431475,0.05957558,0.54978367,0.00000000
