energy_ev,total_up,Pb_p_up,Pb_d_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,0.00022584,0.00008441,0.00000000,0.00007818,0.00000000,0.00000653,0.00006870
-5.99399700,0.00016466,0.00006138,0.00000000,0.00005725,0.00000000,0.00000494,0.00005007
-5.98799400,0.00011976,0.00004439,0.00000000,0.00004203,0.00000000,0.00000388,0.00003640
-5.98199100,0.00008734,0.00003199,0.00000000,0.00003124,0.00000000,0.00000326,0.00002651
-5.97598799,0.00006454,0.00002306,0.00000000,0.00002397,0.00000000,0.00000305,0.00001954
-5.96998499,0.00004926,0.00001677,0.00000000,0.00001957,0.00000000,0.00000326,0.00001484
-5.96398199,0.00004010,0.00001249,0.00000000,0.00001769,0.00000000,0.00000395,0.00001198
-5.95797899,0.00003619,0.00000980,0.00000000,0.00001822,0.00000000,0.00000522,0.00001070
-5.95197599,0.00003725,0.00000841,0.00000001,0.00002131,0.00000000,0.00000725,0.00001088
-5.94597299,0.00004349,0.00000817,0.00000001,0.00002739,0.00000000,0.00001032,0.00001259
-5.93996998,0.00005572,0.00000905,0.00000001,0.00003723,0.00000000,0.00001481,0.00001605
-5.93396698,0.00007536,0.00001115,0.00000002,0.00005200,0.00000000,0.00002125,0.00002166
-5.92796398,0.00010462,0.00001469,0.00000003,0.00007335,0.00000000,0.00003040,0.00003007
-5.92196098,0.00014662,0.00002004,0.00000004,0.00010361,0.00000000,0.00004323,0.00004219
-5.91595798,0.00020568,0.00002774,0.00000005,0.00014587,0.00000000,0.00006110,0.00005928
-5.90995498,0.00028759,0.00003851,0.00000007,0.00020430,0.00000000,0.00008577,0.00008304
-5.90395198,0.00039996,0.00005335,0.00000010,0.00028433,0.00000000,0.00011955,0.00011572
-5.89794897,0.00055275,0.00007355,0.00000014,0.00039306,0.00000000,0.00016546,0.00016026
-5.89194597,0.00075876,0.00010080,0.00000019,0.00053959,0.00000000,0.00022738,0.00022046
-5.88594297,0.00103432,0.00013722,0.00000026,0.00073552,0.00000000,0.00031025,0.00030117
-5.87993997,0.00140003,0.00018550,0.00000036,0.00099551,0.00000000,0.00042029,0.00040855
-5.87393697,0.00188164,0.00024901,0.00000048,0.00133781,0.00000000,0.00056530,0.00055031
-5.86793397,0.00251096,0.00033189,0.00000064,0.00178501,0.00000000,0.00075491,0.00073603
-5.86193097,0.00332696,0.00043920,0.00000085,0.00236476,0.00000000,0.00100093,0.00097746
-5.85592796,0.00437682,0.00057705,0.00000112,0.00311051,0.00000000,0.00131764,0.00128891
-5.84992496,0.00571706,0.00075274,0.00000147,0.00406234,0.00000000,0.00172218,0.00168760
-5.84392196,0.00741468,0.00097489,0.00000191,0.00526772,0.00000000,0.00223486,0.00219402
-5.83791896,0.00954816,0.00125356,0.00000246,0.00678221,0.00000000,0.00287946,0.00283229
-5.83191596,0.01220835,0.00160036,0.00000316,0.00867013,0.00000000,0.00368352,0.00363051
-5.82591296,0.01549912,0.00202848,0.00000402,0.01100492,0.00000000,0.00467848,0.00462097
-5.81990995,0.01953766,0.00255271,0.00000509,0.01386942,0.00000000,0.00589981,0.00584036
-5.81390695,0.02445438,0.00318943,0.00000641,0.01735571,0.00000000,0.00738692,0.00732979
-5.80790395,0.03039228,0.00395645,0.00000800,0.02156464,0.00000000,0.00918295,0.00913469
-5.80190095,0.03750558,0.00487279,0.00000994,0.02660485,0.00000000,0.01133428,0.01130456
-5.79589795,0.04595778,0.00595842,0.00001226,0.03259131,0.00000000,0.01388995,0.01389238
-5.78989495,0.05591870,0.00723376,0.00001503,0.03964325,0.00000000,0.01690063,0.01695391
-5.78389195,0.06756085,0.00871922,0.00001831,0.04788144,0.00000000,0.02041745,0.02054665
-5.77788894,0.08105477,0.01043450,0.00002218,0.05742492,0.00000000,0.02449054,0.02472854
-5.77188594,0.09656360,0.01239786,0.00002670,0.06838704,0.00000000,0.02916716,0.02955636
-5.76588294,0.11423684,0.01462523,0.00003196,0.08087104,0.00000000,0.03448981,0.03508391
-5.75987994,0.13420353,0.01712931,0.00003803,0.09496510,0.00000000,0.04049393,0.04135998
-5.75387694,0.15656491,0.01991857,0.00004500,0.11073718,0.00000000,0.04720557,0.04842605
-5.74787394,0.18138696,0.02299630,0.00005294,0.12822965,0.00000000,0.05463902,0.05631400
-5.74187094,0.20869307,0.02635965,0.00006194,0.14745415,0.00000000,0.06279447,0.06504374
-5.73586793,0.23845717,0.02999877,0.00007208,0.16838663,0.00000000,0.07165581,0.07462093
-5.72986493,0.27059770,0.03389611,0.00008342,0.19096323,0.00000000,0.08118879,0.08503489
-5.72386193,0.30497280,0.03802590,0.00009604,0.21507691,0.00000000,0.09133959,0.09625681
-5.71785893,0.34137720,0.04235386,0.00010999,0.24057529,0.00000000,0.10203392,0.10823841
-5.71185593,0.37954093,0.04683724,0.00012533,0.26725998,0.00000000,0.11317689,0.12091105
-5.70585293,0.41913036,0.05142517,0.00014208,0.29488742,0.00000000,0.12465351,0.13418559
-5.69984992,0.45975156,0.05605931,0.00016026,0.32317153,0.00000000,0.13633019,0.14795280
-5.69384692,0.50095633,0.06067496,0.00017988,0.35178818,0.00000000,0.14805703,0.16208458
-5.68784392,0.54225052,0.06520244,0.00020091,0.38038141,0.00000000,0.15967103,0.17643595
-5.68184092,0.58310489,0.06956877,0.00022331,0.40857142,0.00000000,0.17100015,0.19084772
-5.67583792,0.62296797,0.07369971,0.00024701,0.43596393,0.00000000,0.18186803,0.20514986
-5.66983492,0.66128064,0.07752194,0.00027191,0.46216090,0.00000000,0.19209949,0.21916548
-5.66383192,0.69749201,0.08096538,0.00029790,0.48677195,0.00000000,0.20152631,0.23271525
-5.65782891,0.73107587,0.08396557,0.00032483,0.50942635,0.00000000,0.20999336,0.24562218
-5.65182591,0.76154736,0.08646598,0.00035249,0.52978496,0.00000000,0.21736478,0.25771651
-5.64582291,0.78847905,0.08842014,0.00038070,0.54755171,0.00000000,0.22352991,0.26884073
-5.63981991,0.81151587,0.08979363,0.00040921,0.56248424,0.00000000,0.22840885,0.27885425
-5.63381691,0.83038839,0.09056560,0.00043777,0.57440320,0.00000000,0.23195745,0.28763794
-5.62781391,0.84492401,0.09073000,0.00046609,0.58319994,0.00000000,0.23417139,0.29509804
-5.62181091,0.85505552,0.09029634,0.00049390,0.58884229,0.00000000,0.23508948,0.30116956
-5.61580790,0.86082694,0.08928995,0.00052089,0.59137825,0.00000000,0.23479575,0.30581901
-5.60980490,0.86239650,0.08775181,0.00054677,0.59093754,0.00000000,0.23342057,0.30904624
