energy_ev,total_up,C_s_up,C_p_up,Li_s_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,1.62319928,0.02034741,0.19942665,0.19201815,0.02456629,0.67173627,0.22738625,0.29071429
-5.99399700,1.69389033,0.02122278,0.20528082,0.20504962,0.02537297,0.70514487,0.23886764,0.30254649
-5.98799400,1.76593490,0.02212440,0.21059360,0.21920062,0.02611604,0.74020086,0.25089850,0.31407235
-5.98199100,1.83855423,0.02304051,0.21526235,0.23436673,0.02678665,0.77660020,0.26336555,0.32513057
-5.97598799,1.91093957,0.02395834,0.21919811,0.25041787,0.02737740,0.81399936,0.27614277,0.33556617
-5.96998499,1.98226629,0.02486440,0.22232784,0.26720060,0.02788248,0.85202033,0.28909356,0.34523414
-5.96398199,2.05170896,0.02574485,0.22459609,0.28454136,0.02829770,0.89025695,0.30207329,0.35400274
-5.95797899,2.11845699,0.02658590,0.22596603,0.30225050,0.02862051,0.92828274,0.31493205,0.36175649
-5.95197599,2.18173091,0.02737428,0.22641996,0.32012697,0.02884992,0.96565985,0.32751778,0.36839877
-5.94597299,2.24079876,0.02809764,0.22595914,0.33796367,0.02898649,1.00194918,0.33967947,0.37385403
-5.93996998,2.29499250,0.02874507,0.22460308,0.35555308,0.02903214,1.03672142,0.35127053,0.37806943
-5.93396698,2.34372401,0.02930754,0.22238832,0.37269320,0.02899014,1.06956855,0.36215214,0.38101605
-5.92796398,2.38650015,0.02977831,0.21936681,0.38919337,0.02886490,1.10011558,0.37219650,0.38268952
-5.92196098,2.42293656,0.03015330,0.21560388,0.40487991,0.02866189,1.12803194,0.38128987,0.38311018
-5.91595798,2.45276939,0.03043140,0.21117602,0.41960123,0.02838752,1.15304217,0.38933539,0.38232258
-5.90995498,2.47586447,0.03061467,0.20616845,0.43323225,0.02804898,1.17493515,0.39625538,0.38039453
-5.90395198,2.49222328,0.03070842,0.20067264,0.44567789,0.02765416,1.19357166,0.40199324,0.37741552
-5.89794897,2.50198509,0.03072122,0.19478384,0.45687542,0.02721147,1.20888939,0.40651467,0.37349464
-5.89194597,2.50542476,0.03066470,0.18859871,0.46679558,0.02672976,1.22090535,0.40980830,0.36875790
-5.88594297,2.50294589,0.03055327,0.18221306,0.47544235,0.02621818,1.22971512,0.41188558,0.36334518
-5.87993997,2.49506915,0.03040368,0.17571985,0.48285134,0.02568597,1.23548881,0.41277990,0.35740657
-5.87393697,2.48241572,0.03023448,0.16920731,0.48908681,0.02514232,1.23846381,0.41254503,0.35109848
-5.86793397,2.46568634,0.03006533,0.16275749,0.49423742,0.02459617,1.23893437,0.41125289,0.34457934
-5.86193097,2.44563641,0.02991626,0.15644488,0.49841090,0.02405603,1.23723840,0.40899063,0.33800519
-5.85592796,2.42304809,0.02980684,0.15033544,0.50172780,0.02352968,1.23374206,0.40585734,0.33152517
-5.84992496,2.39870038,0.02975537,0.14448583,0.50431465,0.02302405,1.22882276,0.40196029,0.32527711
-5.84392196,2.37333857,0.02977803,0.13894294,0.50629681,0.02254489,1.22285139,0.39741104,0.31938335
-5.83791896,2.34764447,0.02988814,0.13374361,0.50779138,0.02209664,1.21617466,0.39232151,0.31394696
-5.83191596,2.32220878,0.03009541,0.12891462,0.50890045,0.02168225,1.20909857,0.38680027,0.30904854
-5.82591296,2.29750725,0.03040543,0.12447295,0.50970518,0.02130301,1.20187377,0.38094910,0.30474377
-5.81990995,2.27388183,0.03081924,0.12042613,0.51026091,0.02095851,1.19468373,0.37486018,0.30106172
-5.81390695,2.25152796,0.03133309,0.11677296,0.51059363,0.02064664,1.18763642,0.36861391,0.29800425
-5.80790395,2.23048898,0.03193842,0.11350425,0.51069801,0.02036361,1.18076000,0.36227755,0.29554639
-5.80190095,2.21065795,0.03262203,0.11060396,0.51053723,0.02010412,1.17400285,0.35590466,0.29363777
-5.79589795,2.19178731,0.03336643,0.10805029,0.51004448,0.01986156,1.16723805,0.34953558,0.29220517
-5.78989495,2.17350575,0.03415047,0.10581710,0.50912632,0.01962830,1.16027198,0.34319865,0.29115601
-5.78389195,2.15534195,0.03495005,0.10387539,0.50766762,0.01939597,1.15285693,0.33691230,0.29038279
-5.77788894,2.13675379,0.03573899,0.10219484,0.50553794,0.01915590,1.14470679,0.33068788,0.28976813
-5.77188594,2.11716187,0.03649008,0.10074554,0.50259903,0.01889947,1.13551517,0.32453296,0.28919043
-5.76588294,2.09598557,0.03717610,0.09949958,0.49871314,0.01861852,1.12497499,0.31845499,0.28852974
