energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Li_s_up,Te_p_up,Te_d_up
-6.00000000,2.32501547,0.03685327,0.03526179,0.71574981,0.24311544,0.33329253,1.38674123,0.00000000
-5.99399700,2.24316996,0.03581445,0.03349797,0.69187331,0.23569914,0.31896860,1.33876051,0.00000000
-5.98799400,2.15247982,0.03455663,0.03170542,0.66455273,0.22734996,0.30352932,1.28515130,0.00000000
-5.98199100,2.05445048,0.03310495,0.02990355,0.63426553,0.21821175,0.28717590,1.22682450,0.00000000
-5.97598799,1.95067288,0.03148778,0.02811136,0.60153258,0.20843868,0.27012366,1.16474892,0.00000000
-5.96998499,1.84277593,0.02973578,0.02634699,0.56690217,0.19819037,0.25259572,1.09992208,0.00000000
-5.96398199,1.73237947,0.02788090,0.02462733,0.53093380,0.18762695,0.23481675,1.03334128,0.00000000
-5.95797899,1.62105006,0.02595548,0.02296761,0.49418239,0.17690438,0.21700682,0.96597614,0.00000000
-5.95197599,1.51026117,0.02399131,0.02138115,0.45718364,0.16617012,0.19937592,0.89874377,0.00000000
-5.94597299,1.40135948,0.02201882,0.01987914,0.42044097,0.15555948,0.18211905,0.83248750,0.00000000
-5.93996998,1.29553822,0.02006636,0.01847052,0.38441461,0.14519263,0.16541223,0.76795984,0.00000000
-5.93396698,1.19381860,0.01815967,0.01716198,0.34951314,0.13517252,0.14940957,0.70581025,0.00000000
-5.92796398,1.09703929,0.01632145,0.01595800,0.31608753,0.12558359,0.13424130,0.64657781,0.00000000
-5.92196098,1.00585408,0.01457109,0.01486107,0.28442793,0.11649144,0.12001303,0.59068884,0.00000000
-5.91595798,0.92073709,0.01292459,0.01387189,0.25476296,0.10794325,0.10680594,0.53845909,0.00000000
-5.90995498,0.84199466,0.01139459,0.01298972,0.22726131,0.09996900,0.09467796,0.49010013,0.00000000
-5.90395198,0.76978282,0.00999055,0.01221271,0.20203550,0.09258329,0.08366582,0.44572914,0.00000000
-5.89794897,0.70412907,0.00871905,0.01153831,0.17914722,0.08578757,0.07378781,0.40538142,0.00000000
-5.89194597,0.64495686,0.00758417,0.01096362,0.15861402,0.07957276,0.06504698,0.36902475,0.00000000
-5.88594297,0.59211156,0.00658790,0.01048583,0.14041677,0.07392198,0.05743479,0.33657473,0.00000000
-5.87993997,0.54538638,0.00573069,0.01010248,0.12450761,0.06881327,0.05093485,0.30791028,0.00000000
-5.87393697,0.50454693,0.00501189,0.00981181,0.11081786,0.06422218,0.04552676,0.28288850,0.00000000
-5.86793397,0.46935351,0.00443030,0.00961294,0.09926561,0.06012409,0.04118965,0.26135837,0.00000000
-5.86193097,0.43958004,0.00398461,0.00950601,0.08976261,0.05649611,0.03790556,0.24317247,0.00000000
-5.85592796,0.41502910,0.00367383,0.00949221,0.08222034,0.05331861,0.03566229,0.22819670,0.00000000
-5.84992496,0.39554266,0.00349766,0.00957378,0.07655494,0.05057625,0.03445579,0.21631735,0.00000000
-5.84392196,0.38100829,0.00345679,0.00975380,0.07269095,0.04825851,0.03429182,0.20744570,0.00000000
-5.83791896,0.37136098,0.00355306,0.01003602,0.07056387,0.04635976,0.03518707,0.20151998,0.00000000
-5.83191596,0.36658071,0.00378964,0.01042454,0.07012141,0.04487890,0.03716939,0.19850486,0.00000000
-5.82591296,0.36668627,0.00417096,0.01092349,0.07132357,0.04381860,0.04027738,0.19838867,0.00000000
-5.81990995,0.37172583,0.00470269,0.01153660,0.07414168,0.04318425,0.04455909,0.20117872,0.00000000
