energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-1.20360180,1.46248609,0.00176872,0.02209652,0.23934247,1.08308769,0.04274078,0.20494842,0.27260519,0.00000736
-1.19759880,1.39618578,0.00159751,0.02179191,0.23504540,1.02445065,0.04328842,0.19622367,0.26197683,0.00000681
-1.19159580,1.33453213,0.00145082,0.02150460,0.23106264,0.96934108,0.04388562,0.18855133,0.25187053,0.00000634
-1.18559280,1.27799215,0.00133058,0.02123190,0.22740599,0.91815800,0.04450216,0.18209071,0.24243203,0.00000598
-1.17958979,1.22697600,0.00123860,0.02097172,0.22408378,0.87125546,0.04510897,0.17698744,0.23379371,0.00000571
-1.17358679,1.18183929,0.00117668,0.02072279,0.22110268,0.82894333,0.04567942,0.17337059,0.22607283,0.00000554
-1.16758379,1.14288494,0.00114668,0.02048487,0.21846922,0.79148799,0.04619039,0.17134975,0.21937000,0.00000546
-1.16158079,1.11036444,0.00115062,0.02025888,0.21619104,0.75911278,0.04662330,0.17101227,0.21376788,0.00000548
-1.15557779,1.08447834,0.00119071,0.02004702,0.21427767,0.73199813,0.04696480,0.17242058,0.20933015,0.00000559
-1.14957479,1.06537601,0.00126949,0.01985273,0.21274092,0.71028150,0.04720736,0.17560979,0.20610065,0.00000579
-1.14357179,1.05315479,0.00138984,0.01968070,0.21159478,0.69405708,0.04734952,0.18058563,0.20410287,0.00000609
-1.13756878,1.04785892,0.00155500,0.01953672,0.21085499,0.68337569,0.04739599,0.18732293,0.20333963,0.00000647
-1.13156578,1.04947837,0.00176866,0.01942750,0.21053831,0.67824486,0.04735746,0.19576464,0.20379324,0.00000693
-1.12556278,1.05794828,0.00203486,0.01936051,0.21066152,0.67862948,0.04725017,0.20582157,0.20542587,0.00000748
-1.11955978,1.07314902,0.00235805,0.01934367,0.21124039,0.68445317,0.04709533,0.21737296,0.20818047,0.00000810
-1.11355678,1.09490741,0.00274294,0.01938514,0.21228863,0.69560045,0.04691838,0.23026786,0.21198204,0.00000880
-1.10755378,1.12299928,0.00319449,0.01949299,0.21381699,0.71191984,0.04674809,0.24432751,0.21673946,0.00000956
-1.10155078,1.15715331,0.00371771,0.01967495,0.21583253,0.73322774,0.04661556,0.25934845,0.22234776,0.00001039
-1.09554777,1.19705624,0.00431758,0.01993815,0.21833820,0.75931304,0.04655321,0.27510663,0.22869088,0.00001129
-1.08954477,1.24235917,0.00499878,0.02028887,0.22133275,0.78994214,0.04659369,0.29136217,0.23564485,0.00001224
-1.08354177,1.29268456,0.00576556,0.02073233,0.22481093,0.82486405,0.04676884,0.30786472,0.24308135,0.00001325
-1.07753877,1.34763355,0.00662142,0.02127249,0.22876394,0.86381523,0.04710862,0.32435929,0.25087151,0.00001432
-1.07153577,1.40679295,0.00756892,0.02191196,0.23318017,0.90652370,0.04764017,0.34059223,0.25888984,0.00001544
-1.06553277,1.46974151,0.00860937,0.02265184,0.23804602,0.95271211,0.04838686,0.35631727,0.26701817,0.00001662
-1.05952976,1.53605473,0.00974260,0.02349168,0.24334673,1.00209934,0.04936749,0.37130121,0.27514937,0.00001785
-1.05352676,1.60530793,0.01096668,0.02442943,0.24906717,1.05440050,0.05059554,0.38532924,0.28319069,0.00001915
-1.04752376,1.67707719,0.01227768,0.02546141,0.25519237,1.10932510,0.05207852,0.39820947,0.29106667,0.00002051
-1.04152076,1.75093802,0.01366951,0.02658239,0.26170778,1.16657360,0.05381750,0.40977664,0.29872120,0.00002193
-1.03551776,1.82646186,0.01513374,0.02778556,0.26859918,1.22583231,0.05580670,0.41989487,0.30611890,0.00002344
-1.02951476,1.90321056,0.01665952,0.02906263,0.27585217,1.28676723,0.05803326,0.42845927,0.31324548,0.00002502
-1.02351176,1.98072945,0.01823359,0.03040391,0.28345122,1.34901712,0.06047714,0.43539650,0.32010714,0.00002669
-1.01750875,2.05853956,0.01984032,0.03179837,0.29137838,1.41218657,0.06311125,0.44066421,0.32672897,0.00002845
-1.01150575,2.13612968,0.02146188,0.03323382,0.29961166,1.47583965,0.06590164,0.44424959,0.33315235,0.00003030
-1.00550275,2.21294930,0.02307850,0.03469697,0.30812318,1.53949478,0.06880802,0.44616701,0.33943149,0.00003226
-0.99949975,2.28840297,0.02466880,0.03617360,0.31687730,1.60262168,0.07178441,0.44645498,0.34562919,0.00003432
-0.99349675,2.36184721,0.02621025,0.03764873,0.32582877,1.66464071,0.07477996,0.44517270,0.35181204,0.00003649
-0.98749375,2.43259030,0.02767961,0.03910678,0.33492106,1.72492523,0.07774000,0.44239622,0.35804521,0.00003875
-0.98149075,2.49989569,0.02905357,0.04053175,0.34408516,1.78280714,0.08060729,0.43821463,0.36438714,0.00004111
-0.97548774,2.56298912,0.03030933,0.04190744,0.35323870,1.83758572,0.08332336,0.43272628,0.37088437,0.00004356
-0.96948474,2.62106957,0.03142523,0.04321765,0.36228586,1.88853959,0.08583000,0.42603528,0.37756666,0.00004607
-0.96348174,2.67332372,0.03238142,0.04444636,0.37111783,1.93494139,0.08807081,0.41824847,0.38444282,0.00004865
-0.95747874,2.71894358,0.03316043,0.04557805,0.37961403,1.97607481,0.08999278,0.40947276,0.39149742,0.00005125
-0.95147574,2.75714649,0.03374775,0.04659780,0.38764408,2.01125307,0.09154785,0.39981310,0.39868850,0.00005387
-0.94547274,2.78719677,0.03413234,0.04749163,0.39507047,2.03983824,0.09269435,0.38937100,0.40594656,0.00005646
-0.93946973,2.80842804,0.03430702,0.04824663,0.40175186,2.06126042,0.09339832,0.37824355,0.41317489,0.00005901
-0.93346673,2.82026526,0.03426872,0.04885125,0.40754694,2.07503605,0.09363463,0.36652297,0.42025134,0.00006147
-0.92746373,2.82224556,0.03401872,0.04929546,0.41231872,2.08078450,0.09338787,0.35429660,0.42703146,0.00006381
-0.92146073,2.81403700,0.03356259,0.04957098,0.41593906,2.07824224,0.09265293,0.34164724,0.43335299,0.00006601
-0.91545773,2.79545444,0.03291021,0.04967148,0.41829339,2.06727406,0.09143532,0.32865373,0.43904154,0.00006802
-0.90945473,2.76647197,0.03207546,0.04959272,0.41928535,2.04788085,0.08975115,0.31539180,0.44391733,0.00006981
