energy_ev,total_up,Ir_p_up,Ir_d_up,Li_s_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,2.36298027,0.58258325,0.79257543,0.33336426,0.02046869,0.22321917,1.19582482,0.00000000
-5.99399700,2.39171574,0.57837147,0.81275025,0.33323982,0.01991674,0.23162241,1.19880056,0.00000000
-5.98799400,2.42089260,0.57375882,0.83359419,0.33364580,0.01933709,0.24007311,1.20201160,0.00000000
-5.98199100,2.45088760,0.56898474,0.85510797,0.33470130,0.01874189,0.24854479,1.20576994,0.00000000
-5.97598799,2.48193018,0.56426207,0.87723184,0.33648732,0.01814262,0.25699778,1.21031209,0.00000000
-5.96998499,2.51407860,0.55976808,0.89984052,0.33904230,0.01754957,0.26537854,1.21578418,0.00000000
-5.96398199,2.54720322,0.55563710,0.92274096,0.34235941,0.01697156,0.27361972,1.22223073,0.00000000
-5.95797899,2.58097854,0.55195502,0.94567317,0.34638577,0.01641560,0.28164079,1.22958779,0.00000000
-5.95197599,2.61488438,0.54875607,0.96831426,0.35102364,0.01588676,0.28934950,1.23768114,0.00000000
-5.94597299,2.64821699,0.54602201,0.99028571,0.35613357,0.01538808,0.29664390,1.24622962,0.00000000
-5.93996998,2.68010960,0.54368380,1.01116374,0.36153943,0.01492062,0.30341498,1.25485390,0.00000000
-5.93396698,2.70956201,0.54162569,1.03049241,0.36703504,0.01448355,0.30954976,1.26309028,0.00000000
-5.92796398,2.73547787,0.53969150,1.04779903,0.37239220,0.01407438,0.31493474,1.27040899,0.00000000
-5.92196098,2.75670831,0.53769297,1.06261119,0.37736966,0.01368924,0.31945963,1.27623631,0.00000000
-5.91595798,2.77209969,0.53541946,1.07447473,0.38172281,0.01332319,0.32302101,1.27997943,0.00000000
-5.90995498,2.78054357,0.53264895,1.08297192,0.38521348,0.01297057,0.32552610,1.28105298,0.00000000
-5.90395198,2.78102639,0.52915936,1.08773888,0.38761956,0.01262542,0.32689610,1.27890582,0.00000000
-5.89794897,2.77267659,0.52474008,1.08848167,0.38874393,0.01228174,0.32706934,1.27304698,0.00000000
-5.89194597,2.75480703,0.51920280,1.08499016,0.38842244,0.01193394,0.32600386,1.26306940,0.00000000
-5.88594297,2.72695058,0.51239140,1.07714905,0.38653044,0.01157706,0.32367946,1.24867031,0.00000000
-5.87993997,2.68888752,0.50419030,1.06494568,0.38298784,0.01120702,0.32009911,1.22966749,0.00000000
-5.87393697,2.64066325,0.49453098,1.04847412,0.37776230,0.01082085,0.31528974,1.20601039,0.00000000
-5.86793397,2.58259588,0.48339640,1.02793545,0.37087060,0.01041676,0.30930225,1.17778596,0.00000000
-5.86193097,2.51527332,0.47082322,1.00363426,0.36237816,0.00999422,0.30221089,1.14521881,0.00000000
-5.85592796,2.43954031,0.45690160,0.97597150,0.35239673,0.00955394,0.29411207,1.10866588,0.00000000
-5.84992496,2.35647603,0.44177300,0.94543401,0.34108050,0.00909782,0.28512242,1.06860608,0.00000000
-5.84392196,2.26736364,0.42562585,0.91258131,0.32862085,0.00862883,0.27537655,1.02562539,0.00000000
-5.83791896,2.17365321,0.40868952,0.87803010,0.31523989,0.00815084,0.26502416,0.98039833,0.00000000
-5.83191596,2.07691971,0.39122692,0.84243720,0.30118328,0.00766848,0.25422700,0.93366676,0.00000000
-5.82591296,1.97881816,0.37352609,0.80648171,0.28671255,0.00718687,0.24315553,0.88621697,0.00000000
-5.81990995,1.88103775,0.35589129,0.77084695,0.27209726,0.00671148,0.23198542,0.83885622,0.00000000
-5.81390695,1.78525672,0.33863379,0.73620292,0.25760738,0.00624788,0.22089407,0.79238965,0.00000000
-5.80790395,1.69309982,0.32206299,0.70318996,0.24350611,0.00580159,0.21005722,0.74759851,0.00000000
-5.80190095,1.60609972,0.30647810,0.67240404,0.23004332,0.00537783,0.19964564,0.70522050,0.00000000
-5.79589795,1.52566350,0.29216061,0.64438411,0.21744999,0.00498147,0.18982212,0.66593282,0.00000000
-5.78989495,1.45304504,0.27936791,0.61960187,0.20593355,0.00461683,0.18073868,0.63033832,0.00000000
-5.78389195,1.38932375,0.26832803,0.59845402,0.19567435,0.00428760,0.17253417,0.59895503,0.00000000
-5.77788894,1.33538982,0.25923573,0.58125716,0.18682315,0.00399680,0.16533220,0.57220904,0.00000000
-5.77188594,1.29193567,0.25224979,0.56824511,0.17949972,0.00374673,0.15923940,0.55043067,0.00000000
-5.76588294,1.25945326,0.24749154,0.55956862,0.17379228,0.00353895,0.15434417,0.53385358,0.00000000
-5.75987994,1.23823653,0.24504442,0.55529715,0.16975787,0.00337429,0.15071566,0.52261643,0.00000000
-5.75387694,1.22838812,0.24495445,0.55542235,0.16742330,0.00325288,0.14840316,0.51676679,0.00000000
-5.74787394,1.22982954,0.24723147,0.55986303,0.16678667,0.00317421,0.14743581,0.51626652,0.00000000
-5.74187094,1.24231380,0.25185087,0.56847112,0.16781927,0.00313714,0.14782253,0.52099842,0.00000000
-5.73586793,1.26543974,0.25875572,0.58103833,0.17046764,0.00313997,0.14955226,0.53077349,0.00000000
-5.72986493,1.29866717,0.26785909,0.59730322,0.17465580,0.00318052,0.15259438,0.54533847,0.00000000
-5.72386193,1.34133227,0.27904644,0.61695841,0.18028744,0.00325618,0.15689932,0.56438338,0.00000000
-5.71785893,1.39266279,0.29217803,0.63965769,0.18724808,0.00336394,0.16239935,0.58754876,0.00000000
-5.71185593,1.45179264,0.30709119,0.66502289,0.19540712,0.00350050,0.16900955,0.61443248,0.00000000
-5.70585293,1.51777592,0.32360253,0.69265048,0.20461979,0.00366230,0.17662885,0.64459612,0.00000000
-5.69984992,1.58960010,0.34151010,0.72211783,0.21472908,0.00384556,0.18514134,0.67757085,0.00000000
-5.69384692,1.66619881,0.36059544,0.75298914,0.22556753,0.00404639,0.19441760,0.71286298,0.00000000
-5.68784392,1.74646410,0.38062569,0.78482113,0.23695918,0.00426077,0.20431633,0.74995927,0.00000000
-5.68184092,1.82925866,0.40135571,0.81716856,0.24872149,0.00448467,0.21468602,0.78833206,0.00000000
-5.67583792,1.91342803,0.42253040,0.84958954,0.26066746,0.00471406,0.22536690,0.82744451,0.00000000
-5.66983492,1.99781321,0.44388720,0.88165089,0.27260793,0.00494499,0.23619301,0.86675596,0.00000000
-5.66383192,2.08126354,0.46515876,0.91293332,0.28435401,0.00517364,0.24699443,0.90572753,0.00000000
-5.65782891,2.16265020,0.48607595,0.94303671,0.29571985,0.00539633,0.25759974,0.94382803,0.00000000
-5.65182591,2.24087998,0.50637101,0.97158513,0.30652551,0.00560964,0.26783853,0.98054012,0.00000000
-5.64582291,2.31490952,0.52578101,0.99823187,0.31660002,0.00581039,0.27754408,1.01536680,0.00000000
-5.63981991,2.38375945,0.54405148,1.02266406,0.32578450,0.00599573,0.28655605,1.04783798,0.00000000
-5.63381691,2.44652843,0.56094001,1.04460703,0.33393533,0.00616312,0.29472326,1.07751715,0.00000000
-5.62781391,2.50240664,0.57622010,1.06382803,0.34092714,0.00631042,0.30190637,1.10400787,0.00000000
-5.62181091,2.55068826,0.58968477,1.08013939,0.34665568,0.00643586,0.30798046,1.12696003,0.00000000
-5.61580790,2.59078283,0.60115009,1.09340089,0.35104032,0.00653808,0.31283755,1.14607561,0.00000000
-5.60980490,2.62222489,0.61045854,1.10352129,0.35402609,0.00661610,0.31638874,1.16111379,0.00000000
-5.60380190,2.64468182,0.61748198,1.11045894,0.35558527,0.00666937,0.31856622,1.17189528,0.00000000
-5.59779890,2.65795949,0.62212430,1.11422149,0.35571831,0.00669771,0.31932480,1.17830577,0.00000000
-5.59179590,2.66200568,0.62432365,1.11486474,0.35445406,0.00670130,0.31864311,1.18029820,0.00000000
-5.58579290,2.65691103,0.62405417,1.11249055,0.35184939,0.00668070,0.31652434,1.17789407,0.00000000
-5.57978989,2.64290766,0.62132730,1.10724410,0.34798791,0.00663675,0.31299642,1.17118348,0.00000000
-5.57378689,2.62036527,0.61619248,1.09931049,0.34297813,0.00657062,0.30811178,1.16032399,0.00000000
-5.56778389,2.58978507,0.60873741,1.08891074,0.33695083,0.00648373,0.30194646,1.14553832,0.00000000
-5.56178089,2.55179134,0.59908777,1.07629747,0.33005585,0.00637777,0.29459873,1.12711092,0.00000000
-5.55577789,2.50712119,0.58740638,1.06175026,0.32245833,0.00625462,0.28618724,1.10538345,0.00000000
-5.54977489,2.45661234,0.57389195,1.04557088,0.31433452,0.00611639,0.27684855,1.08074935,0.00000000
-5.54377189,2.40118949,0.55877721,1.02807833,0.30586731,0.00596538,0.26673438,1.05364748,0.00000000
-5.53776888,2.34184929,0.54232669,1.00960400,0.29724154,0.00580404,0.25600836,1.02455511,0.00000000
-5.53176588,2.27964441,0.52483395,0.99048682,0.28863932,0.00563502,0.24484262,0.99398038,0.00000000
-5.52576288,2.21566694,0.50661844,0.97106848,0.28023555,0.00546110,0.23341413,0.96245435,0.00000000
-5.51975988,2.15103141,0.48802193,0.95168889,0.27219365,0.00528523,0.22190102,0.93052288,0.00000000
-5.51375688,2.08685787,0.46940452,0.93268172,0.26466181,0.00511051,0.21047890,0.89873854,0.00000000
-5.50775388,2.02425540,0.45114039,0.91437022,0.25776979,0.00494016,0.19931741,0.86765270,0.00000000
-5.50175088,1.96430625,0.43361316,0.89706334,0.25162646,0.00477756,0.18857699,0.83780793,0.00000000
-5.49574787,1.90805114,0.41721098,0.88105216,0.24631813,0.00462619,0.17840602,0.80973101,0.00000000
-5.48974487,1.85647588,0.40232143,0.86660666,0.24190782,0.00448965,0.16893841,0.78392645,0.00000000
-5.48374187,1.81049955,0.38932615,0.85397312,0.23843532,0.00437163,0.16029168,0.76087080,0.00000000
-5.47773887,1.77096454,0.37859532,0.84337188,0.23591829,0.00427591,0.15256555,0.74100772,0.00000000
-5.47173587,1.73862840,0.37048208,0.83499587,0.23435407,0.00420627,0.14584111,0.72474375,0.00000000
-5.46573287,1.71415762,0.36531676,0.82900967,0.23372237,0.00416656,0.14018046,0.71244483,0.00000000
-5.45972986,1.69812323,0.36340116,0.82554934,0.23398847,0.00416057,0.13562682,0.70443340,0.00000000
-5.45372686,1.69099808,0.36500288,0.82472284,0.23510698,0.00419207,0.13220507,0.70098608,0.00000000
-5.44772386,1.69315549,0.37034966,0.82661113,0.23702573,0.00426470,0.12992266,0.70233164,0.00000000
-5.44172086,1.70486913,0.37962397,0.83126981,0.23968985,0.00438198,0.12877067,0.70864922,0.00000000
-5.43571786,1.72631356,0.39295787,0.83873110,0.24304553,0.00454723,0.12872515,0.72006665,0.00000000
-5.42971486,1.75756540,0.41042818,0.84900622,0.24704347,0.00476353,0.12974844,0.73665871,0.00000000
-5.42371186,1.79860442,0.43205226,0.86208766,0.25164167,0.00503365,0.13179059,0.75844528,0.00000000
-5.41770885,1.84931467,0.45778439,0.87795154,0.25680750,0.00536001,0.13479065,0.78538935,0.00000000
-5.41170585,1.90948506,0.48751292,0.89655947,0.26251877,0.00574460,0.13867788,0.81739491,0.00000000
-5.40570285,1.97880959,0.52105847,0.91785998,0.26876392,0.00618891,0.14337293,0.85430479,0.00000000
-5.39969985,2.05688704,0.55817321,0.94178933,0.27554108,0.00669393,0.14878874,0.89589862,0.00000000
-5.39369685,2.14322027,0.59854145,0.96827146,0.28285624,0.00726001,0.15483151,0.94189114,0.00000000
-5.38769385,2.23721546,0.64178168,0.99721719,0.29072042,0.00788688,0.16140149,0.99193105,0.00000000
-5.38169085,2.33818156,0.68745014,1.02852256,0.29914628,0.00857357,0.16839381,1.04560074,0.00000000
-5.37568784,2.44533041,0.73504604,1.06206650,0.30814399,0.00931839,0.17569929,1.10241717,0.00000000
-5.36968484,2.55777801,0.78401845,1.09770787,0.31771697,0.01011896,0.18320539,1.16183418,0.00000000
-5.36368184,2.67454757,0.83377478,1.13528219,0.32785760,0.01097218,0.19079728,1.22324649,0.00000000
-5.35767884,2.79457472,0.88369089,1.17459835,0.33854308,0.01187426,0.19835902,1.28599558,0.00000000
-5.35167584,2.91671534,0.93312251,1.21543545,0.34973202,0.01282082,0.20577499,1.34937749,0.00000000
-5.34567284,3.03975645,0.98141784,1.25754033,0.36136163,0.01380695,0.21293155,1.41265273,0.00000000
-5.33966983,3.16243021,1.02793102,1.30062596,0.37334605,0.01482729,0.21971874,1.47505797,0.00000000
-5.33366683,3.28343116,1.07203607,1.34437106,0.38557579,0.01587618,0.22603231,1.53581955,0.00000000
-5.32766383,3.40143641,1.11314093,1.38842116,0.39791839,0.01694778,0.23177564,1.59416824,0.00000000
-5.32166083,3.51512845,1.15070107,1.43239126,0.41022041,0.01803619,0.23686182,1.64935510,0.00000000
-5.31565783,3.62321994,1.18423237,1.47587022,0.42231056,0.01913558,0.24121554,1.70066766,0.00000000
