energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,2.30511248,0.00685437,0.10321017,0.01245413,1.14180400,0.98226026,0.51177017
-5.99399700,2.24725467,0.00706027,0.10069779,0.01218535,1.11446868,0.95661780,0.49701689
-5.98799400,2.18178758,0.00726984,0.09772276,0.01186954,1.08326159,0.92695158,0.48094210
-5.98199100,2.11034238,0.00748163,0.09436006,0.01151576,1.04896076,0.89398547,0.46395172
-5.97598799,2.03462588,0.00769360,0.09069033,0.01113360,1.01238128,0.85849446,0.44646420
-5.96998499,1.95637239,0.00790325,0.08679739,0.01073296,0.97435158,0.82128229,0.42889972
-5.96398199,1.87729691,0.00810763,0.08276578,0.01032372,0.93569041,0.78315935,0.41166995
-5.95797899,1.79905162,0.00830352,0.07867853,0.00991547,0.89718547,0.74492153,0.39516835
-5.95197599,1.72318716,0.00848747,0.07461510,0.00951731,0.85957447,0.70733088,0.37976165
-5.94597299,1.65111995,0.00865598,0.07064964,0.00913753,0.82352935,0.67109874,0.36578259
-5.93996998,1.58410642,0.00880568,0.06684968,0.00878355,0.78964387,0.63687178,0.35352396
-5.93396698,1.52322460,0.00893340,0.06327517,0.00846168,0.75842510,0.60522134,0.34323435
-5.92796398,1.46936303,0.00903635,0.05997792,0.00817710,0.73028852,0.57663598,0.33511519
-5.92196098,1.42321676,0.00911223,0.05700146,0.00793375,0.70555677,0.55151744,0.32931940
-5.91595798,1.38528962,0.00915932,0.05438124,0.00773437,0.68446161,0.53017950,0.32595122
-5.90995498,1.35590205,0.00917656,0.05214514,0.00758049,0.66714863,0.51284955,0.32506726
-5.90395198,1.33520318,0.00916355,0.05031417,0.00747249,0.65368408,0.49967242,0.32667845
-5.89794897,1.32318624,0.00912061,0.04890338,0.00740971,0.64406337,0.49071578,0.33075279
-5.89194597,1.31970591,0.00904871,0.04792283,0.00739053,0.63822043,0.48597686,0.33721858
