energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up
-6.00000000,1.50966939,0.04163039,0.01998450,0.31983086,0.28322276,0.17621408,0.10173645,0.05487766,0.82624613
-5.99399700,1.53952220,0.04342032,0.01937100,0.32922549,0.29663182,0.17660817,0.10265191,0.05500694,0.84369915
-5.98799400,1.57779876,0.04535498,0.01896263,0.34011680,0.31080387,0.17826553,0.10428543,0.05553432,0.86566258
-5.98199100,1.62212383,0.04737157,0.01872675,0.35200473,0.32534242,0.18090182,0.10646153,0.05636998,0.89083404
-5.97598799,1.67007211,0.04940562,0.01863031,0.36437850,0.33983633,0.18422657,0.10900370,0.05742244,0.91788370
-5.96998499,1.71923238,0.05139280,0.01864076,0.37672963,0.35387156,0.18795102,0.11173877,0.05860097,0.94548905
-5.96398199,1.76727111,0.05327066,0.01872703,0.38856496,0.36704334,0.19179569,0.11450107,0.05981791,0.97236954
-5.95797899,1.81199409,0.05498045,0.01886034,0.39941954,0.37896831,0.19549754,0.11713647,0.06099093,0.99732013
-5.95197599,1.85140408,0.05646875,0.01901499,0.40886869,0.38929632,0.19881663,0.11950602,0.06204497,1.01924263
-5.94597299,1.88375294,0.05768906,0.01916905,0.41653906,0.39772129,0.20154196,0.12148926,0.06291410,1.03717419
-5.93996998,1.90758651,0.05860310,0.01930495,0.42211815,0.40399085,0.20349643,0.12298697,0.06354299,1.05031163
-5.93396698,1.92178077,0.05918193,0.01940988,0.42536208,0.40791436,0.20454090,0.12392337,0.06388806,1.05803120
-5.92796398,1.92556805,0.05940676,0.01947619,0.42610119,0.40936891,0.20457694,0.12424764,0.06391838,1.05990279
-5.92196098,1.91855247,0.05926938,0.01950157,0.42424336,0.40830319,0.20354861,0.12393473,0.06361604,1.05569821
-5.91595798,1.90071394,0.05877237,0.01948913,0.41977489,0.40473888,0.20144282,0.12298547,0.06297622,1.04539332
-5.90995498,1.87240075,0.05792881,0.01944732,0.41275890,0.39876978,0.19828864,0.12142584,0.06200686,1.02916385
-5.90395198,1.83431101,0.05676176,0.01938978,0.40333136,0.39055844,0.19415534,0.11930559,0.06072795,1.00737511
-5.89794897,1.78746386,0.05530335,0.01933499,0.39169495,0.38033061,0.18914945,0.11669614,0.05917044,0.98056622
-5.89194597,1.73316136,0.05359358,0.01930588,0.37811094,0.36836775,0.18341083,0.11368789,0.05737488,0.94942918
-5.88594297,1.67294291,0.05167895,0.01932924,0.36288955,0.35499782,0.17710800,0.11038695,0.05538985,0.91478397
-5.87993997,1.60853367,0.04961081,0.01943519,0.34637908,0.34058483,0.17043288,0.10691158,0.05327006,0.87755044
-5.87393697,1.54178911,0.04744366,0.01965640,0.32895443,0.32551753,0.16359512,0.10338823,0.05107452,0.83871809
-5.86793397,1.47463768,0.04523333,0.02002744,0.31100516,0.31019762,0.15681627,0.09994750,0.04886449,0.79931498
-5.86193097,1.40902360,0.04303525,0.02058399,0.29292393,0.29502805,0.15032396,0.09672014,0.04670150,0.76037675
-5.85592796,1.34685159,0.04090269,0.02136211,0.27509532,0.28040168,0.14434627,0.09383309,0.04464550,0.72291672
-5.84992496,1.28993548,0.03888521,0.02239750,0.25788574,0.26669073,0.13910645,0.09140585,0.04275306,0.68789824
-5.84392196,1.23995195,0.03702727,0.02372492,0.24163449,0.25423735,0.13481817,0.08954723,0.04107582,0.65620982
-5.83791896,1.19840089,0.03536702,0.02537760,0.22664627,0.24334552,0.13168138,0.08835259,0.03965911,0.62864377
-5.83191596,1.16657302,0.03393541,0.02738681,0.21318536,0.23427451,0.12987889,0.08790164,0.03854092,0.60587888
-5.82591296,1.14552575,0.03275549,0.02978165,0.20147141,0.22723399,0.12957371,0.08825692,0.03775104,0.58846735
-5.81990995,1.13606740,0.03184209,0.03258892,0.19167697,0.22238082,0.13090718,0.08946294,0.03731060,0.57682611
-5.81390695,1.13874992,0.03120171,0.03583327,0.18392664,0.21981762,0.13399798,0.09154611,0.03723183,0.57123269
-5.80790395,1.15387014,0.03083273,0.03953757,0.17829775,0.21959293,0.13894192,0.09451536,0.03751812,0.57182523
-5.80190095,1.18147892,0.03072584,0.04372341,0.17482250,0.22170300,0.14581252,0.09836351,0.03816440,0.57860674
-5.79589795,1.22139787,0.03086476,0.04841195,0.17349127,0.22609496,0.15466236,0.10306924,0.03915767,0.59145303
-5.78989495,1.27324278,0.03122716,0.05362484,0.17425702,0.23267131,0.16552517,0.10859982,0.04047783,0.61012405
-5.78389195,1.33645284,0.03178571,0.05938541,0.17704062,0.24129546,0.17841843,0.11491422,0.04209866,0.63427820
-5.77788894,1.41032465,0.03250931,0.06571982,0.18173669,0.25179815,0.19334657,0.12196666,0.04398890,0.66348903
-5.77188594,1.49404971,0.03336439,0.07265841,0.18822012,0.26398452,0.21030453,0.12971049,0.04611352,0.69726383
-5.76588294,1.58675414,0.03431628,0.08023680,0.19635263,0.27764163,0.22928151,0.13810207,0.04843491,0.73506350
-5.75987994,1.68753895,0.03533055,0.08849701,0.20598955,0.29254610,0.25026474,0.14710465,0.05091418,0.77632303
-5.75387694,1.79551950,0.03637428,0.09748814,0.21698639,0.30847162,0.27324313,0.15669192,0.05351234,0.82047198
-5.74787394,1.90986233,0.03741730,0.10726680,0.22920504,0.32519622,0.29821043,0.16685115,0.05619146,0.86695413
-5.74187094,2.02981783,0.03843322,0.11789694,0.24251945,0.34250876,0.32516772,0.17758562,0.05891560,0.91524583
-5.73586793,2.15474719,0.03940034,0.12944912,0.25682056,0.36021475,0.35412503,0.18891623,0.06165167,0.96487205
-5.72986493,2.28414208,0.04030227,0.14199907,0.27202024,0.37814097,0.38510170,0.20088220,0.06437001,1.01541979
-5.72386193,2.41763607,0.04112836,0.15562551,0.28805425,0.39613894,0.41812550,0.21354054,0.06704485,1.06654818
-5.71785893,2.55500681,0.04187390,0.17040726,0.30488379,0.41408693,0.45323009,0.22696442,0.06965442,1.11799470
-5.71185593,2.69616851,0.04254002,0.18641953,0.32249587,0.43189065,0.49045099,0.24124042,0.07218100,1.16957745
-5.70585293,2.84115478,0.04313331,0.20372961,0.34090222,0.44948235,0.52981992,0.25646445,0.07461064,1.22119317
-5.69984992,2.99009232,0.04366528,0.22239202,0.36013676,0.46681865,0.57135771,0.27273685,0.07693275,1.27281116
-5.69384692,3.14316651,0.04415154,0.24244329,0.38025184,0.48387707,0.61506591,0.29015644,0.07913961,1.32446326
-5.68784392,3.30058036,0.04461090,0.26389658,0.40131323,0.50065145,0.66091760,0.30881401,0.08122566,1.37623054
-5.68184092,3.46250900,0.04506421,0.28673647,0.42339404,0.51714669,0.70884766,0.32878545,0.08318690,1.42822718
-5.67583792,3.62905187,0.04553329,0.31091408,0.44656801,0.53337288,0.75874322,0.35012471,0.08502013,1.48058242
-5.66983492,3.80018529,0.04603971,0.33634290,0.47090220,0.54933932,0.81043473,0.37285719,0.08672241,1.53342155
-5.66383192,3.97571817,0.04660368,0.36289567,0.49644966,0.56504875,0.86368840,0.39697358,0.08829046,1.58684691
-5.65782891,4.15525338,0.04724302,0.39040235,0.52324230,0.58049205,0.91820049,0.42242473,0.08972029,1.64091983
