energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,2.02487169,0.23483908,1.23167037,0.00016530,0.05158134,0.01002102,0.71748701,0.27424397,0.21096387
-5.99399700,1.98476353,0.23417683,1.20349189,0.00013980,0.05278626,0.01096477,0.70224773,0.27332689,0.20519940
-5.98799400,1.94723307,0.23447949,1.17596249,0.00011884,0.05412869,0.01191305,0.68867476,0.27265867,0.19979970
-5.98199100,1.91196841,0.23558279,1.14901062,0.00010209,0.05555151,0.01285191,0.67658290,0.27218717,0.19476806
-5.97598799,1.87857886,0.23730444,1.12252453,0.00008925,0.05699919,0.01376649,0.66574424,0.27185021,0.19010146
-5.96998499,1.84660818,0.23944843,1.09635979,0.00008003,0.05841794,0.01464139,0.65589483,0.27157556,0.18579084
-5.96398199,1.81555108,0.24180994,1.07034807,0.00007420,0.05975621,0.01546107,0.64674287,0.27128185,0.18182170
-5.95797899,1.78487234,0.24418081,1.04430681,0.00007153,0.06096520,0.01621029,0.63797809,0.27088043,0.17817508
-5.95197599,1.75402771,0.24635521,1.01804952,0.00007185,0.06199961,0.01687459,0.62928213,0.27027798,0.17482874
-5.94597299,1.72248580,0.24813550,0.99139612,0.00007503,0.06281837,0.01744076,0.62033936,0.26937990,0.17175860
-5.93996998,1.68974993,0.24933794,0.96418298,0.00008097,0.06338555,0.01789722,0.61084792,0.26809400,0.16894013
-5.93396698,1.65537897,0.24979805,0.93627228,0.00008957,0.06367111,0.01823448,0.60053036,0.26633452,0.16634981
-5.92796398,1.61900618,0.24937536,0.90756019,0.00010079,0.06365167,0.01844544,0.58914358,0.26402610,0.16396637
-5.92196098,1.58035522,0.24795744,0.87798371,0.00011457,0.06331117,0.01852563,0.57648758,0.26110744,0.16177176
-5.91595798,1.53925248,0.24546295,0.84752570,0.00013087,0.06264127,0.01847336,0.56241268,0.25753451,0.15975185
-5.90995498,1.49563537,0.24184363,0.81621817,0.00014961,0.06164169,0.01828984,0.54682491,0.25328307,0.15789665
-5.90395198,1.44955593,0.23708513,0.78414345,0.00017073,0.06032018,0.01797906,0.52968936,0.24835031,0.15620017
-5.89794897,1.40118001,0.23120665,0.75143345,0.00019411,0.05869233,0.01754768,0.51103139,0.24275563,0.15465984
-5.89194597,1.35078180,0.22425949,0.71826706,0.00021962,0.05678114,0.01700481,0.49093563,0.23654041,0.15327557
-5.88594297,1.29873441,0.21632449,0.68486571,0.00024707,0.05461632,0.01636168,0.46954295,0.22976686,0.15204850
-5.87993997,1.24549678,0.20750860,0.65148764,0.00027623,0.05223344,0.01563122,0.44704548,0.22251601,0.15097960
-5.87393697,1.19159794,0.19794073,0.61842084,0.00030681,0.04967285,0.01482769,0.42368004,0.21488499,0.15006816
-5.86793397,1.13761920,0.18776700,0.58597530,0.00033846,0.04697852,0.01396620,0.39972022,0.20698373,0.14931042
-5.86193097,1.08417541,0.17714582,0.55447474,0.00037080,0.04419684,0.01306221,0.37546750,0.19893126,0.14869828
-5.85592796,1.03189610,0.16624279,0.52424831,0.00040340,0.04137529,0.01213112,0.35124185,0.19085190,0.14821846
-5.84992496,0.98140731,0.15522583,0.49562251,0.00043578,0.03856122,0.01118784,0.32737215,0.18287136,0.14785195
-5.84392196,0.93331496,0.14426066,0.46891361,0.00046743,0.03580066,0.01024642,0.30418678,0.17511314,0.14757410
-5.83791896,0.88819027,0.13350679,0.44442090,0.00049783,0.03313724,0.00931972,0.28200469,0.16769515,0.14735503
-5.83191596,0.84655766,0.12311417,0.42242075,0.00052645,0.03061125,0.00841915,0.26112735,0.16072691,0.14716077
-5.82591296,0.80888539,0.11322065,0.40316181,0.00055279,0.02825882,0.00755457,0.24183158,0.15430719,0.14695470
-5.81990995,0.77557889,0.10395013,0.38686108,0.00057635,0.02611132,0.00673409,0.22436352,0.14852221,0.14669947
-5.81390695,0.74697679,0.09541154,0.37370106,0.00059670,0.02419489,0.00596411,0.20893386,0.14344445,0.14635919
-5.80790395,0.72334916,0.08769859,0.36382773,0.00061345,0.02253016,0.00524933,0.19571420,0.13913198,0.14590174
-5.80190095,0.70489779,0.08089010,0.35734926,0.00062630,0.02113212,0.00459281,0.18483460,0.13562820,0.14530110
-5.79589795,0.69175792,0.07505089,0.35433544,0.00063502,0.02001012,0.00399616,0.17638229,0.13296201,0.14453947
-5.78989495,0.68400105,0.07023309,0.35481746,0.00063949,0.01916802,0.00345964,0.17040129,0.13114829,0.14360915
-5.78389195,0.68163825,0.06647768,0.35878815,0.00063968,0.01860446,0.00298243,0.16689299,0.13018853,0.14251395
-5.77788894,0.68462379,0.06381615,0.36620242,0.00063566,0.01831316,0.00256272,0.16581744,0.13007165,0.14126997
-5.77188594,0.69285853,0.06227210,0.37697801,0.00062761,0.01828332,0.00219803,0.16709540,0.13077483,0.13990593
-5.76588294,0.70619318,0.06186265,0.39099633,0.00061580,0.01850013,0.00188531,0.17061081,0.13226443,0.13846262
-5.75987994,0.72443093,0.06259963,0.40810361,0.00060059,0.01894519,0.00162117,0.17621389,0.13449680,0.13699190
-5.75387694,0.74732987,0.06449034,0.42811226,0.00058242,0.01959710,0.00140200,0.18372457,0.13741914,0.13555487
-5.74787394,0.77460495,0.06753785,0.45080264,0.00056179,0.02043195,0.00122414,0.19293626,0.14097027,0.13421963
-5.74187094,0.80592973,0.07174090,0.47592512,0.00053923,0.02142387,0.00108397,0.20362001,0.14508143,0.13305845
-5.73586793,0.84093822,0.07709324,0.50320276,0.00051531,0.02254560,0.00097797,0.21552880,0.14967709,0.13214477
-5.72986493,0.87922680,0.08358266,0.53233431,0.00049062,0.02376896,0.00090281,0.22840217,0.15467575,0.13154981
-5.72386193,0.92035653,0.09118949,0.56299795,0.00046572,0.02506542,0.00085534,0.24197088,0.15999083,0.13133929
-5.71785893,0.96385601,0.09988494,0.59485532,0.00044115,0.02640659,0.00083265,0.25596171,0.16553164,0.13157018
-5.71185593,1.00922486,0.10962924,0.62755618,0.00041740,0.02776462,0.00083200,0.27010222,0.17120439,0.13228776
-5.70585293,1.05593802,0.12036973,0.66074333,0.00039493,0.02911271,0.00085085,0.28412545,0.17691334,0.13352302
-5.69984992,1.10345068,0.13203909,0.69405783,0.00037409,0.03042541,0.00088683,0.29777437,0.18256201,0.13529065
-5.69384692,1.15120416,0.14455388,0.72714431,0.00035519,0.03167902,0.00093765,0.31080606,0.18805439,0.13758760
-5.68784392,1.19863240,0.15781350,0.75965633,0.00033844,0.03285184,0.00100115,0.32299551,0.19329633,0.14039234
-5.68184092,1.24516922,0.17169977,0.79126165,0.00032397,0.03392436,0.00107520,0.33413891,0.19819678,0.14366490
-5.67583792,1.29025623,0.18607727,0.82164721,0.00031183,0.03487950,0.00115770,0.34405638,0.20266921,0.14734767
-5.66983492,1.33335133,0.20079453,0.85052397,0.00030199,0.03570267,0.00124656,0.35259413,0.20663287,0.15136692
-5.66383192,1.37393774,0.21568614,0.87763138,0.00029435,0.03638185,0.00133970,0.35962598,0.21001408,0.15563516
-5.65782891,1.41153356,0.23057590,0.90274168,0.00028873,0.03690759,0.00143504,0.36505422,0.21274744,0.16005405
-5.65182591,1.44570182,0.24528094,0.92566395,0.00028493,0.03727305,0.00153050,0.36880990,0.21477704,0.16451795
-5.64582291,1.47606089,0.25961672,0.94624808,0.00028269,0.03747387,0.00162405,0.37085260,0.21605747,0.16891798
-5.63981991,1.50229533,0.27340300,0.96438873,0.00028172,0.03750818,0.00171372,0.37116966,0.21655492,0.17314632
-5.63381691,1.52416692,0.28647033,0.98002944,0.00028174,0.03737649,0.00179766,0.36977499,0.21624804,0.17710078
-5.62781391,1.54152596,0.29866723,0.99316690,0.00028244,0.03708161,0.00187415,0.36670768,0.21512881,0.18068929
-5.62181091,1.55432242,0.30986752,1.00385561,0.00028356,0.03662857,0.00194168,0.36203020,0.21320320,0.18383434
-5.61580790,1.56261684,0.31997779,1.01221277,0.00028484,0.03602454,0.00199900,0.35582658,0.21049178,0.18647699
-5.60980490,1.56659077,0.32894455,1.01842352,0.00028608,0.03527877,0.00204512,0.34820043,0.20703009,0.18858040
-5.60380190,1.56655613,0.33676101,1.02274644,0.00028712,0.03440252,0.00207943,0.33927287,0.20286881,0.19013273
-5.59779890,1.56296341,0.34347302,1.02551901,0.00028785,0.03340895,0.00210165,0.32918051,0.19807375,0.19114917
-5.59179590,1.55640802,0.34918408,1.02716299,0.00028824,0.03231311,0.00211193,0.31807340,0.19272549,0.19167316
-5.58579290,1.54763444,0.35405908,1.02818917,0.00028831,0.03113177,0.00211082,0.30611295,0.18691878,0.19177648
-5.57978989,1.53753771,0.35832675,1.02920132,0.00028814,0.02988337,0.00209929,0.29346988,0.18076155,0.19155848
-5.57378689,1.52716164,0.36228046,1.03089869,0.00028790,0.02858784,0.00207874,0.28032211,0.17437361,0.19114414
-5.56778389,1.51769346,0.36627739,1.03407664,0.00028779,0.02726644,0.00205096,0.26685264,0.16788499,0.19068123
-5.56178089,1.51045440,0.37073597,1.03962485,0.00028808,0.02594158,0.00201810,0.25324740,0.16143393,0.19033656
-5.55577789,1.50688587,0.37613150,1.04852257,0.00028907,0.02463655,0.00198264,0.23969295,0.15516457,0.19029141
-5.54977489,1.50853086,0.38298992,1.06183023,0.00029112,0.02337521,0.00194734,0.22637426,0.14922433,0.19073635
-5.54377189,1.51701066,0.39187978,1.08067724,0.00029458,0.02218172,0.00191518,0.21347234,0.14376111,0.19186560
-5.53776888,1.53399644,0.40340238,1.10624520,0.00029983,0.02108014,0.00188928,0.20116192,0.13892024,0.19387110
-5.53176588,1.56117624,0.41818022,1.13974670,0.00030725,0.02009407,0.00187285,0.18960909,0.13484144,0.19693652
-5.52576288,1.60021723,0.43684379,1.18239928,0.00031718,0.01924619,0.00186909,0.17896904,0.13165567,0.20123136
-5.51975988,1.65272405,0.46001681,1.23539500,0.00032994,0.01855785,0.00188116,0.16938390,0.12948203,0.20690540
-5.51375688,1.72019377,0.48830020,1.29986578,0.00034582,0.01804862,0.00191203,0.16098067,0.12842487,0.21408360
-5.50775388,1.80396840,0.52225495,1.37684550,0.00036503,0.01773580,0.00196448,0.15386948,0.12857101,0.22286164
-5.50175088,1.90518636,0.56238428,1.46722958,0.00038774,0.01763403,0.00204097,0.14814193,0.12998726,0.23330220
-5.49574787,2.02473411,0.60911535,1.57173357,0.00041402,0.01775479,0.00214360,0.14386994,0.13271827,0.24543214
-5.48974487,2.16319982,0.66278120,1.69085217,0.00044389,0.01810601,0.00227403,0.14110474,0.13678483,0.25924056
-5.48374187,2.32083090,0.72360336,1.82482050,0.00047727,0.01869175,0.00243344,0.13987640,0.14218250,0.27467787
-5.47773887,2.49749735,0.79167578,1.97357962,0.00051399,0.01951179,0.00262246,0.14019370,0.14888082,0.29165576
-5.47173587,2.69266299,0.86695080,2.13674822,0.00055381,0.02056147,0.00284115,0.14204441,0.15682304,0.31004824
-5.46573287,2.90536644,0.94922795,2.31360250,0.00059642,0.02183144,0.00308895,0.14539604,0.16592637,0.32969346
-5.45972986,3.13421378,1.03814613,2.50306590,0.00064144,0.02330765,0.00336470,0.15019698,0.17608282,0.35039654
-5.45372686,3.37738408,1.13318001,2.70371024,0.00068842,0.02497134,0.00366660,0.15637806,0.18716072,0.37193308
-5.44772386,3.63264891,1.23364108,2.91376923,0.00073690,0.02679920,0.00399228,0.16385447,0.19900667,0.39405341
-5.44172086,3.89740625,1.33868384,3.13116484,0.00078636,0.02876369,0.00433876,0.17252790,0.21144827,0.41648742
-5.43571786,4.16872842,1.44731734,3.35354630,0.00083628,0.03083338,0.00470258,0.18228905,0.22429721,0.43894984
-5.42971486,4.44342323,1.55842196,3.57834107,0.00088614,0.03297358,0.00507979,0.19302012,0.23735300,0.46114595
-5.42371186,4.71810650,1.67077136,3.80281597,0.00093545,0.03514695,0.00546608,0.20459742,0.25040704,0.48277742
-5.41770885,4.98928366,1.78305877,4.02414651,0.00098374,0.03731433,0.00585688,0.21689394,0.26324703,0.50354829
-5.41170585,5.25343735,1.89392708,4.23949165,0.00103059,0.03943563,0.00624739,0.22978162,0.27566168,0.52317094
-5.40570285,5.50711772,2.00200150,4.44607065,0.00107564,0.04147076,0.00663279,0.24313344,0.28744538,0.54137174
-5.39969985,5.74703145,2.10592365,4.64123884,0.00111858,0.04338066,0.00700827,0.25682509,0.29840294,0.55789658
-5.39369685,5.97012594,2.20438562,4.82255866,0.00115917,0.04512831,0.00736918,0.27073620,0.30835407,0.57251575
-5.38769385,6.17366481,2.29616268,4.98786278,0.00119722,0.04667971,0.00771115,0.28475104,0.31713754,0.58502843
-5.38169085,6.35529161,2.38014325,5.13530650,0.00123263,0.04800480,0.00803014,0.29875882,0.32461484,0.59526638
-5.37568784,6.51307903,2.45535475,5.26340695,0.00126531,0.04907829,0.00832256,0.31265343,0.33067320,0.60309697
-5.36968484,6.64556183,2.52098450,5.37106774,0.00129524,0.04988033,0.00858534,0.32633286,0.33522800,0.60842531
-5.36368184,6.75175262,2.57639463,5.45758834,0.00132242,0.05039704,0.00881595,0.33969827,0.33822424,0.61119564
-5.35767884,6.83114047,2.62113085,5.52265848,0.00134686,0.05062085,0.00901244,0.35265300,0.33963728,0.61139173
-5.35167584,6.88367359,2.65492476,5.56633863,0.00136858,0.05055067,0.00917348,0.36510159,0.33947272,0.60903656
-5.34567284,6.90972807,2.67769004,5.58902871,0.00138759,0.05019178,0.00929832,0.37694893,0.33776545,0.60419110
-5.33966983,6.91006523,2.68951327,5.59142754,0.00140389,0.04955566,0.00938675,0.38809988,0.33457796,0.59695245
-5.33366683,6.88578121,2.69064008,5.57448617,0.00141745,0.04865949,0.00943911,0.39845941,0.32999806,0.58745129
-5.32766383,6.83825213,2.68145787,5.53935852,0.00142822,0.04752563,0.00945621,0.40793331,0.32413598,0.57584881
-5.32166083,6.76907854,2.66247632,5.48735248,0.00143613,0.04618087,0.00943929,0.41642970,0.31712119,0.56233327
-5.31565783,6.68003264,2.63430689,5.41988473,0.00144108,0.04465562,0.00938995,0.42386124,0.30909894,0.54711626
-5.30965483,6.57301093,2.59764269,5.33844164,0.00144300,0.04298308,0.00931009,0.43014801,0.30022665,0.53042871
-5.30365183,6.44999467,2.55323950,5.24454825,0.00144178,0.04119831,0.00920191,0.43522097,0.29067044,0.51251692
-5.29764882,6.31301928,2.50189905,5.13974629,0.00143739,0.03933735,0.00906780,0.43902574,0.28060175,0.49363853
-5.29164582,6.16415319,2.44445485,5.02558156,0.00142981,0.03743637,0.00891034,0.44152661,0.27019418,0.47405859
-5.28564282,6.00548555,2.38176095,4.90359982,0.00141910,0.03553087,0.00873228,0.44271027,0.25962068,0.45404574
-5.27963982,5.83912144,2.31468350,4.77534990,0.00140541,0.03365501,0.00853652,0.44258927,0.24905101,0.43386849
-5.27363682,5.66718240,2.24409475,4.64239199,0.00138898,0.03184097,0.00832607,0.44120454,0.23864957,0.41379168
-5.26763382,5.49180989,2.17086888,4.50630840,0.00137019,0.03011841,0.00810410,0.43862713,0.22857350,0.39407301
-5.26163082,5.31516873,2.09587898,4.36871431,0.00134952,0.02851411,0.00787387,0.43495854,0.21897102,0.37495973
-5.25562781,5.13944780,2.01999431,4.23126566,0.00132760,0.02705164,0.00763876,0.43032979,0.20998000,0.35668531
-5.24962481,4.96685547,1.94407700,4.09566185,0.00130516,0.02575112,0.00740224,0.42489894,0.20172666,0.33946631
-5.24362181,4.79960775,1.86897756,3.96364120,0.00128307,0.02462904,0.00716787,0.41884726,0.19432433,0.32349917
-5.23761881,4.63990783,1.79552862,3.83696790,0.00126228,0.02369826,0.00693922,0.41237402,0.18787221,0.30895720
-5.23161581,4.48991652,1.72453645,3.71740985,0.00124384,0.02296787,0.00671988,0.40569013,0.18245425,0.29598761
-5.22561281,4.35171391,1.65677043,3.60670757,0.00122881,0.02244331,0.00651334,0.39901106,0.17813790,0.28470873
-5.21960980,4.22725354,1.59295041,3.50653525,0.00121829,0.02212633,0.00632297,0.39254914,0.17497298,0.27520758
-5.21360680,4.11831101,1.53373263,3.41845561,0.00121332,0.02201513,0.00615192,0.38650585,0.17299054,0.26753772
-5.20760380,4.02642975,1.47969472,3.34387095,0.00121490,0.02210445,0.00600302,0.38106435,0.17220190,0.26171767
-5.20160080,3.95286701,1.43132073,3.28397309,0.00122389,0.02238572,0.00587871,0.37638286,0.17259792,0.25772993
-5.19559780,3.89854345,1.38898708,3.23969533,0.00124102,0.02284726,0.00578094,0.37258891,0.17414845,0.25552079
-5.18959480,3.86399955,1.35295044,3.21166923,0.00126680,0.02347449,0.00571107,0.36977516,0.17680235,0.25500094
-5.18359180,3.84936210,1.32333846,3.20018939,0.00130153,0.02425023,0.00566984,0.36799667,0.18048782,0.25604706
-5.17758879,3.85432321,1.30014412,3.20518835,0.00134526,0.02515499,0.00565726,0.36726998,0.18511337,0.25850442
-5.17158579,3.87813398,1.28322435,3.22622389,0.00139775,0.02616741,0.00567265,0.36757390,0.19056933,0.26219043
-5.16558279,3.91961391,1.27230329,3.26247968,0.00145848,0.02726464,0.00571455,0.36885197,0.19672994,0.26689915
-5.15957979,3.97717635,1.26698021,3.31278010,0.00152666,0.02842288,0.00578079,0.37101644,0.20345611,0.27240666
-5.15357679,4.04886949,1.26674209,3.37561876,0.00160118,0.02961790,0.00586853,0.37395339,0.21059857,0.27847714
-5.14757379,4.13243142,1.27098020,3.44919977,0.00168072,0.03082561,0.00597433,0.37752892,0.21800152,0.28486944
-5.14157079,4.22535690,1.27901016,3.53149010,0.00176370,0.03202268,0.00609423,0.38159568,0.22550662,0.29134400
-5.13556778,4.32497312,1.29009445,3.62028058,0.00184836,0.03318710,0.00622393,0.38599974,0.23295706,0.29766972
-5.12956478,4.42852096,1.30346639,3.71325298,0.00193282,0.03429878,0.00635886,0.39058711,0.24020169,0.30363067
-5.12356178,4.53323820,1.31835453,3.80804987,0.00201508,0.03534012,0.00649441,0.39520972,0.24709895,0.30903227
-5.11755878,4.63644097,1.33400622,3.90234444,0.00209314,0.03629642,0.00662606,0.39973059,0.25352053,0.31370672
-5.11155578,4.73559985,1.34970935,3.99390699,0.00216503,0.03715635,0.00674954,0.40402785,0.25935440,0.31751748
-5.10555278,4.82840758,1.36481137,4.08066529,0.00222887,0.03791221,0.00686101,0.40799755,0.26450740,0.32036255
-5.09954977,4.91283560,1.37873478,4.16075663,0.00228294,0.03856014,0.00695719,0.41155527,0.26890697,0.32217656
-5.09354677,4.98717749,1.39098862,4.23256941,0.00232574,0.03910016,0.00703551,0.41463637,0.27250218,0.32293144
-5.08754377,5.05007808,1.40117563,4.29477319,0.00235602,0.03953611,0.00709416,0.41719523,0.27526394,0.32263575
-5.08154077,5.10054777,1.40899504,4.34633656,0.00237284,0.03987546,0.00713220,0.41920348,0.27718446,0.32133280
-5.07553777,5.13796237,1.41424130,4.38653277,0.00237556,0.04012897,0.00714959,0.42064755,0.27827595,0.31909750
-5.06953477,5.16204956,1.41679900,4.41493402,0.00236391,0.04031024,0.00714714,0.42152576,0.27856880,0.31603232
-5.06353177,5.17286361,1.41663480,4.43139533,0.00233795,0.04043520,0.00712654,0.42184524,0.27810915,0.31226236
-5.05752876,5.17075052,1.41378686,4.43603000,0.00229809,0.04052144,0.00709023,0.42161889,0.27695625,0.30792998
-5.05152576,5.15630609,1.40835281,4.42917823,0.00224502,0.04058756,0.00704128,0.42086277,0.27517956,0.30318911
-5.04552276,5.13032960,1.40047680,4.41137148,0.00217975,0.04065244,0.00698333,0.41959382,0.27285586,0.29819954
-5.03951976,5.09377562,1.39033673,4.38329433,0.00210353,0.04073450,0.00692034,0.41782836,0.27006643,0.29312142
-5.03351676,5.04770665,1.37813207,4.34574625,0.00201780,0.04085101,0.00685648,0.41558120,0.26689456,0.28811032
-5.02751376,4.99324855,1.36407300,4.29960494,0.00192414,0.04101743,0.00679592,0.41286546,0.26342331,0.28331286
-5.02151076,4.93155073,1.34837124,4.24579285,0.00182424,0.04124684,0.00674266,0.40969308,0.25973375,0.27886321
-5.01550775,4.86375233,1.33123281,4.18524807,0.00171981,0.04154942,0.00670036,0.40607582,0.25590362,0.27488051
-5.00950475,4.79095525,1.31285287,4.11890026,0.00161259,0.04193211,0.00667218,0.40202672,0.25200643,0.27146732
-5.00350175,4.71420434,1.29341257,4.04765216,0.00150422,0.04239837,0.00666067,0.39756175,0.24811101,0.26870899
-4.99749875,4.63447465,1.27307761,3.97236642,0.00139626,0.04294806,0.00666764,0.39270153,0.24428141,0.26667416
-4.99149575,4.55266528,1.25199848,3.89385763,0.00129016,0.04357754,0.00669411,0.38747298,0.24057709,0.26541599
-4.98549275,4.46959885,1.23031176,3.81288880,0.00118719,0.04427984,0.00674026,0.38191069,0.23705331,0.26497428
-4.97948974,4.38602575,1.20814231,3.73017152,0.00108847,0.04504501,0.00680547,0.37605791,0.23376170,0.26537810
-4.97348674,4.30263185,1.18560581,3.64636909,0.00099492,0.04586059,0.00688834,0.36996707,0.23075076,0.26664896
-4.96748374,4.22004859,1.16281153,3.56210144,0.00090730,0.04671223,0.00698676,0.36369982,0.22806638,0.26880409
-4.96148074,4.13886419,1.13986479,3.47795133,0.00082620,0.04758429,0.00709805,0.35732653,0.22575221,0.27185971
-4.95547774,4.05963499,1.11686913,3.39447078,0.00075203,0.04846062,0.00721907,0.35092533,0.22384985,0.27583413
-4.94947474,3.98289601,1.09392789,3.31218729,0.00068507,0.04932527,0.00734636,0.34458067,0.22239884,0.28075031
-4.94347174,3.90916989,1.07114523,3.23160939,0.00062548,0.05016325,0.00747637,0.33838162,0.22143641,0.28663775
-4.93746873,3.83897371,1.04862655,3.15323095,0.00057331,0.05096115,0.00760554,0.33241984,0.22099698,0.29353353
-4.93146573,3.77282320,1.02647838,3.07753434,0.00052853,0.05170780,0.00773053,0.32678744,0.22111151,0.30148233
-4.92546273,3.71123414,1.00480776,3.00499208,0.00049104,0.05239470,0.00784832,0.32157477,0.22180659,0.31053533
-4.91945973,3.65472070,0.98372135,2.93606698,0.00046073,0.05301637,0.00795638,0.31686821,0.22310343,0.32074794
-4.91345673,3.60379068,0.96332421,2.87121079,0.00043744,0.05357052,0.00805271,0.31274807,0.22501671,0.33217644
-4.90745373,3.55893783,0.94371839,2.81086134,0.00042099,0.05405801,0.00813595,0.30928663,0.22755341,0.34487350
-4.90145073,3.52063126,0.92500144,2.75543812,0.00041123,0.05448272,0.00820541,0.30654628,0.23071160,0.35888286
-4.89544772,3.48930221,0.90726480,2.70533631,0.00040799,0.05485112,0.00826102,0.30457795,0.23447935,0.37423333
-4.88944472,3.46532856,0.89059211,2.66091935,0.00041113,0.05517180,0.00830332,0.30341957,0.23883370,0.39093244
-4.88344172,3.44901741,0.87505740,2.62250998,0.00042048,0.05545481,0.00833339,0.30309490,0.24373975,0.40896008
-4.87743872,3.44058639,0.86072316,2.59037985,0.00043590,0.05571089,0.00835270,0.30361233,0.24915012,0.42826243
-4.87143572,3.44014428,0.84763828,2.56473789,0.00045723,0.05595071,0.00836305,0.30496404,0.25500450,0.44874679
-4.86543272,3.44767171,0.83583582,2.54571771,0.00048430,0.05618402,0.00836635,0.30712520,0.26122968,0.47027737
-4.85942971,3.46300290,0.82533060,2.53336434,0.00051691,0.05641887,0.00836457,0.31005351,0.26773981,0.49267279
-4.85342671,3.48580934,0.81611678,2.52762085,0.00055481,0.05666096,0.00835948,0.31368885,0.27443711,0.51570523
-4.84742371,3.51558644,0.80816537,2.52831557,0.00059771,0.05691295,0.00835264,0.31795331,0.28121305,0.53910168
-4.84142071,3.55164418,0.80142192,2.53515045,0.00064526,0.05717414,0.00834517,0.32275150,0.28794982,0.56254736
-4.83541771,3.59310277,0.79580444,2.54769166,0.00069701,0.05744012,0.00833777,0.32797128,0.29452231,0.58569126
-4.82941471,3.63889405,0.79120194,2.56536302,0.00075248,0.05770279,0.00833054,0.33348485,0.30080047,0.60815381
-4.82341171,3.68776950,0.78747349,2.58744336,0.00081105,0.05795043,0.00832308,0.33915043,0.30665192,0.62953625
-4.81740870,3.73831503,0.78444829,2.61306830,0.00087206,0.05816811,0.00831437,0.34481431,0.31194490,0.64943163
-4.81140570,3.78897301,0.78192674,2.64123737,0.00093475,0.05833814,0.00830289,0.35031353,0.31655139,0.66743671
-4.80540270,3.83807108,0.77968275,2.67082659,0.00099827,0.05844081,0.00828668,0.35547896,0.32035025,0.68316448
-4.79939970,3.88385736,0.77746727,2.70060689,0.00106174,0.05845515,0.00826336,0.36013886,0.32323037,0.69625658
-4.79339670,3.92454118,0.77501318,2.72926811,0.00112422,0.05835979,0.00823035,0.36412278,0.32509361,0.70639511
-4.78739370,3.95833807,0.77204133,2.75544819,0.00118472,0.05813392,0.00818491,0.36726577,0.32585750,0.71331333
-4.78139070,3.98351752,0.76826772,2.77776667,0.00124227,0.05775818,0.00812429,0.36941262,0.32545752,0.71680458
-4.77538769,3.99845190,0.76341148,2.79486164,0.00129591,0.05721550,0.00804592,0.37042220,0.32384892,0.71672926
-4.76938469,4.00166457,0.75720349,2.80542856,0.00134474,0.05649189,0.00794745,0.37017155,0.32100794,0.71301930
-4.76338169,3.99187531,0.74939511,2.80825968,0.00138793,0.05557708,0.00782694,0.36855964,0.31693241,0.70568015
-4.75737869,3.96804133,0.73976686,2.80228226,0.00142476,0.05446501,0.00768290,0.36551065,0.31164179,0.69479011
-4.75137569,3.92939189,0.72813649,2.78659401,0.00145466,0.05315416,0.00751442,0.36097660,0.30517647,0.68049718
-4.74537269,3.87545535,0.71436606,2.76049414,0.00147722,0.05164768,0.00732115,0.35493918,0.29759658,0.66301354
