energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,2.93369721,-3.97480786,1.73449821,-1.67551427,0.90695907,-1.00287250,0.00257832,-0.00644636,1.04312856,-1.38367553,0.67895421,-1.11888435,0.00000000,-0.00000000
-5.99399700,2.88713603,-3.91584865,1.70398887,-1.63053936,0.91810671,-1.01028850,0.00263082,-0.00655288,1.04840718,-1.37848412,0.63785434,-1.08333188,0.00000000,-0.00000000
-5.98799400,2.83861663,-3.84248997,1.67136435,-1.58057042,0.92754347,-1.01418004,0.00270136,-0.00664640,1.05200707,-1.36890661,0.59726269,-1.04288331,0.00000000,-0.00000000
-5.98199100,2.78904829,-3.75587884,1.63720233,-1.52635564,0.93516123,-1.01448883,0.00279151,-0.00672705,1.05391889,-1.35506547,0.55786212,-0.99821640,0.00000000,-0.00000000
-5.97598799,2.73938157,-3.65733704,1.60211096,-1.46869691,0.94091737,-1.01119970,0.00290235,-0.00679486,1.05419088,-1.33713649,0.52028922,-0.95006952,0.00000000,-0.00000000
-5.96998499,2.69058760,-3.54833435,1.56671553,-1.40843418,0.94483585,-1.00434445,0.00303436,-0.00684965,1.05292663,-1.31534991,0.48512262,-0.89922065,0.00000000,-0.00000000
-5.96398199,2.64363751,-3.43046031,1.53164471,-1.34642983,0.94700603,-0.99400518,0.00318739,-0.00689108,1.05028097,-1.28999108,0.45287398,-0.84646587,0.00000000,-0.00000000
-5.95797899,2.59948181,-3.30539540,1.49751651,-1.28355342,0.94757903,-0.98031709,0.00336065,-0.00691855,1.04645355,-1.26140040,0.42398208,-0.79259844,0.00000000,-0.00000000
-5.95197599,2.55902991,-3.17488247,1.46492409,-1.22066734,0.94676166,-0.96347028,0.00355265,-0.00693128,1.04168065,-1.22997228,0.39880949,-0.73838907,0.00000000,-0.00000000
-5.94597299,2.52312989,-3.04069900,1.43442153,-1.15861361,0.94480789,-0.94371051,0.00376124,-0.00692828,1.03622493,-1.19615314,0.37764193,-0.68456827,0.00000000,-0.00000000
-5.93996998,2.49254843,-2.90463076,1.40650991,-1.09820219,0.94200825,-0.92133848,0.00398367,-0.00690844,1.03036382,-1.16043806,0.36068981,-0.63181134,0.00000000,-0.00000000
-5.93396698,2.46795150,-2.76844705,1.38162388,-1.04020081,0.93867735,-0.89670771,0.00421662,-0.00687057,1.02437673,-1.12336603,0.34809145,-0.58072632,0.00000000,-0.00000000
-5.92796398,2.44988597,-2.63387786,1.36011918,-0.98532643,0.93514016,-0.87022067,0.00445630,-0.00681348,1.01853175,-1.08551369,0.33991774,-0.53184522,0.00000000,-0.00000000
-5.92196098,2.43876262,-2.50259273,1.34226140,-0.93423830,0.93171758,-0.84232322,0.00469858,-0.00673607,1.01307242,-1.04748761,0.33617748,-0.48561860,0.00000000,-0.00000000
-5.91595798,2.43484128,-2.37618156,1.32821662,-0.88753249,0.92871193,-0.81349748,0.00493907,-0.00663744,1.00820515,-1.00991503,0.33682311,-0.44241328,0.00000000,-0.00000000
-5.90995498,2.43821856,-2.25613698,1.31804423,-0.84573768,0.92639305,-0.78425307,0.00517327,-0.00651696,1.00408810,-0.97343326,0.34175625,-0.40251309,0.00000000,-0.00000000
-5.90395198,2.44881879,-2.14383837,1.31169237,-0.80931216,0.92498568,-0.75511707,0.00539674,-0.00637434,1.00082192,-0.93867810,0.35083279,-0.36612205,0.00000000,-0.00000000
-5.89794897,2.46638876,-2.04053738,1.30899646,-0.77864180,0.92465873,-0.72662300,0.00560516,-0.00620974,0.99844304,-0.90627131,0.36386722,-0.33336979,0.00000000,-0.00000000
-5.89194597,2.49049672,-1.94734485,1.30968094,-0.75403879,0.92551680,-0.69929903,0.00579455,-0.00602376,0.99691974,-0.87680773,0.38063598,-0.30431854,0.00000000,-0.00000000
-5.88594297,2.52053583,-1.86521934,1.31336444,-0.73574112,0.92759457,-0.67365604,0.00596131,-0.00581752,0.99615144,-0.85084244,0.40087990,-0.27897114,0.00000000,-0.00000000
-5.87993997,2.55573231,-1.79495721,1.31956839,-0.72391260,0.93085401,-0.65017576,0.00610239,-0.00559262,0.99597105,-0.82887824,0.42430558,-0.25727975,0.00000000,-0.00000000
-5.87393697,2.59515819,-1.73718446,1.32772884,-0.71864340,0.93518473,-0.62929948,0.00621529,-0.00535117,0.99615047,-0.81135408,0.45058613,-0.23915461,0.00000000,-0.00000000
-5.86793397,2.63774840,-1.69235065,1.33721117,-0.71995111,0.94040725,-0.61141778,0.00629820,-0.00509569,0.99640886,-0.79863482,0.47936132,-0.22447256,0.00000000,-0.00000000
-5.86193097,2.68232191,-1.66072496,1.34732739,-0.72778224,0.94627897,-0.59686154,0.00634998,-0.00482909,0.99642339,-0.79100255,0.51023749,-0.21308504,0.00000000,-0.00000000
-5.85592796,2.72760614,-1.64239480,1.35735518,-0.74201414,0.95250259,-0.58589464,0.00637015,-0.00455457,0.99584168,-0.78864995,0.54278777,-0.20482524,0.00000000,-0.00000000
-5.84992496,2.77226432,-1.63726694,1.36655825,-0.76245751,0.95873652,-0.57870840,0.00635892,-0.00427551,0.99429570,-0.79167583,0.57655271,-0.19951428,0.00000000,-0.00000000
-5.84392196,2.81492466,-1.64507154,1.37420718,-0.78885924,0.96460669,-0.57541808,0.00631711,-0.00399541,0.99141607,-0.80008298,0.61104205,-0.19696644,0.00000000,-0.00000000
-5.83791896,2.85421086,-1.66536890,1.37959998,-0.82090584,0.96971936,-0.57606143,0.00624607,-0.00371775,0.98684634,-0.81377831,0.64573763,-0.19699329,0.00000000,-0.00000000
-5.83191596,2.88877305,-1.69755902,1.38208171,-0.85822723,0.97367433,-0.58059918,0.00614764,-0.00344591,0.98025650,-0.83257538,0.68009795,-0.19940692,0.00000000,-0.00000000
-5.82591296,2.91731826,-1.74089382,1.38106243,-0.90040100,0.97607804,-0.58891751,0.00602404,-0.00318307,0.97135523,-0.85619900,0.71356454,-0.20402216,0.00000000,-0.00000000
-5.81990995,2.93863993,-1.79449169,1.37603296,-0.94695702,0.97655614,-0.60083228,0.00587776,-0.00293210,0.95990033,-0.88429179,0.74557000,-0.21065817,0.00000000,-0.00000000
-5.81390695,2.95164552,-1.85735417,1.36657781,-0.99738232,0.97476504,-0.61609484,0.00571149,-0.00269555,0.94570695,-0.91642247,0.77554794,-0.21913931,0.00000000,-0.00000000
-5.80790395,2.95538172,-1.92838434,1.35238516,-1.05112637,0.97040225,-0.63439916,0.00552799,-0.00247554,0.92865355,-0.95209542,0.80294432,-0.22929553,0.00000000,-0.00000000
-5.80190095,2.94905662,-2.00640636,1.33325343,-1.10760645,0.96321508,-0.65538998,0.00533007,-0.00227375,0.90868526,-0.99076143,0.82723006,-0.24096243,0.00000000,-0.00000000
