energy_ev,total_up,Ge_p_up,Ge_d_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
-6.00000000,1.67638292,0.50922232,0.00000000,0.63404289,1.00439793,0.00305475,0.06006993
-5.99399700,1.75434759,0.53756352,0.00000000,0.65697745,1.04667096,0.00305918,0.06346220
-5.98799400,1.83157647,0.56535429,0.00000000,0.67861598,1.08888078,0.00305493,0.06687332
-5.98199100,1.90833466,0.59250699,0.00000000,0.69900393,1.13136419,0.00304348,0.07031546
-5.97598799,1.98500999,0.61897186,0.00000000,0.71823807,1.17453237,0.00302645,0.07380670
-5.96998499,2.06210403,0.64473914,0.00000000,0.73646457,1.21886067,0.00300550,0.07737064
-5.96398199,2.14021671,0.66983912,0.00000000,0.75387486,1.26487465,0.00298232,0.08103560
-5.95797899,2.22002484,0.69434017,0.00000000,0.77069948,1.31313255,0.00295851,0.08483356
-5.95197599,2.30225470,0.71834443,0.00000000,0.78719987,1.36420467,0.00293560,0.08879855
-5.94597299,2.38764971,0.74198151,0.00000000,0.80365848,1.41865033,0.00291493,0.09296491
-5.93996998,2.47693412,0.76540022,0.00000000,0.82036740,1.47699302,0.00289768,0.09736514
-5.93396698,2.57077431,0.78875882,0.00000000,0.83761604,1.53969502,0.00288476,0.10202769
-5.92796398,2.66973948,0.81221406,0.00000000,0.85567843,1.60713231,0.00287690,0.10697460
-5.92196098,2.77426347,0.83590988,0.00000000,0.87480051,1.67957119,0.00287452,0.11221929
-5.91595798,2.88461000,0.85996605,0.00000000,0.89518831,1.75714776,0.00287785,0.11776448
-5.90995498,3.00084331,0.88446769,0.00000000,0.91699741,1.83985149,0.00288686,0.12360047
-5.90395198,3.12280602,0.90945612,0.00000000,0.94032443,1.92751394,0.00290131,0.12970386
-5.89794897,3.25010598,0.93492184,0.00000000,0.96520093,2.01980363,0.00292080,0.13603687
-5.89194597,3.38211340,0.96079992,0.00000000,0.99159025,2.11622755,0.00294479,0.14254724
-5.88594297,3.51796891,0.98696836,0.00000000,1.01938748,2.21613989,0.00297264,0.14916891
-5.87993997,3.65660291,1.01324955,0.00000000,1.04842277,2.31875767,0.00300365,0.15582336
