energy_ev,total_up,Nb_p_up,Nb_d_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up
5.13556778,2.56828208,2.15064456,1.29209085,0.95176216,0.00033577,0.05297142,0.53828714
5.14157079,2.55484675,2.17687849,1.29108561,0.91764165,0.00034379,0.05441506,0.54015003
5.14757379,2.54264728,2.20493427,1.28972334,0.88357350,0.00035171,0.05607347,0.54199812
5.15357679,2.53121933,2.23383615,1.28760208,0.84975970,0.00035949,0.05791929,0.54375510
5.15957979,2.52018110,2.26270389,1.28439758,0.81645526,0.00036705,0.05992001,0.54535794
5.16558279,2.50924524,2.29077581,1.27987540,0.78395956,0.00037431,0.06203812,0.54676064
5.17158579,2.49822587,2.31742623,1.27389872,0.75260564,0.00038119,0.06423147,0.54793694
5.17758879,2.48704081,2.34217718,1.26643213,0.72274799,0.00038761,0.06645381,0.54888218
5.18359180,2.47570954,2.36470455,1.25754114,0.69474947,0.00039347,0.06865559,0.54961401
5.18959480,2.46434730,2.38483903,1.24738789,0.66896797,0.00039868,0.07078492,0.55017215
5.19559780,2.45315607,2.40256216,1.23622340,0.64574343,0.00040312,0.07278889,0.55061709
5.20160080,2.44241286,2.41799807,1.22437675,0.62538574,0.00040670,0.07461493,0.55102789
5.20760380,2.43245606,2.43140151,1.21224197,0.60816381,0.00040932,0.07621241,0.55149919
5.21360680,2.42367043,2.44314257,1.20026292,0.59429634,0.00041089,0.07753422,0.55213753
5.21960980,2.41647114,2.45368873,1.18891715,0.58394433,0.00041133,0.07853844,0.55305718
5.22561281,2.41128752,2.46358482,1.17869900,0.57720564,0.00041058,0.07918981,0.55437560
5.23161581,2.40854676,2.47343115,1.17010274,0.57411156,0.00040859,0.07946114,0.55620880
5.23761881,2.40865797,2.48386055,1.16360611,0.57462548,0.00040534,0.07933438,0.55866662
5.24362181,2.41199699,2.49551444,1.15965479,0.57864348,0.00040083,0.07880144,0.56184829
5.24962481,2.41889201,2.50901863,1.15864810,0.58599690,0.00039511,0.07786459,0.56583825
5.25562781,2.42961042,2.52495905,1.16092625,0.59645660,0.00038823,0.07653651,0.57070244
5.26163082,2.44434702,2.54385801,1.16675931,0.60973878,0.00038027,0.07483992,0.57648521
5.26763382,2.46321372,2.56615140,1.17633807,0.62551218,0.00037134,0.07280681,0.58320682
5.27363682,2.48623109,2.59216732,1.18976687,0.64340634,0.00036158,0.07047727,0.59086178
5.27963982,2.51332167,2.62210684,1.20705841,0.66302066,0.00035114,0.06789812,0.59941782
5.28564282,2.54430546,2.65602725,1.22813058,0.68393399,0.00034016,0.06512116,0.60881571
5.29164582,2.57889751,2.69382876,1.25280527,0.70571442,0.00032882,0.06220137,0.61896980
5.29764882,2.61670791,2.73524489,1.28080911,0.72792891,0.00031727,0.05919501,0.62976930
5.30365183,2.65724409,2.77983752,1.31177618,0.75015241,0.00030569,0.05615773,0.64108019
5.30965483,2.69991569,2.82699691,1.34525261,0.77197622,0.00029420,0.05314279,0.65274772
5.31565783,2.74404185,2.87594718,1.38070305,0.79301528,0.00028296,0.05019954,0.66459945
5.32166083,2.78886108,2.92575769,1.41751903,0.81291416,0.00027207,0.04737203,0.67644867
5.32766383,2.83354348,2.97536028,1.45502906,0.83135150,0.00026164,0.04469808,0.68809822
5.33366683,2.87720540,3.02357243,1.49251062,0.84804301,0.00025173,0.04220864,0.69934454
5.33966983,2.91892626,3.06912606,1.52920368,0.86274286,0.00024239,0.03992746,0.70998194
5.34567284,2.95776734,3.11070120,1.56432589,0.87524363,0.00023365,0.03787124,0.71980696
5.35167584,2.99279233,3.14696405,1.59708893,0.88537503,0.00022554,0.03605004,0.72862283
5.35767884,3.02308914,3.17660800,1.62671605,0.89300162,0.00021804,0.03446804,0.73624384
