energy_ev,total_up,Ag_p_up,Ag_d_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Te_p_up,Te_d_up
-5.78989495,7.84645292,0.14913023,2.02877222,0.58669022,5.02207354,0.01747662,0.25902601,0.38679610,0.00000000
-5.78389195,8.14510235,0.15740587,2.10286664,0.62144545,5.20239267,0.01887763,0.26696465,0.41185889,0.00000000
-5.77788894,8.44334209,0.16619499,2.17395979,0.65623742,5.38636355,0.02028473,0.27459038,0.43648298,0.00000000
-5.77188594,8.73964853,0.17538428,2.24110132,0.69082027,5.57391085,0.02168385,0.28184779,0.46039595,0.00000000
-5.76588294,9.03268642,0.18485847,2.30349460,0.72496281,5.76497234,0.02306013,0.28868020,0.48334078,0.00000000
-5.75987994,9.32132592,0.19450165,2.36051203,0.75845464,5.95948671,0.02439821,0.29503105,0.50508286,0.00000000
-5.75387694,9.60465641,0.20419896,2.41170549,0.79111156,6.15738339,0.02568249,0.30084543,0.52541673,0.00000000
-5.74787394,9.88199548,0.21383843,2.45681159,0.82278025,6.35857399,0.02689743,0.30607178,0.54417190,0.00000000
-5.74187094,10.15289203,0.22331312,2.49575138,0.85334177,6.56294496,0.02802785,0.31066367,0.56121779,0.00000000
-5.73586793,10.41712207,0.23252331,2.52862457,0.88271380,6.77035070,0.02905927,0.31458145,0.57646741,0.00000000
-5.72986493,10.67467639,0.24137874,2.55569827,0.91085142,6.98060669,0.02997821,0.31779376,0.58987957,0.00000000
-5.72386193,10.92573966,0.24980085,2.57739076,0.93774636,7.19348185,0.03077254,0.32027885,0.60145969,0.00000000
-5.71785893,11.17066065,0.25772482,2.59425082,0.96342471,7.40868970,0.03143172,0.32202553,0.61125887,0.00000000
-5.71185593,11.40991412,0.26510131,2.60693329,0.98794312,7.62587813,0.03194710,0.32303374,0.61937155,0.00000000
-5.70585293,11.64405505,0.27189785,2.61617182,1.01138363,7.84461741,0.03231218,0.32331475,0.62593153,0.00000000
-5.69984992,11.87366671,0.27809980,2.62274964,1.03384731,8.06438694,0.03252274,0.32289087,0.63110668,0.00000000
-5.69384692,12.09930420,0.28371068,2.62746941,1.05544695,8.28456075,0.03257703,0.32179481,0.63509248,0.00000000
-5.68784392,12.32143554,0.28875192,2.63112309,1.07629914,8.50439276,0.03247582,0.32006866,0.63810463,0.00000000
