energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,7.72568089,0.00930748,1.25876842,1.53713198,0.47900069,2.36232194,2.16794520,0.06381424,2.55469015
-5.99399700,7.74808743,0.00909356,1.26557210,1.56166417,0.47860976,2.38331449,2.18060735,0.06058097,2.56093767
-5.98799400,7.74255818,0.00885465,1.26878029,1.57763366,0.47607377,2.39732750,2.18648972,0.05738390,2.55644824
-5.98199100,7.70892709,0.00859522,1.26859125,1.58484470,0.47132871,2.40436676,2.18579973,0.05423343,2.54083151
-5.97598799,7.64772118,0.00832043,1.26526717,1.58331941,0.46436315,2.40463244,2.17887029,0.05114197,2.51400409
-5.96998499,7.56013051,0.00803599,1.25912149,1.57329635,0.45521861,2.39850726,2.16614282,0.04812363,2.47619128
-5.96398199,7.44795681,0.00774805,1.25050554,1.55522102,0.44398820,2.38653764,2.14814851,0.04519389,2.42791721
-5.95797899,7.31354335,0.00746303,1.23979528,1.52972869,0.43081357,2.36940878,2.12548894,0.04236919,2.36998394
-5.95197599,7.15968943,0.00718743,1.22737874,1.49762019,0.41588017,2.34791490,2.09881706,0.03966651,2.30344033
-5.94597299,6.98955377,0.00692772,1.21364477,1.45983192,0.39941121,2.32292595,2.06881955,0.03710293,2.22954252
-5.93996998,6.80655125,0.00669017,1.19897379,1.41740135,0.38166053,2.29535268,2.03620157,0.03469516,2.14970751
-5.93396698,6.61424819,0.00648069,1.18373070,1.37142959,0.36290467,2.26611163,2.00167453,0.03245916,2.06546243
-5.92796398,6.41626055,0.00630473,1.16826054,1.32304289,0.34343450,2.23609205,1.96594736,0.03040973,1.97839161
-5.92196098,6.21615973,0.00616717,1.15288683,1.27335453,0.32354684,2.20612623,1.92972168,0.02856018,1.89008397
-5.91595798,6.01738937,0.00607217,1.13791242,1.22342902,0.30353633,2.17696467,1.89369051,0.02692205,1.80208295
-5.90995498,5.82319596,0.00602319,1.12362281,1.17424994,0.28368784,2.14925733,1.85854020,0.02550489,1.71584102
-5.90395198,5.63657490,0.00602285,1.11029122,1.12669267,0.26426981,2.12354134,1.82495492,0.02431610,1.63268058
-5.89794897,5.46023259,0.00607294,1.09818487,1.08150306,0.24552854,2.10023565,1.79362247,0.02336085,1.55376234
-5.89194597,5.29656383,0.00617441,1.08757167,1.03928244,0.22768373,2.07964228,1.76524043,0.02264202,1.48006212
-5.88594297,5.14764291,0.00632739,1.07872651,1.00047953,0.21092522,2.06195335,1.74052113,0.02216023,1.41235639
-5.87993997,5.01522599,0.00653118,1.07193620,0.96538875,0.19541092,2.04726310,1.72019416,0.02191386,1.35121632
-5.87393697,4.90076150,0.00678433,1.06750232,0.93415489,0.18126597,2.03558326,1.70500525,0.02189909,1.29700981
-5.86793397,4.80540525,0.00708467,1.06574122,0.90678310,0.16858287,2.02686045,1.69571015,0.02211003,1.24991048
-5.86193097,4.73003666,0.00742938,1.06698055,0.88315352,0.15742249,2.02099373,1.69306318,0.02253875,1.20991256
-5.85592796,4.67527297,0.00781505,1.07155220,0.86303923,0.14781581,2.01785106,1.69779957,0.02317534,1.17685002
-5.84992496,4.64147875,0.00823777,1.07978134,0.84612653,0.13976615,2.01728291,1.71061211,0.02400798,1.15041872
-5.84392196,4.62876886,0.00869313,1.09197195,0.83203627,0.13325166,2.01913231,1.73212225,0.02502299,1.13019999
-5.83791896,4.63700393,0.00917635,1.10838934,0.82034516,0.12822802,2.02324029,1.76284703,0.02620479,1.11568433
-5.83191596,4.66577844,0.00968227,1.12924042,0.81060603,0.12463114,2.02944655,1.80316307,0.02753596,1.10629416
-5.82591296,4.71440269,0.01020545,1.15465280,0.80236621,0.12237977,2.03758558,1.85326960,0.02899723,1.10140458
-5.81990995,4.78188069,0.01074018,1.18465401,0.79518347,0.12137789,2.04747870,1.91315285,0.03056751,1.10036178
-5.81390695,4.86688700,0.01128053,1.21915208,0.78863911,0.12151705,2.05892301,1.98255387,0.03222393,1.10249847
-5.80790395,4.96774593,0.01182038,1.25791912,0.78234791,0.12267834,2.07167872,2.06094255,0.03394194,1.10714657
-5.80190095,5.08241710,0.01235350,1.30057905,0.77596515,0.12473440,2.08545609,2.14749982,0.03569546,1.11364715
-5.79589795,5.20849093,0.01287359,1.34660088,0.76919088,0.12755120,2.09990395,2.24111024,0.03745712,1.12135817
-5.78989495,5.34319776,0.01337430,1.39529842,0.76177166,0.13098986,2.11460101,2.34036656,0.03919851,1.12966043
-5.78389195,5.48343306,0.01384937,1.44583728,0.75350046,0.13490844,2.12905171,2.44358717,0.04089066,1.13796241
-5.77788894,5.62580102,0.01429269,1.49724936,0.74421509,0.13916387,2.14268756,2.54884710,0.04250442,1.14570457
-5.77188594,5.76667689,0.01469841,1.54845484,0.73379584,0.14361398,2.15487483,2.65402203,0.04401105,1.15236369
-5.76588294,5.90228783,0.01506102,1.59829119,0.72216264,0.14811971,2.16492896,2.75684438,0.04538280,1.15745758
-5.75987994,6.02881040,0.01537554,1.64554825,0.70927238,0.15254736,2.17213555,2.85496983,0.04659359,1.16055063
