energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,2.17314999,0.00496177,0.28307108,0.51956809,0.80392062,0.87032601,0.49972040,0.01625160,0.55373666
-5.99399700,2.24741591,0.00530152,0.29972483,0.54037020,0.82579190,0.92865242,0.52091718,0.01714928,0.56323382
-5.98799400,2.32891910,0.00564502,0.31768133,0.56212769,0.84882923,0.99343660,0.54469730,0.01806371,0.57435100
-5.98199100,2.41702846,0.00598924,0.33695838,0.58456642,0.87263111,1.06494264,0.57100740,0.01898924,0.58686149
-5.97598799,2.51106697,0.00633118,0.35757882,0.60740361,0.89678196,1.14342768,0.59978009,0.01992072,0.60051692
-5.96998499,2.61033511,0.00666788,0.37956936,0.63035524,0.92086764,1.22913048,0.63093633,0.02085360,0.61505639
-5.96398199,2.71413024,0.00699648,0.40295806,0.65314296,0.94449000,1.32225615,0.66438671,0.02178408,0.63021501
-5.95797899,2.82176086,0.00731424,0.42777063,0.67550029,0.96727976,1.42295726,0.70003145,0.02270914,0.64573174
-5.95197599,2.93255490,0.00761854,0.45402555,0.69717786,0.98890719,1.53131187,0.73775896,0.02362653,0.66135591
-5.94597299,3.04586191,0.00790695,0.48172817,0.71794751,1.00909019,1.64729922,0.77744315,0.02453469,0.67685252
-5.93996998,3.16104924,0.00817718,0.51086416,0.73760535,1.02759967,1.77077446,0.81893943,0.02543262,0.69200594
-5.93396698,3.27749316,0.00842712,0.54139254,0.75597359,1.04426191,1.90144348,0.86207989,0.02631967,0.70662224
-5.92796398,3.39456581,0.00865483,0.57323888,0.77290136,1.05895832,2.03883962,0.90666788,0.02719535,0.72053013
-5.92196098,3.51161974,0.00885854,0.60628893,0.78826466,1.07162265,2.18230393,0.95247255,0.02805907,0.73358075
-5.91595798,3.62797143,0.00903664,0.64038331,0.80196551,1.08223604,2.33097038,0.99922379,0.02890986,0.74564650
-5.90995498,3.74288587,0.00918769,0.67531372,0.81393062,1.09082056,2.48375780,1.04660814,0.02974618,0.75661929
-5.90395198,3.85556389,0.00931042,0.71082091,0.82410978,1.09743149,2.63936974,1.09426621,0.03056565,0.76640839
