energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.37647746,0.00614606,0.39006235,1.25871647,0.73253528,0.03400669,0.77012706,0.51134774,0.15279043
-5.99399700,2.24138175,0.00578606,0.36209188,1.18252166,0.68309761,0.03115990,0.73478191,0.49102654,0.14530567
-5.98799400,2.10368595,0.00541168,0.33436649,1.10412035,0.63398966,0.02848282,0.69737368,0.46929057,0.13756630
-5.98199100,1.96472447,0.00502848,0.30711662,1.02454623,0.58559103,0.02596997,0.65837507,0.44638119,0.12964274
-5.97598799,1.82583562,0.00464203,0.28055932,0.94480636,0.53826561,0.02361592,0.61827732,0.42255930,0.12160865
-5.96998499,1.68833130,0.00425776,0.25489332,0.86585770,0.49235368,0.02141548,0.57757849,0.39810002,0.11353918
-5.96398199,1.55346960,0.00388084,0.23029521,0.78858692,0.44816545,0.01936378,0.53677247,0.37328733,0.10550940
-5.95797899,1.42243181,0.00351608,0.20691643,0.71379417,0.40597605,0.01745626,0.49633933,0.34840905,0.09759276
-5.95197599,1.29630408,0.00316783,0.18488145,0.64218122,0.36602231,0.01568869,0.45673715,0.32375210,0.08985983
-5.94597299,1.17606465,0.00284000,0.16428695,0.57434403,0.32850115,0.01405710,0.41839569,0.29959851,0.08237722
-5.93996998,1.06257640,0.00253598,0.14520202,0.51076985,0.29356957,0.01255774,0.38171199,0.27622205,0.07520676
-5.93396698,0.95658489,0.00225871,0.12766927,0.45183844,0.26134619,0.01118706,0.34704787,0.25388570,0.06840495
-5.92796398,0.85872126,0.00201066,0.11170675,0.39782716,0.23191401,0.00994162,0.31472927,0.23283994,0.06202272
-5.92196098,0.76950955,0.00179396,0.09731050,0.34891916,0.20532427,0.00881810,0.28504724,0.21332182,0.05610538
-5.91595798,0.68937753,0.00161043,0.08445762,0.30521415,0.18160107,0.00781328,0.25826035,0.19555467,0.05069287
-5.90995498,0.61866999,0.00146167,0.07310958,0.26674100,0.16074650,0.00692400,0.23459813,0.17974846,0.04582008
-5.90395198,0.55766377,0.00134918,0.06321576,0.23347130,0.14274594,0.00614724,0.21426516,0.16610044,0.04151742
-5.89794897,0.50658304,0.00127441,0.05471689,0.20533333,0.12757328,0.00548013,0.19744559,0.15479603,0.03781141
-5.89194597,0.46561411,0.00123885,0.04754844,0.18222558,0.11519583,0.00491993,0.18430736,0.14600966,0.03472529
-5.88594297,0.43491857,0.00124413,0.04164359,0.16402931,0.10557855,0.00446415,0.17500608,0.13990527,0.03227962
-5.87993997,0.41464394,0.00129202,0.03693593,0.15061964,0.09868750,0.00411049,0.16968791,0.13663640,0.03049278
-5.87393697,0.40493093,0.00138449,0.03336169,0.14187464,0.09449236,0.00385691,0.16849130,0.13634554,0.02938132
-5.86793397,0.40591695,0.00152367,0.03086139,0.13768223,0.09296773,0.00370161,0.17154728,0.13916267,0.02896017
-5.86193097,0.41773514,0.00171187,0.02938100,0.13794465,0.09409336,0.00364303,0.17897809,0.14520274,0.02924258
-5.85592796,0.44050894,0.00195151,0.02887257,0.14258043,0.09785309,0.00367975,0.19089410,0.15456226,0.03023984
-5.84992496,0.47434226,0.00224500,0.02929431,0.15152381,0.10423267,0.00381050,0.20738898,0.16731474,0.03196081
-5.84392196,0.51930528,0.00259465,0.03061014,0.16472192,0.11321649,0.00403401,0.22853328,0.18350542,0.03441117
-5.83791896,0.57541671,0.00300255,0.03278883,0.18212965,0.12478326,0.00434892,0.25436661,0.20314503,0.03759243
-5.83191596,0.64262305,0.00347037,0.03580276,0.20370282,0.13890109,0.00475368,0.28488870,0.22620335,0.04150082
-5.82591296,0.72077592,0.00399921,0.03962634,0.22938972,0.15552193,0.00524635,0.32004982,0.25260240,0.04612606
-5.81990995,0.80960853,0.00458941,0.04423418,0.25912166,0.17457578,0.00582453,0.35974101,0.28221001,0.05144998
-5.81390695,0.90871274,0.00524035,0.04959918,0.29280285,0.19596500,0.00648517,0.40378473,0.31483408,0.05744527
-5.80790395,1.01751794,0.00595030,0.05569053,0.33030025,0.21955902,0.00722447,0.45192643,0.35021788,0.06407425
-5.80190095,1.13527324,0.00671626,0.06247178,0.37143374,0.24518968,0.00803776,0.50382777,0.38803708,0.07128787
-5.79589795,1.26103444,0.00753381,0.06989904,0.41596726,0.27264781,0.00891942,0.55906204,0.42789861,0.07902493
-5.78989495,1.39365687,0.00839701,0.07791947,0.46360142,0.30168098,0.00986286,0.61711227,0.46934205,0.08721167
-5.78389195,1.53179535,0.00929840,0.08647001,0.51396795,0.33199301,0.01086052,0.67737252,0.51184348,0.09576179
-5.77788894,1.67391198,0.01022896,0.09547667,0.56662650,0.36324522,0.01190389,0.73915268,0.55482225,0.10457693
-5.77188594,1.81829229,0.01117819,0.10485411,0.62106413,0.39505966,0.01298366,0.80168693,0.59765034,0.11354762
-5.76588294,1.96306981,0.01213426,0.11450589,0.67669766,0.42702431,0.01408984,0.86414589,0.63966459,0.12255480
