energy_ev,total_up,C_s_up,C_p_up,Ru_p_up,Ru_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,0.37144654,0.00823543,0.05785403,0.31473183,0.12994187,0.03869033,0.01525602,0.00333441,0.13444184
-5.99399700,0.35373367,0.00767326,0.05126606,0.27737015,0.12246331,0.03629324,0.01572812,0.00357578,0.13278874
-5.98799400,0.34463169,0.00715877,0.04606820,0.24714450,0.11834316,0.03482236,0.01661666,0.00388589,0.13418427
-5.98199100,0.34406874,0.00670072,0.04218511,0.22368011,0.11750417,0.03426105,0.01793365,0.00426865,0.13867912
-5.97598799,0.35193818,0.00630697,0.03953713,0.20657943,0.11985839,0.03459158,0.01968970,0.00472725,0.14631005
-5.96998499,0.36809766,0.00598435,0.03804223,0.19543358,0.12530810,0.03579495,0.02189337,0.00526406,0.15709666
-5.96398199,0.39236500,0.00573856,0.03761742,0.18983047,0.13374557,0.03785032,0.02455031,0.00588036,0.17103717
-5.95797899,0.42451142,0.00557411,0.03817952,0.18935982,0.14505148,0.04073412,0.02766240,0.00657620,0.18810354
-5.95197599,0.46425279,0.00549425,0.03964536,0.19361527,0.15909253,0.04441899,0.03122673,0.00735020,0.20823607
-5.94597299,0.51123963,0.00550092,0.04193167,0.20219427,0.17571843,0.04887244,0.03523462,0.00819941,0.23133793
-5.93996998,0.56504704,0.00559472,0.04495456,0.21469612,0.19475861,0.05405553,0.03967063,0.00911924,0.25727004
-5.93396698,0.62516529,0.00577488,0.04862894,0.23071889,0.21601905,0.05992162,0.04451176,0.01010335,0.28584657
-5.92796398,0.69099221,0.00603924,0.05286774,0.24985578,0.23927965,0.06641525,0.04972673,0.01114367,0.31683162
-5.92196098,0.76182834,0.00638427,0.05758142,0.27169170,0.26429231,0.07347131,0.05527555,0.01223046,0.34993731
-5.91595798,0.83687555,0.00680504,0.06267747,0.29580037,0.29078024,0.08101458,0.06110935,0.01335242,0.38482372
-5.90995498,0.91523983,0.00729530,0.06806033,0.32174273,0.31843846,0.08895974,0.06717058,0.01449690,0.42110091
-5.90395198,0.99593871,0.00784750,0.07363156,0.34906677,0.34693593,0.09721193,0.07339348,0.01565008,0.45833314
-5.89794897,1.07791349,0.00845284,0.07929049,0.37730928,0.37591911,0.10566785,0.07970506,0.01679731,0.49604537
-5.89194597,1.16004612,0.00910143,0.08493521,0.40599954,0.40501705,0.11421743,0.08602633,0.01792347,0.53373200
-5.88594297,1.24118057,0.00978240,0.09046397,0.43466489,0.43384793,0.12274617,0.09227395,0.01901325,0.57086771
-5.87993997,1.32014787,0.01048403,0.09577689,0.46283829,0.46202667,0.13113787,0.09836218,0.02005164,0.60691997
-5.87393697,1.39579418,0.01119399,0.10077799,0.49006734,0.48917359,0.13927790,0.10420508,0.02102422,0.64136295
-5.86793397,1.46701069,0.01189958,0.10537740,0.51592463,0.51492346,0.14705684,0.10971887,0.02191758,0.67369231
-5.86193097,1.53276430,0.01258794,0.10949361,0.54001882,0.53893489,0.15437426,0.11482440,0.02271967,0.70344025
-5.85592796,1.59212774,0.01324638,0.11305574,0.56200602,0.56089941,0.16114263,0.11944968,0.02342002,0.73019032
-5.84992496,1.64430798,0.01386265,0.11600561,0.58160101,0.58055005,0.16729119,0.12353217,0.02401003,0.75359131
-5.84392196,1.68867159,0.01442527,0.11829966,0.59858756,0.59766891,0.17276946,0.12702103,0.02448312,0.77336967
