energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.97977568,0.11648903,0.11055441,1.42678897,0.41585138,0.07141543,1.20777108,0.40559415,0.74140227
-5.99399700,2.90025187,0.11237677,0.11357021,1.40206909,0.40916936,0.07022490,1.18709071,0.39921746,0.70746477
-5.98799400,2.83537487,0.10843079,0.11764496,1.38271456,0.40396571,0.06923124,1.17255338,0.39645834,0.67642788
-5.98199100,2.78449947,0.10463387,0.12281924,1.36816559,0.40004596,0.06839802,1.16381167,0.39739120,0.64814981
-5.97598799,2.74687024,0.10096719,0.12912534,1.35782546,0.39721362,0.06768822,1.16047686,0.40205333,0.62246267
-5.96998499,2.72166733,0.09741197,0.13658588,1.35108637,0.39527949,0.06706593,1.16213852,0.41044495,0.59918489
-5.96398199,2.70804589,0.09395104,0.14521240,1.34735219,0.39406965,0.06649780,1.16838115,0.42252856,0.57813250
-5.95797899,2.70516707,0.09057006,0.15500355,1.34605725,0.39343178,0.06595431,1.17879691,0.43822779,0.55912853
-5.95197599,2.71221982,0.08725848,0.16594340,1.34668027,0.39323973,0.06541074,1.19299441,0.45742562,0.54201041
-5.94597299,2.72843304,0.08401009,0.17799952,1.34875338,0.39339615,0.06484771,1.21060313,0.47996237,0.52663485
-5.93996998,2.75307851,0.08082324,0.19112138,1.35186621,0.39383328,0.06425156,1.23127409,0.50563360,0.51288051
-5.93396698,2.78546581,0.07770079,0.20523887,1.35566530,0.39451198,0.06361427,1.25467698,0.53418835,0.50064826
-5.92796398,2.82493071,0.07464964,0.22026138,1.35984975,0.39541925,0.06293324,1.28049478,0.56532803,0.48985954
-5.92196098,2.87081919,0.07168015,0.23607729,1.36416384,0.39656455,0.06221069,1.30841658,0.59870641,0.48045303
-5.91595798,2.92246931,0.06880532,0.25255434,1.36838773,0.39797526,0.06145300,1.33812973,0.63393103,0.47238017
-5.90995498,2.97919325,0.06603990,0.26954067,1.37232735,0.39969161,0.06066984,1.36931240,0.67056632,0.46559997
-5.90395198,3.04026185,0.06339945,0.28686679,1.37580456,0.40176150,0.05987327,1.40162724,0.70813869,0.46007364
-5.89794897,3.10489328,0.06089951,0.30434842,1.37864863,0.40423560,0.05907680,1.43471735,0.74614358,0.45575950
-5.89194597,3.17224766,0.05855476,0.32179025,1.38068981,0.40716290,0.05829452,1.46820475,0.78405454,0.45260851
-5.88594297,3.24142833,0.05637845,0.33899032,1.38175555,0.41058711,0.05754027,1.50169212,0.82133405,0.45056087
-5.87993997,3.31149030,0.05438190,0.35574518,1.38166986,0.41454399,0.05682696,1.53476754,0.85744595,0.44954373
-5.87393697,3.38145550,0.05257424,0.37185537,1.38025559,0.41905976,0.05616603,1.56701244,0.89186873,0.44947028
-5.86793397,3.45033430,0.05096231,0.38713113,1.37733967,0.42415058,0.05556707,1.59801206,0.92410955,0.45024010
-5.86193097,3.51715167,0.04955070,0.40139801,1.37276074,0.42982308,0.05503758,1.62736795,0.95371802,0.45174071
-5.85592796,3.58097673,0.04834197,0.41450223,1.36637839,0.43607584,0.05458287,1.65471173,0.98029930,0.45385013
-5.84992496,3.64095335,0.04733688,0.42631528,1.35808341,0.44290151,0.05420619,1.67971910,1.00352584,0.45644017
-5.84392196,3.69633016,0.04653477,0.43673785,1.34780796,0.45028965,0.05390886,1.70212335,1.02314708,0.45938026
-5.83791896,3.74648768,0.04593379,0.44570247,1.33553493,0.45822974,0.05369060,1.72172728,1.03899670,0.46254131
-5.83191596,3.79096096,0.04553126,0.45317515,1.32130551,0.46671438,0.05354981,1.73841282,1.05099690,0.46579951
-5.82591296,3.82945616,0.04532381,0.45915547,1.30522438,0.47574226,0.05348401,1.75214772,1.05915954,0.46903966
-5.81990995,3.86185991,0.04530750,0.46367546,1.28746191,0.48532091,0.05349023,1.76298875,1.06358389,0.47215794
-5.81390695,3.88824094,0.04547776,0.46679706,1.26825307,0.49546884,0.05356534,1.77108111,1.06445120,0.47506375
-5.80790395,3.90884362,0.04582932,0.46860840,1.24789292,0.50621702,0.05370645,1.77665424,1.06201617,0.47768085
-5.80190095,3.92407405,0.04635586,0.46921904,1.22672889,0.51760974,0.05391116,1.78001385,1.05659574,0.47994742
-5.79589795,3.93447915,0.04704974,0.46875440,1.20515012,0.52970455,0.05417779,1.78153098,1.04855572,0.48181543
-5.78989495,3.94072019,0.04790159,0.46734966,1.18357439,0.54257143,0.05450554,1.78162823,1.03829591,0.48324919
-5.78389195,3.94354209,0.04889985,0.46514348,1.16243338,0.55629122,0.05489454,1.78076421,1.02623427,0.48422344
-5.77788894,3.94374018,0.05003041,0.46227175,1.14215706,0.57095330,0.05534586,1.77941670,1.01279102,0.48472093
-5.77188594,3.94212611,0.05127627,0.45886183,1.12315790,0.58665257,0.05586141,1.77806546,0.99837328,0.48473000
-5.76588294,3.93949466,0.05261732,0.45502742,1.10581591,0.60348594,0.05644384,1.77717544,0.98336102,0.48424214
-5.75987994,3.93659292,0.05403024,0.45086439,1.09046515,0.62154832,0.05709631,1.77718101,0.96809480,0.48324982
-5.75387694,3.93409324,0.05548859,0.44644776,1.07738231,0.64092826,0.05782225,1.77847196,0.95286594,0.48174475
-5.74787394,3.93257085,0.05696305,0.44182987,1.06677810,0.66170336,0.05862511,1.78138157,0.93790940,0.47971665
-5.74187094,3.93248699,0.05842193,0.43703990,1.05879149,0.68393553,0.05950804,1.78617718,0.92339951,0.47715269
-5.73586793,3.93417767,0.05983175,0.43208468,1.05348722,0.70766621,0.06047362,1.79305338,0.90944885,0.47403752
-5.72986493,3.93784822,0.06115803,0.42695065,1.05085638,0.73291173,0.06152353,1.80212782,0.89610980,0.47035393
-5.72386193,3.94357316,0.06236627,0.42160686,1.05081996,0.75965874,0.06265828,1.81343963,0.88337898,0.46608402
-5.71785893,3.95130081,0.06342286,0.41600891,1.05323497,0.78786011,0.06387690,1.82694995,0.87120375,0.46121079
-5.71185593,3.96086173,0.06429623,0.41010331,1.05790267,0.81743108,0.06517673,1.84254468,0.85949068,0.45572001
-5.70585293,3.97198025,0.06495780,0.40383236,1.06457832,0.84824612,0.06655318,1.86003859,0.84811517,0.44960213
