energy_ev,total_up,Cr_p_up,Cr_d_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,1.38393454,0.20076698,0.08619208,0.54431050,0.49226845,0.00003694,0.28425855,0.00057315,0.41286109
-5.99399700,1.42192601,0.20433680,0.08457795,0.56351351,0.50917831,0.00003377,0.29848328,0.00066715,0.41110852
-5.98799400,1.46857807,0.20916781,0.08375907,0.58421463,0.52991804,0.00003253,0.31388444,0.00077409,0.41243671
-5.98199100,1.52414084,0.21525040,0.08373036,0.60657340,0.55458239,0.00003296,0.33065954,0.00089492,0.41667063
-5.97598799,1.58875612,0.22256204,0.08447469,0.63073805,0.58321682,0.00003487,0.34899705,0.00103049,0.42358791
-5.96998499,1.66244361,0.23106689,0.08596332,0.65683770,0.61581207,0.00003812,0.36906783,0.00118155,0.43292485
-5.96398199,1.74508833,0.24071552,0.08815662,0.68497469,0.65229927,0.00004263,0.39101636,0.00134869,0.44438325
-5.95797899,1.83643019,0.25144503,0.09100478,0.71521738,0.69254593,0.00004838,0.41495245,0.00153232,0.45763795
-5.95197599,1.93605622,0.26317930,0.09444880,0.74759373,0.73635310,0.00005537,0.44094356,0.00173262,0.47234499
-5.94597299,2.04339646,0.27582968,0.09842152,0.78208612,0.78345393,0.00006362,0.46900824,0.00194954,0.48814991
-5.93996998,2.15772395,0.28929601,0.10284877,0.81862771,0.83351404,0.00007322,0.49911109,0.00218274,0.50469623
-5.93396698,2.27815941,0.30346789,0.10765070,0.85710047,0.88613378,0.00008426,0.53115946,0.00243163,0.52163371
-5.92796398,2.40368097,0.31822641,0.11274309,0.89733521,0.94085261,0.00009685,0.56500221,0.00269532,0.53862617
-5.92196098,2.53313893,0.33344600,0.11803887,0.93911360,0.99715566,0.00011115,0.60043074,0.00297264,0.55535861
-5.91595798,2.66527558,0.34899660,0.12344962,0.98217215,1.05448231,0.00012733,0.63718225,0.00326217,0.57154344
-5.90995498,2.79874951,0.36474583,0.12888711,1.02620813,1.11223688,0.00014558,0.67494526,0.00356227,0.58692556
-5.90395198,2.93216386,0.38056131,0.13426491,1.07088700,1.16980089,0.00016610,0.71336723,0.00387110,0.60128623
-5.89794897,3.06409744,0.39631278,0.13949991,1.11585117,1.22654671,0.00018913,0.75206392,0.00418666,0.61444547
-5.89194597,3.19313772,0.41187416,0.14451389,1.16072963,1.28185205,0.00021490,0.79063022,0.00450687,0.62626307
-5.88594297,3.31791420,0.42712521,0.14923484,1.20514789,1.33511469,0.00024366,0.82865188,0.00482960,0.63663819
-5.87993997,3.43713090,0.44195295,0.15359832,1.24873774,1.38576700,0.00027564,0.86571759,0.00515273,0.64550755
-5.87393697,3.54959630,0.45625260,0.15754851,1.29114629,1.43328937,0.00031106,0.90143089,0.00547420,0.65284244
-5.86793397,3.65424953,0.46992806,0.16103917,1.33204379,1.47722221,0.00035014,0.93542128,0.00579206,0.65864467
-5.86193097,3.75018138,0.48289198,0.16403428,1.37112972,1.51717574,0.00039304,0.96735397,0.00610447,0.66294167
-5.85592796,3.83664927,0.49506532,0.16650841,1.40813696,1.55283723,0.00043988,0.99693778,0.00640977,0.66578106
-5.84992496,3.91308528,0.50637652,0.16844694,1.44283356,1.58397521,0.00049071,1.02393085,0.00670647,0.66722494
-5.84392196,3.97909713,0.51676044,0.16984578,1.47502239,1.61044064,0.00054551,1.04814389,0.00699321,0.66734412
-5.83791896,4.03446194,0.52615694,0.17071101,1.50453842,1.63216482,0.00060414,1.06944086,0.00726880,0.66621269
-5.83191596,4.07911350,0.53450955,0.17105815,1.53124426,1.64915431,0.00066639,1.08773716,0.00753217,0.66390302
-5.82591296,4.11312376,0.54176400,0.17091116,1.55502400,1.66148315,0.00073191,1.10299554,0.00778232,0.66048157
-5.81990995,4.13667986,0.54786712,0.17030131,1.57577624,1.66928287,0.00080024,1.11522008,0.00801829,0.65600555
-5.81390695,4.15005826,0.55276593,0.16926585,1.59340677,1.67273086,0.00087076,1.12444879,0.00823913,0.65052062
-5.80790395,4.15359762,0.55640726,0.16784653,1.60782151,1.67203788,0.00094278,1.13074526,0.00844385,0.64405967
-5.80190095,4.14767215,0.55873782,0.16608814,1.61892067,1.66743539,0.00101545,1.13419018,0.00863139,0.63664277
-5.79589795,4.13266729,0.55970497,0.16403697,1.62659440,1.65916348,0.00108783,1.13487309,0.00880061,0.62827808
-5.78989495,4.10895909,0.55925796,0.16173940,1.63072067,1.64746009,0.00115889,1.13288516,0.00895026,0.61896381
-5.78389195,4.07689863,0.55734988,0.15924051,1.63116571,1.63255204,0.00122755,1.12831333,0.00907902,0.60869100
-5.77788894,4.03680237,0.55394009,0.15658294,1.62778710,1.61464848,0.00129270,1.12123628,0.00918554,0.59744692
-5.77188594,3.98894887,0.54899696,0.15380588,1.62043948,1.59393688,0.00135322,1.11172238,0.00926842,0.58521897
-5.76588294,3.93358179,0.54250104,0.15094428,1.60898276,1.57058176,0.00140803,1.09982976,0.00932636,0.57199877
-5.75987994,3.87091894,0.53444819,0.14802836,1.59329224,1.54472608,0.00145613,1.08560833,0.00935813,0.55778629
-5.75387694,3.80116630,0.52485264,0.14508328,1.57327018,1.51649500,0.00149664,1.06910364,0.00936275,0.54259376
-5.74787394,3.72453596,0.51374980,0.14212913,1.54885799,1.48600168,0.00152881,1.05036212,0.00933949,0.52644914
-5.74187094,3.64126644,0.50119854,0.13918114,1.52004824,1.45335451,0.00155208,1.02943723,0.00928800,0.50939902
-5.73586793,3.55164392,0.48728281,0.13625005,1.48689581,1.41866526,0.00156610,1.00639620,0.00920837,0.49151071
-5.72986493,3.45602266,0.47211254,0.13334272,1.44952714,1.38205750,0.00157073,0.98132653,0.00910117,0.47287356
-5.72386193,3.35484308,0.45582361,0.13046290,1.40814722,1.34367464,0.00156606,0.95434198,0.00896753,0.45359922
-5.71785893,3.24864626,0.43857683,0.12761204,1.36304344,1.30368705,0.00155245,0.92558752,0.00880915,0.43382107
-5.71185593,3.13808367,0.42055607,0.12479025,1.31458618,1.26229774,0.00153047,0.89524281,0.00862832,0.41369260
-5.70585293,3.02392129,0.40196539,0.12199725,1.26322580,1.21974626,0.00150089,0.86352393,0.00842789,0.39338499
-5.69984992,2.90703798,0.38302539,0.11923329,1.20948614,1.17631056,0.00146472,0.83068334,0.00821124,0.37308384
-5.69384692,2.78841764,0.36396882,0.11650008,1.15395473,1.13230656,0.00142309,0.79700781,0.00798225,0.35298528
-5.68784392,2.66913579,0.34503566,0.11380152,1.09727010,1.08808559,0.00137729,0.76281461,0.00774519,0.33329153
-5.68184092,2.55034091,0.32646775,0.11114443,1.04010673,1.04402972,0.00132868,0.72844596,0.00750464,0.31420614
-5.67583792,2.43323148,0.30850331,0.10853902,0.98315839,1.00054521,0.00127867,0.69426215,0.00726543,0.29592903
-5.66983492,2.31902965,0.29137134,0.10599921,0.92712037,0.95805434,0.00122867,0.66063349,0.00703248,0.27865151
-5.66383192,2.20895267,0.27528626,0.10354275,0.87267163,0.91698602,0.00118002,0.62793165,0.00681072,0.26255152
-5.65782891,2.10418327,0.26044283,0.10119113,0.82045738,0.87776558,0.00113400,0.59652057,0.00660496,0.24778905
-5.65182591,2.00584010,0.24701156,0.09896929,0.77107279,0.84080403,0.00109175,0.56674742,0.00641981,0.23450214
-5.64582291,1.91494928,0.23513468,0.09690504,0.72504851,0.80648737,0.00105425,0.53893398,0.00625955,0.22280336
-5.63981991,1.83241811,0.22492291,0.09502839,0.68283831,0.77516615,0.00102228,0.51336864,0.00612805,0.21277692
-5.63381691,1.75901177,0.21645285,0.09337063,0.64480930,0.74714578,0.00099642,0.49029939,0.00602867,0.20447655
-5.62781391,1.69533366,0.20976534,0.09196332,0.61123497,0.72267786,0.00097705,0.46992793,0.00596424,0.19792413
-5.62181091,1.64181001,0.20486459,0.09083713,0.58229096,0.70195278,0.00096429,0.45240510,0.00593695,0.19310909
-5.61580790,1.59867905,0.20171817,0.09002063,0.55805380,0.68509387,0.00095808,0.43782771,0.00594835,0.18998860
-5.60980490,1.56598505,0.20025794,0.08953912,0.53850229,0.67215329,0.00095813,0.42623675,0.00599929,0.18848862
-5.60380190,1.54357735,0.20038170,0.08941341,0.52352148,0.66310972,0.00096397,0.41761715,0.00608996,0.18850556
-5.59779890,1.53111414,0.20195574,0.08965878,0.51290888,0.65786801,0.00097497,0.41189880,0.00621985,0.18990876
-5.59179590,1.52807111,0.20481803,0.09028397,0.50638262,0.65626070,0.00099036,0.40895900,0.00638778,0.19254355
-5.58579290,1.53375436,0.20878217,0.09129043,0.50359129,0.65805154,0.00100928,0.40862599,0.00659194,0.19623487
-5.57978989,1.54731742,0.21364189,0.09267175,0.50412496,0.66294067,0.00103079,0.41068366,0.00682995,0.20079140
-5.57378689,1.56778169,0.21917606,0.09441328,0.50752722,0.67057162,0.00105393,0.41487709,0.00709885,0.20600997
-5.56778389,1.59405982,0.22515406,0.09649206,0.51330769,0.68053956,0.00107772,0.42091887,0.00739519,0.21168032
-5.56178089,1.62498140,0.23134152,0.09887700,0.52095483,0.69240087,0.00110124,0.42849600,0.00771512,0.21758992
-5.55577789,1.65932012,0.23750603,0.10152925,0.52994859,0.70568364,0.00112360,0.43727713,0.00805436,0.22352886
-5.54977489,1.69582188,0.24342300,0.10440294,0.53977274,0.71989865,0.00114403,0.44692006,0.00840836,0.22929462
-5.54377189,1.73323293,0.24888131,0.10744601,0.54992655,0.73455076,0.00116183,0.45707923,0.00877229,0.23469655
-5.53776888,1.77032751,0.25368859,0.11060134,0.55993557,0.74915022,0.00117643,0.46741315,0.00914113,0.23956011
-5.53176588,1.80593421,0.25767616,0.11380806,0.56936143,0.76322365,0.00118738,0.47759143,0.00950971,0.24373058
-5.52576288,1.83896049,0.26070328,0.11700291,0.57781033,0.77632438,0.00119436,0.48730152,0.00987277,0.24707621
-5.51975988,1.86841489,0.26266076,0.12012182,0.58494025,0.78804195,0.00119717,0.49625480,0.01022504,0.24949086
-5.51375688,1.89342641,0.26347363,0.12310147,0.59046669,0.79801057,0.00119573,0.50419211,0.01056126,0.25089580
-5.50775388,1.91326077,0.26310302,0.12588092,0.59416690,0.80591623,0.00119005,0.51088850,0.01087624,0.25124094
-5.50175088,1.92733331,0.26154694,0.12840322,0.59588265,0.81150259,0.00118024,0.51615721,0.01116497,0.25050526
-5.49574787,1.93521836,0.25884017,0.13061693,0.59552139,0.81457538,0.00116649,0.51985280,0.01142262,0.24869647
-5.48974487,1.93665494,0.25505301,0.13247759,0.59305594,0.81500528,0.00114904,0.52187340,0.01164469,0.24585006
-5.48374187,1.93154881,0.25028917,0.13394899,0.58852276,0.81272938,0.00112818,0.52216200,0.01182702,0.24202763
-5.47773887,1.91997092,0.24468266,0.13500431,0.58201875,0.80775119,0.00110422,0.52070684,0.01196591,0.23731460
-5.47173587,1.90215227,0.23839387,0.13562696,0.57369686,0.80013912,0.00107749,0.51754080,0.01205821,0.23181745
-5.46573287,1.87847528,0.23160493,0.13581125,0.56376036,0.79002368,0.00104832,0.51273982,0.01210141,0.22566047
-5.45972986,1.84946192,0.22451446,0.13556269,0.55245618,0.77759328,0.00101706,0.50642037,0.01209369,0.21898214
-5.45372686,1.81575870,0.21733191,0.13489797,0.54006718,0.76308879,0.00098402,0.49873592,0.01203405,0.21193132
-5.44772386,1.77811872,0.21027155,0.13384470,0.52690371,0.74679702,0.00094950,0.48987254,0.01192233,0.20466317
-5.44172086,1.73738129,0.20354644,0.13244063,0.51329453,0.72904301,0.00091381,0.48004359,0.01175926,0.19733509
-5.43571786,1.69444923,0.19736233,0.13073276,0.49957731,0.71018155,0.00087723,0.46948367,0.01154652,0.19010270
-5.42971486,1.65026459,0.19191189,0.12877591,0.48608894,0.69058786,0.00084002,0.45844190,0.01128671,0.18311590
-5.42371186,1.60578315,0.18736931,0.12663123,0.47315592,0.67064784,0.00080245,0.44717476,0.01098333,0.17651518
-5.41770885,1.56194856,0.18388542,0.12436432,0.46108497,0.65074792,0.00076476,0.43593858,0.01064073,0.17042833
-5.41170585,1.51966665,0.18158359,0.12204331,0.45015433,0.63126501,0.00072719,0.42498201,0.01026403,0.16496746
-5.40570285,1.47978104,0.18055641,0.11973681,0.44060585,0.61255670,0.00068999,0.41453865,0.00985903,0.16022659
-5.39969985,1.44305058,0.18086335,0.11751191,0.43263824,0.59495212,0.00065338,0.40482020,0.00943206,0.15627979
-5.39369685,1.41012985,0.18252955,0.11543226,0.42640170,0.57874380,0.00061759,0.39601034,0.00898983,0.15317997
-5.38769385,1.38155318,0.18554564,0.11355635,0.42199428,0.56418079,0.00058283,0.38825953,0.00853933,0.15095829
-5.38169085,1.35772328,0.18986878,0.11193612,0.41945995,0.55146342,0.00054930,0.38168123,0.00808763,0.14962441
