energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,8.72732346,-5.31075246,0.14402805,-0.10119856,0.72878948,-0.38082045,1.52802911,-0.63944658,1.57405432,-0.40152617,0.63427186,-0.62918260,0.28778027,-0.26241444,0.10850375,-0.07231094,3.35066362,-2.44521460
-5.99399700,8.71893159,-5.52778793,0.14080250,-0.10455192,0.73529349,-0.39503383,1.55437492,-0.67188784,1.56628749,-0.42047840,0.64373335,-0.64306337,0.29030067,-0.27046343,0.10973711,-0.07572791,3.34196884,-2.54655646
-5.98799400,8.68526825,-5.74848757,0.13708796,-0.10759335,0.73985210,-0.40889935,1.57577183,-0.70656108,1.55385087,-0.43934424,0.65164326,-0.65627809,0.29245710,-0.27856532,0.11074974,-0.07929009,3.32348630,-2.65051862
-5.98199100,8.62755378,-5.97025780,0.13295265,-0.11028462,0.74243473,-0.42231246,1.59193549,-0.74315366,1.53706346,-0.45795548,0.65785420,-0.66876920,0.29429957,-0.28656709,0.11155810,-0.08295955,3.29579507,-2.75583339
-5.97598799,8.54739018,-6.19056785,0.12846950,-0.11259456,0.74303801,-0.43518130,1.60265192,-0.78131668,1.51630969,-0.47615454,0.66224073,-0.68051096,0.29588549,-0.29432916,0.11218544,-0.08669975,3.25962488,-2.86124959
-5.96998499,8.44668123,-6.40699949,0.12371360,-0.11449989,0.74168268,-0.44742862,1.60777938,-0.82067097,1.49202245,-0.49379730,0.66470001,-0.69151092,0.29727585,-0.30172858,0.11266067,-0.09047610,3.21582267,-2.96555694
-5.96398199,8.32754921,-6.61729122,0.11875982,-0.11598595,0.73841012,-0.45899301,1.60724918,-0.86081355,1.46466561,-0.51075541,0.66515234,-0.70180952,0.29853140,-0.30866161,0.11301717,-0.09425639,3.16531779,-3.06760835
-5.95797899,8.19225178,-6.81937588,0.11368056,-0.11704700,0.73327883,-0.46982950,1.60106548,-0.90132438,1.43471668,-0.52691790,0.66354168,-0.71147796,0.29970900,-0.31504585,0.11329133,-0.09801109,3.10908743,-3.16633931
-5.95197599,8.04310256,-7.01141082,0.10854372,-0.11768615,0.72636103,-0.47990943,1.58930409,-0.94177336,1.40265057,-0.54219216,0.65983599,-0.72061426,0.30085837,-0.32082166,0.11352107,-0.10171360,3.04812363,-3.26078419
-5.94597299,7.88239818,-7.19180018,0.10341111,-0.11791505,0.71773953,-0.48921980,1.57211010,-0.98172727,1.36892496,-0.55650422,0.65402752,-0.72933786,0.30201914,-0.32595308,0.11374423,-0.10534034,2.98340283,-3.35008885
-5.93996998,7.71235411,-7.35920913,0.09833707,-0.11775323,0.70750501,-0.49776193,1.54969455,-1.02075665,1.33396796,-0.56979847,0.64613298,-0.73778309,0.30321870,-0.33042798,0.11399701,-0.10887071,2.91585898,-3.43351972
-5.93396698,7.53505102,-7.51257002,0.09336765,-0.11722717,0.69575389,-0.50554980,1.52232992,-1.05844244,1.29816818,-0.58203674,0.63619350,-0.74609163,0.30447050,-0.33425770,0.11431247,-0.11228705,2.84636085,-3.51046897
-5.92796398,7.35239251,-7.65108092,0.08854012,-0.11636917,0.68258658,-0.51260798,1.49034472,-1.09438219,1.26186771,-0.59319689,0.62427429,-0.75440470,0.30577322,-0.33747603,0.11471917,-0.11557442,2.77569383,-3.58045605
-5.92196098,7.16607481,-7.77419711,0.08388291,-0.11521610,0.66810648,-0.51896934,1.45411703,-1.12819582,1.22535787,-0.60327112,0.61046411,-0.76285512,0.30711052,-0.34013764,0.11523994,-0.11872036,2.70454657,-3.64312567
-5.91595798,6.97756804,-7.88161622,0.07941587,-0.11380804,0.65241931,-0.52467276,1.41406718,-1.15953083,1.18887769,-0.61226383,0.59487424,-0.77155979,0.30845154,-0.34231599,0.11589092,-0.12171461,2.63350231,-3.69824260
-5.90995498,6.78810857,-7.97325807,0.07515089,-0.11218694,0.63563298,-0.52976076,1.37064976,-1.18806684,1.15261495,-0.62018945,0.57763716,-0.78061293,0.30975208,-0.34410074,0.11668081,-0.12454876,2.56303464,-3.74568359
-5.90395198,6.59870133,-8.04924027,0.07109276,-0.11039530,0.61785772,-0.53427737,1.32434503,-1.21351945,1.11670940,-0.62707014,0.55890469,-0.79008049,0.31095627,-0.34559484,0.11761048,-0.12721589,2.49350762,-3.78542691
-5.89794897,6.41013073,-8.10985066,0.06724018,-0.10847502,0.59920645,-0.53826618,1.27565002,-1.23564334,1.08125779,-0.63293356,0.53884581,-0.79999587,0.31199872,-0.34691120,0.11867280,-0.12971025,2.42517946,-3.81754004
-5.89194597,6.22297873,-8.15551789,0.06358691,-0.10646633,0.57979525,-0.54176872,1.22506954,-1.25423470,1.04632025,-0.63781076,0.51764396,-0.81035722,0.31280714,-0.34816919,0.11985280,-0.13202683,2.35820950,-3.84216607
-5.88594297,6.03764845,-8.18678128,0.06012300,-0.10440699,0.55974376,-0.54482320,1.17310728,-1.26913285,1.01192758,-0.64173437,0.49549412,-0.82112642,0.31330507,-0.34949091,0.12112821,-0.13416109,2.29266781,-3.85950942
-5.87993997,5.85439157,-8.20426101,0.05683591,-0.10233159,0.53917554,-0.54746358,1.12025734,-1.28022122,0.97808894,-0.64473698,0.47259945,-0.83222969,0.31341481,-0.35099740,0.12247010,-0.13610864,2.22854684,-3.86982140
-5.87393697,5.67333817,-8.20862983,0.05371166,-0.10027115,0.51821816,-0.54971908,1.06699645,-1.28742756,0.94479960,-0.64684997,0.44916789,-0.84355983,0.31306038,-0.35280491,0.12384395,-0.13786498,2.16577452,-3.87338626
-5.86793397,5.49452742,-8.20058708,0.05073581,-0.09825285,0.49700302,-0.55161394,1.01377691,-1.29072354,0.91204828,-0.64810265,0.42540860,-0.85497979,0.31217035,-0.35502122,0.12521081,-0.13942529,2.10422828,-3.87050809
-5.86193097,5.31793787,-8.18083574,0.04789425,-0.09629996,0.47566495,-0.55316759,0.96102076,-1.29012372,0.87982382,-0.64852174,0.40152845,-0.86632750,0.31068046,-0.35774221,0.12652864,-0.14078430,2.04374943,-3.86149916
-5.85592796,5.14351623,-8.15006304,0.04517396,-0.09443188,0.45434144,-0.55439493,0.90911502,-1.28568386,0.84812088,-0.64813126,0.37772868,-0.87742152,0.30853594,-0.36104863,0.12775374,-0.14193619,1.98415739,-3.84666987
-5.84992496,4.97120388,-8.10892494,0.04256343,-0.09266431,0.43317164,-0.55530687,0.85840835,-1.27749880,0.81694459,-0.64695268,0.35420180,-0.88806731,0.30569351,-0.36500336,0.12884226,-0.14287465,1.92526342,-3.82632069
-5.84392196,4.80096014,-8.05803470,0.04005302,-0.09100945,0.41229513,-0.55591093,0.80920894,-1.26569968,0.78631394,-0.64500533,0.33112893,-0.89806375,0.30212292,-0.36964907,0.12975167,-0.14359290,1.86688332,-3.80073606
-5.83791896,4.63278212,-7.99795522,0.03763510,-0.08947623,0.39185046,-0.55621180,0.76178396,-1.25045080,0.75626395,-0.64230699,0.30867749,-0.90720948,0.29780804,-0.37500633,0.13044211,-0.14408388,1.80884899,-3.77018038
-5.83191596,4.46672055,-7.92919515,0.03530406,-0.08807060,0.37197360,-0.55621193,0.71636013,-1.23194595,0.72684661,-0.63887461,0.28699948,-0.91530897,0.29274750,-0.38107239,0.13087775,-0.14434046,1.75101840,-3.73489594
-5.82591296,4.30289169,-7.85220821,0.03305623,-0.08679565,0.35279639,-0.55591195,0.67312562,-1.21040442,0.69813072,-0.63472503,0.26623028,-0.92217789,0.28695484,-0.38782053,0.13102783,-0.14435577,1.69328391,-3.69510265
-5.81990995,4.14148507,-7.76739536,0.03088965,-0.08565181,0.33444488,-0.55531102,0.63223299,-1.18606674,0.67020065,-0.62987570,0.24648801,-0.92764765,0.28045819,-0.39520005,0.13086764,-0.14412348,1.63557882,-3.65099928
-5.81390695,3.98276740,-7.67510926,0.02880381,-0.08463694,0.31703785,-0.55440696,0.59380304,-1.15919014,0.64315420,-0.62434529,0.22787351,-0.93156906,0.27329962,-0.40313686,0.13037918,-0.14363829,1.57788205,-3.60276602
-5.80790395,3.82708270,-7.57566056,0.02679935,-0.08374638,0.30068540,-0.55319629,0.55792925,-1.13004395,0.61709983,-0.61815419,0.21047071,-0.93381492,0.26553400,-0.41153480,0.12955164,-0.14289625,1.52022097,-3.55056804
-5.80190095,3.67484907,-7.46932545,0.02487777,-0.08297294,0.28548764,-0.55167421,0.52468281,-1.09890501,0.59215323,-0.61132478,0.19434757,-0.93428163,0.25722768,-0.42027749,0.12838160,-0.14189526,1.46267246,-3.49455964
-5.79589795,3.52655237,-7.35635410,0.02304106,-0.08230688,0.27153366,-0.54983443,0.49411777,-1.06605326,0.56843349,-0.60388166,0.17955739,-0.93289001,0.24845681,-0.42923081,0.12687297,-0.14063541,1.40536233,-3.43488892
