energy_ev,total_up,Co_p_up,Co_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,5.85500627,0.43805535,0.35549107,2.66778215,2.10164866,0.04311195,0.79485725,0.11685251,2.37976350
-5.99399700,5.97156506,0.45075158,0.35671511,2.73301339,2.16461347,0.04345911,0.82617398,0.11833613,2.41587357
-5.98799400,6.08207510,0.46320367,0.35702695,2.79842732,2.22393031,0.04377535,0.85678345,0.11969634,2.45001696
-5.98199100,6.18586230,0.47544663,0.35646719,2.86322163,2.27886764,0.04406162,0.88643046,0.12092899,2.48213534
-5.97598799,6.28225884,0.48752636,0.35508372,2.92665096,2.32871723,0.04431737,0.91488829,0.12202686,2.51214425
-5.96998499,6.37060579,0.49949765,0.35293067,2.98803560,2.37280949,0.04454039,0.94196312,0.12297953,2.53992780
-5.96398199,6.45026258,0.51142194,0.35006768,3.04677067,2.41053043,0.04472680,0.96749816,0.12377364,2.56533739
-5.95797899,6.52062274,0.52336501,0.34655940,3.10233578,2.44133976,0.04487106,0.99137732,0.12439331,2.58819433
-5.95197599,6.58113527,0.53539436,0.34247515,3.15430476,2.46478926,0.04496620,1.01352824,0.12482091,2.60829631
-5.94597299,6.63132982,0.54757662,0.33788882,3.20235494,2.48054038,0.04500404,1.03392442,0.12503787,2.62542701
-5.93996998,6.67084380,0.55997478,0.33287877,3.24627516,2.48838010,0.04497555,1.05258644,0.12502581,2.63936822
-5.93396698,6.69944931,0.57264540,0.32752772,3.28597201,2.48823397,0.04487127,1.06958187,0.12476756,2.64991337
-5.92796398,6.71707733,0.58563582,0.32192250,3.32147317,2.48017522,0.04468174,1.08502385,0.12424826,2.65688155
-5.92196098,6.72383700,0.59898141,0.31615352,3.35292747,2.46442930,0.04439797,1.09906815,0.12345639,2.66013082
-5.91595798,6.72002791,0.61270295,0.31031398,3.38060087,2.44137294,0.04401190,1.11190866,0.12238464,2.65956984
-5.90995498,6.70614387,0.62680416,0.30449872,3.40486795,2.41152757,0.04351683,1.12377134,0.12103055,2.65516687
-5.90395198,6.68286692,0.64126963,0.29880262,3.42619886,2.37554700,0.04290776,1.13490658,0.11939700,2.64695544
-5.89794897,6.65105135,0.65606297,0.29331867,3.44514167,2.33419943,0.04218177,1.14558038,0.11749237,2.63503618
-5.89194597,6.61169775,0.67112559,0.28813573,3.46230048,2.28834477,0.04133815,1.15606417,0.11533045,2.61957467
-5.88594297,6.56591814,0.68637596,0.28333596,3.47830997,2.23890767,0.04037864,1.16662408,0.11293017,2.60079536
