energy_ev,total_up,Ag_p_up,Ag_d_up,In_p_up,In_d_up,Se_s_up,Se_p_up
-2.98049025,2.98025090,1.72199597,0.99445441,0.53761095,0.00146506,0.34049590,0.88135990
-2.97448724,2.95954710,1.75660042,0.96901433,0.57159071,0.00148494,0.33658172,0.86776677
-2.96848424,2.94236223,1.79269358,0.94482453,0.60637756,0.00151109,0.33335591,0.85445596
-2.96248124,2.92872568,1.82973467,0.92198063,0.64160765,0.00154306,0.33093099,0.84156543
-2.95647824,2.91853857,1.86708934,0.90054040,0.67686939,0.00158020,0.32940436,0.82921967
-2.95047524,2.91159377,1.90404524,0.88053275,0.71171079,0.00162169,0.32885760,0.81753374
-2.94447224,2.90759965,1.93983138,0.86196740,0.74564898,0.00166655,0.32935619,0.80661750
-2.93846923,2.90620627,1.97364077,0.84484445,0.77818172,0.00171371,0.33094942,0.79657970
-2.93246623,2.90703302,2.00465542,0.82916356,0.80880063,0.00176198,0.33367056,0.78753145
-2.92646323,2.90969618,2.03207301,0.81493226,0.83700567,0.00181016,0.33753712,0.77958906
-2.92046023,2.91383548,2.05513418,0.80217299,0.86232033,0.00185702,0.34255118,0.77287567
-2.91445723,2.91913818,2.07314925,0.79092866,0.88430693,0.00190139,0.34869974,0.76752177
-2.90845423,2.92535985,2.08552341,0.78126651,0.90258152,0.00194218,0.35595499,0.76366445
-2.90245123,2.93234083,2.09177919,0.77328013,0.91682748,0.00197842,0.36427462,0.76144531
-2.89644822,2.94001768,2.09157508,0.76708967,0.92680738,0.00200930,0.37360203,0.76100728
-2.89044522,2.94842907,2.08471968,0.76284016,0.93237249,0.00203419,0.38386653,0.76249025
-2.88444222,2.95771595,2.07118043,0.76069817,0.93346932,0.00205268,0.39498358,0.76602606
-2.87843922,2.96811592,2.05108653,0.76084690,0.93014305,0.00206457,0.40685514,0.77173282
-2.87243622,2.97995208,2.02472592,0.76347986,0.92253742,0.00206990,0.41937008,0.77970902
-2.86643322,2.99361679,1.99253628,0.76879347,0.91089113,0.00206892,0.43240489,0.79002768
-2.86043022,3.00955106,1.95509051,0.77697877,0.89553081,0.00206211,0.44582456,0.80273080
-2.85442721,3.02822045,1.91307718,0.78821245,0.87686089,0.00205011,0.45948381,0.81782450
-2.84842421,3.05008838,1.86727698,0.80264760,0.85535062,0.00203375,0.47322859,0.83527488
-2.84242121,3.07558802,1.81853593,0.82040430,0.83151892,0.00201397,0.48689796,0.85500491
-2.83641821,3.10509377,1.76773682,0.84156045,0.80591764,0.00199180,0.50032619,0.87689246
-2.83041521,3.13889357,1.71576975,0.86614298,0.77911381,0.00196833,0.51334516,0.90076943
-2.82441221,3.17716306,1.66350331,0.89411974,0.75167181,0.00194462,0.52578695,0.92642214
-2.81840920,3.21994255,1.61175729,0.92539235,0.72413588,0.00192171,0.53748653,0.95359274
-2.81240620,3.26711790,1.56127818,0.95979031,0.69701391,0.00190055,0.54828441,0.98198179
-2.80640320,3.31840594,1.51271820,0.99706646,0.67076293,0.00188195,0.55802931,1.01125178
-2.80040020,3.37334530,1.46661860,1.03689432,0.64577691,0.00186658,0.56658057,1.04103151
-2.79439720,3.43129303,1.42339776,1.07886733,0.62237711,0.00185493,0.57381035,1.07092132
-2.78839420,3.49142758,1.38334433,1.12250033,0.60080553,0.00184728,0.57960554,1.10049897
-2.78239120,3.55275827,1.34661541,1.16723359,0.58122127,0.00184371,0.58386929,1.12932621
-2.77638819,3.61414130,1.31323970,1.21243932,0.56370011,0.00184408,0.58652217,1.15695585
-2.77038519,3.67430222,1.28312513,1.25743094,0.54823698,0.00184804,0.58750300,1.18293943
-2.76438219,3.73186431,1.25607063,1.30147499,0.53475129,0.00185507,0.58676933,1.20683526
-2.75837919,3.78538246,1.23178129,1.34380561,0.52309464,0.00186447,0.58429761,1.22821684
-2.75237619,3.83338159,1.20988609,1.38364127,0.51306066,0.00187539,0.58008309,1.24668157
-2.74637319,3.87439835,1.18995764,1.42020337,0.50439635,0.00188689,0.57413959,1.26185954
-2.74037019,3.90702514,1.17153281,1.45273627,0.49681463,0.00189795,0.56649902,1.27342221
-2.73436718,3.92995449,1.15413362,1.48052787,0.49000738,0.00190752,0.55721083,1.28109081
