energy_ev,total_up,C_s_up,C_p_up,Na_s_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,1.48097167,0.03293605,0.12118670,0.58722943,0.00963594,0.68401616,0.32006803,0.29211249
-5.99399700,1.48192540,0.03272492,0.11831313,0.58304391,0.00950762,0.68998883,0.32333963,0.29033025
-5.98799400,1.48657801,0.03250132,0.11550153,0.57762489,0.00945600,0.69846312,0.32780656,0.28871576
-5.98199100,1.49534885,0.03227430,0.11276084,0.57120478,0.00948682,0.70967368,0.33351972,0.28734992
-5.97598799,1.50872882,0.03205563,0.11010885,0.56407909,0.00960590,0.72387930,0.34053744,0.28633654
-5.96998499,1.52726268,0.03185930,0.10757217,0.55659692,0.00981905,0.74135277,0.34892323,0.28579912
-5.96398199,1.55152486,0.03170102,0.10518556,0.54914845,0.01013182,0.76236765,0.35874248,0.28587615
-5.95797899,1.58208965,0.03159735,0.10299090,0.54215024,0.01054939,0.78718252,0.37005817,0.28671530
-5.95197599,1.61949735,0.03156496,0.10103561,0.53602862,0.01107625,0.81602348,0.38292583,0.28846662
-5.94597299,1.66421787,0.03161960,0.09937089,0.53120228,0.01171591,0.84906559,0.39738789,0.29127511
-5.93996998,1.71661367,0.03177522,0.09804949,0.52806462,0.01247066,0.88641443,0.41346795,0.29527299
-5.93396698,1.77690393,0.03204305,0.09712347,0.52696673,0.01334119,0.92808855,0.43116498,0.30057202
-5.92796398,1.84513185,0.03243075,0.09664179,0.52820167,0.01432633,0.97400397,0.45044804,0.30725627
-5.92196098,1.92113692,0.03294172,0.09664796,0.53199090,0.01542282,1.02396148,0.47125161,0.31537554
-5.91595798,2.00453372,0.03357460,0.09717774,0.53847326,0.01662506,1.07763782,0.49347194,0.32493994
-5.90995498,2.09469871,0.03432292,0.09825714,0.54769701,0.01792497,1.13458110,0.51696458,0.33591576
-5.90395198,2.19076586,0.03517499,0.09990065,0.55961536,0.01931193,1.19421126,0.54154338,0.34822286
-5.89794897,2.29163195,0.03611408,0.10210979,0.57408547,0.02077278,1.25582568,0.56698102,0.36173378
-5.89194597,2.39597164,0.03711871,0.10487220,0.59087112,0.02229192,1.31861001,0.59301120,0.37627466
-5.88594297,2.50226207,0.03816330,0.10816105,0.60964883,0.02385151,1.38165410,0.61933255,0.39162788
-5.87993997,2.60881653,0.03921890,0.11193511,0.63001712,0.02543173,1.44397259,0.64561415,0.40753651
-5.87393697,2.71382597,0.04025416,0.11613922,0.65150873,0.02701118,1.50452942,0.67150254,0.42371037
-5.86793397,2.81540705,0.04123635,0.12070540,0.67360506,0.02856728,1.56226558,0.69663026,0.43983350
-5.86193097,2.91165509,0.04213255,0.12555438,0.69575246,0.03007680,1.61612901,0.72062534,0.45557283
-5.85592796,3.00069994,0.04291077,0.13059775,0.71737971,0.03151640,1.66510551,0.74312183,0.47058776
-5.84992496,3.08076273,0.04354107,0.13574043,0.73791595,0.03286322,1.70824964,0.76377082,0.48454031
-5.84392196,3.15021144,0.04399666,0.14088360,0.75680864,0.03409544,1.74471424,0.78225170,0.49710546
-5.83791896,3.20761320,0.04425482,0.14592791,0.77354059,0.03519289,1.77377762,0.79828325,0.50798137
-5.83191596,3.25178141,0.04429766,0.15077683,0.78764584,0.03613761,1.79486725,0.81163429,0.51689909
-5.82591296,3.28181591,0.04411275,0.15534018,0.79872356,0.03691433,1.80757918,0.82213333,0.52363139
-5.81990995,3.29713482,0.04369350,0.15953750,0.80644974,0.03751097,1.81169242,0.82967711,0.52800046
-5.81390695,3.29749697,0.04303933,0.16330135,0.81058623,0.03791896,1.80717773,0.83423750,0.52988415
